,names,scores,logfoldchanges,pvals,pvals_adj
0,AL627171.2,7.8926444,2.5646367,0.0003652543868863731,0.0072287659255422495
1,SERPINA1,5.8950987,2.2002182,0.0012680060845375646,0.016684560420729935
2,DMBT1,5.7297926,3.8071327,0.0019888059560541293,0.022081455602983767
3,IGKC,4.3719196,3.4751863,0.006886143243702717,0.04598392554920706
4,TAPBP,4.259904,3.2029002,0.007521396903658888,0.04598392554920706
5,CD74,4.0711546,2.4688535,0.008829555010346518,0.051290800530103854
6,HLA-F,3.892303,3.8084567,0.011108888341049988,0.06275879585004625
7,SLC38A10,3.8479326,2.5283883,0.010853287175064721,0.06161480829293623
8,CTNNB1,3.8447118,2.5283883,0.010820866448225951,0.061468349065136645
9,TMSB10,3.723999,2.200987,0.012372559279248439,0.06627769573258466
10,EEF1G,3.5540128,2.7689002,0.015313900597046131,0.07274494643898781
11,OLFM4,3.4796872,3.1734025,0.016924226848992717,0.07815456398624397
12,RBM5,3.2341118,2.4277673,0.021726843433312895,0.09354679592479995
13,STAT2,3.1803496,2.8322706,0.023681147352640222,0.09354679592479995
14,HLA-C,3.1328187,1.9993631,0.02431810706515506,0.09354679592479995
15,MT-CO2,3.1318057,1.7330251,0.02500668704144289,0.0935935762575294
16,CST3,3.1163163,2.7094798,0.025449568529955845,0.09521277512900046
17,ITM2B,3.0940726,2.7811184,0.026126613185697343,0.09770637533829281
18,ACTB,3.0081234,2.031223,0.02840562495414386,0.10368108958881764
19,REG1A,2.968653,3.7358086,0.030741385291482896,0.11211848262300363
20,C1QA,2.9682243,4.293433,0.030990689413689626,0.11298333823168386
21,P4HB,2.8994322,2.3550353,0.03243769147147958,0.11821227021526245
22,LCN2,2.895255,6.0980473,0.03389375383342237,0.12332490124728594
23,ANO9,2.8684916,1.9683907,0.03283864859703406,0.1196265056034812
24,IFI27,2.8547127,1.9509313,0.03347547992765872,0.12189855028973254
25,FTL,2.7595346,2.1546786,0.038840787989498644,0.13396074983144948
26,NET1,2.7428682,3.2612913,0.039874812835270126,0.13396074983144948
27,B2M,2.7220857,1.5233371,0.04023116344175051,0.13396074983144948
28,NDUFB1,2.7216225,4.0760036,0.041344166319600126,0.13396074983144948
29,PLAAT4,2.6478307,2.9622097,0.0443938815364335,0.13396074983144948
30,CD24,2.63967,3.6354737,0.0453927602562363,0.13439732079693312
31,IGHG4,2.6382973,1.9239384,0.04442106373669086,0.13396074983144948
32,CES2,2.6266925,1.6307397,0.04331119605463442,0.13396074983144948
33,MALL,2.5905197,3.4905705,0.048255294606437064,0.1428270550181597
34,TNFRSF14,2.574335,1.3284746,0.04445814650859205,0.13396074983144948
35,SDCBP2,2.5581753,2.7150824,0.049473586074737,0.14638630090714339
36,HOOK2,2.5255733,2.6331859,0.051503645076936146,0.15028507815282027
37,ATP1A1,2.5245428,1.6163071,0.04990266511177093,0.1476088392503052
38,MYO1A,2.487145,2.1485677,0.05413555440478573,0.15791521558303617
39,LASP1,2.4786582,2.524227,0.054522208831697845,0.1589931330115675
40,DDX5,2.4663885,2.055249,0.055333512038652784,0.1613083099066505
41,TPM3,2.4586687,3.1042063,0.05673329063064333,0.1653370184093034
42,KRT18,2.4474735,2.9787269,0.05727571520086253,0.16686540756258822
43,EDF1,2.442151,2.9573152,0.05778067110552974,0.1682309250945819
44,ARFRP1,2.4369805,2.4306734,0.05746466510386025,0.16736335785818351
45,IGHA1,2.388987,3.668082,0.06210815425724901,0.1805474124070734
46,GSDMD,2.3612058,2.7304895,0.06374418548259038,0.18512938975262952
47,NOP53,2.3605268,2.6719277,0.06359728982406204,0.18476057719779151
48,PTMA,2.3522773,1.390194,0.0613539066004331,0.1784107020881015
49,CLDN15,2.340296,2.6792474,0.06530927376178464,0.18961547671469658
50,FTH1,2.3258836,1.7332178,0.06582115758436183,0.19104189640339164
51,SAT1,2.3077545,1.7888237,0.06736308077703496,0.19545611621520428
52,CLDN7,2.2996182,3.1442153,0.06924040486431579,0.19740145238947926
53,CDHR5,2.2880406,0.86225677,0.06329558809592269,0.1839416558254084
54,TSPAN1,2.2761974,2.1259892,0.06988142204343122,0.19740145238947926
55,CTSD,2.268787,1.6786623,0.0702651298073991,0.19740145238947926
56,MIR194-2HG,2.2622578,2.4349163,0.07187059658538739,0.19740145238947926
57,RAB17,2.2622578,2.4349163,0.07187059658538739,0.19740145238947926
58,SNRNP70,2.2569017,2.4774203,0.07248726670060247,0.19740145238947926
59,RHOC,2.239922,2.0620663,0.0732034982523231,0.19740145238947926
60,SH3GLB2,2.2166452,2.0229776,0.07538669906084115,0.19740145238947926
61,SEM1,2.213726,6.934253,0.07768795184963015,0.19740145238947926
62,C1orf122,2.213726,6.934253,0.07768795184963015,0.19740145238947926
63,MUC1,2.1467943,4.926926,0.08438153821086457,0.2000075172812168
64,MT-ND1,2.1238403,1.3594705,0.08560398541157517,0.20285325315043165
65,IGHM,2.1201613,2.191836,0.08615526333974974,0.20405541064545982
66,ERBB3,2.1145506,1.8606354,0.08588669064530458,0.2034712257707292
67,LYZ,2.102716,2.3797634,0.08859173264112322,0.20971906717034064
68,EXOC3L4,2.1022503,4.337072,0.08918861949777072,0.2109168831027536
69,METTL26,2.1022503,4.337072,0.08918861949777072,0.2109168831027536
70,REX1BD,2.1022503,4.337072,0.08918861949777072,0.2109168831027536
71,HNRNPA2B1,2.0982478,1.8402642,0.08742301827396162,0.20700521827013055
72,MYL6,2.092033,1.808102,0.08907066422681292,0.2107990579687092
73,ARSA,2.0800009,4.1122313,0.09170167937701162,0.21510613797761485
74,S100A6,2.0678816,2.2646074,0.09234803470249225,0.21656757405470772
75,UBXN1,2.0665362,3.9950116,0.09321182289022445,0.21848286365329883
76,MT-ND2,2.058312,1.2095168,0.09272309876222129,0.21739222094239405
77,VOPP1,2.0577662,3.917137,0.09429058155505245,0.2207883900085764
78,YKT6,2.0577662,3.917137,0.09429058155505245,0.2207883900085764
79,EGFL7,2.0577662,3.917137,0.09429058155505245,0.2207883900085764
80,IL32,2.0540779,2.0251892,0.09338924566680239,0.21884346838658414
81,SLC25A3,2.0448067,2.0083473,0.09454022066259277,0.2213171067314467
82,IER2,2.0443153,3.8138916,0.09584691713144973,0.22431948684168343
83,ATP5F1B,2.036345,2.1096556,0.09613645154271738,0.22494039405583635
84,PCYT1A,2.0355463,3.7447612,0.09695750909061901,0.226804334520949
85,TSPAN8,2.030664,2.4894605,0.09710136760645768,0.2270836215981709
86,ERCC5,2.0221088,3.6524792,0.09856135995103955,0.2303819045745528
87,UBA52,2.020077,2.6484275,0.09875724459580135,0.23078165768837566
88,SUGT1,2.0133407,3.590306,0.09970469392315859,0.2328198664137756
89,NDUFS5,2.0133407,3.590306,0.09970469392315859,0.2328198664137756
90,PIGR,2.0018277,1.4253035,0.099453825187813,0.23235097039851002
91,OXA1L,1.9999168,3.506855,0.10135741195825079,0.2365600949953442
92,HACD2,1.9999168,3.506855,0.10135741195825079,0.2365600949953442
93,NELFB,1.9911495,3.450349,0.1025344168710893,0.2391267480898118
94,STUB1,1.9911495,3.450349,0.1025344168710893,0.2391267480898118
95,EIF3E,1.9911495,3.450349,0.1025344168710893,0.2391267480898118
96,PKP4,1.977739,3.3741634,0.10423738255598301,0.2429762392979996
97,PSME2,1.9742006,2.5615022,0.10454112543504791,0.2436230796605862
98,ARHGAP27,1.9689724,3.3223634,0.10544900753609429,0.245677130509545
99,RXRB,1.9669826,4.0535865,0.10603620602738906,0.24698320309817448
100,HLA-DRA,1.9606524,2.0018888,0.10614277852731505,0.24716941050941754
