Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2021	mitochondrial translational elongation (GO:0070125)	57/89	6.352306e-21	2.270255e-17	0	0	7.825052e+00	3.639077e+02	GFM1;MRPS15;MRPS14;MRPS12;MRPS10;MRPL36;MRPL37;MRPL33;MRPL4;MRPL41;MRPL42;MRPL2;MRPL1;MRPL40;MRPL9;TSFM;MRPS26;MRPS27;MRPS25;MRPS22;MRPS18B;MRPS18A;MRPS2;MRPS21;MRPS6;MRPL43;MRPL44;MRPS18C;TUFM;MRPL53;OXA1L;MRPL50;MRPS9;MRPL51;DAP3;MRPS35;MRPS36;MRPL18;MRPS33;MRPL16;MRPS31;MRPL14;MRPL58;MRPL15;MRPS30;MRPL12;MRPL13;MRPL54;MRPL11;GADD45GIP1;MRPL27;ERAL1;MRPL23;MRPL24;MRPL21;MRPL22;MRPL30
GO_Biological_Process_2021	mitochondrial translation (GO:0032543)	63/105	8.550865e-21	2.270255e-17	0	0	6.596175e+00	3.047977e+02	GFM1;MRPS15;FASTKD2;MRPS14;MRPS12;MRPS10;MRPL36;MRPL37;MRPL33;MRPL4;MRPL41;MRPL42;MRPL2;MRPL1;MRPL40;MRPL9;RARS2;TSFM;MRPS26;MRPS27;MRPS25;MRPS22;MRPS18B;MRPS18A;MRPS2;MRPS21;MRPS6;MRPL43;MRPS18C;TUFM;MRPL44;OXA1L;MRPL53;MRPL50;MRPS9;MRPL51;MTRF1L;DAP3;MRPS35;MRPS36;MRPL18;MRPS33;MRPL16;MRPS31;MRPL14;MRPL58;MTIF2;MRPL15;MRPS30;MRPL12;MRPL13;MRPL54;MRPL11;IARS2;GADD45GIP1;MRPL27;GATC;ERAL1;MRPL23;MRPL24;MRPL21;MRPL22;MRPL30
GO_Biological_Process_2021	translational elongation (GO:0006414)	62/104	2.776423e-20	4.914269e-17	0	0	6.489713e+00	2.922353e+02	GFM1;MRPS15;MRPS14;MRPS12;MRPS10;MRPL36;MRPL37;MRPL33;MRPL4;MRPL41;MRPL42;MRPL2;EEF2K;MRPL1;MRPL40;MRPL9;TSFM;MRPS26;MRPS27;MRPS25;MRPS22;MRPS18B;MRPS18A;MRPS2;MRPS21;GTPBP2;GTPBP1;MRPS6;MRPL43;MRPS18C;TUFM;MRPL44;OXA1L;MRPL53;MRPL50;MRPS9;MRPL51;NEMF;DAP3;MRPS35;MRPS36;MRPL18;MRPS33;MRPL16;MRPS31;MRPL14;MRPL58;MRPL15;MRPS30;MRPL12;MRPL13;MRPL54;MRPL11;GADD45GIP1;MRPL27;ERAL1;MRPL23;MRPL24;MRPL21;MRPL22;MRPL30;MTRES1
GO_Biological_Process_2021	mitochondrial translational termination (GO:0070126)	55/89	3.535802e-19	4.693777e-16	0	0	7.101619e+00	3.017207e+02	MRPS15;MRPS14;MRPS12;MRPS10;MRPL36;MRPL37;MRPL33;MRPL4;MRPL41;MRPL42;MRPL2;MRPL1;MRPL40;MRPL9;MRPS26;MRPS27;MRPS25;MRPS22;MRPS18B;MRPS18A;MRPS2;MRPS21;MRPS6;MRPL43;MRPL44;MRPS18C;MRPL53;OXA1L;MRPL50;MRPS9;MRPL51;MTRF1L;DAP3;MRPS35;MRPS36;MRPL18;MRPS33;MRPL16;MRPS31;MRPL14;MRPL58;MRPL15;MRPS30;MRPL12;MRPL13;MRPL54;MRPL11;GADD45GIP1;MRPL27;ERAL1;MRPL23;MRPL24;MRPL21;MRPL22;MRPL30
GO_Biological_Process_2021	translational termination (GO:0006415)	57/96	1.209018e-18	1.283977e-15	0	0	6.417785e+00	2.647768e+02	MRPS15;MRPS14;MRPS12;MRPS10;MRPL36;MRPL37;MRPL33;MRPL4;MRPL41;MRPL42;TRMT112;MRPL2;MRPL1;MRPL40;MRPL9;MRPS26;MRPS27;MRPS25;MRPS22;MRPS18B;MRPS18A;MRPS2;MRPS21;MRPS6;MRPL43;MRPL44;MRPS18C;MRPL53;OXA1L;MRPL50;MRPS9;MRPL51;ETF1;MTRF1L;DAP3;MRPS35;MRPS36;MRPL18;MRPS33;MRPL16;MRPS31;MRPL14;MRPL58;MRPL15;MRPS30;MRPL12;MRPL13;MRPL54;MRPL11;GADD45GIP1;MRPL27;ERAL1;MRPL23;MRPL24;MRPL21;MRPL22;MRPL30
GO_Biological_Process_2021	cellular response to DNA damage stimulus (GO:0006974)	135/350	1.987529e-18	1.758963e-15	0	0	2.786142e+00	1.135621e+02	ATF2;CCNK;MRE11;RIF1;TRRAP;SMC5;SMC6;ALKBH7;BACH1;YY1;ENDOV;STK11;HERC2;CCND1;CHEK2;HMCES;KMT5B;MTREX;MEN1;LIG1;KMT5C;DDX11;ZBTB38;METTL3;FOXP1;SLFN11;MSH2;DDIT3;PSME4;MAPKAPK2;TP53;BRSK1;RTEL1;DCUN1D5;BOD1L1;XPA;ZBTB1;HTRA2;XPC;PDS5B;ZBTB4;FOXO1;VCPIP1;MRNIP;OARD1;UBR5;ABL1;MORC2;MAP2K6;LYN;MOAP1;CBX5;CBX3;FANCL;INTS3;FANCA;NFATC2;UBE2A;FANCF;FBXO31;SETX;BCL2;NABP2;ATM;MMS19;UBA1;BCL2L2;RPAIN;TOP2A;BTG2;WDR48;OGG1;PHF1;ASH2L;AATF;CASP9;POLB;PIDD1;UFL1;PAXX;CASP2;POLI;IKBKE;BOK;UPF1;USP47;PARP3;PARP4;PARP1;NCOA6;PARP2;AKTIP;BAZ1B;ZDHHC16;SMC1A;GNL1;SPIDR;DDB2;DDB1;RNF168;RAD51D;NSMCE4A;IRF3;CEP63;FAN1;YAP1;USP16;BRAT1;PNKP;TAF9;IGHMBP2;TANK;ZBTB40;RECQL5;POLD1;SUSD6;RBBP6;UBQLN4;MICA;MUTYH;NPM1;SLF2;GTF2H1;USP28;APTX;HINFP;CUL4A;RAD52;RAD50;TAOK3;APC;ERCC3;APEX1;ERCC1;TAF1
GO_Biological_Process_2021	transcription by RNA polymerase II (GO:0006366)	124/320	3.207863e-17	2.433393e-14	0	0	2.801999e+00	1.064153e+02	CCNK;CCNT2;HDAC10;CCNT1;ICE1;CCNH;MAML1;ICE2;PHAX;RBPJ;NR3C1;LSM10;TRIM24;PAPOLA;ABT1;PCID2;SUPT16H;GTF2F1;TBL1XR1;SNRPG;SNRPE;SNRPF;NOTCH2;SLBP;NOTCH1;CBFB;CSTF3;MAZ;ZBTB1;WDR61;RTF1;RPAP2;GTF2E2;CSTF1;RPRD1B;NRBF2;RPRD1A;CPSF4;XBP1;CPSF7;ZNF141;INTS1;INTS3;EAF1;CPSF2;NR1D2;NR1D1;POU2F2;ELL3;NFKB1;SETX;CDK9;SNW1;TFCP2;NABP2;INTS4;INTS6;CDK13;INTS8;SETD2;THRA;ARRB2;AFF4;CDC73;MED17;PCF11;SNAPC3;ELOA;NELFB;TEAD1;TEAD3;PARP1;NCBP2;WDR33;NCOR2;TFDP1;MED20;RARA;PPARD;YAP1;HDAC5;GTF2A2;CTDP1;ELOF1;NFIX;HDAC3;RNMT;TAF9;CSTF2T;DDX21;MLLT3;NR2C2;NR2C1;IWS1;HDAC7;SCAF8;POLR2B;TAF1C;POLR2C;POLR2F;POLR2G;POLR2I;POLR2K;TAF12;MBD1;NR1H2;TAF10;ADRM1;TAF11;GTF2H1;DEK;RPRD2;SSRP1;NUDT21;NR6A1;ERCC3;NFIC;TAF8;TRIP11;TAF7;TAF6;ERCC6;TAF4;TAF1
GO_Biological_Process_2021	mRNA processing (GO:0006397)	118/300	4.995983e-17	3.316084e-14	0	0	2.869282e+00	1.076994e+02	TCERG1;CCNH;EIF4A3;HNRNPU;HNRNPR;WDR83;CASC3;CCAR1;EFTUD2;PNN;ALKBH5;RAVER1;RBMX2;CWC22;PAPOLA;SNIP1;MTREX;SNRNP35;TXNL4A;AQR;SNRPN;METTL3;THOC1;THOC3;THOC2;ZCRB1;GTF2F1;THOC5;WBP11;CRNKL1;THOC7;PRPF4;DDX39A;PSPC1;SARNP;PRPF3;SNRPG;PPIE;GEMIN6;PPIH;SNRPE;SNRNP25;SNRPF;SNRPC;SRSF8;SRSF9;RBM8A;DHX9;CSTF3;SNU13;ESS2;CSTF1;DHX38;RPRD1B;RPRD1A;CPSF4;CPSF7;ALYREF;CPSF2;LSM5;LSM3;CHERP;LSM2;SMU1;HNRNPM;SNW1;CWF19L1;DDX42;DDX41;YBX1;USP39;ELAVL1;SYNCRIP;METTL14;SART3;PCF11;DHX16;RBM17;RBM15;NCBP2;BUD31;PLRG1;WDR33;GCFC2;FRG1;SNRPA1;SLU7;SF3B4;SF3B2;SF3B3;RNMT;POLDIP3;DDX23;CSTF2T;RNF113A;PUF60;POLR2B;POLR2C;TRA2B;POLR2F;POLR2G;POLR2I;SF3B1;SMNDC1;POLR2K;HNRNPA0;SF3A3;SF3A1;HNRNPA3;GTF2H1;RPRD2;NUDT21;XAB2;SNRNP40;ERCC3;MFAP1;SNRNP48;PPIL3
GO_Biological_Process_2021	RNA splicing, via transesterification reactions with bulged adenosine as nucleophile (GO:0000377)	102/251	5.063030e-16	2.987188e-13	0	0	3.022442e+00	1.064486e+02	EIF4A3;HNRNPU;HNRNPR;WDR83;CASC3;CCAR1;EFTUD2;PNN;RAVER1;RBMX2;CWC22;PAPOLA;SNIP1;MTREX;SNRNP35;TXNL4A;AQR;SNRPN;METTL3;ZCRB1;GTF2F1;WBP11;CRNKL1;PRPF4;DDX39A;PSPC1;PRPF3;SNRPG;PPIE;GEMIN6;PPIH;SNRPE;SNRNP25;SNRPF;SNRPC;SRSF8;SRSF9;RBM8A;DHX9;CSTF3;SNU13;ESS2;CSTF1;DHX38;CPSF4;CPSF7;ALYREF;CPSF2;LSM5;LSM3;CHERP;LSM2;SMU1;HNRNPM;SNW1;CWF19L1;DDX42;DDX41;YBX1;USP39;ELAVL1;SYNCRIP;METTL14;SART3;PCF11;DHX16;RBM17;RBM15;NCBP2;BUD31;PLRG1;WDR33;GCFC2;FRG1;SNRPA1;SLU7;SF3B4;SF3B2;SF3B3;DDX23;CSTF2T;RNF113A;PUF60;POLR2B;POLR2C;TRA2B;POLR2F;POLR2G;POLR2I;SF3B1;SMNDC1;POLR2K;HNRNPA0;SF3A3;SF3A1;HNRNPA3;NUDT21;XAB2;SNRNP40;MFAP1;SNRNP48;PPIL3
GO_Biological_Process_2021	negative regulation of cellular macromolecule biosynthetic process (GO:2000113)	180/547	8.323918e-16	4.298533e-13	0	0	2.182829e+00	7.579270e+01	SPI1;HDAC10;KDM1A;NAB1;GMNN;EIF4A3;ARID4A;AHR;RBPJ;NR3C1;CCAR2;KAT5;BASP1;CREB3L1;SCMH1;EPC1;KAT8;CIR1;KAT7;KMT5A;SOX9;MEN1;TLE2;RBFOX2;ZGPAT;IGFBP5;DAPK1;ZNF282;FBXW11;ZNF281;ZBTB38;TSC1;PASK;GTPBP4;FOXP1;ZNF91;BRMS1;SLFN11;KAT6B;THAP7;PSPC1;DDIT3;KAT6A;NCL;ATF5;TP53;GRB7;DDX6;NOTCH1;L3MBTL2;SHMT1;ZNF24;MRPL13;ZBTB4;GIGYF2;FOXO1;FXR1;MBTD1;ATXN1;ZNF706;NACC1;DHX36;ZNF703;INPP5K;SUDS3;ZNF148;ZBTB18;XRCC6;SMAD4;PHC1;CBX5;PHF10;SMURF2;CBX3;EIF2AK1;PHF12;SETDB2;PCIF1;NR1D2;CNOT10;NR1D1;SMARCA2;WAPL;SMARCA4;DHFR;BMP2;DAP;GCLC;CNOT7;SNW1;CAPRIN1;SP3;MDM2;ID4;CPEB3;CNOT8;RBAK;RCOR3;LSM14A;BAP1;EZH2;ACVRL1;GSK3B;BTG2;BMPR2;THRA;CHD8;KDM8;NKAP;HMGB2;RSF1;DBI;PTPRK;YBX1;ING4;MECP2;SYNCRIP;SCML4;SIN3A;UIMC1;MLX;CD38;JARID2;YAF2;KLF10;USP47;RBM15;RING1;PRMT2;EED;TERF1;CBFA2T2;CBFA2T3;SIRT2;PATL2;NCOR2;GCFC2;TFDP2;TRAF6;RARA;ZMYND11;VGLL4;PPARD;HDAC4;HDAC5;HDAC3;FOXK2;TYMS;HDAC6;BCLAF1;RIDA;RNF139;BAHD1;ZNF746;HES1;BRD7;PAIP2;ZNF224;MTA3;ATF7IP;KDM4A;TCF7L2;MBD1;NR1H2;DAB2IP;SAMD4B;WWP1;WWP2;KLF4;HINFP;TBX2;PER2;PER1;MYBBP1A;RLIM;ZNF217;TAF7;MPHOSPH8;TRIM33;LIMS1
