,names,scores,logfoldchanges,pvals,pvals_adj
0,IGLC1,6.7701902,3.826086,1.4565262607876654e-09,1.3519476752631111e-05
1,IGHG4,6.0155888,2.231862,1.3287160920712426e-07,0.00032971022363242506
2,AL627171.2,5.8611164,1.6324275,2.1339831788308288e-07,0.00039615263731815505
3,IGHM,5.8145943,2.8542364,1.4208585375239175e-07,0.00032971022363242506
4,LCN2,5.8047585,3.667051,1.0615960039075617e-07,0.00032971022363242506
5,IGHG3,5.668771,2.7679086,3.582902271181788e-07,0.0005542749813518226
6,MUC1,5.0658917,2.6533399,2.279718302763251e-06,0.0030229064694640706
7,REG1A,5.0460644,2.1217823,4.893053490248243e-06,0.005046369166276021
8,IGLC2,5.0297194,2.624727,3.2975358181567666e-06,0.0038259659330163887
9,CDC42SE2,4.956846,28.09778,5.551117882653331e-06,0.005152547618678822
10,IGKC,4.9396143,1.9523818,1.4060137818225347e-05,0.011864199929887971
11,IDO1,4.615034,28.342413,1.941419485893457e-05,0.015016879723385891
12,GPNMB,4.5158787,27.52748,2.7720898029157373e-05,0.019792721192818365
