,names,scores,logfoldchanges,pvals,pvals_adj
0,IGKC,4.697592,1.6040707,8.2423551321772e-06,0.022757035854483833
1,IGHA1,4.4909954,1.7542464,1.857065533835344e-05,0.02872880380843277
2,LINC02739,4.4093537,1.6695608,2.4772936332547652e-05,0.03284891357695818
3,IGHG4,4.18403,1.4982549,5.892998296979551e-05,0.06077645576951577
4,LIMD1-AS1,3.9431026,1.7576573,0.00014934270672795449,0.12837185709183133
5,MUC1,3.8083696,2.0812216,0.00025071083440041147,0.19392483040871827
6,REG1A,3.6485348,1.4705372,0.0004140212446402123,0.2956111686731116
7,CD55,3.4615333,2.446749,0.0008618940874860867,0.5714357800032754
8,ITGAV,3.374785,27.17151,0.001373971196492743,0.7085111469914245
9,TSPAN1,3.3573008,1.5294762,0.0011235182954741063,0.6801393247940155
10,AL627171.2,3.3184054,0.9641359,0.0012456764190366585,0.6801393247940155
11,C1R,3.3159864,4.119788,0.0015573077691763003,0.760785827026022
12,IGHM,3.190021,1.4409851,0.0018766883538246296,0.7838513551602082
13,MTHFR,3.1563675,3.5248451,0.002403234548120583,0.7838513551602082
14,TAP1,3.1225336,1.557639,0.002327061218015204,0.7838513551602082
15,TYMP,3.1183202,1.2780536,0.002343752212110164,0.7838513551602082
16,IGHG3,3.053918,1.3367914,0.002851234593225117,0.801355271810078
17,ARL6IP4,3.013279,1.7309914,0.003393034451664364,0.801355271810078
18,SAMD9L,2.9913948,2.3617291,0.003696321144789646,0.801355271810078
19,TALDO1,2.9620824,2.795527,0.004143408058893352,0.801355271810078
20,ASS1,2.9558275,1.4392362,0.0038589688370809666,0.801355271810078
21,DMBT1,2.9516828,1.2348613,0.0038844053888593393,0.801355271810078
22,TNFRSF6B,2.9453099,2.3481035,0.004192432799388869,0.801355271810078
23,DAGLB,2.9403687,26.962942,0.004817616389682436,0.801355271810078
24,SEMA6D,2.9340105,3.3780503,0.004573676683293455,0.801355271810078
25,SCO2,2.9334977,2.5421135,0.004494452232326966,0.801355271810078
26,MISP,2.90689,1.288214,0.004439665021415775,0.801355271810078
27,PSMB9,2.8854237,1.2662964,0.004804963279718903,0.801355271810078
28,C1QA,2.8846328,1.1220672,0.004742362708450859,0.801355271810078
29,CD74,2.8447347,0.9718714,0.0053354128623163055,0.801355271810078
30,MICAL1,2.8296783,1.4744555,0.005598216066135242,0.801355271810078
31,SNHG1,2.8247123,0.88302904,0.005646319836314923,0.801355271810078
32,WDR4,2.806243,26.458685,0.006956520738969936,0.801355271810078
33,PIGQ,2.806243,26.458685,0.006956520738969936,0.801355271810078
34,MPND,2.806243,26.458685,0.006956520738969936,0.801355271810078
35,DNM2,2.786387,1.6019714,0.0064673556296850595,0.801355271810078
36,BIRC3,2.778621,1.4123316,0.0066002481064263,0.801355271810078
37,IGLC1,2.769372,1.2065502,0.006639132796011472,0.801355271810078
38,SMIM5,2.7546158,1.5433301,0.006980521760409185,0.801355271810078
39,SULF2,2.7505705,26.579872,0.008078749399062066,0.801355271810078
40,ST13,2.7442148,1.8102572,0.00733022650053004,0.801355271810078
41,EMC9,2.7339885,3.4900548,0.00809725154383651,0.801355271810078
42,CCDC107,2.7272842,26.69246,0.008595768893395769,0.801355271810078
43,UBD,2.7230892,2.59575,0.008049640438817065,0.801355271810078
44,RASSF1,2.7230892,2.59575,0.008049640438817065,0.801355271810078
45,SSBP4,2.7141125,3.4039369,0.008507857863476834,0.801355271810078
46,UBA7,2.7064703,2.0081062,0.008356901531961732,0.801355271810078
47,SBF1,2.7053466,3.216775,0.00860715334328232,0.801355271810078
48,LPAR2,2.7053466,3.216775,0.00860715334328232,0.801355271810078
49,CEP170B,2.7053466,3.216775,0.00860715334328232,0.801355271810078
50,TNRC18,2.7053466,3.216775,0.00860715334328232,0.801355271810078
51,PIM2,2.7026098,2.5155563,0.008455078275357717,0.801355271810078
52,MMP2,2.6987906,2.6503975,0.008656470277419462,0.801355271810078
53,LCN2,2.6987596,1.5267969,0.0080936835047005,0.801355271810078
54,USP22,2.691732,1.9995792,0.008585356274631403,0.801355271810078
55,IDO1,2.6602018,2.1646032,0.009494088026071166,0.801355271810078
56,RHOT2,2.6431258,1.8986921,0.009671552088450644,0.801355271810078
57,MXRA5,2.6427872,2.1791599,0.009814796144212715,0.801355271810078
58,PSMB10,2.5938492,1.9413759,0.011077435416272104,0.801355271810078
59,IRF1,2.5760553,1.5789479,0.011457648910117387,0.801355271810078
60,VASH1,2.5714285,26.22708,0.01291464248428018,0.801355271810078
61,FHL2,2.5714285,26.22708,0.01291464248428018,0.801355271810078
62,SLC66A1,2.5714285,26.22708,0.01291464248428018,0.801355271810078
63,EPB41L2,2.5714285,26.22708,0.01291464248428018,0.801355271810078
64,ADCY7,2.5714285,26.22708,0.01291464248428018,0.801355271810078
65,AL049543.1,2.5643559,2.6722674,0.012490724764680813,0.801355271810078
66,ZFAS1,2.5582378,1.647214,0.012206794206885915,0.801355271810078
67,CEBPD,2.548446,2.3349814,0.012928870991654927,0.801355271810078
68,MZF1,2.5339324,2.539253,0.01341404909671157,0.801355271810078
69,TMSB10,2.5056827,0.83282197,0.013730505959828726,0.801355271810078
70,RASGRP2,2.5004983,2.4562104,0.014563171992560096,0.801355271810078
71,ODF3B,2.5004983,2.4562104,0.014563171992560096,0.801355271810078
72,ARHGEF1,2.4909606,3.2453341,0.015285151641827139,0.801355271810078
73,MICALL2,2.4861217,1.1725514,0.0144810594922337,0.801355271810078
74,CNN2,2.4795454,1.5447636,0.014885790878642417,0.801355271810078
75,CDC42SE1,2.473065,3.144819,0.015929671373635688,0.801355271810078
76,ZAP70,2.473065,3.144819,0.015929671373635688,0.801355271810078
77,BTN2A1,2.4729047,2.3687613,0.015554099681442187,0.801355271810078
78,CDC25B,2.4415298,1.3851966,0.01637071735350219,0.801355271810078
79,XAF1,2.416682,1.4558475,0.01754016286358888,0.801355271810078
80,CAPN2,2.4074209,1.9610792,0.018336108707527225,0.801355271810078
81,CSAD,2.390981,2.0069711,0.01896852100289242,0.801355271810078
82,AUP1,2.3733964,1.6857594,0.019732479727927656,0.801355271810078
83,ATP6V0C,2.3597858,0.9172443,0.02014278830423296,0.801355271810078
84,NLRC5,2.3562353,1.6046945,0.020517261121070187,0.801355271810078
85,SERINC2,2.3539581,1.2940073,0.0204125057025506,0.801355271810078
86,INAVA,2.3493078,1.378542,0.020808049414791713,0.801355271810078
87,HERPUD2,2.32379,25.954847,0.023930042066375758,0.801355271810078
88,GGCX,2.32379,25.954847,0.023930042066375758,0.801355271810078
89,DNAJC30,2.32379,25.954847,0.023930042066375758,0.801355271810078
