,names,scores,logfoldchanges,pvals,pvals_adj
0,REG1A,5.1638875,3.5215383,0.00035951142080248907,0.005723816480083539
1,IGKC,4.3881483,2.0411928,0.0011665750777337884,0.013484620014352458
2,EEF1D,3.9031308,1.7929265,0.002435423192672401,0.02179699312543153
3,IGHA1,3.5941927,2.702944,0.004614439427768428,0.03309986612716116
4,IGHG4,3.552964,2.0225744,0.004765551035086851,0.03415740904067656
5,SNHG1,3.5426474,2.0107388,0.004852863612023126,0.034756388924998965
6,AL627171.2,3.5215075,1.719082,0.005117755394619215,0.03520663818778583
7,ATP6V0C,3.4451354,1.3269036,0.004944477530699643,0.03520663818778583
8,TSPAN8,3.4047544,2.054761,0.005985675112950429,0.040643040525534656
9,CLDN7,3.2046554,2.3080645,0.008750302401871022,0.05223664825884747
10,PLEC,3.147995,1.9356588,0.009472448957370183,0.05481500699645264
11,ASS1,3.1098528,2.0174584,0.010107391691557511,0.058054956485790114
12,RBM3,3.0159905,2.3653343,0.012317728851507306,0.07035886719980973
13,GSKIP,2.993201,2.4444773,0.012841324697832916,0.07080410439458966
14,MICAL1,2.7702518,2.178936,0.0190195867093521,0.09281798308948801
15,CTSS,2.763336,2.0168915,0.01879190840553711,0.09180341780010287
16,LYZ,2.7609727,1.9806635,0.019228515419288977,0.09378827121483987
17,ACTB,2.7586124,1.6203883,0.018878449044225646,0.0921776770270923
18,SMIM5,2.747303,2.4677014,0.02002003384726025,0.09744412908771351
19,GPR35,2.7359135,2.1847892,0.020219752509563687,0.09831311827855953
20,STARD3,2.7144709,2.4882338,0.021025334239930984,0.10212305202252193
21,ANKRD9,2.7132943,2.1061742,0.020920314135412958,0.101666154871677
22,ALPI,2.6686172,1.9612684,0.022424493650928842,0.10671572811038584
23,PTTG1IP,2.667534,1.8938649,0.02225707510671345,0.10671572811038584
24,TMEM54,2.624815,2.4331505,0.02485924677240189,0.10671572811038584
25,INF2,2.618586,1.7759836,0.024479627115237282,0.10671572811038584
26,HLA-C,2.5578594,1.4563617,0.026681135267510682,0.11381171762547525
27,MYH14,2.550273,1.3943115,0.027170818999851985,0.11584728615370975
28,YWHAZ,2.5479918,1.6694428,0.027564867234344665,0.11714771278213865
29,WASF2,2.5444462,3.8609831,0.028914841892292625,0.11965562302463671
30,TMSB10,2.5314867,1.5378006,0.02800825446612639,0.11714771278213865
31,CTSB,2.524016,2.1281683,0.029487366304552943,0.12153718207764672
32,EIF4A2,2.486078,1.2870494,0.03078332344299804,0.12682237381176556
33,SLC40A1,2.4657962,3.806276,0.03310736055861424,0.1361553038126085
34,ATP6V0B,2.4654002,2.2395718,0.032339187599373515,0.13305511493678412
35,EEF2,2.4547331,1.4111823,0.0316865030154011,0.13048541303857722
36,MIF,2.4217665,1.6860827,0.03420808319658653,0.14037110001357922
37,BAZ2A,2.4198074,2.15629,0.03502897775081353,0.14367608107956306
38,ACTN4,2.4088166,1.8633869,0.03557490253881236,0.14585081509066092
39,AC007952.4,2.3898616,1.2063521,0.03602154962190303,0.14761678745717613
40,GBF1,2.3687725,2.7225442,0.038667544857376605,0.1582505076570413
41,PSMB9,2.3683798,2.0044024,0.03845237761156006,0.1574393334761802
42,PSME1,2.364214,2.276385,0.03886462045839343,0.15898695773239657
43,SERPINB6,2.3446972,1.279404,0.03833443768556317,0.15702570635366167
44,EVL,2.3413029,2.0931609,0.04026066543793953,0.16253299899596513
45,MTRNR2L8,2.3356764,1.2406546,0.03910225707324906,0.15988861240259813
46,CERS2,2.3244567,2.9720936,0.04192003334566708,0.16253299899596513
47,EIF4A1,2.3236248,1.339175,0.04041019124260444,0.16253299899596513
48,APOL1,2.3234458,2.8748088,0.042007855328095554,0.16253299899596513
49,SPTAN1,2.3193097,2.0547583,0.04185539125052015,0.16253299899596513
50,TNFRSF14,2.3034303,0.97524315,0.039975623804698636,0.16253299899596513
51,SLC35D2,2.2978895,2.7926998,0.0438658469632355,0.16253299899596513
52,CD74,2.2971108,1.4590951,0.04279767604839201,0.16253299899596513
53,SPINK4,2.2863922,2.2816932,0.04465005432298978,0.16253299899596513
54,TPRN,2.2822795,1.6572534,0.044142958967696655,0.16253299899596513
55,COL1A2,2.2723532,2.7147725,0.04580358578911319,0.164404053864868
56,DDX17,2.2542734,1.276254,0.04548574001067494,0.16332635929558403
57,CXCL14,2.2526367,2.122864,0.046772359031069626,0.16781640375971715
58,SH3BGRL3,2.2277658,1.9286746,0.0488326644950436,0.17514095511707678
59,SEC61A1,2.214814,2.2163732,0.05029622798903788,0.17781226932192104
60,FCGBP,2.2124245,1.5044528,0.049646028251680394,0.17781226932192104
61,RBP2,2.2103758,1.7355003,0.04996349921800145,0.17781226932192104
