,names,scores,logfoldchanges,pvals,pvals_adj
0,AL627171.2,10.211809,2.9739263,5.981273421036384e-16,2.775908994702986e-12
1,IGKC,10.165945,3.085128,1.6503462932305898e-16,1.5318514293766334e-12
2,IGHA1,9.447163,3.664699,5.746049319140495e-15,1.3333707445065519e-11
3,IGHG4,9.423843,3.18013,3.119546415822335e-15,9.651876610554304e-12
4,IGHG3,7.390568,3.2027369,7.060746212392548e-11,1.3107569268685525e-07
5,LCN2,7.1913633,29.515438,1.0023138044160786e-09,1.1629345915737553e-06
6,REG1A,7.0508204,3.541628,6.871067840852235e-10,9.111035956970063e-07
7,JCHAIN,6.8861165,2.9225745,6.551094810314363e-10,9.111035956970063e-07
8,IGHM,6.675769,2.9581428,1.963111030816481e-09,2.0246218431153974e-06
9,LYZ,6.0723276,2.7667673,2.8123887198790753e-08,2.6104592097917573e-05
10,PSAP,5.9224386,2.9942544,5.17751163199982e-08,4.368878451656576e-05
11,IGLC2,5.7754836,2.8217728,1.0576371936183988e-07,8.180823692638315e-05
12,MUC1,5.6463914,3.3509412,1.952599210549484e-07,0.00013367316557754208
13,PLA2G2A,5.633877,3.319428,2.3168602941141936e-07,0.0001433673149997863
14,IGLC1,5.61238,2.72651,2.0161865094651898e-07,0.00013367316557754208
15,CXCL14,5.4634256,3.2443001,4.0967545390371716e-07,0.0002376629726958939
16,LINC02739,5.446989,2.0583482,5.014289268155884e-07,0.0002737801940413113
17,S100A6,5.3433313,2.4872456,7.813915751416446e-07,0.0004029375889147081
18,DMBT1,5.1875596,3.0308988,1.889356553341922e-06,0.0008224056628520364
19,C1QA,5.1148243,2.251713,1.949248500618918e-06,0.0008224056628520364
20,SLC40A1,5.1106925,4.3052893,2.3462353033848667e-06,0.0009468589602616667
21,CFB,5.105308,3.1785007,1.852555025493569e-06,0.0008224056628520364
22,CTSB,4.893593,2.4451041,4.231390680084418e-06,0.0016364903455226487
23,SH3BGRL3,4.856211,3.2040539,5.4715553553411715e-06,0.00203147907233107
24,ACTB,4.787217,1.9841315,1.1484601698590931e-05,0.0038071454630828933
25,CD55,4.75991,3.6038373,8.581628740063124e-06,0.003063641460202535
26,SNHG1,4.6997266,1.6691126,1.1159588990239364e-05,0.0038071454630828933
27,IGLC3,4.6890106,28.485655,1.5530509558278658e-05,0.004805139657331417
28,TMEM54,4.6031017,2.7498531,1.3535100932815467e-05,0.004332165753737695
29,COL1A2,4.511508,3.2758853,2.049854584933277e-05,0.006137661373338928
30,IGHG2,4.494796,28.352833,3.108073415843506e-05,0.008485040425252771
31,IDO1,4.4789386,28.332712,3.287410558178947e-05,0.008616261079942424
32,ACP5,4.4742956,28.177402,3.341794859706176e-05,0.008616261079942424
33,TYMP,4.4688888,1.8765576,2.2650122149970116e-05,0.006569951056125707
34,CD24,4.3982167,2.8209922,2.9073910473622786e-05,0.008177698091398991
35,TNFRSF6B,4.3459806,3.957691,4.176614183140313e-05,0.010103895402780746
36,PDZK1IP1,4.3397284,3.5302582,4.2453342028490526e-05,0.010103895402780746
37,CNN2,4.336574,3.6713037,4.0141366231316026e-05,0.010070058415110146
38,FCER1G,4.2801743,27.592834,6.59158891851683e-05,0.014228634498063537
39,SOD2,4.2601123,2.8308911,5.0775287963474254e-05,0.0117824055719242
40,SLC6A8,4.253464,3.3634949,5.629150588059451e-05,0.012743847745943372
41,C11orf86,4.251219,3.932105,5.905758149521865e-05,0.01305172551044332
42,TAP1,4.1706095,2.1961915,6.987409914687036e-05,0.01474025882457388
43,HLA-DQB1,4.146198,2.4896452,7.451753624613539e-05,0.01537048380970286
44,MMP2,4.0607095,27.418882,0.0001396945268065081,0.02639454781742385
45,SERPINA1,4.0540533,1.7461046,0.00011637514826910975,0.02348248100508428
46,UBD,4.0384374,27.478846,0.00015059869009453804,0.027408961597205923
47,RARRES2,4.037213,3.6713037,0.00012202984697941539,0.024099596588573056
48,PIM2,4.014972,27.19615,0.00016297327198966605,0.02909072905015539
49,STOM,3.997939,27.736217,0.00017256336854449362,0.030221380883584715
50,TIMP1,3.9908476,27.821022,0.00017671452253469421,0.030375262929019105
51,SMIM5,3.9853659,2.8139942,0.00013430605676503841,0.025971433726939303
52,SPINK1,3.9672174,2.4431176,0.00014218136079198368,0.02639454781742385
53,C1QC,3.9598496,27.264404,0.00019601535252178193,0.03248954468048535
54,TMSB10,3.9463828,1.674169,0.0002029000179020014,0.03255333861882669
55,SYTL1,3.9233704,27.329987,0.0002213316782065507,0.0342400106185534
56,ICAM1,3.9233704,27.329987,0.0002213316782065507,0.0342400106185534
57,PLCG2,3.8871784,2.4584167,0.00019255891636130762,0.03248954468048535
58,IFI30,3.869035,2.2697597,0.00020341452702994485,0.03255333861882669
59,B2M,3.8505266,1.6101089,0.00032246832474810944,0.04535077258048412
60,AEBP1,3.8409252,27.553253,0.00029064065403791334,0.04271636586135789
61,GAS5,3.8353975,1.7654563,0.0002680228668387318,0.04068654853059868
62,TMSB4X,3.819069,1.8169191,0.00027176966266937276,0.04068654853059868
63,S100A10,3.7638087,2.1535497,0.0002945321498736161,0.04271636586135789
64,SERPINB6,3.7424457,1.9167817,0.00032045066891661964,0.04535077258048412
