,names,scores,logfoldchanges,pvals,pvals_adj
0,YWHAH,-2.4635634,-1.3107902,0.015152633119725435,0.04978345738820133
1,RAP1A,-2.467142,-1.5876657,0.015138907484747822,0.04978345738820133
2,PYROXD1,-2.467956,-1.7037579,0.0151364684692775,0.04978345738820133
3,TSPYL1,-2.4684093,-1.4415003,0.015136079224635484,0.04978345738820133
4,FH,-2.469655,-1.7800472,0.01499355226491353,0.049685880800759516
5,PTP4A2,-2.4697053,-1.2040943,0.014924158557748615,0.04949126106931856
6,TMEM161B-AS1,-2.4708664,-2.1605291,0.015218081639992262,0.04994845607581619
7,SLC25A20,-2.4708874,-1.6733307,0.014950267254794964,0.04956013594964531
8,LMAN1,-2.4719763,-1.5258079,0.014880081896119321,0.049398040114370365
9,LSR,-2.472578,-1.1739167,0.014752428564895427,0.04900932066548295
10,RNF149,-2.4778154,-1.8292389,0.014835551259648824,0.04926783069483377
11,CLTA,-2.4782767,-1.4229468,0.014552010810530274,0.04859691468614147
12,PICK1,-2.478321,-1.9593253,0.014719699538264979,0.04891809921739189
13,ANP32A,-2.478321,-1.9593253,0.014719699538264979,0.04891809921739189
14,RAB3GAP1,-2.478321,-1.9593253,0.014719699538264979,0.04891809921739189
15,IL11RA,-2.478321,-1.9593253,0.014719699538264979,0.04891809921739189
16,GSE1,-2.478321,-1.9593253,0.014719699538264979,0.04891809921739189
17,AIFM1,-2.478321,-1.9593253,0.014719699538264979,0.04891809921739189
18,NUDT16L1,-2.4788623,-2.1550186,0.014892541429407716,0.04940406345524032
19,ZNF598,-2.4788623,-2.1550186,0.014892541429407716,0.04940406345524032
20,GSTK1,-2.4789805,-1.0200827,0.014520703019456658,0.048534809300178866
21,NIT1,-2.4792893,-1.4154478,0.014554990608432803,0.04859691468614147
22,FEZ2,-2.4799907,-2.2647064,0.01469268595590191,0.04891809921739189
23,MRPS7,-2.4810417,-1.4671023,0.014534679769399598,0.048564038020002545
24,MRPL41,-2.481425,-1.5089824,0.014516656899536306,0.048534809300178866
25,GABARAPL2,-2.481675,-1.5100689,0.014438160079746186,0.048311103770801764
26,UFC1,-2.4831972,-1.3939376,0.014438014785702863,0.048311103770801764
27,ILF3,-2.4837253,-1.1494489,0.014321937835112274,0.048008749362770727
28,LSM14A,-2.4838758,-1.5652044,0.014497140626014206,0.04849097632095995
29,BUD31,-2.4841585,-1.825527,0.014621152181423493,0.04871268289589837
30,NUDT16,-2.4843302,-1.9137404,0.014588540620368455,0.04863894900799569
31,CASP3,-2.4843302,-1.9137404,0.014588540620368455,0.04863894900799569
