,names,scores,logfoldchanges,pvals,pvals_adj
0,REG1A,3.4985662,1.8407918,0.0025845114593277775,0.05473163793071806
1,AL627171.2,2.6885917,1.2365245,0.015823539891266416,0.1373460233020614
2,RBM3,2.562137,1.7275981,0.021445144463604682,0.16870482240775067
3,SNHG1,2.5489025,1.3418572,0.022285610086797792,0.16870482240775067
4,GSKIP,2.3079617,1.5229214,0.03539356792863701,0.22735162457689184
5,SPTAN1,2.289356,1.8240584,0.03807191945912827,0.23354766239928573
6,INF2,2.261627,1.2191055,0.037877919596177215,0.23354766239928573
7,PSME1,2.167828,1.4972498,0.047606913525773294,0.2472788871551358
8,EEF1D,2.0954256,0.955958,0.05094257454887285,0.24992017809864575
9,IGHG4,2.0948312,1.0898007,0.053519150320815154,0.26214498853710094
10,PTPRA,2.0888114,2.3433764,0.056689190365826966,0.2766504021953764
11,ANKRD9,2.0479522,1.3700404,0.058884192506409756,0.28585934876804153
12,WASF2,2.0391235,2.4072044,0.06219950252307507,0.3010092713342976
13,IGHA1,2.027531,1.3585384,0.06015739215142735,0.29188756610013
14,RCE1,1.9980689,3.2281065,0.06709154589336844,0.32400818365361383
15,TMC8,1.9864508,3.4483726,0.06951848361149776,0.3263048542446842
16,STARD3,1.9722444,1.6499289,0.06791889460319421,0.3263048542446842
17,KXD1,1.9503603,2.967571,0.07323922082579475,0.3263048542446842
18,CSAD,1.9036895,2.1283345,0.07898709695481287,0.3263048542446842
19,ADCY7,1.8973666,27.370031,0.08209743306494276,0.3263048542446842
20,MAGEH1,1.8973666,27.370031,0.08209743306494276,0.3263048542446842
21,LYZ,1.8962147,1.03845,0.07605250148535116,0.3263048542446842
22,XAF1,1.8780303,1.5109413,0.08221074148633044,0.3263048542446842
23,IGKC,1.8691828,0.9771566,0.08070947886055267,0.3263048542446842
24,MICAL1,1.8563038,1.1963363,0.08377331417623095,0.328094473495264
25,TPD52L2,1.8099238,1.9081013,0.0927983628883001,0.35286948149496167
26,BX664727.3,1.8091319,2.0885432,0.09332948257878115,0.3547437581065711
27,BZW1,1.8026236,2.6500456,0.09473481066288397,0.35949653007885896
28,SAMD1,1.7744287,2.5361223,0.09961665614029655,0.3769432540946729
29,PLEC,1.7685254,0.9295719,0.09521186104443398,0.36101163979347883
30,ABCA7,1.7602148,2.3158565,0.1014307115880472,0.383494853344299
31,MIF,1.7496786,1.2382755,0.10048949701912956,0.38009108041220885
32,CD37,1.7274847,2.2099211,0.10751814314115697,0.40420551018072864
33,MFSD14B,1.7274847,2.2099211,0.10751814314115697,0.40420551018072864
34,SMIM5,1.714006,1.3366154,0.10884644670483541,0.4087025559523796
35,TMEM54,1.7115401,1.4192643,0.10877813968322078,0.4086113688950446
36,RANBP3,1.6954175,2.2924197,0.1137910145823302,0.42554721891748143
37,HPS5,1.6954175,2.2924197,0.1137910145823302,0.42554721891748143
38,NR3C2,1.6954175,2.2924197,0.1137910145823302,0.42554721891748143
39,GPR35,1.6839215,1.227289,0.11324940030367313,0.4240342612419096
40,ABCC5,1.6830127,3.3644195,0.11722481992684466,0.4371557969308848
41,PRKCQ-AS1,1.6830127,3.3644195,0.11722481992684466,0.4371557969308848
42,NLK,1.6830127,3.3644195,0.11722481992684466,0.4371557969308848
43,NEK9,1.6830127,3.3644195,0.11722481992684466,0.4371557969308848
44,ANKS1A,1.6830127,3.3644195,0.11722481992684466,0.4371557969308848
45,ZBTB17,1.6640531,3.6445715,0.12133892284489935,0.4510484108315402
46,ATP6V0C,1.6382627,0.6771751,0.11738437374401285,0.4375750028481636
47,MYH14,1.6349937,0.8500985,0.12067574689419876,0.44876293376280163
48,TBC1D13,1.6336284,1.9814501,0.12577216796908722,0.4652918545592139
49,SLC35D2,1.6321436,1.5968187,0.12573982834769146,0.4652918545592139
