,names,scores,logfoldchanges,pvals,pvals_adj
0,IGKC,6.607424,1.6924348,1.985340894585188e-09,1.8427934183539717e-05
1,AL627171.2,6.2846217,1.4723924,7.504874828412757e-09,3.483012407866361e-05
2,IGHG4,5.7446523,1.6540029,1.2952649114034928e-07,0.00024045297815294438
3,IGHA1,5.4656577,1.6096653,3.1848981144679627e-07,0.0004223174899784518
4,REG1A,5.451589,1.8250643,4.208410051973492e-07,0.0004882807762802244
5,LCN2,4.973062,2.7060182,5.0406900800039526e-06,0.0023393842661298342
6,IGHM,4.915024,1.9064474,4.987816636895495e-06,0.0023393842661298342
7,LINC02739,4.799581,1.374338,6.612530752951791e-06,0.002789886838586297
8,IGHG3,4.5707154,1.627958,1.588190621164155e-05,0.005083305291601961
9,MUC1,4.496671,2.2025218,2.881064783560767e-05,0.007428345366947511
10,CD55,4.07338,2.6662638,0.00013427163090540763,0.016515274762950283
11,DMBT1,3.9741218,1.3450034,0.00014234093570533336,0.016515274762950283
12,S100A6,3.8001933,1.2534518,0.0002779133507178204,0.023885108531137123
13,IGLC2,3.7934825,1.443531,0.00027523149402991335,0.023875689042856595
14,ISG20,3.6033318,2.270263,0.0006004228296243942,0.03740352150720556
15,TNFRSF6B,3.514892,2.444405,0.000817582672468559,0.04263372115647845
16,TMEM54,3.4811049,1.3136439,0.0008062191910791014,0.04263372115647845
17,SLC40A1,3.4594707,1.8634698,0.0009288925901398862,0.04398969909019604
18,CD24,3.4323616,1.6718471,0.0010121528598058395,0.046590954736515144
19,IGLC1,3.431374,1.2702588,0.0009156093638171369,0.04398969909019604
