,names,scores,logfoldchanges,pvals,pvals_adj
0,JPX,-3.3251224,-25.585287,0.0010721453823820907,0.04854465092327105
1,PSMA2,-3.338253,-2.3183904,0.0009976018645754276,0.0462987025349456
2,IFNLR1,-3.3401675,-25.515919,0.0010189575319449013,0.046590954736515144
3,JAG2,-3.3401675,-25.515919,0.0010189575319449013,0.046590954736515144
4,CES2,-3.3538291,-1.0804951,0.0010387939546625945,0.047265124937148045
5,MCM7,-3.3611012,-2.3106503,0.0009249280537895075,0.04398969909019604
6,PDCD4,-3.3616977,-1.6112345,0.0009958000651467023,0.0462987025349456
7,INTS10,-3.3679178,-25.443214,0.0009272587784373177,0.04398969909019604
8,RECQL5,-3.3679178,-25.443214,0.0009272587784373177,0.04398969909019604
9,GOT2,-3.3679178,-25.443214,0.0009272587784373177,0.04398969909019604
10,MCMBP,-3.3679178,-25.443214,0.0009272587784373177,0.04398969909019604
11,PTPN9,-3.3679178,-25.443214,0.0009272587784373177,0.04398969909019604
12,ERAL1,-3.3679178,-25.443214,0.0009272587784373177,0.04398969909019604
13,ATOH1,-3.3679178,-25.443214,0.0009272587784373177,0.04398969909019604
14,ABHD18,-3.3679178,-25.443214,0.0009272587784373177,0.04398969909019604
15,C8orf33,-3.3679178,-25.443214,0.0009272587784373177,0.04398969909019604
16,ZXDC,-3.3679178,-25.443214,0.0009272587784373177,0.04398969909019604
17,MTO1,-3.3679178,-25.443214,0.0009272587784373177,0.04398969909019604
18,RNF6,-3.3679178,-25.443214,0.0009272587784373177,0.04398969909019604
19,KIF12,-3.371982,-2.6832051,0.0009010843118568156,0.04398969909019604
20,COL6A3,-3.3731563,-1.2549858,0.0009762993315525834,0.04600005276888872
21,TMPO,-3.3810587,-2.3097353,0.0008648251902518137,0.04398969909019604
22,SUCLG1,-3.3863995,-1.7037972,0.0009027319050843252,0.04398969909019604
23,SLC30A1,-3.3932867,-2.8927374,0.0008133540558770098,0.04263372115647845
24,DGKD,-3.4086506,-2.3634994,0.0007804737789655347,0.0423356978455206
25,ANP32E,-3.4133396,-25.366829,0.0007936232951002569,0.0423356978455206
26,ADA,-3.4133396,-25.366829,0.0007936232951002569,0.0423356978455206
27,CDC26,-3.4133396,-25.366829,0.0007936232951002569,0.0423356978455206
28,RGS3,-3.4133396,-25.366829,0.0007936232951002569,0.0423356978455206
29,LINC01106,-3.4133396,-25.366829,0.0007936232951002569,0.0423356978455206
30,RUFY2,-3.4133396,-25.366829,0.0007936232951002569,0.0423356978455206
31,ENDOG,-3.4133396,-25.366829,0.0007936232951002569,0.0423356978455206
32,UFL1,-3.4133396,-25.366829,0.0007936232951002569,0.0423356978455206
33,KRIT1,-3.4133396,-25.366829,0.0007936232951002569,0.0423356978455206
34,ARIH1,-3.4133396,-25.366829,0.0007936232951002569,0.0423356978455206
35,PKP2,-3.4133396,-25.366829,0.0007936232951002569,0.0423356978455206
36,OSBPL8,-3.4133396,-25.366829,0.0007936232951002569,0.0423356978455206
37,NHLRC3,-3.4133396,-25.366829,0.0007936232951002569,0.0423356978455206
38,TRIM13,-3.4133396,-25.366829,0.0007936232951002569,0.0423356978455206
39,CLN5,-3.4133396,-25.366829,0.0007936232951002569,0.0423356978455206
40,AQR,-3.4133396,-25.366829,0.0007936232951002569,0.0423356978455206
41,ZNF280D,-3.4133396,-25.366829,0.0007936232951002569,0.0423356978455206
42,B4GALT2,-3.4133396,-25.366829,0.0007936232951002569,0.0423356978455206
43,ACVR1B,-3.4248343,-3.0161595,0.0007260383589990986,0.0423356978455206
44,DDT,-3.4248457,-2.0455282,0.0007645861004044571,0.0423356978455206
45,AMN,-3.4349687,-1.3035811,0.0008107863284593919,0.04263372115647845
46,DLD,-3.4561653,-2.9688973,0.0006511741264598615,0.039504563671898266
47,KIFC3,-3.4662383,-2.42504,0.0006346187731732374,0.03875349639864467
48,CCDC14,-3.4800696,-2.360905,0.0006106182583835882,0.03778505782877643
49,CFAP298,-3.4856884,-25.696983,0.0006173845531162979,0.03795075113924157
50,FCSK,-3.4857051,-2.9796598,0.0005865428039756698,0.03711421025178688
51,MXD4,-3.4915106,-3.0312073,0.0005738506110637725,0.03711421025178688
52,PIDD1,-3.5024452,-25.632647,0.00058217155949256,0.03711421025178688
53,THADA,-3.5024452,-25.632647,0.00058217155949256,0.03711421025178688
54,LIMD1,-3.5024452,-25.632647,0.00058217155949256,0.03711421025178688
55,ATF7IP,-3.5024452,-25.632647,0.00058217155949256,0.03711421025178688
56,CCL21,-3.5038154,-2.9865606,0.000550723114101334,0.036775625504234404
57,NPDC1,-3.515363,-1.8453304,0.000543593734275593,0.036562587257580104
58,STRADB,-3.5170348,-3.0161595,0.0005241899298409143,0.03566470609304124
59,PRRG3,-3.5206244,-1.1210588,0.0005877816103224166,0.03711421025178688
60,TIMM44,-3.531039,-25.565462,0.0005264021476779411,0.03566470609304124
61,MME,-3.5454412,-1.9012234,0.0005176861552680913,0.03559379920887721
62,AP1G2,-3.5568593,-2.1926448,0.0004622646573732539,0.03202045186372047
63,SNRPA,-3.557303,-2.9950564,0.00045414809543148154,0.03169475655484971
64,ICE2,-3.5757117,-25.495157,0.00044921857386690894,0.031588233353277644
65,NTPCR,-3.5757117,-25.495157,0.00044921857386690894,0.031588233353277644
66,PCID2,-3.5757117,-25.495157,0.00044921857386690894,0.031588233353277644
67,NAA16,-3.5757117,-25.495157,0.00044921857386690894,0.031588233353277644
68,CCDC18-AS1,-3.5757117,-25.495157,0.00044921857386690894,0.031588233353277644
69,MFSD14A,-3.5757117,-25.495157,0.00044921857386690894,0.031588233353277644
70,ZBED1,-3.5757117,-25.495157,0.00044921857386690894,0.031588233353277644
71,IGHMBP2,-3.5757117,-25.495157,0.00044921857386690894,0.031588233353277644
72,GRB7,-3.5757117,-25.495157,0.00044921857386690894,0.031588233353277644
73,FAM160B1,-3.5757117,-25.495157,0.00044921857386690894,0.031588233353277644
74,ZFP91,-3.5871868,-3.0056431,0.00040760209501410045,0.031011169228859676
75,SFRP5,-3.6154578,-25.723152,0.00038962421810025117,0.029888363573607697
