,names,scores,logfoldchanges,pvals,pvals_adj
0,IGKC,6.607424,1.6924348,1.985340894585188e-09,1.8427934183539717e-05
1,AL627171.2,6.2846217,1.4723924,7.504874828412757e-09,3.483012407866361e-05
2,IGHG4,5.7446523,1.6540029,1.2952649114034928e-07,0.00024045297815294438
3,IGHA1,5.4656577,1.6096653,3.1848981144679627e-07,0.0004223174899784518
4,REG1A,5.451589,1.8250643,4.208410051973492e-07,0.0004882807762802244
5,LCN2,4.973062,2.7060182,5.0406900800039526e-06,0.0023393842661298342
6,IGHM,4.915024,1.9064474,4.987816636895495e-06,0.0023393842661298342
7,LINC02739,4.799581,1.374338,6.612530752951791e-06,0.002789886838586297
8,IGHG3,4.5707154,1.627958,1.588190621164155e-05,0.005083305291601961
9,MUC1,4.496671,2.2025218,2.881064783560767e-05,0.007428345366947511
10,CD55,4.07338,2.6662638,0.00013427163090540763,0.016515274762950283
11,DMBT1,3.9741218,1.3450034,0.00014234093570533336,0.016515274762950283
12,S100A6,3.8001933,1.2534518,0.0002779133507178204,0.023885108531137123
13,IGLC2,3.7934825,1.443531,0.00027523149402991335,0.023875689042856595
14,SNHG1,3.7493904,0.9572337,0.00032500831083846657,0.026935063760737916
15,ISG20,3.6033318,2.270263,0.0006004228296243942,0.03740352150720556
16,ACTB,3.5534494,0.91562694,0.0005931993564172433,0.03720321909638414
17,TNFRSF6B,3.514892,2.444405,0.000817582672468559,0.04263372115647845
18,TMEM54,3.4811049,1.3136439,0.0008062191910791014,0.04263372115647845
19,SLC40A1,3.4594707,1.8634698,0.0009288925901398862,0.04398969909019604
20,CD24,3.4323616,1.6718471,0.0010121528598058395,0.046590954736515144
21,IGLC1,3.431374,1.2702588,0.0009156093638171369,0.04398969909019604
22,PLA2G2A,3.1967514,1.1062003,0.0019504723010969494,0.07044468443105792
23,ICAM1,3.182498,2.9981163,0.0022832982051866663,0.07747627826513896
24,APOL1,3.0921094,1.6353853,0.002832495813906666,0.08239858054901851
25,TMSB10,3.0503967,0.8534619,0.0029464964642816143,0.08318386385617048
26,FCER1G,3.0302682,2.158673,0.003505074545784483,0.09625473944962003
27,C1QA,3.0280159,0.9232675,0.0031724950942912363,0.08896404672269262
28,ABCA7,2.9985046,1.954069,0.0037749033596673302,0.1003972864883443
29,ABCC5,2.9857948,2.2562287,0.003963006355108906,0.10085398163010967
30,PDZK1IP1,2.9716024,1.5342174,0.004082292852083554,0.10085398163010967
31,PSAP,2.9377077,1.0103076,0.004297356957387692,0.10085398163010967
32,SMIM5,2.9306479,1.3666481,0.004520751424142913,0.10284709489925126
33,JCHAIN,2.898557,0.927908,0.004698850548880641,0.10509573685472315
34,LYZ,2.856427,0.91893965,0.005355479102043393,0.11323361509149607
35,ACP5,2.850033,1.9322573,0.005832251317754839,0.11918057575877371
36,CTSB,2.7829587,0.9234618,0.006732930093280865,0.13268589623319105
37,IFI30,2.7747984,1.3110287,0.006977812813202586,0.13512520327237687
38,MXRA5,2.7716362,2.456695,0.007330045314941924,0.13512520327237687
39,IDO1,2.7663379,2.1072555,0.00738382647155834,0.13512520327237687
40,C1QB,2.7167034,1.3430625,0.00829863395828779,0.14159544191328544
41,S100A11,2.6921365,1.4299711,0.00876750716241018,0.14634958311453333
42,GM2A,2.649231,2.0101125,0.010123377695139917,0.15926303689201476
