Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2021	mitochondrial translation (GO:0032543)	41/105	2.980459e-13	1.018519e-09	0	0	5.013871e+00	1.446077e+02	MRPS15;MRPS35;MRPS36;MRPS33;MRPL16;MRPS31;MRPL14;MTIF2;MRPL15;MRPL37;MRPS30;MRPL12;MRPL34;MRPL13;MRPL35;MRPL54;MRPL55;MRPL4;MRPL2;MRPL1;IARS2;RARS2;GADD45GIP1;TSFM;MRPS26;NDUFA7;MRPS27;MRPS24;MRPS25;MRPS18B;GATC;MRPS2;ERAL1;MRPS7;MRPS6;MRPS5;MRPS18C;MRPL44;MRPS9;MTRF1L;DAP3
GO_Biological_Process_2021	transcription by RNA polymerase II (GO:0006366)	83/320	4.289405e-13	1.018519e-09	0	0	2.765590e+00	7.875698e+01	HDAC10;ELL;CCNT1;THRA;MAML1;ICE2;INTS10;YBX2;ARRB2;RBPJ;NR3C1;AFF4;CDC73;SNAPC3;TRIM24;ELOA;NELFCD;TEAD1;ABT1;PCID2;TBP;MED4;GTF2F1;ETV7;NR5A2;TFDP1;MED20;RARA;SNRPG;SNRPF;YAP1;NOTCH2;SLBP;HDAC5;ELOF1;NFIX;NOTCH1;CSTF3;CTR9;TAF9;ZBTB1;CSTF2T;WDR61;RTF1;MLLT3;RPAP2;NR2C1;GTF2E2;IWS1;HDAC7;SCAF8;POLR2B;POLR2C;CSTF1;RPRD1A;ATOH1;POLR2K;CPSF4;CREBBP;ZNF141;TAF12;TAF13;INTS3;NR1H2;CPSF3;EAF1;ADRM1;ELP2;GTF2H1;DEK;POU2F2;NFKB1;CDK9;NR6A1;TFCP2;NFIC;COPS2;PAF1;TCEA1;INTS6;ERCC6;INTS8;RBMX
GO_Biological_Process_2021	mitochondrial translational elongation (GO:0070125)	35/89	1.262726e-11	1.499171e-08	0	0	5.062152e+00	1.270355e+02	MRPS15;MRPS35;MRPS36;MRPS33;MRPL16;MRPS31;MRPL14;MRPL37;MRPL15;MRPS30;MRPL34;MRPL12;MRPL35;MRPL13;MRPL54;MRPL55;MRPL4;MRPL2;MRPL1;GADD45GIP1;TSFM;MRPS26;MRPS27;MRPS24;MRPS25;MRPS18B;MRPS2;ERAL1;MRPS7;MRPS6;MRPS5;MRPL44;MRPS18C;MRPS9;DAP3
GO_Biological_Process_2021	mitochondrial translational termination (GO:0070126)	35/89	1.262726e-11	1.499171e-08	0	0	5.062152e+00	1.270355e+02	MRPS15;MRPS35;MRPS36;MRPS33;MRPL16;MRPS31;MRPL14;MRPL37;MRPL15;MRPS30;MRPL34;MRPL12;MRPL35;MRPL13;MRPL54;MRPL55;MRPL4;MRPL2;MRPL1;GADD45GIP1;MRPS26;MRPS27;MRPS24;MRPS25;MRPS18B;MRPS2;ERAL1;MRPS7;MRPS6;MRPS5;MRPL44;MRPS18C;MRPS9;MTRF1L;DAP3
GO_Biological_Process_2021	translational elongation (GO:0006414)	38/104	2.344121e-11	2.226446e-08	0	0	4.499684e+00	1.101366e+02	MRPS15;MRPS35;MRPS36;MRPS33;MRPL16;MRPS31;MRPL14;MRPL15;MRPL37;MRPS30;MRPL12;MRPL34;MRPL13;MRPL35;MRPL54;MRPL55;MRPL4;MRPL2;EEF2K;MRPL1;GADD45GIP1;TSFM;MRPS26;MRPS27;MRPS24;MRPS25;MRPS18B;MRPS2;ERAL1;MRPS7;MRPS6;MRPS5;MRPS18C;MRPL44;EEF1G;MRPS9;MTRES1;DAP3
GO_Biological_Process_2021	translational termination (GO:0006415)	36/96	3.283087e-11	2.598563e-08	0	0	4.686587e+00	1.131326e+02	MRPS15;MRPS35;MRPS36;MRPS33;MRPL16;MRPS31;MRPL14;MRPL37;MRPL15;MRPS30;MRPL34;MRPL12;MRPL35;MRPL13;GSPT1;MRPL54;MRPL55;MRPL4;MRPL2;MRPL1;GADD45GIP1;MRPS26;MRPS27;MRPS24;MRPS25;MRPS18B;MRPS2;ERAL1;MRPS7;MRPS6;MRPS5;MRPL44;MRPS18C;MRPS9;MTRF1L;DAP3
GO_Biological_Process_2021	mRNA processing (GO:0006397)	73/300	2.672128e-10	1.812848e-07	0	0	2.529558e+00	5.575899e+01	TCERG1;CELF1;EIF4A3;PPWD1;HNRNPR;WDR83;USP39;EFTUD2;ALKBH5;METTL14;SART3;RAVER1;CWC22;SNIP1;CMTR1;CTNNBL1;AQR;IK;THOC3;ZCRB1;PLRG1;GTF2F1;THOC5;SYF2;FRG1;SNRPG;CD2BP2;HNRNPH2;GEMIN6;SNRPA1;SNRPF;SLU7;SNRPA;SRSF8;SRSF9;SF3B4;SF3B3;DHX8;RBM8A;DHX9;POLDIP3;CSTF3;PRCC;CSTF2T;SNU13;PRPF8;RNF113A;ZMAT2;POLR2B;POLR2C;TRA2A;CSTF1;RPRD1A;SMNDC1;POLR2K;SF3A3;ZRSR2;CPSF4;SF3A1;ALYREF;CPSF3;NONO;GTF2H1;CWC15;LSM4;LSM3;U2SURP;CHERP;SNRNP40;MFAP1;CWF19L1;PPIL3;RBMX
GO_Biological_Process_2021	RNA splicing, via transesterification reactions with bulged adenosine as nucleophile (GO:0000377)	64/251	4.375320e-10	2.597299e-07	0	0	2.687344e+00	5.791192e+01	EIF4A3;PPWD1;HNRNPR;WDR83;USP39;EFTUD2;METTL14;SART3;RAVER1;CWC22;SNIP1;CTNNBL1;AQR;IK;ZCRB1;PLRG1;GTF2F1;SYF2;FRG1;SNRPG;CD2BP2;HNRNPH2;GEMIN6;SNRPA1;SNRPF;SLU7;SNRPA;SRSF8;SRSF9;SF3B4;SF3B3;DHX8;RBM8A;DHX9;CSTF3;PRCC;CSTF2T;SNU13;PRPF8;RNF113A;ZMAT2;POLR2B;POLR2C;TRA2A;CSTF1;SMNDC1;POLR2K;SF3A3;ZRSR2;CPSF4;SF3A1;ALYREF;CPSF3;NONO;CWC15;LSM4;LSM3;U2SURP;CHERP;SNRNP40;MFAP1;CWF19L1;PPIL3;RBMX
GO_Biological_Process_2021	positive regulation of transcription, DNA-templated (GO:0045893)	204/1183	8.478461e-10	4.160436e-07	0	0	1.666808e+00	3.481682e+01	ATF2;TCERG1;GABPB2;MAML1;SCX;CCNC;GPATCH3;RBPJ;DCAF6;PSMD9;ZNF609;TRIM28;KAT5;ZMIZ1;CHEK2;ZC3H12A;ZXDC;KAT8;KAT7;SOX9;IER5;SMARCC1;MEF2B;SMARCC2;ZNF281;MED4;HCFC1;JMJD6;RFX5;TFAM;ATF5;DHX9;PIK3R2;XPC;MRPL12;ZNF24;SEC14L2;PLAC8;DHX36;HIVEP1;ZBED1;INPP5K;FADD;ZBED4;CREBBP;ZNF263;FZD5;BCL11B;FZD7;SS18L1;SMARCA5;NFATC2;SMARCA2;COL1A1;AGO2;CREBRF;MMS19;ACVRL1;CD40;CSRNP2;ELL;CITED2;AATF;WDR43;PHF8;RPTOR;PPP3CA;ING5;MED10;TEAD1;SREBF1;PPRC1;MED25;KAT2A;NR5A2;MTF2;TFEC;RARA;WAC;NCOA7;MPND;RHOQ;YAP1;ELOF1;NFIX;GPS2;EGFR;BCLAF1;SCAF8;SERTAD1;SERTAD2;BRD7;NR1H2;STAT3;DAB2IP;ZNF76;GTF2H1;PSMC3;NFIA;NFIB;APEX1;NFIC;TCEA1;CRTC2;CCNT1;NCF1;KDM1A;CRTC1;ICE2;FHOD1;AHR;NR3C1;HOXA10;POGZ;PITX2;PCID2;MAP2K1;FBXW11;DYRK1A;GTF2F1;THOC5;ILF2;KAT6B;KAT6A;ZNF318;KMT2D;ENY2;NOTCH1;AKNA;RAI1;RIPK1;MAP2K5;ZBTB18;SMAD2;AKIRIN1;BICRAL;ALYREF;POU2F2;NFKB1;CDK9;BMP2;TFCP2;SP3;PIN1;TCF4;TCF3;BMPR2;THRA;HMGB2;ILK;ARRB1;PKD2;MYSM1;LBH;YAF2;EIF5A;KDM6B;KLF10;BCAS3;PPP1R12A;ABHD14B;TGFBR1;GREM1;METTL23;PPM1A;ELF1;TFDP1;TFDP2;ELF4;THRAP3;IRF2;ITGB1BP1;IRF6;RBM23;MET;TRIM56;HDAC5;USP16;ATF6B;SRF;TAF9;FOXK1;RNF6;MLLT3;RNF4;DLL1;TP53INP2;ZNF746;HES1;E2F4;ATF7IP;MLXIP;MACC1;KLF4;PML;KLF7;TNIP2;KANSL3;ASXL2;NAA16;QRICH1;ERCC6;RBMX;ZPR1
GO_Biological_Process_2021	transcription, DNA-templated (GO:0006351)	58/221	8.760656e-10	4.160436e-07	0	0	2.790317e+00	5.819368e+01	CRCP;ELL;CCNT1;THRA;SCX;YBX2;ARRB2;PWP1;AFF4;CDC73;RO60;SNAPC3;TRIM24;ELOA;NELFCD;ABT1;TBP;GTF3A;MED4;GTF2F1;THAP1;ETV7;TFDP1;MED20;TFAM;GTF3C3;NFIX;CTR9;TAF9;WDR61;RTF1;MRPL12;MLLT3;GTF2E2;IWS1;POLR2B;POLR2C;ATOH1;POLR2K;ZNF141;TAF12;TAF13;EAF1;SMARCA5;GTF2H1;DEK;HIPK3;NFKB1;CDK9;NFIC;COPS2;DRG1;PAF1;TCEA1;MMS19;ERCC6;RBMX;NFKBIB
