,names,scores,logfoldchanges,pvals,pvals_adj
0,REG1A,6.014799,3.952224,5.59507279294114e-05,0.0006059914313194826
1,AL627171.2,4.7912116,2.0792167,0.00040259213115963915,0.0030369064873036426
2,IGHA1,3.8823442,3.1150706,0.0021163464568516054,0.01165120273576311
3,IGKC,3.679002,1.9786617,0.0030145234975981127,0.014995073475190612
4,EEF1D,3.5764177,1.7293802,0.003466037274345712,0.017076304660550372
5,LYZ,3.5228798,2.2299345,0.0040117995154801255,0.01971282324123162
6,INF2,3.259745,1.9012883,0.006364034563205316,0.028317818224195466
7,ASS1,3.218414,2.0594304,0.006878535877764311,0.030519392933751593
8,CLDN7,3.1708126,2.1374276,0.0076791235326669665,0.032856047017961056
9,RBM3,3.1402698,2.281451,0.008173578851156904,0.03367383883552525
10,PSME1,3.1138465,2.6539934,0.00871454672405466,0.0358866116648959
11,GSKIP,3.0672367,2.2805295,0.009378882413851606,0.03788284880999591
12,ACTB,3.0497038,1.6480445,0.009546988334307335,0.03854508295739047
13,SNHG1,3.0355413,1.5992955,0.009884905344532284,0.03984007442811492
14,IGHG4,2.9388907,1.5734079,0.011945546130757516,0.04799937627086202
15,ATP6V0C,2.8244724,1.1490806,0.013985604245647223,0.05270871487276887
16,TXNIP,2.8052213,2.0952525,0.015476394315182508,0.05783087440963126
17,ANKRD9,2.7595212,2.0244544,0.016788902950217354,0.06191283161856078
18,MICAL1,2.7532067,2.0119681,0.017060333843920913,0.0628888080775512
19,PLEC,2.6806443,1.4705358,0.019109734112885513,0.07038752064912832
20,TSPAN8,2.6278977,1.7161075,0.021249272804820134,0.07817508924864863
21,SPTAN1,2.5773907,2.1368124,0.0237473786084149,0.08473189420638891
22,MYH14,2.5439436,1.351656,0.02456878442037788,0.08473189420638891
23,HLA-DRA,2.5345867,1.509572,0.025425459306259196,0.08566211008373788
24,TMSB10,2.5311267,1.4836382,0.025487525230404522,0.08584006138919259
25,SPINK4,2.5163522,2.376834,0.026774322898651063,0.09010850802947033
26,B2M,2.5061316,1.2587137,0.02650504660584264,0.08923461827908284
27,C1QA,2.4971128,1.9458653,0.027430944725382243,0.09228489631786806
28,HLA-E,2.4907079,1.5140011,0.027645560433228116,0.09297322171783455
29,MIF,2.4865496,2.0035613,0.027978226601806357,0.09405791355232401
30,APOL2,2.4813535,1.9252604,0.028212598025051477,0.09420138021303788
31,PTTG1IP,2.455295,1.8932254,0.029524356067496246,0.09769877825971486
32,STARD3,2.4510753,2.3027072,0.03001761726678656,0.09929562490032533
33,ACTN4,2.4403832,1.7585673,0.030470453627764953,0.10075765962697339
34,CD74,2.4359047,1.3763607,0.03050247353219801,0.10082762084254343
35,TMEM54,2.4252243,2.3572237,0.0316459824587364,0.1044959121956568
36,PSMB9,2.4238148,2.3354902,0.0317208215831631,0.10470578447187763
37,ITGB1,2.4236493,2.2478511,0.03157406702378869,0.10429554808356109
38,HLA-DRB5,2.4087884,3.584113,0.0327884025017258,0.10815279034151347
39,SMIM5,2.3726194,2.1241536,0.034822759551695955,0.11465940197191979
40,CTSB,2.3473125,2.0989912,0.036482588005135944,0.12003948311367311
41,APLP2,2.32598,1.9077952,0.037630361225477894,0.12368449465116355
42,APOL1,2.3188741,3.2388494,0.038628834011121264,0.1269213583331779
43,EVL,2.3019414,2.2554967,0.039616491319535097,0.13007438005940036
44,ALPI,2.2955918,1.7510865,0.03979155483301557,0.1305568087522271
45,HLA-C,2.2883117,1.3015778,0.04001631975843556,0.13124787279074163
46,CTSS,2.2768621,1.6669044,0.04093306225364576,0.1342072355486895
47,IL32,2.2721093,1.8367478,0.041744179293297476,0.13670391885439503
48,PHGR1,2.2684214,1.2314557,0.04107611193322019,0.13462869737434666
49,PTPRA,2.2578948,2.7048926,0.04300286837675291,0.13670391885439503
50,CERS2,2.2542107,3.0554445,0.0434377558824582,0.13670391885439503
51,EPB41L3,2.2349377,2.0677073,0.04455753088973356,0.13670391885439503
52,SLC40A1,2.233876,3.131636,0.04506698995344507,0.13670391885439503
53,YWHAZ,2.2240217,1.5544946,0.045164669784977476,0.13670391885439503
54,RBP2,2.2227566,1.5836636,0.04529762054099442,0.13670391885439503
55,CSAD,2.2210298,2.8954082,0.046091730366857535,0.13885863072546953
56,ATP6V0B,2.2200863,2.0418696,0.04575917185387991,0.1379015042687381
57,CXCL14,2.1910267,2.203399,0.048443463405560765,0.14589624507800616
58,MUC13,2.1696854,1.4148269,0.04997567467265157,0.1504619566368965
59,IGHM,2.165142,2.3746724,0.050994981819147675,0.1522958240815086
60,GPR35,2.1586914,1.6599202,0.051083942286332715,0.15251243239039572
61,WASF2,2.1510212,2.6253037,0.0521875160446643,0.15575708164841612
62,GBP1,2.1405218,2.5948253,0.053161068873387195,0.15850981088428526
63,FCGBP,2.134673,1.269068,0.052967186792608464,0.15798246394890483
64,CDHR2,2.0954785,1.4805723,0.05724501835358947,0.17057729064462843
65,S100A11,2.094654,3.5999637,0.057900003910391656,0.1724182984588564
66,RCE1,2.094654,3.5999637,0.057900003910391656,0.1724182984588564
67,CST3,2.0838163,1.552862,0.058272889268196716,0.1734730462435542
68,CDX2,2.0769513,1.5876614,0.058939134866206715,0.17528774425765162
69,BX664727.3,2.0766523,2.7277205,0.05964088022523512,0.17726117523235105
70,PSME2,2.0755887,1.5041403,0.05922153492409513,0.1760712002451797
71,SH3BGRL3,2.065415,1.8498158,0.06054032687217372,0.17985546270004465
72,S100A6,2.062064,1.484747,0.060552501717048006,0.17985546270004465
73,DMBT1,2.061949,2.090485,0.061021044311230586,0.18113122267247914
74,EEF2,2.053552,1.0872092,0.060592910288696865,0.17991791212401928
75,COL1A2,2.053385,2.3564625,0.06204481398854747,0.18411124150949412
76,PLPP2,2.051098,2.4113023,0.062272531068048594,0.1847279109535401
77,MDK,2.0438666,1.6567832,0.06277707492300189,0.18610565615947092
78,TPD52L2,2.0394046,2.323485,0.06355741504084693,0.18829873169777886
79,SLC52A1,2.0377164,2.5491047,0.06393056148046256,0.18934380078546695
80,MFSD14B,2.0304604,3.2172346,0.06481899577628616,0.19160825439346757
81,ATP6V1F,2.0304604,3.2172346,0.06481899577628616,0.19160825439346757
82,POLD4,2.0285416,1.5097806,0.06439898959440844,0.19057626706458586
83,CTNND1,2.027418,1.4557109,0.06430888845404506,0.19040354150891425
84,MEP1A,2.0242498,1.286024,0.06449391561232955,0.19076880966017937
85,CFL1,2.0206382,1.0566089,0.06440829021564382,0.19057626706458586
86,SLC35D2,2.014469,2.263505,0.06639660220853164,0.19602202980266878
87,DYNLL2,2.0119429,1.1332318,0.06556286548858604,0.19374546878862006
88,PLA2G2A,2.0086656,2.1548526,0.06725542145314896,0.19849437899145583
89,DDX39B,2.0066931,1.1684507,0.06635429532818186,0.1959594556907999
90,CD55,2.0046356,3.0912683,0.06777909900919389,0.19997634996927452
91,FGL2,2.0026581,2.879472,0.06812836804144724,0.2008791334690957
92,EPCAM,1.9940815,1.1875783,0.06790583957161792,0.20028662310256037
93,TM9SF2,1.9924165,1.7336024,0.06872493710645053,0.20250948134034089
94,GBF1,1.9898183,2.0461984,0.06915751585266858,0.20371947386368444
95,PPP6R3,1.9872406,2.039303,0.06950940852417745,0.20469109451821543
96,SEC61A1,1.9834943,1.958821,0.07007609607112437,0.20629442554144511
97,PDIA3,1.9777671,1.4802357,0.07019559813252081,0.2065807044597521
98,VMP1,1.972801,1.714811,0.07117943241958498,0.20934331169790485
99,SPINT1,1.9703746,1.2796469,0.07111833103045856,0.20922990447693068
100,SERINC2,1.9697596,1.8121623,0.07168996279524159,0.21077802808534446
101,CALR,1.9687186,1.8691144,0.07190631646586197,0.2113471910817387
102,LSR,1.9673841,2.2083564,0.0720858350496731,0.21180776224471848
103,TBC1D13,1.9619409,2.8979726,0.07302028533683028,0.21448553433432235
104,TMC8,1.9437151,3.133719,0.07552185720819986,0.22176332761990225
105,RAB5C,1.9382993,1.944478,0.07570383057038034,0.22222737360982614
106,BSG,1.9333956,2.0837145,0.07645333050180118,0.22435656456456482
107,CEACAM1,1.9304887,2.0774345,0.07684354306656666,0.2252879869690056
108,GANAB,1.9304132,2.0780957,0.07683504605244278,0.2252879869690056
109,ATP5F1B,1.9272609,1.2405443,0.07665650201871768,0.22488168512570716
110,SFT2D1,1.9236964,2.7407115,0.07807176638070254,0.2265757607391775
111,MAPK3,1.9182743,1.6330882,0.07810157795366816,0.2265757607391775
112,CD37,1.9108343,2.6937485,0.079809202434233,0.2265757607391775
113,FLVCR1,1.9047614,1.6105254,0.08010835327504737,0.2265757607391775
114,ILF3,1.9032916,2.017371,0.0806439726112563,0.2265757607391775
115,WSB1,1.9027828,1.466907,0.08020241632188982,0.2265757607391775
116,MAGEH1,1.8973666,27.370031,0.08209743306494276,0.2265757607391775
117,ST13,1.8928815,1.9967448,0.08209914080168257,0.2265757607391775
118,BAZ2A,1.8910897,1.5453694,0.08210111203447618,0.2265757607391775
119,C1QB,1.8898596,2.881566,0.08289366181012313,0.2265757607391775
120,COX6A1,1.8872175,1.7999595,0.08273884591649887,0.2265757607391775
121,TPD52,1.8824763,1.9763863,0.08357807260115505,0.22736567112658881
122,BTNL3,1.8797458,1.4022154,0.08363297268798832,0.2274483599443034
123,RANBP3,1.8785044,2.8369946,0.08448645986107776,0.22970220282089154
124,CHFR,1.8652514,2.7826648,0.0864320262578254,0.23471681326071833
125,SULT1A2,1.8647139,1.4178612,0.08595489526770692,0.2335577686987282
126,METTL7B,1.8641974,2.5379927,0.08636693206560973,0.23460868113344732
127,JCHAIN,1.8625064,1.7467469,0.08661321915196725,0.23514007024526468
128,CAB39,1.8611327,1.9364444,0.08666232734626488,0.2352045972011785
129,PFN1,1.8566859,0.8451053,0.08543579824314833,0.2322152501589759
130,ETFA,1.8523189,1.9174443,0.08804130612641088,0.23880754046328045
131,SLC39A5,1.8508781,1.3574363,0.08763605097617846,0.2377777916284386
132,PRR15L,1.8507122,1.5734574,0.08826737128724269,0.23935078594454764
133,SAMD1,1.850406,2.7224903,0.08868096564306652,0.24033188995589588
134,ZZEF1,1.8493427,1.5852299,0.08840903900060279,0.23966492406647052
135,UBQLN2,1.8425732,2.462076,0.08971871665952014,0.24286063809672379
136,NLRC5,1.8405386,1.8950206,0.08984255618345037,0.24312495816174529
137,SERPINB6,1.8362296,1.0610087,0.08938693632169449,0.24203312221060916
138,MXI1,1.8341186,2.4342263,0.0910466116482539,0.24596746055780236
139,NR3C2,1.8324875,2.6544921,0.09144354038732443,0.24596746055780236
140,EIF4A1,1.8319247,1.1021668,0.0905641086401607,0.24500613710229427
141,CASP1,1.8308351,2.0686946,0.09143106913078593,0.24596746055780236
142,PRKCQ-AS1,1.8268301,4.892059,0.09261010633949607,0.24880087034535528
143,ACAA2,1.8241942,2.0315926,0.0925915092520319,0.24880087034535528
144,ABHD3,1.8241348,2.6539204,0.09275988537947323,0.2491311504896616
145,SECTM1,1.820432,1.7132826,0.09308508257489605,0.24993223501885597
146,DMAC2,1.8181461,2.6002913,0.09373922579331957,0.2515430742450397
147,CCL25,1.8148909,2.9266589,0.09434804642750047,0.2528113645900864
148,BZW1,1.8145754,2.589432,0.0942834341178308,0.2527111855274922
149,ACTG1,1.8144382,1.1103402,0.09350772035192684,0.2509944072604352
150,SUMO2,1.8115759,1.7235837,0.09415593598713362,0.25244234483898736
151,DDX17,1.810756,1.0925046,0.09390280211903772,0.25190919343032026
152,IFNGR1,1.8078272,1.9974169,0.09523038413970798,0.2549548386457368
153,P4HB,1.8076577,1.0308053,0.09407383325287925,0.25229509397666144
154,MT-CO3,1.8049874,0.7978239,0.0948381084284539,0.25405117530531285
155,ADCY7,1.8033483,4.4756193,0.09637542092336111,0.25764880674269525
156,CHST12,1.8033483,4.4756193,0.09637542092336111,0.25764880674269525
157,PRAP1,1.8007749,1.190685,0.09558017496904629,0.2558175271230357
158,CANX,1.7989179,1.3567848,0.09631358196275924,0.25763189273150755
159,LGALS4,1.7989019,1.1258248,0.0957990612052831,0.2563294569349777
160,XDH,1.7901719,1.5905823,0.09792563181371364,0.26156711208486044
161,PLSCR1,1.7894998,2.5019119,0.09840821956348302,0.26278052186083123
162,ITM2B,1.7884926,0.9882607,0.09692487880670118,0.25904311116723305
163,MICALL2,1.7865944,1.1115161,0.09791289091250092,0.26156711208486044
164,CFB,1.7823219,1.5383542,0.09922479417872274,0.26488482587486467
165,ATP5PD,1.7805946,2.8858607,0.1000726765239479,0.26691798376301273
166,CYB5A,1.777341,1.600439,0.09989548507416891,0.2665219581656901
167,TMA7,1.7739242,1.4050101,0.10021468369739718,0.2672199638262685
168,ABCC3,1.768138,1.7637044,0.10166842268006013,0.271018466202274
169,NOXA1,1.7669433,2.43319,0.10215435458181032,0.27215749690825586
170,ABR,1.7651242,1.3915733,0.101865798325127,0.27146664945559257
171,ABCA7,1.7618936,2.2227142,0.10297268961756065,0.2740230805705843
172,MON1B,1.7618936,2.2227142,0.10297268961756065,0.2740230805705843
173,ARAF,1.7578927,1.6344727,0.10328716257200093,0.27478115305053386
174,PARP14,1.7549337,1.3007239,0.10336794659409265,0.2749172722883576
175,ACSL5,1.7545521,1.5818386,0.10415808752193217,0.276860071127885
176,CLUH,1.7542515,1.7388132,0.10411983853829318,0.27683768012387205
177,HEXD,1.7514162,1.7365294,0.10453777953118677,0.27778977085842416
178,MISP,1.7482463,1.1035657,0.10456879467840231,0.27779265947479403
179,AOC1,1.7428808,1.1917311,0.10536903766818556,0.27983845712048594
180,ZNF316,1.7422031,2.633395,0.10670427705366223,0.2832225048933637
181,MTRNR2L8,1.7411655,0.9684829,0.10562220838448105,0.28043058873705756
182,PKP3,1.737201,1.4801636,0.10700877266442721,0.2838683703547337
183,MALL,1.736388,1.3657383,0.10688300916473419,0.2836158064800065
184,MT-CO2,1.7331538,0.8838209,0.10724498704523108,0.28441370564395285
185,SMAD5,1.7329924,3.6640553,0.10850736534605757,0.28743303799717645
186,ADCY6,1.729226,2.3388498,0.10895745916280779,0.28853908470612166
187,IRAK1,1.7286505,2.3094378,0.1090803327121074,0.28853908470612166
188,MOGAT2,1.7283213,1.0987927,0.10798688757234126,0.2862176728859142
189,LYPLA2,1.7282035,2.3134232,0.10906012898098948,0.28853908470612166
190,FOXJ3,1.7278895,2.133761,0.1090320802990422,0.28853908470612166
191,UBE2G1,1.7278895,2.133761,0.1090320802990422,0.28853908470612166
192,SLC25A28,1.724035,2.3004687,0.10983942155981076,0.29029883568284837
193,EMC3,1.723584,2.124526,0.10978469697497761,0.29023684344111145
194,YKT6,1.7228303,2.124526,0.10988122406659322,0.29032665009567843
195,LCN2,1.7195673,3.991495,0.11106916848639292,0.2932415847666573
196,BRMS1,1.7194324,2.111303,0.11061321399259325,0.29217753337485786
197,PTCH1,1.7188672,3.547447,0.11107922991161032,0.2932415847666573
198,KXD1,1.7151301,2.1022031,0.11137532823614188,0.29393966354502954
199,HEXA,1.7143798,2.1022031,0.11147290457893816,0.29411355892601027
200,NLK,1.7095698,3.4700062,0.11284279653037269,0.2973897891524473
201,RARRES2,1.7095698,3.4700062,0.11284279653037269,0.2973897891524473
202,ID1,1.7089435,1.1477274,0.11154969277433496,0.294232522969985
203,PGAM1,1.7059275,2.0802026,0.11308507004740091,0.29794369008798616
204,C11orf86,1.7050015,1.70936,0.11321318829595706,0.2981965986841866
205,INPP5E,1.7024163,3.9442074,0.11429475123615897,0.30061883847379645
206,AMD1,1.7024163,3.9442074,0.11429475123615897,0.30061883847379645
207,SRSF6,1.699251,1.3153229,0.11388597460823713,0.29988357909607294
208,SERPINA1,1.6983145,1.1613059,0.11408397106257194,0.30031974458388905
209,CDC25B,1.6982168,2.0585153,0.11461823892335055,0.301384275831881
210,TSPAN1,1.6966946,1.1769676,0.11420807622655973,0.3005612031570534
211,BLMH,1.695459,3.367373,0.11550483102062936,0.303371771797816
212,ANKS1A,1.695459,3.367373,0.11550483102062936,0.303371771797816
213,PLSCR4,1.695459,3.367373,0.11550483102062936,0.303371771797816
214,CRACR2B,1.6926516,1.8790014,0.11575786584994907,0.30395035666739106
215,IGLC2,1.6901749,1.7669483,0.1161540134241114,0.30490428523829244
216,HPS5,1.6893704,2.1986856,0.1164712619085507,0.30565062285416106
217,SLC6A8,1.686236,1.6588945,0.11677665436414464,0.3063654340893133
218,NAA35,1.6861616,3.298677,0.11733040889096415,0.30755742878450415
219,PIGH,1.6861616,3.298677,0.11733040889096415,0.30755742878450415
220,KLHL9,1.6852697,3.298677,0.11745199406150875,0.30778921763944783
221,FAM13A,1.6847317,2.0284631,0.11716793320840867,0.30730510201764605
222,TNFRSF14,1.6817619,0.6731122,0.11525688009217418,0.30297772897636954
223,TMSB4X,1.6746899,1.3380718,0.11890201880480722,0.31150113986627737
224,TRIM14,1.67273,1.998991,0.1195606177704021,0.3131381642620972
225,IRAK4,1.6720653,3.2070074,0.12008490422914954,0.31424530055116046
226,TM6SF2,1.6704022,1.3241478,0.11967516788342634,0.3133497625652929
227,FBLIM1,1.6654111,1.3856487,0.12068206696980009,0.3157189812890881
228,BTN3A3,1.6638191,2.1305573,0.12151952113498189,0.3178202860453373
