,names,scores,logfoldchanges,pvals,pvals_adj
0,TSPAN13,-2.7293265,-3.052755,0.012521807423014675,0.049353467728417075
1,GSDMB,-2.7412877,-1.3976803,0.012051755437003134,0.04752098299331482
2,FCGBP,-2.7545607,-1.3287551,0.011682504060880533,0.04610416781168925
3,SNRPF,-2.759343,-3.2407358,0.011698427588504812,0.046147388387803516
4,PBLD,-2.7724473,-2.195416,0.011326979822225249,0.04472013045933423
5,OLFM4,-2.7804873,-1.9839906,0.011124362072625632,0.04393886330132388
6,DYRK2,-2.792475,-2.8475907,0.010859159347159954,0.04290962837817739
7,CYBRD1,-2.793881,-2.5912762,0.010816816034621611,0.04276051381318475
8,ZMIZ2,-2.8368306,-1.9032359,0.009758999207638074,0.03861169251717673
9,MT-CO2,-2.865496,-1.1478885,0.009065310698728426,0.0361133965260074
10,CPSF7,-2.8938894,-2.592408,0.008623408384878446,0.03436774436601191
11,AMN,-2.9133239,-1.9432342,0.008218420765013312,0.03276777557596802
12,ACE,-2.9160004,-2.1858714,0.00818802728716013,0.032660622810236496
13,CYP3A5,-2.975144,-1.9558187,0.007139359755500812,0.02892515811896924
14,APOA1,-2.9753225,-2.55853,0.007164929837523324,0.029016090205886337
15,MT-ATP8,-2.985396,-2.8039792,0.007011356875465322,0.028418958304833673
16,APOB,-2.9964342,-2.134542,0.006808383261187531,0.027608306435274208
17,PPP1R16A,-3.0370066,-1.6200953,0.006137059752819339,0.02490782187392615
18,DDX5,-3.0728297,-1.5043057,0.005665132392679736,0.023002519190224543
19,MT-ND4,-3.0742292,-1.3771755,0.005664432232752592,0.023002519190224543
20,CSNK1A1,-3.1014612,-2.2050323,0.0053458246446747475,0.021725019418507446
21,PIGR,-3.1274977,-1.3566175,0.004979808246593295,0.020317617646100645
22,PTMA,-3.2039244,-1.4742304,0.004176623015274715,0.01744708138063902
23,EPHX2,-3.284856,-2.2903183,0.0034794035189466585,0.014567353839811855
24,VIL1,-3.4166944,-2.0512838,0.0025460192155331582,0.01099169784119943
25,CCNL1,-3.4364707,-2.1283112,0.0024264294598444116,0.010480278383562507
26,HNRNPH1,-3.539751,-1.5465958,0.0018783410648485319,0.008128094062435465
27,MT-ATP6,-3.61693,-1.518365,0.0015755677508991423,0.006872377755566654
28,MT-ND2,-3.6272678,-1.5286227,0.0015321026329740944,0.0067074945369794406
29,ALDOB,-3.7186882,-1.936467,0.0012329215886797348,0.005536515813316545
30,MT-ND1,-3.8830862,-1.5744092,0.0008239278555450217,0.0038411342818527833
31,MT-CO3,-4.12398,-1.7425263,0.0004636718352868292,0.002258028318537434
32,CLCA1,-4.17338,-2.2221303,0.00041307255479032485,0.0020169066036632276
33,REG3A,-4.213247,-2.0849035,0.00036994117046623085,0.0018110727554153771
34,MT-CYB,-4.5678587,-1.6047124,0.00015594235507182714,0.0008376486920004048
35,MT-ND3,-4.6417646,-1.7011458,0.00013078132022932047,0.0007053528264779503
36,NEAT1,-4.750784,-2.3526063,0.00010302818230496456,0.0005651936100204971
37,DEFA5,-5.3021317,-2.7271276,2.7140723625546146e-05,0.0001721942561123167
38,MALAT1,-5.455775,-2.4826114,1.8782570097678013e-05,0.00012551462609549844
39,DEFA6,-5.518636,-2.9888227,1.6625442685796153e-05,0.00011125981183097326
