Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2021	antimicrobial humoral immune response mediated by antimicrobial peptide (GO:0061844)	3/64	5.287036e-05	8.036294e-03	0	0	4.897377e+01	4.822774e+02	REG3A;DEFA6;DEFA5
GO_Biological_Process_2021	innate immune response in mucosa (GO:0002227)	2/21	2.621448e-04	1.992300e-02	0	0	1.000401e+02	8.249921e+02	DEFA6;DEFA5
GO_Biological_Process_2021	mucosal immune response (GO:0002385)	2/28	4.695577e-04	2.379092e-02	0	0	7.308059e+01	5.600691e+02	DEFA6;DEFA5
GO_Biological_Process_2021	antibacterial humoral response (GO:0019731)	2/44	1.162071e-03	4.415872e-02	0	0	4.520408e+01	3.054689e+02	DEFA6;DEFA5
GO_Biological_Process_2021	triglyceride metabolic process (GO:0006641)	2/55	1.810222e-03	5.497172e-02	0	0	3.580234e+01	2.260669e+02	FABP6;APOB
GO_Biological_Process_2021	diterpenoid metabolic process (GO:0016101)	2/64	2.442121e-03	5.497172e-02	0	0	3.059140e+01	1.840038e+02	RBP2;APOB
GO_Biological_Process_2021	defense response to Gram-positive bacterium (GO:0050830)	2/70	2.913234e-03	5.497172e-02	0	0	2.788375e+01	1.627991e+02	DEFA6;DEFA5
GO_Biological_Process_2021	defense response to Gram-negative bacterium (GO:0050829)	2/73	3.163549e-03	5.497172e-02	0	0	2.670154e+01	1.536957e+02	DEFA6;DEFA5
GO_Biological_Process_2021	retinoid metabolic process (GO:0001523)	2/92	4.972723e-03	5.497172e-02	0	0	2.104444e+01	1.116153e+02	RBP2;APOB
GO_Biological_Process_2021	negative regulation of keratinocyte differentiation (GO:0045617)	1/5	5.737289e-03	5.497172e-02	0	0	2.269659e+02	1.171319e+03	REG3A
GO_Biological_Process_2021	fructose catabolic process (GO:0006001)	1/5	5.737289e-03	5.497172e-02	0	0	2.269659e+02	1.171319e+03	ALDOB
GO_Biological_Process_2021	fructose catabolic process to hydroxyacetone phosphate and glyceraldehyde-3-phosphate (GO:0061624)	1/5	5.737289e-03	5.497172e-02	0	0	2.269659e+02	1.171319e+03	ALDOB
GO_Biological_Process_2021	positive regulation of membrane permeability (GO:1905710)	1/5	5.737289e-03	5.497172e-02	0	0	2.269659e+02	1.171319e+03	DEFA5
