,names,scores,logfoldchanges,pvals,pvals_adj
0,LINC02739,9.006052,28.985254,2.3864840919345644e-14,2.2151345341336628e-10
1,C1QA,6.758093,28.60846,1.161396441698916e-09,5.3900408859246695e-06
2,ATP5F1E,6.2133613,28.100277,1.4071284272373252e-08,4.353655353872284e-05
3,CD24,5.362516,27.560621,5.855418061078801e-07,0.0013587497610733359
4,ARFRP1,4.7632914,27.240324,6.90806545947188e-06,0.012824132718963597
5,TNFRSF1A,4.6995234,27.38752,8.90194097840936e-06,0.01377130269359928
6,JUND,4.532505,27.194712,1.7141098583692798e-05,0.02272909672197665
7,CFB,4.2804112,26.991854,4.491470261411549e-05,0.04886704156575356
8,CCDC88B,4.25626,27.043331,4.917400732108422e-05,0.04886704156575356
9,CCS,4.198214,26.785288,6.106091285496996e-05,0.04886704156575356
10,SLC22A18,4.198214,26.785288,6.106091285496996e-05,0.04886704156575356
11,PDIA3,4.1890388,27.127762,6.317652432547325e-05,0.04886704156575356
12,SDF4,4.1498976,26.843616,7.302015051466649e-05,0.05213638746747187
13,AC067930.8,4.0470996,26.938704,0.0001063919477323586,0.07053786134655375
14,NCL,3.982208,26.742584,0.00013452694031415395,0.07321510134140594
15,GPA33,3.982208,26.742584,0.00013452694031415395,0.07321510134140594
16,SNHG7,3.948953,26.80245,0.0001515786145264849,0.07321510134140594
17,NCOR1,3.881098,26.843616,0.00019299941381175308,0.07321510134140594
18,TSR3,3.8702557,26.899914,0.00020054680160261424,0.07321510134140594
19,MOGAT3,3.8663888,26.954323,0.00020330597168858388,0.07321510134140594
20,C1QB,3.8603678,26.568132,0.0002076746802254859,0.07321510134140594
21,TAF10,3.8603678,26.568132,0.0002076746802254859,0.07321510134140594
22,PDZD3,3.823534,26.938704,0.0002364133945113826,0.07321510134140594
23,CTC1,3.8198087,26.81765,0.00023952243319449385,0.07321510134140594
24,ATP5IF1,3.8115554,26.63476,0.0002465497577608767,0.07321510134140594
25,VIPR1,3.8115554,26.63476,0.0002465497577608767,0.07321510134140594
26,NDUFB10,3.8115554,26.63476,0.0002465497577608767,0.07321510134140594
27,DDX6,3.8115554,26.63476,0.0002465497577608767,0.07321510134140594
28,ERAP2,3.8115554,26.63476,0.0002465497577608767,0.07321510134140594
29,ACE2,3.8115554,26.63476,0.0002465497577608767,0.07321510134140594
30,TMEM176B,3.8115554,26.63476,0.0002465497577608767,0.07321510134140594
31,LCN2,3.7791636,26.698711,0.00027607504276548243,0.07321510134140594
32,TP53I3,3.7791636,26.698711,0.00027607504276548243,0.07321510134140594
33,SARAF,3.7791636,26.698711,0.00027607504276548243,0.07321510134140594
34,PLCG2,3.7791636,26.698711,0.00027607504276548243,0.07321510134140594
35,MAPK8IP3,3.759058,26.760206,0.0002960632625990187,0.07353063415712462
36,ARHGAP4,3.7123265,26.742584,0.00034797454418697665,0.07353063415712462
37,NDUFB1,3.7034597,26.80245,0.00035875444888972387,0.07353063415712462
38,S100A16,3.6865108,26.447311,0.00038024891613251254,0.07353063415712462
39,PPP1CB,3.6865108,26.447311,0.00038024891613251254,0.07353063415712462
40,TM9SF2,3.6865108,26.447311,0.00038024891613251254,0.07353063415712462
41,TIMP1,3.6865108,26.447311,0.00038024891613251254,0.07353063415712462
42,DHRS3,3.6865108,26.447311,0.00038024891613251254,0.07353063415712462
43,CLPTM1L,3.6865108,26.447311,0.00038024891613251254,0.07353063415712462
44,C3,3.6865108,26.447311,0.00038024891613251254,0.07353063415712462
45,HLA-DPA1,3.6865108,26.447311,0.00038024891613251254,0.07353063415712462
46,ACAP3,3.6865108,26.447311,0.00038024891613251254,0.07353063415712462
47,SERINC2,3.6865108,26.447311,0.00038024891613251254,0.07353063415712462
48,APOL6,3.637372,26.519104,0.00044969110711659316,0.07453630100457531
49,SUPT5H,3.637372,26.519104,0.00044969110711659316,0.07453630100457531
50,SEMA4G,3.637372,26.519104,0.00044969110711659316,0.07453630100457531
51,GABARAP,3.637372,26.519104,0.00044969110711659316,0.07453630100457531
52,PDIA6,3.637372,26.519104,0.00044969110711659316,0.07453630100457531
53,C19orf53,3.637372,26.519104,0.00044969110711659316,0.07453630100457531
54,COQ4,3.637372,26.519104,0.00044969110711659316,0.07453630100457531
55,IGLC3,3.637372,26.519104,0.00044969110711659316,0.07453630100457531
56,CTDSP1,3.6059847,26.587776,0.0005001683682073756,0.077376046561681
57,TUBA1A,3.6059847,26.587776,0.0005001683682073756,0.077376046561681
58,TNIP1,3.6059847,26.587776,0.0005001683682073756,0.077376046561681
59,APOL2,3.6059847,26.587776,0.0005001683682073756,0.077376046561681
60,FNDC3A,3.533666,26.698711,0.0006376523935962849,0.08816348249225434
61,PIGT,3.5084932,26.316444,0.0006933779596999102,0.08816348249225434
62,MZB1,3.5084932,26.316444,0.0006933779596999102,0.08816348249225434
63,HMGN2,3.5084932,26.316444,0.0006933779596999102,0.08816348249225434
64,AKAP13,3.5084932,26.316444,0.0006933779596999102,0.08816348249225434
65,ARPC1B,3.5084932,26.316444,0.0006933779596999102,0.08816348249225434
66,TMEM256,3.5084932,26.316444,0.0006933779596999102,0.08816348249225434
67,SCO2,3.5084932,26.316444,0.0006933779596999102,0.08816348249225434
68,CRAT,3.5084932,26.316444,0.0006933779596999102,0.08816348249225434
69,IFNGR1,3.5084932,26.316444,0.0006933779596999102,0.08816348249225434
70,MT1E,3.5084932,26.316444,0.0006933779596999102,0.08816348249225434
71,MYO6,3.5084932,26.316444,0.0006933779596999102,0.08816348249225434
72,ADAP1,3.5084932,26.316444,0.0006933779596999102,0.08816348249225434
73,MAP2K3,3.4589787,26.394316,0.0008166687369435661,0.09358418785568147
74,TKT,3.4589787,26.394316,0.0008166687369435661,0.09358418785568147
75,DCAF11,3.4589787,26.394316,0.0008166687369435661,0.09358418785568147
76,IFITM3,3.4589787,26.394316,0.0008166687369435661,0.09358418785568147
77,ZKSCAN1,3.4589787,26.394316,0.0008166687369435661,0.09358418785568147
78,ABCA7,3.4589787,26.394316,0.0008166687369435681,0.09358418785568147
79,SLC12A2,3.4589787,26.394316,0.0008166687369435681,0.09358418785568147
80,PARP14,3.4589787,26.394316,0.0008166687369435681,0.09358418785568147
81,ANXA11,3.4287875,26.468506,0.0009016954567305465,0.10083779794425221
82,TMC4,3.4287875,26.468506,0.0009016954567305465,0.10083779794425221
83,STK11,3.4124374,26.53936,0.0009511543038943277,0.10510255058032321
84,RNPEPL1,3.3603592,26.587776,0.0011262445625152657,0.11579295817296359
85,TRBC2,3.325481,26.17361,0.001259975088932269,0.11579295817296359
86,RAB11B,3.325481,26.17361,0.001259975088932269,0.11579295817296359
87,COL3A1,3.325481,26.17361,0.001259975088932269,0.11579295817296359
88,GAK,3.325481,26.17361,0.001259975088932269,0.11579295817296359
89,DCTN2,3.325481,26.17361,0.001259975088932269,0.11579295817296359
90,PSMB8,3.325481,26.17361,0.001259975088932269,0.11579295817296359
91,CDX1,3.325481,26.17361,0.001259975088932269,0.11579295817296359
92,JTB,3.325481,26.17361,0.001259975088932269,0.11579295817296359
93,AD000090.1,3.325481,26.17361,0.001259975088932269,0.11579295817296359
94,RBM33,3.325481,26.17361,0.001259975088932269,0.11579295817296359
95,HSPG2,3.325481,26.17361,0.001259975088932269,0.11579295817296359
96,RPN1,3.325481,26.17361,0.001259975088932269,0.11579295817296359
97,CORO1A,3.325481,26.17361,0.001259975088932269,0.11579295817296359
98,DHCR24,3.325481,26.17361,0.001259975088932269,0.11579295817296359
99,TUBB,3.325481,26.17361,0.001259975088932269,0.11579295817296359
100,BRMS1,3.325481,26.17361,0.001259975088932269,0.11579295817296359
101,CASP1,3.2755487,26.258743,0.0014775317851611468,0.1269856484246839
102,HLA-DQB1,3.2755487,26.258743,0.0014775317851611468,0.1269856484246839
103,WARS,3.2755487,26.258743,0.0014775317851611468,0.1269856484246839
104,TMEM139,3.2755487,26.258743,0.0014775317851611573,0.1269856484246839
105,MRPL28,3.2755487,26.258743,0.0014775317851611573,0.1269856484246839
106,AC124068.2,3.2755487,26.258743,0.0014775317851611573,0.1269856484246839
107,ITM2C,3.2755487,26.258743,0.0014775317851611573,0.1269856484246839
108,EIF3B,3.2468164,26.339466,0.00161817838915113,0.13779753952386045
109,TIMM13,3.1839907,26.394316,0.001970447095693179,0.1623880405561081
110,MBNL1,3.1839907,26.394316,0.001970447095693187,0.1623880405561081
111,MST1,3.1839907,26.394316,0.001970447095693187,0.1623880405561081
112,RBM10,3.1829362,26.468506,0.0019769283110148907,0.1623880405561081
113,LY75,3.1364326,26.016283,0.002283344397640437,0.16557814608514482
114,FYB1,3.1364326,26.016283,0.002283344397640437,0.16557814608514482
115,TTC3,3.1364326,26.016283,0.002283344397640437,0.16557814608514482
