Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2021	cobalamin transport (GO:0015889)	1/6	2.697256e-03	3.869609e-02	0	0	4.996500e+02	2.955690e+03	CUBN
GO_Biological_Process_2021	negative regulation of actin filament depolymerization (GO:0030835)	1/6	2.697256e-03	3.869609e-02	0	0	4.996500e+02	2.955690e+03	VIL1
GO_Biological_Process_2021	positive regulation of lamellipodium morphogenesis (GO:2000394)	1/7	3.146172e-03	3.869609e-02	0	0	4.163542e+02	2.398853e+03	VIL1
GO_Biological_Process_2021	regulation of microvillus organization (GO:0032530)	1/8	3.594909e-03	3.869609e-02	0	0	3.568571e+02	2.008476e+03	CDHR5
GO_Biological_Process_2021	regulation of response to wounding (GO:1903034)	1/8	3.594909e-03	3.869609e-02	0	0	3.568571e+02	2.008476e+03	VIL1
GO_Biological_Process_2021	actin filament depolymerization (GO:0030042)	1/11	4.940043e-03	3.869609e-02	0	0	2.497625e+02	1.326334e+03	VIL1
GO_Biological_Process_2021	regulation of lamellipodium morphogenesis (GO:2000392)	1/11	4.940043e-03	3.869609e-02	0	0	2.497625e+02	1.326334e+03	VIL1
GO_Biological_Process_2021	regulation of actin filament depolymerization (GO:0030834)	1/12	5.388063e-03	3.869609e-02	0	0	2.270455e+02	1.185988e+03	VIL1
GO_Biological_Process_2021	regulation of actin nucleation (GO:0051125)	1/12	5.388063e-03	3.869609e-02	0	0	2.270455e+02	1.185988e+03	VIL1
GO_Biological_Process_2021	positive regulation of protein depolymerization (GO:1901881)	1/12	5.388063e-03	3.869609e-02	0	0	2.270455e+02	1.185988e+03	VIL1
GO_Biological_Process_2021	positive regulation of actin filament depolymerization (GO:0030836)	1/12	5.388063e-03	3.869609e-02	0	0	2.270455e+02	1.185988e+03	VIL1
GO_Biological_Process_2021	regulation of lamellipodium organization (GO:1902743)	1/14	6.283564e-03	4.037719e-02	0	0	1.920962e+02	9.738925e+02	VIL1
GO_Biological_Process_2021	vitamin D metabolic process (GO:0042359)	1/15	6.731046e-03	4.037719e-02	0	0	1.783661e+02	8.920131e+02	CUBN
GO_Biological_Process_2021	actin filament capping (GO:0051693)	1/19	8.519186e-03	4.037719e-02	0	0	1.387014e+02	6.609724e+02	VIL1
GO_Biological_Process_2021	barbed-end actin filament capping (GO:0051016)	1/19	8.519186e-03	4.037719e-02	0	0	1.387014e+02	6.609724e+02	VIL1
GO_Biological_Process_2021	innate immune response in mucosa (GO:0002227)	1/21	9.412182e-03	4.037719e-02	0	0	1.248187e+02	5.823731e+02	DEFA6
GO_Biological_Process_2021	cobalamin metabolic process (GO:0009235)	1/21	9.412182e-03	4.037719e-02	0	0	1.248187e+02	5.823731e+02	CUBN
