Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2021	RNA processing (GO:0006396)	29/179	5.318475e-10	1.979536e-06	0	0	4.474218e+00	9.554543e+01	RBM8A;HNRNPU;PRPF8;PTBP1;SNRPD3;SF3B1;RBM5;SRSF11;RBM6;HNRNPA0;DDX17;IVNS1ABP;RBM39;MBNL1;SCAF11;FUS;NONO;PRPF4B;HNRNPK;SON;DDX39B;HNRNPH1;HNRNPF;HNRNPA2B1;HNRNPD;LUC7L3;SRSF5;HNRNPC;HNRNPH3
GO_Biological_Process_2021	mRNA splicing, via spliceosome (GO:0000398)	36/274	1.831115e-09	2.890748e-06	0	0	3.514298e+00	7.070185e+01	DDX5;RBM8A;HNRNPU;PRPF8;PTBP1;SNRNP70;PCBP1;PCBP2;TRA2A;PAPOLA;RALY;SNRPD3;HNRNPA1;SF3B1;RBM10;SRSF11;RBM5;RBM6;HNRNPA0;DDX17;SRRM2;CPSF7;SCAF11;FUS;NONO;BUD31;PRPF4B;HNRNPK;DDX39B;HNRNPH1;HNRNPF;HNRNPA2B1;HNRNPD;HNRNPC;HNRNPH3;SRSF5
GO_Biological_Process_2021	RNA splicing, via transesterification reactions with bulged adenosine as nucleophile (GO:0000377)	34/251	2.329996e-09	2.890748e-06	0	0	3.635369e+00	7.226168e+01	DDX5;RBM8A;HNRNPU;PRPF8;PTBP1;SNRNP70;PCBP1;PCBP2;TRA2A;PAPOLA;RALY;SNRPD3;HNRNPA1;SF3B1;RBM10;SRSF11;RBM5;RBM6;HNRNPA0;SRRM2;CPSF7;FUS;NONO;BUD31;PRPF4B;HNRNPK;DDX39B;HNRNPH1;HNRNPF;HNRNPA2B1;HNRNPD;HNRNPC;HNRNPH3;SRSF5
GO_Biological_Process_2021	negative regulation of programmed cell death (GO:0043069)	42/381	1.716885e-08	1.426344e-05	0	0	2.884364e+00	5.157292e+01	DDX3X;ARL6IP1;TFRC;GATA6;CIB1;PSEN1;HIGD1A;AQP1;MTDH;HSP90B1;HSPD1;PRDX5;UBB;ARHGDIA;CFL1;UBC;FLNA;HTATIP2;CD74;HSPA5;GPX4;SEMA4D;ANXA4;NR1H4;PRAP1;YWHAZ;FABP1;PSMC5;HNRNPK;SON;TMBIM4;BCL3;CTNNB1;DPEP1;PHIP;BIRC6;TMBIM6;GAS6;PTMA;SQSTM1;TPT1;RAB7A
GO_Biological_Process_2021	mRNA processing (GO:0006397)	36/300	2.072887e-08	1.426344e-05	0	0	3.163837e+00	5.597378e+01	DDX5;RBM8A;HNRNPU;PRPF8;PTBP1;SNRNP70;PCBP1;PCBP2;TRA2A;PAPOLA;RALY;SNRPD3;HNRNPA1;SF3B1;RBM10;SRSF11;RBM5;RBM6;HNRNPA0;SRRM2;CPSF7;SCAF11;FUS;NONO;BUD31;PRPF4B;HNRNPK;SON;DDX39B;HNRNPH1;HNRNPF;HNRNPA2B1;HNRNPD;HNRNPC;HNRNPH3;SRSF5
GO_Biological_Process_2021	chylomicron assembly (GO:0034378)	7/10	2.621738e-08	1.426344e-05	0	0	5.299684e+01	9.251575e+02	LPCAT3;MTTP;APOA1;APOC3;APOA4;P4HB;APOB
GO_Biological_Process_2021	regulation of apoptotic process (GO:0042981)	65/742	2.682538e-08	1.426344e-05	0	0	2.259397e+00	3.939013e+01	RBM25;DDX3X;TFRC;ARL6IP1;CIB1;HMGB1;AQP1;ARHGDIA;CFL1;RBM5;HTATIP2;TGM2;HSP90AA1;ANXA4;ACTN4;OLFM4;PRAP1;YWHAZ;DNM2;OBSCN;TMBIM4;IRF3;DPEP1;TMEM219;PHIP;BIRC6;ITGA6;TMBIM6;GAS6;SQSTM1;PTMA;PPIA;ARHGEF5;ATF4;GATA6;PSEN1;HIGD1A;NDRG1;RTN4;MTDH;HSP90B1;HSPD1;APH1A;ABR;PRDX5;SCIN;UBB;PERP;UBC;FLNA;IP6K2;CD74;CREBBP;SEMA4D;HSPA5;NR1H4;CIDEB;SOD1;FABP1;HNRNPK;SON;BCL3;CTNNB1;CALR;TPT1
GO_Biological_Process_2021	glyceraldehyde-3-phosphate metabolic process (GO:0019682)	6/7	3.908509e-08	1.787126e-05	0	0	1.361303e+02	2.322047e+03	TKFC;TPI1;GLYCTK;ALDH1A1;ALDOB;KHK
GO_Biological_Process_2021	epithelial cell differentiation (GO:0030855)	19/101	4.321369e-08	1.787126e-05	0	0	5.316721e+00	9.015621e+01	CBR1;CPT1A;ACADVL;ANXA4;GATA6;EDF1;CNN3;VIL1;SULT1B1;MAF;TST;CDHR2;GSTA1;PGK1;TAGLN2;TPP1;HNRNPH3;PCK1;PCK2
GO_Biological_Process_2021	neutrophil activation involved in immune response (GO:0002283)	48/485	5.101511e-08	1.898782e-05	0	0	2.562883e+00	4.303374e+01	PIGR;CD63;RAB5C;DDX3X;HEXB;COPB1;MVP;CTSZ;MGST1;PSEN1;HMGB1;AGPAT2;CST3;PGRMC1;CAND1;ANPEP;FTH1;STBD1;PSMD3;PSMB1;MLEC;ACAA1;B2M;SPTAN1;ACTR2;AOC1;HSP90AA1;MGAM;DGAT1;MME;FUCA1;IDH1;SURF4;HLA-B;DYNLL1;TUBB4B;OLFM4;EEF2;SERPINB6;EEF1A1;ERP44;PFKL;VAPA;DNASE1;ATP6V0C;PPIA;FTL;RAB7A
