Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2021	nitrogen compound transport (GO:0071705)	13/143	1.184974e-07	1.547396e-04	0	0	7.309328e+00	1.165719e+02	SLC36A1;CUBN;SLC6A19;AMN;SLC22A5;ABCC2;SLC23A1;SLC3A1;SLC6A20;SLC6A4;RCN3;FLVCR1;ABCG2
GO_Biological_Process_2021	epoxygenase P450 pathway (GO:0019373)	6/19	1.696707e-07	1.547396e-04	0	0	3.307301e+01	5.155886e+02	CYP2J2;CYP2C9;CYP4F2;EPHX2;CYP2C18;CYP4F12
GO_Biological_Process_2021	organic substance transport (GO:0071702)	12/136	5.052107e-07	2.631147e-04	0	0	7.049406e+00	1.022043e+02	RCN3;CUBN;AMN;SLC22A5;ATP8A1;ABCA5;SLC23A1;FLVCR1;APOA1;ABCD1;ABCG2;SLC6A4
GO_Biological_Process_2021	fatty acid catabolic process (GO:0009062)	9/70	5.770058e-07	2.631147e-04	0	0	1.066309e+01	1.531797e+02	PHYH;BDH2;ECI2;ECHDC2;CROT;CEL;ABCD1;ACADS;LPIN3
GO_Biological_Process_2021	monocarboxylic acid metabolic process (GO:0032787)	12/143	8.672460e-07	3.163713e-04	0	0	6.670337e+00	9.310418e+01	CYP2J2;CYP2C9;GATM;ACOT11;NAAA;CROT;PTGR1;CYP3A4;CYP2C18;CYP4F12;CYP3A5;ACSF2
GO_Biological_Process_2021	fatty acid oxidation (GO:0019395)	8/59	1.638538e-06	4.981155e-04	0	0	1.130101e+01	1.505488e+02	PHYH;BDH2;CYP4V2;ECI2;ECHDC2;CROT;ABCD1;ACADS
GO_Biological_Process_2021	vitamin transport (GO:0051180)	6/31	3.995981e-06	1.041239e-03	0	0	1.718749e+01	2.136443e+02	CUBN;AMN;SLC23A1;SLC2A2;APOA1;ABCG2
GO_Biological_Process_2021	sodium ion transport (GO:0006814)	9/90	4.905382e-06	1.118427e-03	0	0	8.022059e+00	9.807109e+01	SLC6A19;SLC5A9;SLC23A1;SCNN1A;SLC5A12;SLC5A1;SLC6A20;SLC6A4;SLC17A4
GO_Biological_Process_2021	retinoid metabolic process (GO:0001523)	9/92	5.888283e-06	1.193359e-03	0	0	7.827959e+00	9.426856e+01	AKR1B10;RETSAT;CYP4V2;APOA1;APOC3;CYP3A4;APOB;CYP2C18;CYP3A5
GO_Biological_Process_2021	cation transport (GO:0006812)	12/174	6.775418e-06	1.235836e-03	0	0	5.385378e+00	6.409790e+01	KCNG1;KCNK5;SLC36A1;SLC5A9;SLC23A1;KCNJ13;SLC5A12;SLC5A1;SLC6A20;TRPM6;TRPM4;SLC17A4
GO_Biological_Process_2021	fatty acid beta-oxidation (GO:0006635)	7/52	7.814320e-06	1.295756e-03	0	0	1.116934e+01	1.313465e+02	BDH2;ECI2;ECHDC2;CROT;DECR2;ABCD1;ACADS
GO_Biological_Process_2021	unsaturated fatty acid metabolic process (GO:0033559)	7/54	1.009959e-05	1.535137e-03	0	0	1.069296e+01	1.230013e+02	CYP2J2;CYP4F2;GSTA1;PTGR1;DECR2;ABCD1;CYP4F12
GO_Biological_Process_2021	drug catabolic process (GO:0042737)	5/23	1.444743e-05	2.027086e-03	0	0	1.982790e+01	2.209818e+02	CYP2J2;CYP2C9;CYP3A4;CYP2C18;CYP3A5
GO_Biological_Process_2021	regulation of triglyceride catabolic process (GO:0010896)	4/12	1.727600e-05	2.250816e-03	0	0	3.557942e+01	3.901708e+02	AADAC;APOA1;APOC3;SORL1
GO_Biological_Process_2021	long-chain fatty acid metabolic process (GO:0001676)	8/83	2.178960e-05	2.649615e-03	0	0	7.675311e+00	8.238739e+01	CYP2J2;CYP2C9;CYP4F2;EPHX2;GSTA1;CYP3A4;ABCD1;CYP4F12
GO_Biological_Process_2021	vascular transport (GO:0010232)	8/84	2.379360e-05	2.712471e-03	0	0	7.573935e+00	8.063282e+01	ABCC2;ABCB1;SLC22A5;ATP8A1;INSR;SLC5A1;SLC6A20;ABCG2
GO_Biological_Process_2021	leukotriene B4 metabolic process (GO:0036102)	3/5	2.687322e-05	2.864424e-03	0	0	1.063867e+02	1.119654e+03	CYP4F2;PTGR1;CYP4F12
GO_Biological_Process_2021	transport across blood-brain barrier (GO:0150104)	8/86	2.826735e-05	2.864424e-03	0	0	7.378980e+00	7.728598e+01	ABCC2;ABCB1;SLC22A5;ATP8A1;INSR;SLC5A1;SLC6A20;ABCG2
GO_Biological_Process_2021	carbohydrate transport (GO:0008643)	4/14	3.416890e-05	3.280214e-03	0	0	2.846065e+01	2.926949e+02	SLC23A1;SLC2A2;SLC5A1;AQP3
GO_Biological_Process_2021	aflatoxin metabolic process (GO:0046222)	4/15	4.607994e-05	3.654340e-03	0	0	2.587201e+01	2.583354e+02	ACY3;DPEP1;CYP3A4;CYP3A5
GO_Biological_Process_2021	fatty acid beta-oxidation using acyl-CoA oxidase (GO:0033540)	4/15	4.607994e-05	3.654340e-03	0	0	2.587201e+01	2.583354e+02	ECI2;CROT;DECR2;ABCD1
GO_Biological_Process_2021	mycotoxin metabolic process (GO:0043385)	4/15	4.607994e-05	3.654340e-03	0	0	2.587201e+01	2.583354e+02	ACY3;DPEP1;CYP3A4;CYP3A5
GO_Biological_Process_2021	organic heteropentacyclic compound metabolic process (GO:1901376)	4/15	4.607994e-05	3.654340e-03	0	0	2.587201e+01	2.583354e+02	ACY3;DPEP1;CYP3A4;CYP3A5
GO_Biological_Process_2021	xenobiotic transport across blood-brain barrier (GO:1990962)	3/6	5.318713e-05	4.042222e-03	0	0	7.092086e+01	6.979814e+02	ABCB1;ABCC2;ABCG2
GO_Biological_Process_2021	regulation of systemic arterial blood pressure by hormone (GO:0001990)	4/16	6.076241e-05	4.262717e-03	0	0	2.371480e+01	2.302361e+02	ENPEP;ACE;EDN2;EDN3
GO_Biological_Process_2021	transepithelial transport (GO:0070633)	4/16	6.076241e-05	4.262717e-03	0	0	2.371480e+01	2.302361e+02	ABCB1;ABCC2;SLC23A1;ABCG2
GO_Biological_Process_2021	fatty acid metabolic process (GO:0006631)	9/124	6.507585e-05	4.396235e-03	0	0	5.640537e+00	5.437454e+01	CYP2J2;CYP4F2;ACOT11;NAAA;CEL;CROT;CYP4F12;ACSF2;LPIN3
GO_Biological_Process_2021	monosaccharide transmembrane transport (GO:0015749)	4/17	7.858271e-05	5.119102e-03	0	0	2.188948e+01	2.068853e+02	SLC5A9;SLC23A1;SLC2A2;SLC5A1
GO_Biological_Process_2021	organic acid transport (GO:0015849)	8/100	8.370745e-05	5.264910e-03	0	0	6.251632e+00	5.869147e+01	SLC36A1;SLC6A19;ABCC2;SLC23A1;SLC3A1;SLC25A10;SLC6A20;ABCG2
GO_Biological_Process_2021	triglyceride biosynthetic process (GO:0019432)	4/18	9.992173e-05	6.075241e-03	0	0	2.032491e+01	1.872153e+02	MOGAT2;PCK1;LPIN3;PCK2
GO_Biological_Process_2021	inorganic cation transmembrane transport (GO:0098662)	13/274	1.429355e-04	7.824051e-03	0	0	3.616315e+00	3.201566e+01	KCNG1;KCNK5;SLC36A1;SLC6A19;SLC30A1;CACNA1D;SLC6A20;SLC6A4;P2RX4;SCNN1A;TRPM6;SLC39A4;TRPM4
GO_Biological_Process_2021	arachidonic acid metabolic process (GO:0019369)	6/57	1.450590e-04	7.824051e-03	0	0	8.414118e+00	7.436708e+01	CYP2J2;CYP2C9;CYP4F2;EPHX2;CYP2C18;CYP4F12
GO_Biological_Process_2021	icosanoid metabolic process (GO:0006690)	6/57	1.450590e-04	7.824051e-03	0	0	8.414118e+00	7.436708e+01	CYP2J2;CYP2C9;CYP4F2;DPEP1;PTGR1;CYP4F12
GO_Biological_Process_2021	short-chain fatty acid catabolic process (GO:0019626)	3/8	1.458430e-04	7.824051e-03	0	0	4.254820e+01	3.758274e+02	PCK1;ACADS;PCK2
GO_Biological_Process_2021	chylomicron remodeling (GO:0034371)	3/9	2.164919e-04	1.128232e-02	0	0	3.545504e+01	2.991681e+02	APOA1;APOC3;APOB
GO_Biological_Process_2021	exogenous drug catabolic process (GO:0042738)	4/22	2.285218e-04	1.145876e-02	0	0	1.580505e+01	1.325077e+02	CYP2J2;CYP2C9;CYP3A4;CYP2C18
GO_Biological_Process_2021	carboxylic acid metabolic process (GO:0019752)	5/40	2.324420e-04	1.145876e-02	0	0	1.018841e+01	8.524506e+01	CYP2J2;CYB5A;CYP2C9;SLC23A1;CYP4F2
GO_Biological_Process_2021	chylomicron assembly (GO:0034378)	3/10	3.060632e-04	1.469103e-02	0	0	3.038849e+01	2.458951e+02	APOA1;APOC3;APOB
GO_Biological_Process_2021	fat-soluble vitamin metabolic process (GO:0006775)	4/25	3.823024e-04	1.743299e-02	0	0	1.354513e+01	1.065906e+02	CUBN;CYP4F2;CYP3A4;CYP4F12
GO_Biological_Process_2021	peptide catabolic process (GO:0043171)	4/25	3.823024e-04	1.743299e-02	0	0	1.354513e+01	1.065906e+02	ENPEP;ACE;DPEP1;NAALADL1
GO_Biological_Process_2021	monocarboxylic acid catabolic process (GO:0072329)	4/27	5.188080e-04	2.132668e-02	0	0	1.236603e+01	9.353639e+01	CYP4F2;CEL;CYP4F12;LPIN3
GO_Biological_Process_2021	monovalent inorganic cation homeostasis (GO:0055067)	4/27	5.188080e-04	2.132668e-02	0	0	1.236603e+01	9.353639e+01	CYP4F2;SCNN1A;CYP4F12;PDK2
GO_Biological_Process_2021	sterol homeostasis (GO:0055092)	6/72	5.239868e-04	2.132668e-02	0	0	6.496860e+00	4.907756e+01	ABCA5;EPHX2;APOA1;APOC3;APOB;ABCD1
GO_Biological_Process_2021	angiotensin maturation (GO:0002003)	3/12	5.495362e-04	2.132668e-02	0	0	2.363309e+01	1.774003e+02	ENPEP;ACE;MME
GO_Biological_Process_2021	regulation of angiotensin levels in blood (GO:0002002)	3/12	5.495362e-04	2.132668e-02	0	0	2.363309e+01	1.774003e+02	ENPEP;ACE;MME
GO_Biological_Process_2021	fat-soluble vitamin catabolic process (GO:0042363)	3/12	5.495362e-04	2.132668e-02	0	0	2.363309e+01	1.774003e+02	CYP4F2;CYP3A4;CYP4F12
GO_Biological_Process_2021	organic hydroxy compound catabolic process (GO:1901616)	3/12	5.495362e-04	2.132668e-02	0	0	2.363309e+01	1.774003e+02	CYP4F2;CYP3A4;CYP4F12
GO_Biological_Process_2021	regulation of small molecule metabolic process (GO:0062012)	4/28	5.986364e-04	2.274818e-02	0	0	1.185018e+01	8.793848e+01	EPHX2;PDK3;FMO5;PDK2
GO_Biological_Process_2021	response to zinc ion (GO:0010043)	4/29	6.868044e-04	2.479919e-02	0	0	1.137560e+01	8.285371e+01	P2RX4;MT1F;CRIP1;KHK
GO_Biological_Process_2021	lipid catabolic process (GO:0016042)	4/29	6.868044e-04	2.479919e-02	0	0	1.137560e+01	8.285371e+01	CYP4F2;CEL;CYP3A4;CYP4F12
GO_Biological_Process_2021	triglyceride-rich lipoprotein particle remodeling (GO:0034370)	3/13	7.069944e-04	2.479919e-02	0	0	2.126871e+01	1.542936e+02	APOA1;APOC3;APOB
GO_Biological_Process_2021	positive regulation of fatty acid biosynthetic process (GO:0045723)	3/13	7.069944e-04	2.479919e-02	0	0	2.126871e+01	1.542936e+02	MLXIPL;APOA1;ABCD1
GO_Biological_Process_2021	cholesterol transport (GO:0030301)	5/51	7.318004e-04	2.518498e-02	0	0	7.747716e+00	5.593853e+01	ABCA5;APOA1;APOC3;CEL;APOB
GO_Biological_Process_2021	estrogen metabolic process (GO:0008210)	4/30	7.837817e-04	2.647440e-02	0	0	1.093752e+01	7.821834e+01	CYP2C9;CYP3A4;HSD17B11;CYP3A5
GO_Biological_Process_2021	positive regulation of cellular catabolic process (GO:0031331)	8/141	8.693221e-04	2.882988e-02	0	0	4.315404e+00	3.041409e+01	MLXIPL;AADAC;ENTPD5;INSR;APOA1;VPS35;ABCD1;SH3D19
GO_Biological_Process_2021	prostaglandin metabolic process (GO:0006693)	4/31	8.900396e-04	2.898986e-02	0	0	1.053189e+01	7.397857e+01	EDN2;GSTA1;PTGR1;CES2
GO_Biological_Process_2021	cellular response to glucose stimulus (GO:0071333)	4/32	1.006051e-03	3.219362e-02	0	0	1.015523e+01	7.008862e+01	MLXIPL;PDK3;PCK1;PCK2
GO_Biological_Process_2021	triglyceride metabolic process (GO:0006641)	5/55	1.035436e-03	3.256268e-02	0	0	7.126449e+00	4.897960e+01	MOGAT2;FABP6;APOC3;APOB;LPIN3
GO_Biological_Process_2021	peptide metabolic process (GO:0006518)	6/83	1.113407e-03	3.442125e-02	0	0	5.565620e+00	3.784806e+01	ENPEP;ACE;MME;GSTA1;DPEP1;NAALADL1
GO_Biological_Process_2021	carboxylic acid transport (GO:0046942)	5/57	1.218212e-03	3.703365e-02	0	0	6.851658e+00	4.597717e+01	SLC36A1;SLC23A1;SLC25A10;SLC6A20;SLC17A4
GO_Biological_Process_2021	regulation of glucose metabolic process (GO:0010906)	4/34	1.269221e-03	3.795178e-02	0	0	9.477256e+00	6.320716e+01	PDK3;FBP1;PDK2;KHK
GO_Biological_Process_2021	heme catabolic process (GO:0042167)	3/16	1.341792e-03	3.884808e-02	0	0	1.635805e+01	1.081881e+02	ABCC2;GSTA1;ABCG2
GO_Biological_Process_2021	porphyrin-containing compound catabolic process (GO:0006787)	3/16	1.341792e-03	3.884808e-02	0	0	1.635805e+01	1.081881e+02	ABCC2;GSTA1;ABCG2
GO_Biological_Process_2021	sodium ion transmembrane transport (GO:0035725)	6/87	1.421823e-03	4.052196e-02	0	0	5.289697e+00	3.467828e+01	SLC6A19;SCNN1A;SLC5A1;SLC6A20;SLC6A4;TRPM4
GO_Biological_Process_2021	reverse cholesterol transport (GO:0043691)	3/17	1.612481e-03	4.366188e-02	0	0	1.518885e+01	9.766401e+01	ABCA5;APOA1;APOC3
GO_Biological_Process_2021	positive regulation of heart rate (GO:0010460)	3/17	1.612481e-03	4.366188e-02	0	0	1.518885e+01	9.766401e+01	EDN2;EDN3;TRPM4
GO_Biological_Process_2021	organonitrogen compound catabolic process (GO:1901565)	5/63	1.910135e-03	4.366188e-02	0	0	6.140992e+00	3.844618e+01	ENPEP;ACE;CYP3A4;CYP3A5;NAALADL1
GO_Biological_Process_2021	protein retention in Golgi apparatus (GO:0045053)	2/5	1.912744e-03	4.366188e-02	0	0	4.711111e+01	2.948786e+02	VPS13A;SORL1
GO_Biological_Process_2021	alkaloid metabolic process (GO:0009820)	2/5	1.912744e-03	4.366188e-02	0	0	4.711111e+01	2.948786e+02	CYP3A4;CYP3A5
GO_Biological_Process_2021	quinone catabolic process (GO:1901662)	2/5	1.912744e-03	4.366188e-02	0	0	4.711111e+01	2.948786e+02	CYP4F2;CYP4F12
GO_Biological_Process_2021	dopamine catabolic process (GO:0042420)	2/5	1.912744e-03	4.366188e-02	0	0	4.711111e+01	2.948786e+02	MAOB;MAOA
GO_Biological_Process_2021	regulation of systemic arterial blood pressure by endothelin (GO:0003100)	2/5	1.912744e-03	4.366188e-02	0	0	4.711111e+01	2.948786e+02	EDN2;EDN3
GO_Biological_Process_2021	fructose catabolic process (GO:0006001)	2/5	1.912744e-03	4.366188e-02	0	0	4.711111e+01	2.948786e+02	TKFC;KHK
GO_Biological_Process_2021	fructose catabolic process to hydroxyacetone phosphate and glyceraldehyde-3-phosphate (GO:0061624)	2/5	1.912744e-03	4.366188e-02	0	0	4.711111e+01	2.948786e+02	TKFC;KHK
GO_Biological_Process_2021	glycerol biosynthetic process (GO:0006114)	2/5	1.912744e-03	4.366188e-02	0	0	4.711111e+01	2.948786e+02	PCK1;PCK2
GO_Biological_Process_2021	tonic smooth muscle contraction (GO:0014820)	2/5	1.912744e-03	4.366188e-02	0	0	4.711111e+01	2.948786e+02	EDN2;EDN3
GO_Biological_Process_2021	menaquinone metabolic process (GO:0009233)	2/5	1.912744e-03	4.366188e-02	0	0	4.711111e+01	2.948786e+02	CYP4F2;CYP4F12
GO_Biological_Process_2021	proline transmembrane transport (GO:0035524)	2/5	1.912744e-03	4.366188e-02	0	0	4.711111e+01	2.948786e+02	SLC36A1;SLC6A20
GO_Biological_Process_2021	high-density lipoprotein particle remodeling (GO:0034375)	3/18	1.914995e-03	4.366188e-02	0	0	1.417554e+01	8.871110e+01	ABCA5;APOA1;APOC3
GO_Biological_Process_2021	prostanoid metabolic process (GO:0006692)	3/18	1.914995e-03	4.366188e-02	0	0	1.417554e+01	8.871110e+01	GSTA1;PTGR1;CES2
GO_Biological_Process_2021	diterpenoid metabolic process (GO:0016101)	5/64	2.048613e-03	4.556914e-02	0	0	6.036600e+00	3.737013e+01	AKR1B10;CYP4V2;APOA1;APOC3;APOB
GO_Biological_Process_2021	lipid homeostasis (GO:0055088)	5/64	2.048613e-03	4.556914e-02	0	0	6.036600e+00	3.737013e+01	RCN3;MLXIPL;APOA1;ABCD1;TM6SF2
GO_Biological_Process_2021	cellular transition metal ion homeostasis (GO:0046916)	6/96	2.350926e-03	5.166371e-02	0	0	4.758545e+00	2.880322e+01	FLVCR1;MT1F;CYBRD1;SLC30A1;SLC39A4;ABCG2
