,names,scores,logfoldchanges,pvals,pvals_adj
0,IGHA1,25.666527,3.0750308,9.199904641540285e-106,4.269675744138846e-102
1,REG1A,25.3415,3.5314612,1.540876058882374e-110,1.4302411578546197e-106
2,IGKC,23.673544,2.4618642,1.0854248264734367e-90,3.3583044131088132e-87
3,AL627171.2,21.596922,1.9159106,1.758892821219792e-75,4.081510791640527e-72
4,JCHAIN,19.76205,2.7530587,1.0570688362746329e-71,1.9623425876602283e-68
5,IGHM,18.861565,2.8330262,9.760615268928224e-68,1.5099671821031964e-64
6,IGHG4,18.842094,2.40626,1.015049168318286e-63,1.3459551971900471e-60
7,IGHG3,16.834595,2.6571777,4.2443192508326276e-55,4.924471410778556e-52
8,DMBT1,15.338773,2.6425142,7.854368318205983e-48,8.100471858843103e-45
9,IGLC3,14.364431,3.9354458,2.1065834964389787e-43,1.95533080139466e-40
10,IGLC2,13.475182,2.375098,4.3842108508248385e-38,3.6994768288505593e-35
11,IGHG2,13.035713,4.0938926,2.1415940482874187e-36,1.6565229963503183e-33
12,MUC1,12.930867,2.9255095,5.7635904713216065e-36,4.115203596523627e-33
13,LCN2,12.908651,3.4982781,7.016046659903444e-36,4.6516389355159833e-33
14,SNHG1,12.319369,1.3978097,5.981035233404572e-31,3.701064602430749e-28
15,ACP5,11.866344,4.437854,8.819258584623498e-31,5.116272386404707e-28
16,PLA2G2A,11.702193,1.7319888,2.6875683440648707e-29,1.4674123158594194e-26
17,LINC02739,11.547301,1.5142664,2.557485604426082e-28,1.318810076682383e-25
18,IGLC1,11.35203,1.8099219,8.231499023197263e-28,4.02130389122721e-25
19,CD24,11.132447,2.327588,2.9054152794823447e-27,1.3484032312077561e-24
20,C1QA,11.084374,1.7482975,2.9679577479995205e-26,1.2119583173937492e-23
21,CXCL14,10.930171,1.902551,1.0295295488842458e-25,3.981705530309821e-23
22,PDZK1IP1,10.874812,3.035147,2.3104594349853786e-26,1.0212230702635372e-23
23,TIMP1,10.845024,3.2892861,3.003128776131893e-26,1.2119583173937492e-23
24,PLCG2,10.697218,2.02756,2.220782171175427e-25,8.245320045140125e-23
25,S100A6,10.324325,1.4895087,4.985945503356853e-23,1.7799825446983965e-20
26,CTSC,9.901996,3.1892226,2.770205967970041e-22,9.493351539746693e-20
27,TMSB10,9.641695,1.2821362,2.598263140224386e-20,7.585870574839405e-18
28,TNFRSF6B,9.622681,3.1802235,3.461319922534803e-21,1.070932384032268e-18
29,CTSB,9.484159,1.4391241,4.15180002876778e-20,1.167788117182501e-17
30,CXCL9,9.39527,3.2198389,2.6152538073137358e-20,7.585870574839405e-18
31,GAS5,9.251273,1.2111495,3.706097772391816e-19,9.297297168470497e-17
32,MZB1,9.230961,2.647181,1.4916413448550767e-19,3.9558328465556634e-17
33,IDO1,9.18632,3.5853996,1.6449072564817895e-19,4.2411192096288805e-17
34,STAT1,9.122033,2.1552937,4.247126467142503e-19,1.037416522842545e-16
35,HLA-DQB1,9.103024,1.87047,6.927810999706009e-19,1.6075985424817794e-16
36,COL18A1,9.047643,2.542858,6.72295742328873e-19,1.6000638667427177e-16
37,RARRES2,8.933492,2.8249066,1.8050699160213318e-18,3.9892045144071427e-16
38,IFI30,8.880633,2.0730352,3.0704307729079435e-18,6.62784614747245e-16
39,RACK1,8.783567,1.0687344,2.641659846755675e-17,5.5727015221786766e-15
