,names,scores,logfoldchanges,pvals,pvals_adj
0,YIF1A,-2.8028922,-1.1339841,0.005342715434506832,0.048393095292592066
1,PNPLA7,-2.8067718,-1.5810717,0.0053064379184637085,0.04819408684851286
2,GCNT4,-2.8092499,-1.0669969,0.005240886525666425,0.04773887019748357
3,FAM200B,-2.8180726,-2.1729424,0.005143073449396691,0.046897258817798965
4,C8G,-2.826977,-1.192254,0.0049686110761076405,0.045707282466235004
5,CACNA1D,-2.827584,-2.629415,0.005008637640173348,0.04602987581790992
6,NAAA,-2.8284414,-1.257461,0.0049510011539909025,0.045590468959666224
7,CNNM4,-2.8321,-1.2769375,0.004891105023312039,0.04521836337289078
8,ABHD6,-2.838946,-1.2880734,0.0048039964198883555,0.04468005487916204
9,CYB5A,-2.8480012,-1.0349113,0.004667429771112012,0.043540787070815774
10,PHYH,-2.8603966,-1.4409382,0.004490649427802284,0.042364025636272964
11,ITPRID2,-2.8609114,-1.0012518,0.004467909844861732,0.0423174889591904
12,SHLD2,-2.8609629,-1.0521387,0.004478552233680248,0.042364025636272964
13,KLHL36,-2.8622978,-1.4793314,0.004465741253479287,0.0423174889591904
14,EDN3,-2.8695562,-1.1890924,0.004361004670403981,0.04160210210759482
15,DEGS2,-2.8717055,-1.2480173,0.004332154385487208,0.04152090625519028
16,INSR,-2.8753252,-1.0632017,0.004284279967464094,0.04112377110444852
17,CPO,-2.8823013,-2.2087295,0.004229988378374863,0.04081367165080611
18,KATNBL1,-2.8868973,-1.5709685,0.0041472426854531575,0.04018236597742819
19,DOCK5,-2.8987548,-1.0749217,0.003979830138644045,0.03880334385177944
20,STRADB,-2.910616,-1.4598889,0.0038431692023516077,0.037668739742584605
21,PAG1,-2.9149158,-1.3432088,0.0037939682329246405,0.03738387806582432
22,BPTF,-2.915315,-1.0628022,0.0037710862144741558,0.0372374704710097
23,SLC25A10,-2.916432,-1.6412319,0.003788504114157854,0.03736970795708098
24,PTPRD,-2.9419525,-1.6030787,0.0034960869045493597,0.03493076280734893
25,PDK3,-2.9457924,-1.1765867,0.0034409510473462517,0.034491260930310914
26,DDC,-2.9466968,-1.1419346,0.0034299568287992767,0.034418226253962035
27,FAM83G,-2.9497392,-1.7109478,0.0034099030800204214,0.034291138015980015
28,RALGAPB,-2.9520183,-1.4513419,0.0033768669631857096,0.03400542729101689
29,CMIP,-2.9524634,-1.071609,0.0033626462956055673,0.03392617708240313
30,MAOB,-2.9641192,-1.3008385,0.0032459777709210216,0.03286545312236526
31,PPFIBP2,-2.9670875,-1.3384714,0.0032181867222825667,0.032717644201781804
32,MCRIP2,-2.9677951,-1.0078294,0.003207472673521713,0.03269186054463124
33,KMT2E,-2.9691133,-1.195605,0.0031889023852630406,0.032562587392751974
34,RETSAT,-2.9717758,-1.0289409,0.0031702941815472683,0.032408227525464475
35,PATJ,-2.9765687,-1.39607,0.0031233078011089796,0.031998391843149614
36,HOOK3,-2.9773285,-1.2438451,0.0031070053657591373,0.0318665456408578
37,RGMB,-2.9807754,-1.5034051,0.0030740992610182563,0.03156392626191533
38,GALNT12,-2.9880822,-1.2403271,0.003013640007441919,0.031359424382372075
39,FAM126B,-3.0089962,-1.8501692,0.002824376052292813,0.02965762979267832
40,TMEM87B,-3.0260832,-1.0635244,0.0026610197151121433,0.028306264120247372
41,SLC39A4,-3.0399485,-1.1881359,0.0025524840738948285,0.027635646680679735
42,AP1AR,-3.041554,-1.9295104,0.0025483722188201093,0.027633166980243287
43,WDR34,-3.055248,-1.1110059,0.002423286328589768,0.026431191189154206
44,HNF1A-AS1,-3.0583405,-2.484908,0.002423147983985293,0.026431191189154206
45,COBL,-3.0589893,-1.3179893,0.0023979390355524524,0.026247252509431444
46,BAZ2B,-3.060608,-1.1569066,0.002373716638670366,0.02607436430785602
