Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2021	aerobic electron transport chain (GO:0019646)	16/70	1.730241e-12	2.915154e-09	0	0	1.373027e+01	3.718537e+02	COX8A;NDUFA13;COX4I1;NDUFA3;NDUFA2;NDUFB1;UQCR11;SDHA;COX5B;COX6C;UQCRH;COX6B1;NDUFS8;NDUFS6;UQCRQ;NDUFV1
GO_Biological_Process_2021	mitochondrial ATP synthesis coupled electron transport (GO:0042775)	16/71	2.189376e-12	2.915154e-09	0	0	1.347994e+01	3.619014e+02	COX8A;NDUFA13;COX4I1;NDUFA3;NDUFA2;NDUFB1;UQCR11;SDHA;COX5B;COX6C;UQCRH;COX6B1;NDUFS8;NDUFS6;UQCRQ;NDUFV1
GO_Biological_Process_2021	antigen processing and presentation of exogenous peptide antigen via MHC class I (GO:0042590)	14/78	1.316145e-09	1.168298e-06	0	0	1.008370e+01	2.061972e+02	NCF1;TAP1;IFI30;HLA-F;PSMB10;PSMB8;VAMP8;PSMC5;PSMA4;PSMA1;PSMB1;PSME1;PSME2;CALR
GO_Biological_Process_2021	antigen processing and presentation of exogenous peptide antigen via MHC class I, TAP-dependent (GO:0002479)	13/73	5.683486e-09	3.783781e-06	0	0	9.966156e+00	1.892145e+02	NCF1;TAP1;HLA-F;PSMB10;PSMB8;VAMP8;PSMC5;PSMA4;PSMA1;PSMB1;PSME1;PSME2;CALR
GO_Biological_Process_2021	cytokine-mediated signaling pathway (GO:0019221)	36/621	1.154256e-07	6.147567e-05	0	0	2.912411e+00	4.652472e+01	CAMK2D;MAOA;IFI30;PSMB10;MUC1;HNRNPDL;PSMB1;CASP1;TIMP1;GBP2;HLA-DPA1;MCL1;SKP1;ANXA2;STAT2;MIF;HLA-F;SOD2;YWHAZ;PSMB8;TNFRSF1A;SOD1;PSMC5;COL1A2;PSMA4;PSMA1;IFI27;CAPZA1;PSME1;LCN2;PSME2;SQSTM1;UBA52;PPIA;IRF9;BIRC3
GO_Biological_Process_2021	cellular response to hypoxia (GO:0071456)	14/131	1.098905e-06	4.877306e-04	0	0	5.500879e+00	7.547864e+01	EGLN2;HP1BP3;PSMB10;PSMB8;PSMC5;PSMA4;PSMA1;PSMB1;PSME1;PGK1;PSME2;MDM4;STUB1;UBA52
GO_Biological_Process_2021	antigen processing and presentation of exogenous peptide antigen (GO:0002478)	12/103	2.586105e-06	6.719983e-04	0	0	6.041732e+00	7.772905e+01	DYNC1H1;CAPZB;DCTN2;DCTN1;CAPZA1;CLTC;AP1S1;IFI30;HLA-F;DYNLL1;CTSS;HLA-DPA1
GO_Biological_Process_2021	neutrophil degranulation (GO:0043312)	28/481	2.830625e-06	6.719983e-04	0	0	2.888000e+00	3.689424e+01	HSP90AB1;DDX3X;MGST1;TCIRG1;AGPAT2;CTSS;C3;PLAC8;CST3;SDCBP;PSMB1;QSOX1;CAPN1;DSP;CTSA;ARSA;DYNC1H1;ANXA2;TUBB;MIF;DYNLL1;RHOA;VAMP8;PFKL;PTPRC;LCN2;CYSTM1;PPIA
GO_Biological_Process_2021	proteasomal protein catabolic process (GO:0010498)	17/205	2.858084e-06	6.719983e-04	0	0	4.171416e+00	5.324962e+01	FBXW5;CCDC47;SEL1L;PSMB8;PSMB10;PSMC5;PSMA4;IFI27;PSMA1;PCBP2;PSMB1;PSME1;ZSWIM8;PSME2;CTNNB1;STUB1;DCAF11
GO_Biological_Process_2021	regulation of transcription from RNA polymerase II promoter in response to stress (GO:0043618)	11/87	3.010430e-06	6.719983e-04	0	0	6.620861e+00	8.417384e+01	MUC1;PSMC5;PSMA4;EGLN2;PSMA1;PSMB1;PSME1;PSME2;UBA52;PSMB10;PSMB8
GO_Biological_Process_2021	cellular protein modification process (GO:0006464)	46/1025	3.116423e-06	6.719983e-04	0	0	2.233251e+00	2.831500e+01	RAB1A;CAMK2D;GPAA1;DCAF8;AATK;MTMR4;PTPRH;PSMB10;PTPRF;C3;PPP1CB;CST3;PPP1CC;GRK2;PSMB1;ERBB2;QSOX1;TIMP1;DCAF11;SKP1;DSP;WSB1;FBXW5;CSNK1A1;GLYCTK;APLP2;DAPK3;OGA;ABCA7;PTK6;SIRT7;PDIA6;YWHAZ;PSMB8;RAB11B;PARP10;PSMC5;PSMA4;PTPRC;PSMA1;CTDSP1;PSME1;CDK10;PSME2;FAM20C;UBA52
GO_Biological_Process_2021	neutrophil activation involved in immune response (GO:0002283)	28/485	3.315922e-06	6.719983e-04	0	0	2.862123e+00	3.611076e+01	HSP90AB1;DDX3X;MGST1;TCIRG1;AGPAT2;CTSS;C3;PLAC8;CST3;SDCBP;PSMB1;QSOX1;CAPN1;DSP;CTSA;ARSA;DYNC1H1;ANXA2;TUBB;MIF;DYNLL1;RHOA;VAMP8;PFKL;PTPRC;LCN2;CYSTM1;PPIA
GO_Biological_Process_2021	negative regulation of cell cycle G2/M phase transition (GO:1902750)	9/57	3.714001e-06	6.719983e-04	0	0	8.549211e+00	1.068942e+02	PSMC5;PSMA4;PSMA1;PSMB1;PSME1;PSME2;PSMB10;PSMB8;SKP1
