,names,scores,logfoldchanges,pvals,pvals_adj
0,AKAP9,-2.6867814,-2.0608058,0.013383567010720309,0.04696645330567331
1,A1CF,-2.7444954,-2.9515367,0.011778705627314047,0.04136585154473287
2,DEFA6,-2.7902665,-1.7182804,0.01053230810365709,0.03701661636431091
3,MNX1,-2.882437,-4.5780888,0.008633091692026477,0.030549888328398687
4,SI,-2.9306943,-1.9532362,0.007666234371736325,0.02755925152535111
5,SLC5A12,-2.9463532,-2.934779,0.007425533187965051,0.026704300290853005
6,APOB,-3.096723,-1.8624253,0.0051766414911721195,0.018710898100101094
7,MLXIPL,-3.181547,-2.5041547,0.004274477542114444,0.015807052010321225
8,PRRG3,-3.6359012,-2.2443466,0.0014327733352146727,0.005668798848023271
9,MALAT1,-4.883348,-2.0464966,6.376102298380797e-05,0.000321123068548945
10,MTRNR2L12,-5.532364,-1.4903109,1.0723705543416355e-05,6.539910305781249e-05
