,names,scores,logfoldchanges,pvals,pvals_adj
0,TTC3,-2.3770509,-1.4019786,0.020561488625696882,0.04959713007058893
1,ZBTB48,-2.3771977,-1.393045,0.020586688051548382,0.04961974512969932
2,SERTAD3,-2.378064,-1.925441,0.020610872725552648,0.04966514035269462
3,BTN3A2,-2.3805742,-1.4070407,0.020308481865496653,0.049191891616790176
4,CXCL16,-2.3809617,-1.8819097,0.02058027465032127,0.049617171247865466
5,CSNK1G3,-2.3811524,-1.6123117,0.020392560655613092,0.04932179309533386
6,H2AFZ,-2.3815725,-1.6894201,0.0205666185780755,0.04959713007058893
7,NAP1L4,-2.3845098,-1.5452466,0.020340315929957175,0.049256147263726194
8,DHX15,-2.3859427,-1.3932879,0.020045155740907938,0.0488216047197868
9,EXT2,-2.3860192,-1.8051773,0.02027613829799305,0.04912636796710297
10,RERE,-2.3860884,-1.4246781,0.02023057302884274,0.04902876732473063
11,RSBN1L,-2.3871648,-3.088171,0.020514518623203606,0.0494972086978362
12,SIAH2,-2.3871648,-3.088171,0.020514518623203606,0.0494972086978362
13,ADSS,-2.3871648,-3.088171,0.020514518623203606,0.0494972086978362
14,RASGEF1B,-2.3871648,-3.088171,0.020514518623203606,0.0494972086978362
15,SUMF1,-2.3871648,-3.088171,0.020514518623203606,0.0494972086978362
16,JPT2,-2.3871648,-3.088171,0.020514518623203606,0.0494972086978362
17,MECP2,-2.3871648,-3.088171,0.020514518623203606,0.0494972086978362
18,CASP8,-2.3871648,-3.088171,0.020514518623203606,0.0494972086978362
19,ALG5,-2.3871648,-3.088171,0.020514518623203606,0.0494972086978362
20,CRYBG1,-2.3873494,-1.5320543,0.02019819284637201,0.04901639548970753
21,MFF,-2.3874035,-1.8251413,0.020213877614396573,0.04901639548970753
22,THAP4,-2.3881602,-2.563362,0.02039399287867823,0.04932179309533386
23,WWC3,-2.3881602,-2.563362,0.02039399287867823,0.04932179309533386
24,DPY19L4,-2.3881602,-2.563362,0.02039399287867823,0.04932179309533386
25,SVIP,-2.3881602,-2.563362,0.02039399287867823,0.04932179309533386
26,RAB20,-2.3884163,-1.9610574,0.020167013541186735,0.04901639548970753
27,INTS10,-2.3885884,-2.17206,0.02022018727969081,0.04901639548970753
28,MMAB,-2.3885884,-2.17206,0.020220187279690813,0.04901639548970753
29,SLC2A4RG,-2.3885884,-2.17206,0.020220187279690813,0.04901639548970753
30,ZNF263,-2.3885884,-2.17206,0.020220187279690813,0.04901639548970753
31,CCSER2,-2.3885884,-2.17206,0.020220187279690813,0.04901639548970753
32,ZNF219,-2.3885884,-2.17206,0.020220187279690813,0.04901639548970753
33,XPC,-2.3885884,-2.17206,0.020220187279690813,0.04901639548970753
34,UBAP2L,-2.3885884,-2.17206,0.020220187279690813,0.04901639548970753
35,ASAP2,-2.3900466,-1.7780743,0.020128616659595665,0.04897347833141991
36,ALDH16A1,-2.390183,-2.201182,0.02021045898159523,0.04901639548970753
37,BET1L,-2.390183,-2.201182,0.02021045898159523,0.04901639548970753
38,DPM3,-2.3904502,-2.0298033,0.02016705984411189,0.04901639548970753
39,PAK1,-2.390521,-1.7924206,0.0200417526372767,0.0488216047197868
40,MTHFR,-2.3907144,-1.925441,0.02004367087613673,0.0488216047197868
41,DMTF1,-2.3907144,-1.925441,0.02004367087613666,0.0488216047197868
42,TERF2IP,-2.3907144,-1.925441,0.02004367087613666,0.0488216047197868
43,CSNK2A1,-2.392082,-1.5860516,0.019883151261793196,0.04856721316104328
44,MGME1,-2.3923461,-2.4441018,0.02005840202444468,0.04882824222158288
45,MON1A,-2.3923461,-2.4441018,0.02005840202444468,0.04882824222158288
46,ANKRD13A,-2.3927307,-1.6840194,0.019880205294396793,0.04856721316104328
47,RARA,-2.3927307,-1.6840194,0.019880205294396793,0.04856721316104328
48,PRXL2B,-2.3927307,-1.6840194,0.019880205294396793,0.04856721316104328
49,FXR2,-2.3934197,-1.7726603,0.019865040721736584,0.04856721316104328
50,MADD,-2.3940732,-1.6310365,0.019734008726492704,0.048406730708061646
51,GAA,-2.3940732,-1.6310365,0.019734008726492704,0.048406730708061646
52,SREBF2,-2.394387,-1.6053394,0.019695167449959017,0.04836257784934381
53,ATP11B,-2.3950806,-2.2859867,0.020037845658128575,0.0488216047197868
54,NRBF2,-2.3956132,-3.2010748,0.02012373797348355,0.04897347833141991
55,IGFBP7,-2.395935,-1.5640143,0.019720367713246943,0.048406730708061646
56,RAB3GAP2,-2.3964467,-2.551642,0.01991716789715529,0.04858637382953887
57,RSBN1,-2.3964467,-2.551642,0.01991716789715529,0.04858637382953887
58,ASB1,-2.3964467,-2.551642,0.01991716789715529,0.04858637382953887
59,TIMM50,-2.3964467,-2.551642,0.01991716789715529,0.04858637382953887
60,PAM16,-2.3964467,-2.551642,0.01991716789715529,0.04858637382953887
61,TBC1D10B,-2.3973608,-1.4070407,0.019561315975379315,0.048072050538382524
62,KAT5,-2.3977036,-2.2300346,0.01988091937603662,0.04856721316104328
63,TENT4B,-2.3977604,-1.5145051,0.019632728865006617,0.048234777481469406
64,CDC42EP2,-2.398112,-2.503504,0.019681982854021205,0.04834299149272951
65,ACBD4,-2.3988986,-1.8970003,0.01973262637647701,0.048406730708061646
66,NECTIN2,-2.399098,-1.2689438,0.019343217339869132,0.04762433510574676
67,SCPEP1,-2.3997328,-1.5289707,0.019506288735509386,0.0479622177597346
68,SYT13,-2.3999794,-2.9666681,0.0198352013524656,0.048526710319869715
69,MITD1,-2.3999794,-2.9666681,0.0198352013524656,0.048526710319869715
70,LRRC8A,-2.3999794,-2.9666681,0.0198352013524656,0.048526710319869715
71,FASTKD5,-2.3999794,-2.9666681,0.0198352013524656,0.048526710319869715
72,ATPAF2,-2.3999794,-2.9666681,0.0198352013524656,0.048526710319869715
73,UCHL5,-2.3999794,-2.9666681,0.0198352013524656,0.048526710319869715
74,AMACR,-2.3999794,-2.9666681,0.0198352013524656,0.048526710319869715
75,RITA1,-2.3999794,-2.9666681,0.0198352013524656,0.048526710319869715
76,PARP1,-2.3999794,-2.9666681,0.0198352013524656,0.048526710319869715
77,PHAX,-2.3999794,-2.9666681,0.0198352013524656,0.048526710319869715
78,DVL3,-2.4004653,-1.5648426,0.01943789439904219,0.04783206145596755
79,FAM222B,-2.400645,-2.1402695,0.019536366142345912,0.04802345088274755
80,CLINT1,-2.400725,-1.750301,0.019493923420796283,0.04794451435925572
81,ARL16,-2.4041853,-1.8407333,0.019456613633735874,0.04786543539579549
82,RBCK1,-2.4042113,-1.242864,0.019104934660767334,0.04712516702663896
83,ELMO3,-2.4042544,-1.1406034,0.018990191695413324,0.046916944188668215
84,TPRA1,-2.4056098,-1.8086692,0.019283438014236935,0.04748975103426565
85,NOL11,-2.4100883,-2.7593522,0.019357469613589712,0.04764678678158041
86,USP19,-2.4103084,-2.3294587,0.019262324207114722,0.047450343229946616
87,LRRC40,-2.4103084,-2.3294587,0.019262324207114722,0.047450343229946616
88,KMT5A,-2.4103084,-2.3294587,0.019262324207114722,0.047450343229946616
89,DLGAP4,-2.41242,-1.6930261,0.018952576892106474,0.04687391918799155
90,UBP1,-2.4134169,-2.1354702,0.019117295514105497,0.0471306074268067
91,MMS19,-2.4143221,-1.8589717,0.018960179764710844,0.04688023137348057
92,GALK1,-2.4149137,-2.3463356,0.019078846706713826,0.04707332672294464
93,SFSWAP,-2.4151034,-1.6441532,0.01877639066953265,0.04656223836350575
94,TMEM134,-2.4152675,-2.6524756,0.01905466408888526,0.047026161146778246
95,TXNDC15,-2.4152675,-2.6524756,0.01905466408888526,0.047026161146778246
96,SARNP,-2.4152675,-2.6524756,0.01905466408888526,0.047026161146778246
97,TEAD3,-2.4163318,-2.2632725,0.01892614076140183,0.04682101240600527
98,TANGO2,-2.4163318,-2.2632725,0.01892614076140183,0.04682101240600527
99,CPOX,-2.4163318,-2.2632725,0.01892614076140183,0.04682101240600527
100,RBM8A,-2.4163318,-2.2632725,0.01892614076140183,0.04682101240600527
101,INTS1,-2.4168525,-1.7056147,0.018771455757483756,0.04656223836350575
102,ZDHHC13,-2.4169424,-3.306571,0.019115787780103394,0.0471306074268067
103,VPS16,-2.4170473,-1.5046738,0.018572637144958555,0.04615561391686889
104,NMT1,-2.4173622,-1.9747581,0.01874127729767363,0.04650000959021829
105,SULT1A3,-2.417364,-2.0071328,0.01887983805353659,0.04675631184976698
106,GLT8D1,-2.4177592,-2.6583202,0.018988485780587518,0.046916944188668215
107,HDAC11,-2.4177592,-2.6583202,0.018988485780587518,0.046916944188668215
108,AP2A2,-2.4196467,-1.3721265,0.01851538558575628,0.04607354555892681
109,CEP120,-2.42011,-1.9076581,0.018620111956727664,0.04621173240169684
110,HSBP1L1,-2.42011,-1.9076581,0.018620111956727664,0.04621173240169684
111,MLLT3,-2.42011,-1.9076581,0.018620111956727664,0.04621173240169684
112,RABEP1,-2.42011,-1.9076581,0.018620111956727664,0.04621173240169684
113,PIGG,-2.42011,-1.9076581,0.018620111956727664,0.04621173240169684
114,HDAC1,-2.4202645,-1.4718381,0.01846773619440732,0.04598109639390792
115,GBP2,-2.4208493,-1.1495713,0.018241380895966407,0.04545409328224435
116,AP5Z1,-2.4210413,-1.4431915,0.018483845487904608,0.04600886399000551
117,MAP1LC3B,-2.4217985,-2.2182171,0.018800824845078463,0.04661037826175702
118,MRPL28,-2.4230587,-1.1106513,0.018198020247125895,0.045393206402895285
119,NUAK2,-2.4236288,-1.6905413,0.018521196127727905,0.04607354555892681
120,HIRIP3,-2.4244936,-4.881172,0.01885386154121074,0.04670444164011691
121,ALDOA,-2.4244936,-4.881172,0.01885386154121074,0.04670444164011691
122,SCMH1,-2.4244936,-4.881172,0.01885386154121074,0.04670444164011691
123,AP3S2,-2.4250474,-2.0088048,0.01845555756023582,0.04596310310547595
124,SET,-2.4259174,-1.8761307,0.018420925095900573,0.04588916444985215
125,FOXO3,-2.4259267,-2.2876205,0.01853464976481714,0.04607354555892681
126,LZTR1,-2.4259267,-2.2876205,0.01853464976481714,0.04607354555892681
127,HSD17B12,-2.4259267,-2.2876205,0.01853464976481714,0.04607354555892681
128,USP4,-2.429394,-1.591873,0.018077338338278254,0.04517874379534161
129,CYTH3,-2.4297752,-2.0404665,0.018241056734954377,0.04545409328224435
130,SLC30A7,-2.4308994,-2.1676373,0.018202274750223686,0.045393206402895285
131,ZNF700,-2.4308994,-2.1676373,0.018202274750223686,0.045393206402895285
132,BUD23,-2.4308994,-2.1676373,0.018202274750223686,0.045393206402895285
133,UBE2V1,-2.4309676,-1.808266,0.01817049059973294,0.0453626933154172
134,USP22,-2.4310174,-1.5628289,0.018068630126250294,0.04516914215778487
135,SNX2,-2.4310691,-1.7032925,0.01806471205252902,0.04516914215778487
136,MKRN1,-2.4319801,-1.9274318,0.018214039405063127,0.04541034481810259
137,LMO4,-2.4320974,-1.487079,0.0179416770455068,0.04490014730018714
138,SEC22B,-2.4349253,-1.796581,0.018045678943682728,0.04513607975081193
139,SLC30A9,-2.4358957,-2.1148474,0.01798962797047542,0.045008012620472465
140,LAG3,-2.4373562,-3.0784972,0.0181503997851114,0.04532472714700135
141,LCLAT1,-2.437851,-2.8559408,0.018096827409539495,0.04521527645096786
142,PTPN18,-2.4378934,-1.4457759,0.01776136633789053,0.0444968967201889
143,MGAT5,-2.4385316,-2.0194438,0.017923611235733137,0.044867033303687964
144,HERC2,-2.4388108,-2.6871705,0.01790832288590581,0.04484085595548361
145,HRAS,-2.4400318,-1.8271409,0.017722927069496925,0.04441694192665744
146,SDR39U1,-2.4400318,-1.8271409,0.017722927069496925,0.04441694192665744
147,CYB561D2,-2.4400318,-1.8271409,0.017722927069496925,0.04441694192665744
148,TSC2,-2.4413278,-1.2579445,0.017471685782800325,0.043984862336846384
149,TBRG1,-2.441456,-1.3641511,0.017510697515715892,0.044071121025183006
150,ESYT2,-2.4419873,-1.6242999,0.017637136868937434,0.044353265894737814
151,SLC5A3,-2.4421713,-26.543333,0.018105103867818006,0.04522378205088448
152,TUBB,-2.4425673,-1.6712099,0.017595529535442543,0.04426062470134897
153,MIER1,-2.4432514,-2.2642257,0.017704490307475354,0.04441694192665744
154,ZNRD1,-2.4432514,-2.2642257,0.017704490307475354,0.04441694192665744
155,NDUFA7,-2.4432514,-2.2642257,0.017704490307475354,0.04441694192665744
156,SLC38A1,-2.4432514,-2.2642257,0.017704490307475354,0.04441694192665744
157,SENP7,-2.4432514,-2.2642257,0.017704490307475354,0.04441694192665744
158,ANXA5,-2.4432514,-2.2642257,0.017704490307475354,0.04441694192665744
159,LATS1,-2.4436243,-2.1067185,0.01764651534763681,0.04435616121922611
