Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2021	neutrophil activation involved in immune response (GO:0002283)	229/485	2.248919e-29	6.604961e-26	0	0	2.915328e+00	1.923082e+02	CYFIP1;LGALS3;PSMD7;PNP;PSMD2;ANPEP;FTH1;PSMD3;PSMD1;PRSS3;B2M;GOLGA7;ARSA;PRKCD;HLA-B;HLA-C;ARMC8;MIF;DYNC1LI1;CSNK2B;STXBP2;MGST1;IQGAP1;IQGAP2;GNS;PLAC8;NCSTN;COMMD9;NEU1;MLEC;LTA4H;ATG7;ATP6V0A1;GSDMD;CTSA;XRCC6;JUP;XRCC5;FUCA1;FUCA2;SURF4;PA2G4;PRDX6;TOLLIP;CYSTM1;GPI;PIGR;PYGB;SERPINA1;HEXB;CTSZ;FAF2;GDI2;PTPRJ;MAGT1;AP2A2;CTSS;ACTR1B;STBD1;TIMP2;CTSH;CD36;RAC1;CTSD;SPTAN1;CTSB;CAP1;SERPINB1;DBNL;ANXA2;MME;SYK;PGAM1;GAA;TUBB;NME2;RHOG;COMMD3;ANO6;RHOF;DYNLL1;RHOA;SERPINB6;PSMA5;VAMP8;RAP2C;CEACAM1;PSMA2;ALDOC;CD47;ATP6V0C;PAFAH1B2;VAMP2;RAB7A;CD63;CSTB;GRN;CAB39;GSTP1;CST3;NRAS;PGRMC1;CREG1;PSMB1;ORMDL3;CD59;AGA;METTL7A;CD58;DYNC1H1;AOC1;GSN;PTGES2;HUWE1;TUBB4B;SVIP;ERP44;PSMC2;LAMTOR2;LAMTOR1;YPEL5;CD68;LAMTOR3;ACTR10;FRK;HSPA1A;GHDC;ATP8A1;TMEM179B;APEH;SRP14;STK10;LAMP1;LAMP2;TOM1;COTL1;SIRPA;CAPN1;OSTF1;ACAA1;KCMF1;DGAT1;IST1;ADAM10;ATP11B;ATP11A;OLFM4;ILF2;EEF1A1;ACLY;SLC27A2;PPIA;KPNB1;FTL;RAB5B;VCP;RAB5C;BRI3;PSMD13;COPB1;PSEN1;PLD1;RAP1B;SDCBP;RAP1A;DPP7;ALDH3B1;PSAP;RAB6A;SLC15A4;ATP6V1D;AP1M1;HSPA8;MGAM;RAB4B;TRAPPC1;IDH1;ARPC5;EEF2;NFKB1;IGF2R;DIAPH1;MAN2B1;HSP90AB1;B4GALT1;DDX3X;SNAP23;HMGB1;SLC2A5;ALAD;HEBP2;ADGRE5;NAPRT;ITGAV;DSP;ACTR2;HGSNAT;HSP90AA1;DYNLT1;ATP6AP2;NDUFC2;DNAJC3;PKM;NPC2;DNAJC5;TMBIM1;CAT;DNASE1;PDXK;CANT1;ROCK1;MVP;FGL2;AGPAT2;CAND1;MAPK1;STOM;TMEM30A;PDAP1;MAPK14;CPPED1;RAB10;GALNS;PFKL;TSPAN14;RAB14;VAPA;GLB1;RAB18
GO_Biological_Process_2021	neutrophil mediated immunity (GO:0002446)	230/488	2.345928e-29	6.604961e-26	0	0	2.905606e+00	1.915442e+02	CYFIP1;LGALS3;PSMD7;PNP;PSMD2;ANPEP;FTH1;PSMD3;PSMD1;PRSS3;B2M;GOLGA7;ARSA;PRKCD;HLA-B;HLA-C;ARMC8;MIF;DYNC1LI1;CSNK2B;STXBP2;MGST1;IQGAP1;IQGAP2;GNS;PLAC8;NCSTN;COMMD9;NEU1;MLEC;LTA4H;ATG7;ATP6V0A1;GSDMD;CTSA;XRCC6;ACE;JUP;XRCC5;FUCA1;FUCA2;SURF4;PA2G4;PRDX6;TOLLIP;CYSTM1;GPI;PIGR;PYGB;SERPINA1;HEXB;CTSZ;FAF2;GDI2;PTPRJ;MAGT1;AP2A2;CTSS;ACTR1B;STBD1;TIMP2;CTSH;CD36;RAC1;CTSD;SPTAN1;CTSB;CAP1;SERPINB1;DBNL;ANXA2;MME;PGAM1;GAA;TUBB;NME2;RHOG;COMMD3;ANO6;RHOF;DYNLL1;RHOA;SERPINB6;PSMA5;VAMP8;RAP2C;CEACAM1;PSMA2;ALDOC;CD47;ATP6V0C;PAFAH1B2;VAMP2;RAB7A;CD63;CSTB;GRN;CAB39;GSTP1;CST3;NRAS;PGRMC1;CREG1;PSMB1;ORMDL3;CD59;AGA;METTL7A;CD58;DYNC1H1;AOC1;GSN;PTGES2;HUWE1;TUBB4B;SVIP;ERP44;PSMC2;LAMTOR2;LAMTOR1;YPEL5;CD68;LAMTOR3;ACTR10;FRK;HSPA1A;GHDC;ATP8A1;TMEM179B;APEH;SRP14;STK10;LAMP1;LAMP2;TOM1;COTL1;SIRPA;CAPN1;OSTF1;ACAA1;KCMF1;DGAT1;IST1;ADAM10;ATP11B;ATP11A;OLFM4;ILF2;EEF1A1;ACLY;SLC27A2;PPIA;KPNB1;FTL;KMT2E;RAB5B;VCP;RAB5C;BRI3;PSMD13;COPB1;PSEN1;PLD1;RAP1B;SDCBP;RAP1A;DPP7;ALDH3B1;PSAP;RAB6A;SLC15A4;ATP6V1D;AP1M1;HSPA8;MGAM;RAB4B;TRAPPC1;IDH1;ARPC5;EEF2;NFKB1;IGF2R;DIAPH1;MAN2B1;HSP90AB1;B4GALT1;DDX3X;SNAP23;HMGB1;SLC2A5;ALAD;HEBP2;ADGRE5;NAPRT;ITGAV;DSP;ACTR2;HGSNAT;HSP90AA1;DYNLT1;ATP6AP2;NDUFC2;IRAK4;DNAJC3;PKM;NPC2;DNAJC5;TMBIM1;CAT;PDXK;CANT1;ROCK1;MVP;FGL2;AGPAT2;CAND1;MAPK1;STOM;TMEM30A;PDAP1;MAPK14;CPPED1;RAB10;GALNS;PFKL;TSPAN14;RAB14;VAPA;GLB1;RAB18
GO_Biological_Process_2021	neutrophil degranulation (GO:0043312)	227/481	4.346501e-29	8.158383e-26	0	0	2.911741e+00	1.901530e+02	CYFIP1;LGALS3;PSMD7;PNP;PSMD2;ANPEP;FTH1;PSMD3;PSMD1;PRSS3;B2M;GOLGA7;ARSA;PRKCD;HLA-B;HLA-C;ARMC8;MIF;DYNC1LI1;CSNK2B;STXBP2;MGST1;IQGAP1;IQGAP2;GNS;PLAC8;NCSTN;COMMD9;NEU1;MLEC;LTA4H;ATG7;ATP6V0A1;GSDMD;CTSA;XRCC6;JUP;XRCC5;FUCA1;FUCA2;SURF4;PA2G4;PRDX6;TOLLIP;CYSTM1;GPI;PIGR;PYGB;SERPINA1;HEXB;CTSZ;FAF2;GDI2;PTPRJ;MAGT1;AP2A2;CTSS;ACTR1B;STBD1;TIMP2;CTSH;CD36;RAC1;CTSD;SPTAN1;CTSB;CAP1;SERPINB1;DBNL;ANXA2;MME;PGAM1;GAA;TUBB;NME2;RHOG;COMMD3;ANO6;RHOF;DYNLL1;RHOA;SERPINB6;PSMA5;VAMP8;RAP2C;CEACAM1;PSMA2;ALDOC;CD47;ATP6V0C;PAFAH1B2;VAMP2;RAB7A;CD63;CSTB;GRN;CAB39;GSTP1;CST3;NRAS;PGRMC1;CREG1;PSMB1;ORMDL3;CD59;AGA;METTL7A;CD58;DYNC1H1;AOC1;GSN;PTGES2;HUWE1;TUBB4B;SVIP;ERP44;PSMC2;LAMTOR2;LAMTOR1;YPEL5;CD68;LAMTOR3;ACTR10;FRK;HSPA1A;GHDC;ATP8A1;TMEM179B;APEH;SRP14;STK10;LAMP1;LAMP2;TOM1;COTL1;SIRPA;CAPN1;OSTF1;ACAA1;KCMF1;DGAT1;IST1;ADAM10;ATP11B;ATP11A;OLFM4;ILF2;EEF1A1;ACLY;SLC27A2;PPIA;KPNB1;FTL;RAB5B;VCP;RAB5C;BRI3;PSMD13;COPB1;PSEN1;PLD1;RAP1B;SDCBP;RAP1A;DPP7;ALDH3B1;PSAP;RAB6A;SLC15A4;ATP6V1D;AP1M1;HSPA8;MGAM;RAB4B;TRAPPC1;IDH1;ARPC5;EEF2;NFKB1;IGF2R;DIAPH1;MAN2B1;HSP90AB1;B4GALT1;DDX3X;SNAP23;HMGB1;SLC2A5;ALAD;HEBP2;ADGRE5;NAPRT;ITGAV;DSP;ACTR2;HGSNAT;HSP90AA1;DYNLT1;ATP6AP2;NDUFC2;DNAJC3;PKM;NPC2;DNAJC5;TMBIM1;CAT;PDXK;CANT1;ROCK1;MVP;FGL2;AGPAT2;CAND1;MAPK1;STOM;TMEM30A;PDAP1;MAPK14;CPPED1;RAB10;GALNS;PFKL;TSPAN14;RAB14;VAPA;GLB1;RAB18
GO_Biological_Process_2021	mitochondrial ATP synthesis coupled electron transport (GO:0042775)	61/71	4.278424e-28	6.022952e-25	0	0	1.949303e+01	1.228427e+03	COX7B;NDUFA13;NDUFA11;NDUFA12;COX4I1;NDUFA10;COX6A1;COX7C;UQCRFS1;COA6;COX8A;NDUFC2;NDUFC1;SDHC;SDHD;SDHA;COX6B1;COX7A2L;NDUFS8;NDUFS7;NDUFS6;NDUFS5;NDUFS4;NDUFS3;UQCRC1;NDUFS2;NDUFS1;UQCRC2;NDUFB9;NDUFB8;NDUFB7;NDUFB10;NDUFB6;UQCRB;NDUFB11;NDUFB5;NDUFB4;NDUFB3;NDUFB2;NDUFB1;UQCR11;UQCR10;COX5B;COX5A;UQCRH;CYC1;NDUFV2;NDUFV1;NDUFA9;NDUFA7;NDUFA6;NDUFA5;UQCC3;NDUFA4;NDUFA3;NDUFA2;NDUFA1;COX6C;UQCRQ;NDUFAB1;CYCS
GO_Biological_Process_2021	aerobic electron transport chain (GO:0019646)	60/70	1.543438e-27	1.738220e-24	0	0	1.916944e+01	1.183440e+03	COX7B;NDUFA13;NDUFA11;NDUFA12;COX4I1;NDUFA10;COX6A1;COX7C;UQCRFS1;COX8A;NDUFC2;NDUFC1;SDHC;SDHD;SDHA;COX6B1;COX7A2L;NDUFS8;NDUFS7;NDUFS6;NDUFS5;NDUFS4;NDUFS3;UQCRC1;NDUFS2;NDUFS1;UQCRC2;NDUFB9;NDUFB8;NDUFB7;NDUFB10;NDUFB6;UQCRB;NDUFB11;NDUFB5;NDUFB4;NDUFB3;NDUFB2;NDUFB1;UQCR11;UQCR10;COX5B;COX5A;UQCRH;CYC1;NDUFV2;NDUFV1;NDUFA9;NDUFA7;NDUFA6;NDUFA5;UQCC3;NDUFA4;NDUFA3;NDUFA2;NDUFA1;COX6C;UQCRQ;NDUFAB1;CYCS
GO_Biological_Process_2021	RNA splicing, via transesterification reactions with bulged adenosine as nucleophile (GO:0000377)	136/251	5.891316e-25	5.529000e-22	0	0	3.813186e+00	2.127420e+02	HNRNPU;HNRNPR;CWC25;CASC3;CCAR1;PNN;RAVER1;MAGOH;RAVER2;PAPOLA;MTREX;SNRPD3;TXNL4A;SRRM2;AQR;IK;PRPF4B;WBP11;SRRM1;PRPF6;DDX39B;HNRNPUL1;PSPC1;PRPF3;SNRPG;SRSF2;CD2BP2;SRSF3;SRSF4;SRSF5;SNRNP200;SNRPC;SRSF6;SRSF7;SNRPA;SRSF8;SF1;SNRPB;SRSF9;ZCCHC8;DDX5;RBM8A;DHX9;YTHDC1;SNU13;PRPF8;PCBP1;PCBP2;DHX38;SYMPK;HSPA8;CPSF7;PRPF38A;FUS;CPSF3;NONO;CPSF2;CWC15;LSM4;CHERP;HNRNPL;HNRNPM;LSM8;LSM7;HNRNPK;HNRNPF;HNRNPD;RNPS1;HNRNPC;SUGP1;DDX46;DDX42;PPWD1;YBX1;PQBP1;SYNCRIP;UBL5;PTBP1;RBM4;SART3;PCF11;SNRNP70;DHX15;DHX16;CTNNBL1;RBM5;RBM6;RBM17;RBM14;NCBP2;BUD31;PRPF40A;TFIP11;WDR33;SFPQ;HNRNPH1;SYF2;FRG1;SNRPA1;HNRNPH3;PABPC1;DNAJC8;SF3B4;SF3B2;SF3B6;DDX23;PRCC;SRSF1;U2AF1L4;FIP1L1;PABPN1;POLR2A;PUF60;U2AF2;POLR2C;TRA2B;TRA2A;POLR2E;RALY;SNRPB2;POLR2H;HNRNPA1;POLR2I;SF3B1;SRSF10;POLR2J;SMNDC1;SRSF11;HNRNPA0;POLR2L;SF3A1;HNRNPA3;SF3A2;U2SURP;HNRNPA2B1;SNRNP48
GO_Biological_Process_2021	mRNA processing (GO:0006397)	153/300	2.913476e-24	2.343683e-21	0	0	3.361090e+00	1.821465e+02	HNRNPU;HNRNPR;CWC25;CASC3;CCAR1;PNN;ALKBH5;RAVER1;MAGOH;RAVER2;PAPOLA;MTREX;SNRPD3;TXNL4A;CMTR2;SRRM2;AQR;IK;SCAF11;PRPF4B;THOC2;WBP11;THOC7;SRRM1;PRPF6;DDX39B;HNRNPUL1;PSPC1;SARNP;PRPF3;SNRPG;SRSF2;CD2BP2;SRSF3;SRSF4;SRSF5;AURKAIP1;SNRNP200;SNRPC;SRSF6;SRSF7;SNRPA;SRSF8;SF1;SNRPB;SRSF9;ZCCHC8;DDX5;RBM8A;DHX9;YTHDC1;SUPT4H1;SNU13;PRPF8;PCBP1;PCBP2;DHX38;SYMPK;RPRD1B;HSPA8;CHTOP;CPSF7;PRPF38A;CPSF6;FUS;CPSF3;NONO;CPSF2;CWC15;SUPT5H;LSM4;CHERP;HNRNPL;HNRNPM;LSM8;LSM7;HNRNPK;SON;HNRNPF;HNRNPD;RNPS1;HNRNPC;SUGP1;DDX46;CELF1;AKAP8L;DDX42;PPWD1;YBX1;PQBP1;SYNCRIP;UBL5;PTBP1;RBM4;SART3;PCF11;SNRNP70;DHX15;DHX16;CTNNBL1;RBM5;RBM6;RBM17;RBM14;NCBP2;BUD31;PRPF40A;TFIP11;WDR33;SFPQ;HNRNPH1;SYF2;FRG1;SNRPA1;HNRNPH3;PABPC1;DNAJC8;SF3B4;SF3B2;SF3B6;DDX23;PRCC;SRSF1;TBRG4;U2AF1L4;FIP1L1;PABPN1;POLR2A;PUF60;U2AF2;POLR2C;TRA2B;TRA2A;POLR2E;RALY;SNRPB2;POLR2H;HNRNPA1;POLR2I;SF3B1;SRSF10;POLR2J;SMNDC1;SRSF11;HNRNPA0;POLR2L;SF3A1;HNRNPA3;SF3A2;GTF2H1;U2SURP;HNRNPA2B1;SNRNP48
GO_Biological_Process_2021	mRNA splicing, via spliceosome (GO:0000398)	142/274	1.750071e-23	1.231831e-20	0	0	3.469197e+00	1.817852e+02	HNRNPU;HNRNPR;CWC25;CASC3;CCAR1;PNN;RAVER1;MAGOH;RAVER2;PAPOLA;MTREX;SNRPD3;TXNL4A;DDX17;SRRM2;AQR;IK;SCAF11;PRPF4B;WBP11;SRRM1;PRPF6;DDX39B;HNRNPUL1;PSPC1;CLNS1A;PRPF3;SNRPG;SRSF2;CD2BP2;SRSF3;SRSF4;SRSF5;SNRNP200;SNRPC;SRSF6;SRSF7;SNRPA;SRSF8;SF1;SNRPB;SRSF9;ZCCHC8;DDX5;RBM8A;DHX9;YTHDC1;DDX1;SNU13;PRPF8;PCBP1;PCBP2;DHX38;SYMPK;HSPA8;CPSF7;PRPF38A;FUS;CPSF3;NONO;CPSF2;CWC15;LSM4;SRPK1;CHERP;HNRNPL;HNRNPM;LSM8;LSM7;HNRNPK;HNRNPF;HNRNPD;RNPS1;HNRNPC;SUGP1;DDX46;DDX42;PPWD1;YBX1;PQBP1;SYNCRIP;UBL5;PTBP1;RBM4;SART3;PCF11;SNRNP70;DHX15;DHX16;CTNNBL1;RBM5;RBM6;RBM17;RBM14;NCBP2;BUD31;PRPF40A;TFIP11;WDR33;SFPQ;HNRNPH1;SYF2;FRG1;STRAP;SNRPA1;HNRNPH3;PABPC1;DNAJC8;SF3B4;SF3B2;SF3B6;DDX23;PRCC;SRSF1;U2AF1L4;FIP1L1;PABPN1;POLR2A;PUF60;U2AF2;POLR2C;TRA2B;TRA2A;POLR2E;RALY;SNRPB2;POLR2H;HNRNPA1;POLR2I;SF3B1;SRSF10;POLR2J;SMNDC1;SRSF11;HNRNPA0;POLR2L;SF3A1;HNRNPA3;SF3A2;U2SURP;HNRNPA2B1;SNRNP48
GO_Biological_Process_2021	regulation of mRNA catabolic process (GO:0061013)	80/122	2.479017e-22	1.551038e-19	0	0	6.098378e+00	3.033883e+02	YWHAB;FMR1;HSPB1;PSMD8;PSMD9;ZFP36;PSMD7;XPO1;PSMD4;KHSRP;PSMD2;PSMD3;AKT1;PSMD1;TNPO1;NUP214;UPF1;PCID2;DIS3;PRKCD;RC3H1;PRKCA;GTPBP1;YWHAZ;PSMA5;PSMA6;CARHSP1;PSMA3;PSMA4;XRN1;PSMA1;PSMA2;MAPKAPK2;PSME1;PSME2;PKP3;PABPC1;UBA52;SET;ANP32A;PSMD13;ZC3HAV1;ZFP36L2;PSMA7;ZFP36L1;FXR1;PSMB6;EXOSC6;PSMB4;FXR2;PSMB5;UBB;PCBP4;PSMB3;UBC;PSMB1;PSMF1;IGF2BP2;ZC3H14;HSPA8;YTHDF1;YTHDF2;YTHDF3;SAMD4B;PUM1;PSMB8;PUM2;PSMB9;MOV10;PSMC5;CNOT7;PSMC6;CNOT1;PSMC1;PSMC2;SERBP1;HNRNPD;CNOT8;EIF4G1;HSPA1A
GO_Biological_Process_2021	cellular protein modification process (GO:0006464)	381/1025	4.123606e-22	2.322002e-19	0	0	1.942447e+00	9.564635e+01	APP;GMFB;PGAP1;ARAF;ZDHHC6;DCAF8;PPP2R2A;DCAF7;UBE2L3;DCAF6;PSMD8;GOLGA2;LIPE;PSMD9;NUB1;PPP4R1;PSMD7;PPP4R2;PSMD4;PPP2R1B;PPP2R1A;PSMD2;PSMD3;CDK20;PDK4;AKT1;PSMD1;PDK3;FBXO7;PDK2;FBXO9;PDK1;SKP1;ATG3;WSB1;CSNK2A1;WSB2;DAPK2;ALG5;PRKCD;COG3;CSNK1D;PRKCA;CSNK1E;PHKA2;PRKAB1;BCR;PSME1;SIK3;PSME2;ULK1;PRKD2;TRIB1;UBA52;MTMR3;RPN2;EPAS1;CTBP1;RPN1;DCUN1D1;ZC3HAV1;MTMR4;NLK;PRKCZ;TGOLN2;UGCG;NUAK2;STK38L;PSMF1;APOB;ATG7;ATG5;LHPP;NUS1;ICMT;INSR;FUCA2;EIF2AK2;PTK6;SRPK1;PPP5C;WNK1;WNK2;CDK10;FBXL3;BAP1;CDK16;PIGS;ARF4;PIGT;SERPINA1;GPAA1;PRKAG2;AATK;MIA3;PTPRJ;PTPRK;PTPRH;WDR45;PRSS23;TRIOBP;PTPRF;DDA1;IKBKB;ANKRD9;PPP3CA;UBL5;SERP1;FASTK;UBXN7;ELOB;RAB8A;JAK1;DUSP5;BRD2;PARP6;PARP3;PARP4;RIPK3;SYK;DUSP1;STRADB;MINK1;SIRT7;TYK2;PARP9;SUMF2;SUMF1;PARP8;DDB1;PSMA5;PSMA6;PSMA3;PSMA4;B3GNT8;PSMA1;MMP15;PSMA2;RARA;PICK1;FAM20C;SGK3;GAS6;SGK1;CHST5;PIGH;WDR45B;NEDD8;PSMA7;CAMKK2;PSMB6;CST3;PPP2CA;PPP2CB;PSMB4;PAK1;PSMB5;PSMB3;PSMB1;GCNT2;MGAT1;AGA;MAP4K5;PAK2;LCMT1;PAK4;EGLN3;GOLM1;CSNK1A1;MCRS1;GLYCTK;WWP2;KRT10;HIPK1;PSMB8;HIPK3;RAB11A;PSMB9;PPP1CA;KTN1;RAB11B;SPSB3;PDP1;PSMC5;PSMC6;TAOK3;PSMC1;STK17B;PSMC2;TAOK2;NUCB1;PKN2;COQ8A;FRK;ENGASE;PNPLA2;PRAG1;UBE2D2;UBE2D3;MPI;PARK7;FBXO21;FBXO22;CDC14B;PPP1CB;STK10;PPP1CC;STK11;PIM1;PIM3;SBF1;LARGE1;TGM2;MEN1;RAB2A;CSNK1G3;MORC3;FBXW5;IGFBP4;APLP2;DYRK1A;SHISA5;ADAM10;LMTK2;DYRK1B;PRPF4B;LMO7;FBXO11;PDIA6;FBXW2;NRBP1;RBX1;CTDNEP1;ERN2;ILF3;MAPKAPK2;TNIK;PHPT1;CSNK1G2;UBA7;CUL5;PSMD13;TNKS;CUL3;STK39;CUL1;FUT2;FUT4;HSP90B1;MTM1;FUT6;COP1;GRK2;IRAK1;MAN2A2;OARD1;MAN2A1;STK38;NAE1;MARK3;WDTC1;UBE2I;NEK7;OGA;ISG15;B3GALT5;BTBD6;FBXO32;SSH2;CLK3;FBXO31;CLK2;PTPRD;BMP2;COPS6;COPS5;STK24;CDK5;PTPRA;STK25;CDK3;COPS2;AAK1;STT3A;UBA3;MAN2B1;MELTF;STT3B;MAP3K13;RAB5A;MAP3K11;UBE2M;BMPR1A;ST6GALNAC1;GSK3A;DYRK2;BMPR2;PRKCSH;MAST2;NGLY1;PTEN;ILK;PTPN22;DUSP16;UFL1;PPP6C;TLK1;ILKAP;DSP;PDPK1;APOA1;PPP2R5A;PPP2R5D;OXSR1;PPP2R5C;RABGGTA;YWHAZ;TGFBR2;DNAJC3;LATS1;PPM1A;PTP4A2;PPM1B;RCN1;NPC1;CTDSP1;DAD1;PEAK1;CTDSP2;ATG4B;BIRC6;B4GALT5;RAB1A;PRKAA1;CAMK2D;ROCK1;ROCK2;RAB1B;ASB13;TULP4;PDXP;GLRX;RNF7;ACVR1B;THBS1;PPM1G;CAND1;TNKS2;MKNK2;ERBB2;PTK2B;MAPK1;FEM1C;CSK;RBBP7;DCAF11;MAPK6;MAPK3;MBTPS1;PTPN18;SLC35A1;ATE1;USP25;CDK11A;FEM1B;CDC42BPG;LAMB1;FBXL15;CDC42BPB;BCKDK;CUL4A;PINK1;SNRK;ASB8;MGAT4A;PTPN9;P4HB;METAP1;ASB1;CUL4B;METAP2
