,names,scores,logfoldchanges,pvals,pvals_adj
0,IGKC,12.737383,2.454419,1.6479774154175117e-20,9.614470591933032e-18
1,IGHG4,12.530388,3.2466135,3.435369688925177e-20,1.7715056362557497e-17
2,MUC1,12.378098,4.026383,3.4576904595602568e-28,3.2094282845638306e-24
3,IGHG3,12.057201,3.5124624,1.4923721383978256e-20,9.614470591933032e-18
4,IGLC2,10.260501,3.2149613,1.958501641077536e-17,5.680878822650528e-15
5,CD79B,9.923701,26.144928,3.125155173001603e-22,3.116897100783754e-19
6,IGLC3,8.794133,2.8468246,4.802995895519589e-15,7.430234650368804e-13
7,MMP12,8.625718,25.911867,2.3682152579601607e-17,6.4652276542312385e-15
8,IGHA1,8.541266,2.0003352,1.4934049664084243e-12,1.226706628159557e-10
9,ICAM1,8.475989,25.744457,7.954292725504873e-17,1.8931216686701597e-14
10,IGHG1,8.251117,2.4838629,1.6607146261569855e-12,1.3288580310335465e-10
11,CXCL10,7.9828444,25.695673,3.786943817167352e-15,6.276859376954886e-13
12,CCL19,7.7548943,25.926193,2.1121205813982462e-14,3.0161081902366955e-12
13,COL7A1,7.6438265,25.456947,4.804853196609304e-14,6.194256579295495e-12
14,REG1A,7.5981774,1.7327527,5.800824036396062e-11,3.204955280108824e-09
15,SNHG15,7.4241743,25.14026,2.3687965009864305e-13,2.5566475723437264e-11
16,SLC15A3,7.349302,25.112892,4.042988143440474e-13,4.035163005098331e-11
17,CALHM6,7.279455,25.17616,6.629068517427814e-13,6.215253937248987e-11
18,IGLC1,7.2535143,1.9850733,1.7074318599575327e-10,8.520635765659041e-09
19,PRKCB,7.0135922,24.931942,4.193169092259222e-12,3.164308578402447e-10
20,VAV1,6.9882193,25.049559,4.98467771337954e-12,3.643132168156605e-10
21,IKZF1,6.903118,24.998112,8.866899690984514e-12,6.177254656737181e-10
22,CSF1R,6.831102,24.990784,1.4366558798003343e-11,9.260444358546457e-10
23,FCRL1,6.831102,24.990784,1.4366558798003555e-11,9.260444358546457e-10
24,APBA2,6.806856,24.90583,1.688420278058524e-11,1.051806511472431e-09
25,IGHM,6.720301,1.637614,2.640680469620286e-09,8.91301677055109e-08
26,CD19,6.713346,25.192944,3.1325491852901204e-11,1.8519950024116497e-09
27,ADAM19,6.705737,24.892601,3.2930352952343514e-11,1.922387019519827e-09
28,NIBAN3,6.697443,24.9472,3.4771469050426224e-11,2.0171798482878513e-09
29,MS4A1,6.617829,3.306417,5.949828059440128e-10,2.3600984635779174e-08
30,DOK3,6.4803734,24.773148,1.41401640484705e-10,7.3323465194359315e-09
31,PACS1,6.335872,24.68063,3.517373212050457e-10,1.5696277958775164e-08
32,CR2,6.2669845,24.89991,5.396620684588243e-10,2.177888399754264e-08
33,SNHG1,6.057143,1.3034585,6.25000343596347e-08,1.2529704512443398e-06
34,AL627171.2,6.0221486,1.0194356,7.00821973457704e-08,1.3752705195844414e-06
35,DRAM1,5.9416065,24.57224,3.854023462946147e-09,1.2209230642684688e-07
36,TCL1A,5.915078,24.565472,4.5055771953409135e-09,1.3847936267269654e-07
37,SLAMF8,5.9026823,24.750065,4.845691536941175e-09,1.4795298962463152e-07
