,names,scores,logfoldchanges,pvals,pvals_adj
0,IGHA2,-2.2538233,-1.2073848,0.027741542928279853,0.04983491415914333
1,Z93241.1,-2.253967,-1.4197176,0.02775456778097795,0.04984866450136171
2,TMEM243,-2.2550461,-3.1516118,0.027800068340871797,0.04989176998065971
3,LYRM2,-2.2550461,-3.1516118,0.027800068340871797,0.04989176998065971
4,GPALPP1,-2.2550461,-3.1516118,0.027800068340871797,0.04989176998065971
5,ANAPC1,-2.2550461,-3.1516118,0.027800068340871797,0.04989176998065971
6,TBC1D22A,-2.2559733,-1.9345149,0.027680885712430436,0.04973557514184655
7,ATG16L1,-2.2561224,-2.0809321,0.0276580663822432,0.04971382109991893
8,PREP,-2.256608,-1.9345149,0.02764297774481436,0.049696323731816164
9,SCMH1,-2.2571335,-3.4167733,0.02767624713164929,0.04973557514184655
10,ACAD10,-2.2573435,-1.680462,0.027551848259640896,0.04954208747500713
11,AKNA,-2.258463,-1.4790316,0.02747542333877187,0.04941423744051163
12,GRIPAP1,-2.259199,-1.257902,0.027375883394296245,0.04927249330949019
13,GAA,-2.259213,-1.4279323,0.02739010662016516,0.04927989332203392
14,SATB1,-2.2593124,-1.6705366,0.027437972507567902,0.04935644589442738
15,ACACB,-2.2612925,-1.7878046,0.027318763040778696,0.04918013160289136
16,SWAP70,-2.2614484,-2.809915,0.027380685249983886,0.04927249330949019
17,RUFY3,-2.2639804,-1.69079,0.027110348557813937,0.048823875691429756
18,RCN2,-2.2642612,-1.3399959,0.0270643731115603,0.04876946441885123
19,PARL,-2.265007,-1.8335166,0.027056680990140504,0.04876507047582217
20,PCGF2,-2.2654715,-2.6238585,0.027098872067481242,0.048812678154543154
21,ANKRD13C,-2.2654715,-2.6238585,0.027098872067481242,0.048812678154543154
22,NCAPH2,-2.2659764,-1.8972493,0.02701188860485023,0.0487032536966239
23,RDH13,-2.2659764,-1.8972493,0.027011888604850206,0.0487032536966239
24,CHMP7,-2.26623,-1.6439112,0.02695270584238548,0.0486248815605485
