,names,scores,logfoldchanges,pvals,pvals_adj
0,IDH1,-4.24875,-2.3280537,6.106247018569158e-05,0.03542386551647433
1,HNRNPA2B1,-4.2629647,-1.3439226,5.123788272474522e-05,0.03170600183007234
2,SMG1,-4.291614,-1.8310065,4.9004691067495635e-05,0.03170600183007234
3,DEFA6,-4.382235,-1.28075,3.200991092936189e-05,0.02285507640356439
4,PRRG3,-4.5709157,-1.4938256,1.537564718930997e-05,0.014271675721117514
5,NEAT1,-4.825216,-1.4002428,5.758433769720268e-06,0.0074948405870951295
6,MT2A,-4.852104,-1.8406748,6.4596772998018786e-06,0.0074948405870951295
7,MT-ATP6,-4.9225864,-1.0334961,3.489292936795195e-06,0.0053979361732221665
8,MALAT1,-5.1506743,-1.2611992,1.231767095569348e-06,0.002858315545268672
9,COL6A3,-5.1577716,-2.187665,1.6616857100939535e-06,0.003084753352218415
10,AC073140.1,-6.613872,-1.0070909,1.3112085217663415e-09,1.2170637499035183e-05
