,names,scores,logfoldchanges,pvals,pvals_adj
0,AL627171.2,9.7114315,1.6875613,5.998013168579417e-16,1.855785274358472e-12
1,IGKC,8.954762,2.041805,1.6705393433737724e-14,3.876486546298839e-11
2,REG1A,8.662053,3.3849914,2.683909473148608e-13,4.982409545953075e-10
3,IGHA1,7.939346,2.492592,4.429128581508607e-12,6.851861915593816e-09
4,JCHAIN,6.1773868,2.1982727,1.7677274503625175e-08,1.8231162438072096e-05
5,DMBT1,6.1578784,2.629729,2.203935571200823e-08,2.0456929971886037e-05
6,IGHG4,5.3347645,1.4225545,5.474160049144502e-07,0.0003908550275089174
7,C1QA,5.113589,2.3694434,1.887598605757235e-06,0.0012514778756170467
8,IGHG3,4.645027,2.0442612,1.191845607807813e-05,0.0061459505175956225
9,S100A6,4.4434085,1.4458952,2.193178941487535e-05,0.009693850921374904
10,SPINK4,4.303213,1.7392274,4.124950388793655e-05,0.016646865003818567
11,LINC02739,4.1407776,1.3192008,6.921272810496909e-05,0.025659530715452992
12,TMSB10,4.134068,1.1870779,7.187543617773947e-05,0.025659530715452992
13,PSAP,3.915299,1.7511632,0.0001726209563332459,0.04712552107897613
