,names,scores,logfoldchanges,pvals,pvals_adj
0,SAMHD1,-3.4100466,-1.0563782,0.0007044126172309735,0.04637133271729005
1,SYTL2,-3.4623387,-1.5479916,0.0005814626981962981,0.04088739973225787
2,GPM6A,-3.4658916,-1.5586691,0.0005737922051580187,0.040868324272670946
3,ASB6,-3.4830663,-24.729166,0.0005653742958046504,0.040868324272670946
4,TMEM39A,-3.4875395,-3.4689705,0.0005415920063019011,0.04036343411743098
5,CSKMT,-3.5189645,-1.272968,0.00047288260186371055,0.03688484294536942
6,CACNB3,-3.5258152,-24.659575,0.00048443265958300835,0.03716118963842548
7,AC067930.8,-3.5416794,-1.1897835,0.00043670227642783534,0.035181695287539914
8,FLYWCH1,-3.5421216,-2.7649267,0.00043887407326984734,0.035181695287539914
9,TJP1,-3.5638092,-24.885126,0.00042173659229537,0.03464211548394358
10,PROM1,-3.5639038,-1.189671,0.0004013938778738448,0.033870345222045704
11,CPNE2,-3.6731906,-1.8316102,0.0002656394381965214,0.02460567899522354
12,CYP4F2,-4.0443125,-1.38972,6.0892756246184346e-05,0.007340344980221858
13,AGGF1,-4.1886425,-3.7177474,3.455470915462489e-05,0.0048596486420186095
14,ATP8A1,-4.476031,-1.2804826,9.447875498212704e-06,0.0016864457764309677
15,COL6A3,-5.0224466,-1.5814608,7.125333528891632e-07,0.0001740456468820319
16,KDM4C,-5.0573893,-2.7621098,6.191548628917709e-07,0.00015532420100976805
17,PRRG3,-7.0340724,-1.4944103,7.04027897740637e-12,5.940715406207812e-09
18,IGHG1,-7.821285,-1.359383,4.4936021746842676e-14,5.958516483631338e-11
19,MALAT1,-7.996273,-1.2356256,1.9051128057032107e-14,2.947209510422867e-11
20,AC073140.1,-10.423079,-1.0158402,3.59376206460405e-22,1.1119099827884931e-18
