Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2021	fructose catabolic process (GO:0006001)	2/5	8.218869e-05	3.213578e-02	0	0	2.373690e+02	2.232810e+03	ALDOB;KHK
GO_Biological_Process_2021	fructose catabolic process to hydroxyacetone phosphate and glyceraldehyde-3-phosphate (GO:0061624)	2/5	8.218869e-05	3.213578e-02	0	0	2.373690e+02	2.232810e+03	ALDOB;KHK
GO_Biological_Process_2021	regulation of systemic arterial blood pressure by renin-angiotensin (GO:0003081)	2/7	1.719540e-04	3.311942e-02	0	0	1.424071e+02	1.234426e+03	ENPEP;ACE
GO_Biological_Process_2021	glyceraldehyde-3-phosphate metabolic process (GO:0019682)	2/7	1.719540e-04	3.311942e-02	0	0	1.424071e+02	1.234426e+03	ALDOB;KHK
GO_Biological_Process_2021	fructose metabolic process (GO:0006000)	2/8	2.288449e-04	3.311942e-02	0	0	1.186667e+02	9.947193e+02	ALDOB;KHK
GO_Biological_Process_2021	chylomicron remodeling (GO:0034371)	2/9	2.936810e-04	3.311942e-02	0	0	1.017092e+02	8.272024e+02	APOA1;APOB
GO_Biological_Process_2021	chylomicron assembly (GO:0034378)	2/10	3.664175e-04	3.311942e-02	0	0	8.899107e+01	7.040740e+02	APOA1;APOB
GO_Biological_Process_2021	secondary alcohol metabolic process (GO:1902652)	3/49	3.878612e-04	3.311942e-02	0	0	2.359209e+01	1.853127e+02	ABCA5;APOA1;APOB
GO_Biological_Process_2021	cholesterol transport (GO:0030301)	3/51	4.366088e-04	3.311942e-02	0	0	2.260682e+01	1.748970e+02	ABCA5;APOA1;APOB
GO_Biological_Process_2021	angiotensin maturation (GO:0002003)	2/12	5.354125e-04	3.311942e-02	0	0	7.118571e+01	5.362045e+02	ENPEP;ACE
GO_Biological_Process_2021	regulation of angiotensin levels in blood (GO:0002002)	2/12	5.354125e-04	3.311942e-02	0	0	7.118571e+01	5.362045e+02	ENPEP;ACE
GO_Biological_Process_2021	phospholipid homeostasis (GO:0055091)	2/12	5.354125e-04	3.311942e-02	0	0	7.118571e+01	5.362045e+02	RCN3;APOA1
GO_Biological_Process_2021	triglyceride-rich lipoprotein particle remodeling (GO:0034370)	2/13	6.315820e-04	3.311942e-02	0	0	6.471104e+01	4.767445e+02	APOA1;APOB
GO_Biological_Process_2021	organic substance transport (GO:0071702)	4/136	6.529806e-04	3.311942e-02	0	0	1.111672e+01	8.152964e+01	RCN3;CUBN;ABCA5;APOA1
GO_Biological_Process_2021	positive regulation of cellular catabolic process (GO:0031331)	4/141	7.475655e-04	3.311942e-02	0	0	1.070830e+01	7.708571e+01	HSP90AA1;NRDC;APOA1;HMGB1
GO_Biological_Process_2021	chromatin organization (GO:0006325)	4/142	7.675843e-04	3.311942e-02	0	0	1.063017e+01	7.624234e+01	ATRX;HMGN2;CHD1;BPTF
GO_Biological_Process_2021	receptor-mediated endocytosis (GO:0006898)	4/143	7.879796e-04	3.311942e-02	0	0	1.055316e+01	7.541327e+01	CUBN;HSP90AA1;APOA1;APOB
GO_Biological_Process_2021	organonitrogen compound catabolic process (GO:1901565)	3/63	8.122998e-04	3.311942e-02	0	0	1.807455e+01	1.286120e+02	ENPEP;ACE;CYP3A5
GO_Biological_Process_2021	positive regulation of DNA metabolic process (GO:0051054)	3/63	8.122998e-04	3.311942e-02	0	0	1.807455e+01	1.286120e+02	RAD50;ATRX;HMGB1
GO_Biological_Process_2021	positive regulation of chromosome organization (GO:2001252)	2/15	8.470440e-04	3.311942e-02	0	0	5.475000e+01	3.872882e+02	RAD50;ATRX
GO_Biological_Process_2021	regulation of systemic arterial blood pressure by hormone (GO:0001990)	2/16	9.662485e-04	3.598125e-02	0	0	5.083673e+01	3.529132e+02	ENPEP;ACE
GO_Biological_Process_2021	reverse cholesterol transport (GO:0043691)	2/17	1.093044e-03	3.691600e-02	0	0	4.744524e+01	3.235191e+02	ABCA5;APOA1
GO_Biological_Process_2021	sterol metabolic process (GO:0016125)	3/70	1.103757e-03	3.691600e-02	0	0	1.618046e+01	1.101733e+02	ABCA5;APOA1;APOB
