,names,scores,logfoldchanges,pvals,pvals_adj
0,AL627171.2,36.557095,2.3868144,3.6066878242032234e-210,3.3477276384254323e-206
1,IGHA1,34.068718,3.4772432,7.148559742863573e-190,3.317646576662984e-186
2,REG1A,31.735495,3.9273407,1.9164395608111622e-165,5.929464001149736e-162
3,IGKC,30.647625,2.635335,1.9700123012025473e-161,4.571413544940511e-158
4,JCHAIN,23.921255,2.7918143,1.4443981416991755e-107,1.9152719358931066e-104
5,IGHG4,22.215559,2.2087586,4.088774427242892e-95,4.744000529208565e-92
6,IGHG3,21.844856,2.9348266,1.1518416030538691e-91,1.187932639949557e-88
7,IGHM,20.869225,2.650988,3.498605041681391e-85,3.247405199688667e-82
8,DMBT1,17.548376,2.6025636,1.1539164014020483e-62,8.925543364844844e-60
9,PLA2G2A,16.832392,2.3626738,1.901456544563943e-58,1.3576399728186554e-55
10,C1QA,16.646765,2.1506891,2.386621899738774e-57,1.582330319526807e-54
11,CXCL14,15.830956,2.2697952,2.2571040008002988e-52,1.396695955695225e-49
12,IGLC2,15.334289,2.3168972,2.2667001290648198e-49,1.3149694123737286e-46
13,MUC1,15.322703,3.589036,1.556262493928628e-48,8.497193216850308e-46
14,LCN2,15.105859,4.566307,7.184083464549134e-47,3.509613827260266e-44
15,IGLC3,14.823127,3.5181997,9.119406178520534e-46,4.23231640745138e-43
16,S100A6,14.533913,1.687236,7.134899214233707e-45,3.1536254526912984e-42
17,TMSB10,14.01133,1.4301599,6.738094278436078e-42,2.71926048228016e-39
18,CTSB,13.564299,1.7787398,1.0983569518631183e-39,4.24789551133061e-37
19,IGHG2,13.419609,4.0307117,2.957158755608064e-38,1.0166054655390389e-35
20,PSAP,13.357701,1.6597402,1.3654157739639561e-38,5.0695156855733765e-36
21,LINC02739,13.314128,1.4319443,2.384540631462476e-38,8.51281005432104e-36
22,IGLC1,13.223951,1.7627699,6.82787103187204e-38,2.2634392470655812e-35
23,PDZK1IP1,13.037331,3.7646809,2.457278613864361e-36,7.864986239272068e-34
24,SNHG1,12.196373,1.0631219,1.4083514750858423e-32,4.21687690056348e-30
25,LYZ,11.882911,1.361169,3.3208467827050766e-31,9.632531199083913e-29
26,SPINK4,11.542442,1.602749,1.265987379620164e-29,3.56087722958617e-27
27,S100A11,11.513324,3.0160391,2.8448067095035463e-29,7.766322316944682e-27
28,HLA-DQB1,11.465397,2.051026,2.9456595087615675e-29,7.811889017235677e-27
29,CD24,11.03463,1.919392,2.7580878384945396e-27,6.919073328893599e-25
30,PLCG2,10.929338,1.8610305,7.832792184580809e-27,1.9132625541389226e-24
31,ACP5,10.923962,3.0844092,1.2596773252179899e-26,2.998032034018816e-24
32,TNFRSF6B,10.692702,3.3070498,1.383259587847687e-25,3.131564754732251e-23
33,HLA-C,10.631749,1.051244,2.0555150707875468e-25,4.542688306440478e-23
34,TIMP1,10.586778,2.7524521,3.2848980967490523e-25,7.090796310238303e-23
35,TXNDC5,10.538445,2.4536436,4.634665627165947e-25,9.777037807125981e-23
36,IFI30,10.464211,2.1304357,9.25284698749426e-25,1.9085539052871493e-22
37,C1QB,10.219236,2.2354605,9.777225250307066e-24,1.9728740168119607e-21
38,CTSC,10.198059,2.8143322,1.3797880675545664e-23,2.724934647455635e-21
39,IDO1,10.0135355,3.8548176,1.1119740560167616e-22,1.9848736899899193e-20
40,WARS,10.00751,1.8625891,7.10466414399459e-23,1.2930488742070153e-20
41,IFITM3,9.639222,2.069944,2.243342347791492e-21,3.92881201362276e-19
42,C1S,9.348286,2.1584892,3.062334494918148e-20,4.9867699617246055e-18
43,CD55,9.3352585,2.5679314,3.9290746162277346e-20,6.181300099631497e-18
44,APOL1,9.3036995,2.37729,4.9499738972185e-20,7.610021251320482e-18
45,RARRES2,9.298491,2.2739055,5.0011990554896505e-20,7.610021251320482e-18
46,UBD,9.296607,2.9564219,5.794107761187164e-20,8.674340038603106e-18
47,FGL2,9.107212,1.9664842,2.7063157569787466e-19,3.86461890096565e-17
48,IGFBP7,9.099029,2.2524655,2.782548105663556e-19,3.913274472237746e-17
49,CXCL9,9.025353,2.5765293,5.892081169504816e-19,8.042690796374074e-17
50,CD59,8.956639,2.2515368,1.0071425742044488e-18,1.335471053395099e-16
51,COL1A2,8.732596,1.6413373,6.3337436818798604e-18,8.053398473316283e-16
52,GAPDH,8.666582,1.0643154,1.1975544892649289e-17,1.482093435914276e-15
53,MZB1,8.64624,1.9073212,1.3213937298560543e-17,1.613839026384723e-15
54,ANXA2,8.642384,1.2870821,1.3799181086375183e-17,1.6634285564121357e-15
55,RARRES1,8.629156,2.8019385,1.7823840606771848e-17,2.094188462177928e-15
56,SH3BGRL3,8.6227665,1.4013423,1.5893299828176464e-17,1.891302679552999e-15
57,SPINK1,8.460011,1.440405,6.109052095583163e-17,6.671084888376813e-15
58,SSR4,8.438182,1.5755111,7.295562471418717e-17,7.874117541826573e-15
59,GPX2,8.3655,1.4736155,1.318790834748196e-16,1.4070133940382479e-14
60,NCF1,8.263103,1.5603851,3.013644320786021e-16,3.047881775285873e-14
61,TYROBP,8.231797,3.9491894,5.00540017412962e-16,4.839596293361576e-14
62,JAK3,8.219123,1.7570844,4.293947774941685e-16,4.195412973369339e-14
63,CDC25B,8.050286,1.6912044,1.6353634763630161e-15,1.5179443787601517e-13
64,CCL25,7.9608617,2.0459757,3.336309214879798e-15,3.066101201239038e-13
65,AGR2,7.888299,1.273021,5.771785787480596e-15,5.252325066607342e-13
66,MFGE8,7.8762093,2.5401418,6.775216397503911e-15,6.105588213750612e-13
67,HM13,7.856592,1.6535925,7.349999893145133e-15,6.559874904632032e-13
68,MMP12,7.831392,4.234463,1.1294462126610971e-14,9.797682005532994e-13
69,PLAC8,7.787531,2.1141522,1.2879228887805179e-14,1.106898171635256e-12
70,COL18A1,7.7694874,1.7842911,1.4253410128253448e-14,1.2137628698206285e-12
71,C1R,7.7331505,2.3383348,1.9400559818082726e-14,1.6223062723553502e-12
72,CD6,7.718017,2.2912014,2.1920057444735108e-14,1.816624760732422e-12
73,SERPING1,7.696022,2.7163973,2.60120096875184e-14,2.1366679107924403e-12
74,MXRA5,7.6397014,2.778062,4.1215936866666565e-14,3.2420875084440598e-12
75,CCDC88B,7.6332846,1.3998353,3.994228282615852e-14,3.196071286141408e-12
76,GBP4,7.5668874,1.8619745,6.668628758359907e-14,5.201530431520727e-12
77,NPIPB15,7.5668697,25.31038,8.91470405089747e-14,6.8385357851595305e-12
78,RNASEK,7.4810247,1.445807,1.2334211682931347e-13,9.384110888603996e-12
79,TAP1,7.469345,1.0953374,1.3543808972684496e-13,1.0220620722313618e-11
80,CYBA,7.4408474,1.3724924,1.6555622580283308e-13,1.2293543103215172e-11
81,CCL21,7.4371476,2.6491814,1.762701765849622e-13,1.2882990386311961e-11
82,MMP2,7.3877954,2.45734,2.497653751304595e-13,1.797149001520097e-11
83,DERL3,7.3772526,2.2671452,2.70412177857713e-13,1.9160044541032764e-11
84,C3,7.280569,1.7597028,5.312848088718365e-13,3.652878219221027e-11
85,S100A16,7.2061777,1.5325571,8.958983995774907e-13,6.025890539766862e-11
86,PSMB10,7.154598,1.543089,1.2921989540298322e-12,8.506518220783619e-11
87,CFB,7.121406,1.1254141,1.6408357778558591e-12,1.0725519500040905e-10
88,A2M,7.037817,1.4726119,2.9248224362417006e-12,1.8984756540696129e-10
89,ENG,7.0121455,2.9372573,3.759095003987206e-12,2.3767242605689044e-10
90,BST2,6.9915304,1.5677838,4.029578916892115e-12,2.5271994261211227e-10
91,CXCL10,6.98602,3.9455228,4.820196100072465e-12,2.9936439120666844e-10
92,LTB,6.95154,1.4570699,5.316113586032493e-12,3.267825583149245e-10
93,ENO1,6.8580613,1.0644195,1.0224576945731773e-11,5.968837937753604e-10
94,ELOB,6.8000774,1.3696166,1.4898264829386087e-11,8.536153959651954e-10
95,PRELID1,6.7937875,2.135726,1.569343106643358e-11,8.936590623229232e-10
96,ISG20,6.7347856,1.7875711,2.307108090216004e-11,1.2900347767099368e-09
97,VWF,6.7243214,2.926832,2.6505056770708834e-11,1.4588875223027067e-09
98,STAT1,6.7079687,1.2424434,2.776573854815945e-11,1.516009324729506e-09
99,HLA-DPB1,6.6286616,1.0450078,4.730796995132942e-11,2.5092147262185124e-09
100,GSTP1,6.5325823,1.3237138,8.760620540435611e-11,4.492601097034439e-09
101,ATP6V0B,6.5216594,1.2194072,9.455529903224459e-11,4.7959687738649965e-09
102,PTGDS,6.51645,1.7735496,9.724974244087648e-11,4.905826681175084e-09
103,PLAUR,6.502978,3.1082656,1.1284542831015898e-10,5.631350890187611e-09
104,CCR7,6.481717,2.6472032,1.2407463806873286e-10,6.12585526890414e-09
105,CFI,6.4556856,2.3942552,1.46704355930521e-10,7.129370846843434e-09
106,OLFM4,6.437963,1.1000731,1.6272240973613038e-10,7.825851850625711e-09
107,ICAM1,6.426012,2.807753,1.8287673326979415e-10,8.749803289743451e-09
108,ARHGAP45,6.4099936,1.4016652,1.927755879794437e-10,9.17611798782152e-09
109,HAPLN3,6.406349,2.2765632,1.9960490968979346e-10,9.404734881932298e-09
110,COL3A1,6.3979974,1.4600778,2.0837718771274001e-10,9.768469981563902e-09
111,QSOX1,6.3754973,1.3217449,2.4025889212247977e-10,1.120644742050682e-08
112,APOE,6.366709,1.5566077,2.5390456937524647e-10,1.1783711064705188e-08
113,SLC40A1,6.3444963,1.4985027,2.923110089895261e-10,1.3365668893796952e-08
114,TXN,6.3332148,1.2967252,3.1450625149437925e-10,1.4310034442994254e-08
115,SNHG32,6.3003664,1.3872548,3.8684610411529356e-10,1.7515636772673926e-08
116,SOD2,6.2877126,1.1992058,4.243032174119081e-10,1.9026002241629616e-08
117,ABCA7,6.2863736,1.3433836,4.2226731148735505e-10,1.9026002241629616e-08
118,GBP1,6.2754126,1.4619744,4.517337918635326e-10,2.006216773242732e-08
119,TNFAIP2,6.2586846,1.5049227,5.015608187197754e-10,2.206392189268699e-08
120,CYSTM1,6.253641,1.4144822,5.183888470928039e-10,2.269662867318588e-08
121,NDUFA1,6.247057,1.5607972,5.395992385149822e-10,2.351436681641345e-08
122,DNASE1L3,6.243956,2.2753775,5.53207470749225e-10,2.3957822104920963e-08
123,GRINA,6.222125,1.5430418,6.301467004975587e-10,2.7078804046381202e-08
124,CCL19,6.207461,3.144036,7.141568611202144e-10,3.0407357728980874e-08
125,TRIM69,6.1558647,1.9136404,9.544022370611522e-10,4.0084893956568396e-08
126,CSF1R,6.1506205,3.960938,1.0633026446331522e-09,4.425818451786959e-08
127,TM4SF20,6.141977,1.2415363,1.0351727155612423e-09,4.3281410566844375e-08
128,EVL,6.138246,1.0758071,1.0714535990982958e-09,4.439835851263563e-08
129,F2R,6.1228256,3.1712306,1.2227100435200793e-09,5.021767532722733e-08
130,COX6B1,6.1020603,1.2663692,1.3350086910855518e-09,5.434890645024602e-08
131,GCNT3,6.090857,1.4647418,1.4144355849994826e-09,5.733096550203143e-08
132,COL4A2,6.0459075,2.08857,1.883487829826869e-09,7.43937618572468e-08
133,VIM,5.981554,1.2811197,2.7444657255169867e-09,1.0526500357127549e-07
134,TMEM54,5.9669204,1.0515822,3.007085268534082e-09,1.1404932252682167e-07
135,FXYD5,5.9453,2.1340704,3.43569359357473e-09,1.2899973171730893e-07
136,TIMP2,5.943257,1.6052148,3.446663808003945e-09,1.2899973171730893e-07
137,HSPA5,5.898709,1.1552265,4.495950491350507e-09,1.6626060741320876e-07
138,PIM2,5.8852234,1.9893764,4.889193299070293e-09,1.7866729213374197e-07
139,S100A4,5.878612,1.6440798,5.060464763198864e-09,1.8348138254692132e-07
140,COL4A1,5.866253,2.347475,5.472893044257459e-09,1.9689687301084396e-07
141,SLAMF7,5.858163,2.1468735,5.779140576014937e-09,2.0711190280529206e-07
142,TGFBI,5.8531876,2.1976986,5.943922589994406e-09,2.121980364628003e-07
143,NID1,5.8419614,2.3146462,6.362011239344196e-09,2.2568744651420906e-07
144,C1QC,5.8157854,2.0880063,7.35126465479988e-09,2.5944653431883076e-07
145,MPEG1,5.7920246,1.9965413,8.434850895112462e-09,2.965616894258859e-07
146,TMC6,5.771305,1.2543801,9.5025776291237e-09,3.291522537711511e-07
147,PKM,5.7702737,1.090775,9.576962725779612e-09,3.2923469637291243e-07
148,LPCAT1,5.7641006,1.8831599,9.92932964293488e-09,3.3933111837854965e-07
149,RASGRP2,5.763181,1.744292,9.943769036734056e-09,3.3933111837854965e-07
150,RHOG,5.7487392,1.8251239,1.0838802363818045e-08,3.6583914014894217e-07
151,FCER1G,5.7434416,1.7959731,1.1176978520109384e-08,3.7588664718715693e-07
152,CD68,5.7384233,1.193703,1.1512550306486756e-08,3.8577433915093885e-07
153,IGFBP2,5.720901,3.0553951,1.3167420183427388e-08,4.3494659837214594e-07
154,TPSB2,5.6992097,2.7461421,1.4842831808351356e-08,4.868239040463508e-07
155,XBP1,5.6381664,1.3324916,2.040180586987802e-08,6.52998489945544e-07
156,PIK3CD,5.636743,1.4290112,2.0585988970964584e-08,6.566293801666435e-07
