,names,scores,logfoldchanges,pvals,pvals_adj
0,STEAP3,-2.5894134,-1.3346552,0.009782127998750148,0.04961623611169338
1,ZNF605,-2.5933943,-1.6495186,0.009672982710019332,0.04911631592691435
2,PLGLB1,-2.5978374,-1.5803165,0.009547370842951146,0.04862380080114958
3,GRAMD1B,-2.6041226,-1.2166892,0.00936514019086579,0.047902152063962214
4,MRTFB,-2.6049852,-1.3296427,0.009347025394934805,0.047902152063962214
5,MED17,-2.6057453,-1.1274991,0.009318408463410232,0.04789228535845724
6,FAM126B,-2.6116507,-1.3432754,0.009166517909509413,0.04721621489237867
7,KANSL1,-2.6146166,-1.0028582,0.009076138818158257,0.04682863841586712
8,NT5DC1,-2.6189303,-1.0760273,0.008959486643579477,0.046381458463862074
9,MIER1,-2.6238797,-1.1475674,0.00884250691259627,0.04585259729760814
10,NOL11,-2.6259105,-1.402149,0.00879541990304961,0.04565944493294546
11,ALMS1,-2.6272721,-2.431584,0.008795229193306903,0.04565944493294546
12,CNOT4,-2.634493,-1.6269573,0.008586863927518217,0.04472686362246021
13,HTATSF1,-2.6353967,-1.0484484,0.008540310589928582,0.044534361177369156
14,GOT1,-2.6497872,-1.0746202,0.008197964081141266,0.04318586980769196
15,CRCP,-2.6523783,-1.5120562,0.008144916486213483,0.0430040471132159
16,NUDT19,-2.6523783,-1.5120562,0.008144916486213483,0.0430040471132159
17,BCAR3,-2.6527026,-1.1805654,0.008125604209500441,0.04297541781913567
18,FAM83G,-2.6529107,-1.1985784,0.008118555981984694,0.042962620652669294
19,TLK1,-2.6546214,-1.0113336,0.0080704719724799,0.04290384928325225
20,RICTOR,-2.6585042,-1.2515321,0.007992130785858753,0.04262257033863715
21,UBR4,-2.6602147,-2.604418,0.007986748926624284,0.04262257033863715
22,NOXO1,-2.6635897,-1.4653542,0.007879105208816298,0.04212779639875166
23,GPR89B,-2.6668344,-1.2693083,0.007799360647600217,0.041837222813956305
24,LIPE,-2.6683147,-1.8610204,0.007777595182758083,0.041777568568495675
25,TLN2,-2.6716235,-1.672168,0.007702918027377929,0.0414243830417856
26,SNX13,-2.6716235,-1.672168,0.007702918027377929,0.0414243830417856
27,RSBN1L,-2.6731317,-1.1615617,0.007641049764830677,0.04133113281885684
28,DHX36,-2.6823688,-1.1456914,0.007439641470486145,0.04052508927761291
29,ADCY9,-2.683317,-1.6211061,0.007434052735533932,0.04051842483336816
30,SULT1A3,-2.6867297,-1.2478335,0.007352602012251016,0.04014520698689055
31,SLC35E2A,-2.6901734,-1.2010286,0.007273349524721907,0.039782693157612695
32,ZXDC,-2.6919677,-1.153946,0.007235643494705451,0.03964654245446045
33,DICER1,-2.6983287,-1.0482857,0.007092935124338394,0.039087996823820165
34,HIVEP1,-2.7041564,-1.8199623,0.0069853717063044374,0.03864017889029666
35,MTMR12,-2.704282,-1.4536428,0.0069768134999712485,0.03864017889029666
36,SLC25A10,-2.710136,-1.0949262,0.0068529155813907405,0.03800453334458467
37,SH2D3A,-2.7104099,-1.1449529,0.006849353725872275,0.03800453334458467
38,TYSND1,-2.7116423,-1.1329225,0.006820964842992407,0.037962672312291564
39,TACC2,-2.7121682,-1.0972174,0.006805908011467033,0.037962672312291564
40,SH3YL1,-2.7130666,-1.0318503,0.006792475702455535,0.037962672312291564
41,AL157392.3,-2.7139976,-1.1496334,0.006771442909247861,0.03788579450490575
