,names,scores,logfoldchanges,pvals,pvals_adj
0,TNFRSF14-AS1,2.9541957,28.046152,0.009328703651280716,0.7544748904279165
1,UQCRC2,2.5819888,27.752607,0.020060862344542428,0.7544748904279165
2,RBM33,2.5819888,27.752607,0.020060862344542428,0.7544748904279165
3,GPAT4,2.5052927,27.93005,0.023423413213135548,0.7544748904279165
4,ZNF621,2.2188008,27.40037,0.041310345282488156,0.7544748904279165
5,HEPACAM2,2.2188008,27.40037,0.041310345282488156,0.7544748904279165
6,HGS,2.2188008,27.40037,0.041310345282488156,0.7544748904279165
7,NSMCE4A,2.2188008,27.40037,0.041310345282488156,0.7544748904279165
8,C2,2.2188008,27.40037,0.041310345282488156,0.7544748904279165
9,ANO10,2.2188008,27.40037,0.041310345282488156,0.7544748904279165
10,AL360012.1,2.2188008,27.40037,0.041310345282488156,0.7544748904279165
11,FAM177A1,2.2188008,27.40037,0.041310345282488156,0.7544748904279165
12,SNHG3,2.2188008,27.40037,0.041310345282488156,0.7544748904279165
13,CRACR2B,2.2188008,27.40037,0.041310345282488156,0.7544748904279165
14,RNF19A,2.2188008,27.40037,0.041310345282488156,0.7544748904279165
15,THAP5,2.2188008,27.40037,0.041310345282488156,0.7544748904279165
16,TUBA1A,2.2188008,27.40037,0.041310345282488156,0.7544748904279165
17,SLC9A1,2.1511793,27.614986,0.04708516083073179,0.7544748904279165
18,USH1C,2.096793,27.93005,0.05225960823559334,0.7544748904279165
19,IGHM,1.9528474,2.6196117,0.063322669346792,0.7544748904279165
20,CHD9,1.8516402,26.955221,0.08262239198015026,0.7544748904279165
21,ANTKMT,1.8516402,26.955221,0.08262239198015026,0.7544748904279165
22,GBP4,1.8516402,26.955221,0.08262239198015026,0.7544748904279165
23,ELOB,1.8516402,26.955221,0.08262239198015026,0.7544748904279165
24,ACVRL1,1.8516402,26.955221,0.08262239198015026,0.7544748904279165
25,NSMCE1,1.8516402,26.955221,0.08262239198015026,0.7544748904279165
26,SULT1A3,1.8516402,26.955221,0.08262239198015026,0.7544748904279165
27,BRI3BP,1.8516402,26.955221,0.08262239198015026,0.7544748904279165
28,FGD3,1.8516402,26.955221,0.08262239198015026,0.7544748904279165
29,GOLGA2,1.8516402,26.955221,0.08262239198015026,0.7544748904279165
30,AC010542.4,1.8516402,26.955221,0.08262239198015026,0.7544748904279165
31,GPBP1,1.8516402,26.955221,0.08262239198015026,0.7544748904279165
32,MLKL,1.8516402,26.955221,0.08262239198015026,0.7544748904279165
33,CLPTM1L,1.8516402,26.955221,0.08262239198015026,0.7544748904279165
34,SLC25A11,1.8516402,26.955221,0.08262239198015026,0.7544748904279165
35,YBX2,1.8516402,26.955221,0.08262239198015026,0.7544748904279165
36,RBMX,1.8516402,26.955221,0.08262239198015026,0.7544748904279165
37,BTN3A2,1.8516402,26.955221,0.08262239198015026,0.7544748904279165
38,AL049543.1,1.8516402,26.955221,0.08262239198015026,0.7544748904279165
39,ZKSCAN8,1.8516402,26.955221,0.08262239198015026,0.7544748904279165
40,VOPP1,1.8516402,26.955221,0.08262239198015026,0.7544748904279165
41,MED14,1.8516402,26.955221,0.08262239198015026,0.7544748904279165
