,names,scores,logfoldchanges,pvals,pvals_adj
0,IGHA1,4.3036084,1.63077,3.623060624977277e-05,0.048041783887198694
1,LIMD1-AS1,4.283853,1.8338836,3.5538534789731546e-05,0.048041783887198694
2,LINC02739,4.184117,1.658313,5.384873850690222e-05,0.056718907814606416
3,IGKC,4.0350275,1.3549476,0.00010043365484304576,0.09322251842531507
4,AL049543.1,3.7236662,3.57274,0.00032402744430107744,0.20050818253350672
5,IGHG4,3.5745363,1.2522594,0.000508365218104461,0.29491537215285046
6,PIM2,3.5006661,26.672932,0.0007707325482651244,0.3746407619121394
7,WDR74,3.4700391,0.8163779,0.0007754285727447032,0.3746407619121394
8,UBD,3.362327,2.705238,0.0010539679161859035,0.4253447912190242
9,MSRB1,3.166792,26.292068,0.0022000889771866075,0.6807075295415363
10,SULF2,3.1148527,26.386667,0.002574590302740884,0.724162036061845
11,IGHM,3.0049067,1.2725376,0.003212946872447803,0.7769785735154048
12,RASGRP2,2.969018,3.0762734,0.003682655705507997,0.7769785735154048
13,AARS,2.9645796,26.115734,0.004019100688775791,0.7769785735154048
14,AC073140.1,2.920858,0.72371644,0.004350293881082772,0.7769785735154048
15,IGHG3,2.8729239,1.2729726,0.004814426601402608,0.7769785735154048
16,VWF,2.7821116,3.1487088,0.006441554729857984,0.7769785735154048
17,FMNL1,2.7537854,25.91669,0.007326635589311272,0.7769785735154048
18,IQCE,2.7537854,25.91669,0.007326635589311272,0.7769785735154048
19,TENT4A,2.7014053,26.03622,0.008467288049619963,0.7769785735154048
20,ARHGEF1,2.7014053,26.03622,0.008467288049619963,0.7769785735154048
21,PSMB2,2.6362293,2.320603,0.009513165504763655,0.7769785735154048
22,AIF1,2.5779557,2.8861516,0.011286534648434814,0.7769785735154048
23,INPP5K,2.5578039,2.8003774,0.011875317420594401,0.7769785735154048
24,ANTKMT,2.5319872,25.68791,0.013351048072995676,0.7769785735154048
25,ZAP70,2.5319872,25.68791,0.013351048072995676,0.7769785735154048
26,ACOT9,2.5319872,25.68791,0.013351048072995676,0.7769785735154048
27,JCHAIN,2.480405,0.93679607,0.014650602147371575,0.7769785735154048
28,MMP2,2.4215312,1.929575,0.01692695720555221,0.7769785735154048
29,ATP6V1F,2.4003837,2.8257778,0.018112529581280956,0.7769785735154048
30,IFI16,2.3999882,2.139244,0.01791112973992255,0.7769785735154048
31,AL049796.1,2.374678,1.5559461,0.019038837089771506,0.7769785735154048
32,TTC31,2.367347,2.7365577,0.01966599579614237,0.7769785735154048
33,NINJ1,2.3516433,2.8003774,0.020530257158007156,0.7769785735154048
34,CLEC2D,2.3399997,2.6419573,0.021025171668908,0.7769785735154048
35,EI24,2.3399997,2.6419573,0.021025171668908,0.7769785735154048
36,RRBP1,2.3256965,1.2633815,0.021603112078936306,0.7769785735154048
37,CCL20,2.295707,25.418495,0.024379258269460496,0.7769785735154048
38,SDR39U1,2.295707,25.418495,0.024379258269460496,0.7769785735154048
39,SOCS4,2.295707,25.418495,0.024379258269460496,0.7769785735154048
40,LMF1,2.295707,25.418495,0.024379258269460496,0.7769785735154048
41,TMEM41A,2.295707,25.418495,0.024379258269460496,0.7769785735154048
42,IPPK,2.295707,25.418495,0.024379258269460496,0.7769785735154048
43,BAHD1,2.295707,25.418495,0.024379258269460496,0.7769785735154048
44,ENTPD1,2.295707,25.418495,0.024379258269460496,0.7769785735154048
45,CDC42SE1,2.295707,25.418495,0.024379258269460496,0.7769785735154048
46,KDM2B,2.295707,25.418495,0.024379258269460496,0.7769785735154048
47,CD2,2.295707,25.418495,0.024379258269460496,0.7769785735154048
48,EPB41L2,2.295707,25.418495,0.024379258269460496,0.7769785735154048
49,GABBR1,2.295707,25.418495,0.024379258269460496,0.7769785735154048
50,SNX11,2.295707,25.418495,0.024379258269460496,0.7769785735154048
51,PRDX4,2.295707,25.418495,0.024379258269460496,0.7769785735154048
52,MDN1,2.2437532,25.581846,0.027684351954051705,0.7769785735154048
53,PEX6,2.2437532,25.581846,0.027684351954051733,0.7769785735154048
54,AKAP11,2.2437532,25.581846,0.027684351954051733,0.7769785735154048
55,DAGLB,2.2437532,25.581846,0.027684351954051733,0.7769785735154048
56,SCCPDH,2.2328784,2.7630007,0.027674855295334096,0.7769785735154048
57,MXRA5,2.2216082,1.7753856,0.0280737801408374,0.7769785735154048
58,TYMP,2.207135,0.92207885,0.029315465538166337,0.7769785735154048
59,ITGAV,2.188812,2.670032,0.03075832470450221,0.7769785735154048
60,CCNC,2.1705782,25.68791,0.03300510694513832,0.7769785735154048
61,ZDHHC24,2.147752,2.5711834,0.03388863746741384,0.7769785735154048
62,CCM2,2.147752,2.5711834,0.03388863746741384,0.7769785735154048
63,PLSCR1,2.1252172,1.7076522,0.03551267071984303,0.7769785735154048
64,CEP170B,2.1115127,2.4656243,0.03686415196878798,0.7769785735154048
65,GPSM3,2.1115127,2.4656243,0.03686415196878798,0.7769785735154048
66,HMG20B,2.1115127,2.4656243,0.03686415196878798,0.7769785735154048
67,PIGQ,2.1115127,2.4656243,0.03686415196878798,0.7769785735154048
68,TRIM26,2.1051168,1.6615561,0.03723270030571183,0.7769785735154048
69,UBA7,2.0784626,1.4886897,0.03964719794477327,0.7769785735154048
70,ODF3B,2.0664368,2.0133557,0.040956153959592824,0.7769785735154048
71,IQGAP1,2.0439754,1.594283,0.04298412051163207,0.7769785735154048
72,C5orf63,2.0396078,25.090197,0.044775480157955745,0.7769785735154048
73,CCNT1,2.0396078,25.090197,0.044775480157955745,0.7769785735154048
74,DNMT3A,2.0396078,25.090197,0.044775480157955745,0.7769785735154048
75,MTG2,2.0396078,25.090197,0.044775480157955745,0.7769785735154048
76,LAT2,2.0396078,25.090197,0.044775480157955745,0.7769785735154048
77,ZNF317,2.0396078,25.090197,0.044775480157955745,0.7769785735154048
78,SLC66A1,2.0396078,25.090197,0.044775480157955745,0.7769785735154048
79,NIBAN3,2.0396078,25.090197,0.044775480157955745,0.7769785735154048
80,VPS54,2.0396078,25.090197,0.044775480157955745,0.7769785735154048
81,ARID5A,2.0396078,25.090197,0.044775480157955745,0.7769785735154048
82,CYTIP,2.0396078,25.090197,0.044775480157955745,0.7769785735154048
83,IQSEC1,2.0396078,25.090197,0.044775480157955745,0.7769785735154048
84,NAA30,2.0396078,25.090197,0.044775480157955745,0.7769785735154048
85,SRP19,2.0396078,25.090197,0.044775480157955745,0.7769785735154048
86,CFAP298,2.0396078,25.090197,0.044775480157955745,0.7769785735154048
87,FHL2,2.0396078,25.090197,0.044775480157955745,0.7769785735154048
88,ZC3H12C,2.0396078,25.090197,0.044775480157955745,0.7769785735154048
89,AL021155.5,2.0396078,25.090197,0.044775480157955745,0.7769785735154048
