Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2021	fatty acid catabolic process (GO:0009062)	11/70	1.397468e-06	3.662764e-03	0	0	7.305016e+00	9.847782e+01	HADHB;FAAH;EHHADH;ECHDC2;PEX2;CEL;ACAD11;ACADS;SLC27A2;LPIN3;SLC27A4
GO_Biological_Process_2021	epoxygenase P450 pathway (GO:0019373)	6/19	5.278122e-06	6.916979e-03	0	0	1.794565e+01	2.180744e+02	CYP2J2;CYP2C9;CYP4F2;EPHX2;CYP2C18;CYP4F12
GO_Biological_Process_2021	aflatoxin metabolic process (GO:0046222)	5/15	2.497240e-05	1.309053e-02	0	0	1.940538e+01	2.056531e+02	ACY3;AKR7A2;DPEP1;CYP3A4;CYP3A5
GO_Biological_Process_2021	mycotoxin metabolic process (GO:0043385)	5/15	2.497240e-05	1.309053e-02	0	0	1.940538e+01	2.056531e+02	ACY3;AKR7A2;DPEP1;CYP3A4;CYP3A5
GO_Biological_Process_2021	organic heteropentacyclic compound metabolic process (GO:1901376)	5/15	2.497240e-05	1.309053e-02	0	0	1.940538e+01	2.056531e+02	ACY3;AKR7A2;DPEP1;CYP3A4;CYP3A5
GO_Biological_Process_2021	fatty acid beta-oxidation (GO:0006635)	8/52	4.554803e-05	1.741271e-02	0	0	7.086537e+00	7.084229e+01	HADHB;EHHADH;ECHDC2;PEX2;ACAD11;DECR2;ACADS;SLC27A2
GO_Biological_Process_2021	long-chain fatty acid metabolic process (GO:0001676)	10/83	4.650475e-05	1.741271e-02	0	0	5.352664e+00	5.339794e+01	CYP2J2;CYP2C9;FAAH;ELOVL5;CYP4F2;EPHX2;CYP3A4;SLC27A2;CYP4F12;SLC27A4
GO_Biological_Process_2021	regulation of fatty acid biosynthetic process (GO:0042304)	6/29	7.449822e-05	2.210302e-02	0	0	1.013798e+01	9.635886e+01	MLXIPL;ELOVL5;NR1H2;APOA1;APOC3;WDTC1
GO_Biological_Process_2021	chylomicron assembly (GO:0034378)	4/10	7.589742e-05	2.210302e-02	0	0	2.582770e+01	2.450049e+02	LPCAT3;APOA1;APOC3;APOB
GO_Biological_Process_2021	positive regulation of triglyceride metabolic process (GO:0090208)	5/19	8.890642e-05	2.330237e-02	0	0	1.385814e+01	1.292677e+02	SREBF1;AADAC;NR1H2;APOA1;ABHD5
GO_Biological_Process_2021	fructose catabolic process (GO:0006001)	3/5	1.558990e-04	2.501775e-02	0	0	5.800893e+01	5.085238e+02	TKFC;GLYCTK;KHK
