,names,scores,logfoldchanges,pvals,pvals_adj
0,IGKC,11.227781,2.6736035,5.163954121999348e-19,4.793182216039795e-15
1,IGHA1,11.075876,3.1359367,1.847250593326075e-18,8.573090003626315e-15
2,AL627171.2,9.070479,1.9631515,1.748056432857111e-14,5.408486603259902e-11
3,REG1A,8.861987,3.24025,9.55036729890373e-14,2.2161627317106107e-10
4,JCHAIN,8.765334,2.7622504,1.3826924087001176e-13,2.5668301875108983e-10
5,IGHG4,8.449658,2.4305966,4.3647764304066776e-13,6.752309137839131e-10
6,IGHM,7.0405025,2.7980952,5.516588804638633e-10,5.120497728465578e-07
7,IGHG3,6.4266987,2.4717336,7.104512059934639e-09,4.396272062687555e-06
8,DMBT1,6.1108093,2.627033,3.07710447804533e-08,1.4001501343175752e-05
9,IGLC2,5.8579745,2.3884914,9.15010326056972e-08,3.3972503385843255e-05
10,LINC02739,5.511233,1.6298537,3.4918129611216267e-07,8.812967766773638e-05
11,SNHG1,5.4434443,1.4065987,4.223618974086774e-07,0.00010278829042950154
12,PLA2G2A,5.2847433,1.916137,9.163767163161458e-07,0.00019780950420573173
13,IGHG2,5.182785,3.3758857,1.6758596129241908e-06,0.00030500644955220273
14,TMSB10,4.885716,1.2923703,3.845736866616821e-06,0.0005757440257409248
15,LCN2,4.7519884,2.7358956,8.116183742539016e-06,0.0010103707388615568
16,MUC1,4.618882,2.8448946,1.4785437313197006e-05,0.0015957956876871465
17,CD24,4.6100507,2.4536922,1.4749462047560923e-05,0.0015957956876871465
18,C1QA,4.5767274,1.7737192,1.559862542853618e-05,0.0016642119681341703
19,GAS5,4.528623,1.3575914,1.8390944661888317e-05,0.0017781744619963266
20,HLA-DQB1,4.519234,1.9304113,1.8999279694777124e-05,0.0017987930144647564
21,RACK1,4.4844093,1.0520715,1.8982955729336467e-05,0.0017987930144647564
22,IGLC3,4.3721786,3.110209,3.796388459324965e-05,0.002774651785783805
23,S100A6,4.292273,1.4301552,4.3347639911714265e-05,0.0030481272247009986
24,IGLC1,4.290348,1.7555125,4.741660204830923e-05,0.003258319830093571
25,CXCL14,4.1498756,1.7046195,7.560780507625902e-05,0.0044417192830242804
26,SPINK4,3.932641,1.4316219,0.00016539521690803636,0.007832644915002006
27,CD55,3.9326081,2.4646308,0.0001759056606295712,0.008204805738510955
28,KRT8,3.9079304,1.3087832,0.000174450088183676,0.008178008679398387
29,STAT1,3.9065468,2.1728652,0.00019198301441084698,0.008405722542707932
30,ACTB,3.8634272,0.96892786,0.00019675861812570012,0.008480074868524068
31,LYZ,3.829293,1.2593533,0.0002350667303215674,0.009625574795669766
32,CD59,3.6413214,2.2212796,0.00047542545040471946,0.016057874871165445
33,UBD,3.6180282,2.7525213,0.0005193637151587354,0.01691485615474871
34,PLAAT4,3.5526173,1.1667049,0.0005835228704634692,0.017980935098319276
35,PSAP,3.5485184,1.2121605,0.0006144951703325391,0.018762316352061277
36,XBP1,3.5214486,1.903966,0.0006944996139903744,0.020464588625583032
37,ACP5,3.3669739,3.2084448,0.0011882294495908906,0.029255028517513652
38,UQCRQ,3.3557887,1.4815285,0.0011542553262003815,0.028646518550245827
39,TNFRSF6B,3.3430605,2.6879814,0.0012709538102406352,0.030822083434182856
40,IDO1,3.282881,3.4139957,0.0015527671700058924,0.03298120108007939
41,ATP6V0B,3.2616396,1.6654426,0.0015936624643975957,0.03377254564963124
42,TIMP1,3.255282,2.8948476,0.0016781018511387907,0.03443476102026789
43,CD63,3.246601,1.1608225,0.0016225714309924823,0.034228881869255046
44,MMP2,3.2305036,3.000141,0.001818162836895482,0.03613744636416245
45,PLCG2,3.2206025,1.5347524,0.0018140270944399049,0.03613744636416245
46,MXRA5,3.2120376,2.9337924,0.0019231237385505752,0.03752470436134728
