,names,scores,logfoldchanges,pvals,pvals_adj
0,ARID4B,4.0,29.465096,0.01613008990009254,1.0
1,CAST,2.4494898,28.942003,0.07048399691021993,1.0
2,FGFR3,2.4494898,28.942003,0.07048399691021993,1.0
3,LGALS4,1.7633297,2.8303916,0.13467544800158482,1.0
4,RNF213,1.7633297,2.8303916,0.13467544800158482,1.0
5,PABPC1,1.7272727,2.5104654,0.13391037748609996,1.0
6,SMIM22,1.7272727,2.5104654,0.13391037748609996,1.0
7,TRIP11,1.7272727,2.5104654,0.13391037748609996,1.0
8,ACADVL,1.7272727,2.5104654,0.13391037748609996,1.0
9,E2F4,1.6329932,28.251276,0.1778078083562211,1.0
10,ANXA2,1.6329932,28.251276,0.1778078083562211,1.0
11,PSMB1,1.6329932,28.251276,0.1778078083562211,1.0
12,MRPS21,1.6329932,28.251276,0.1778078083562211,1.0
13,GCC2,1.6329932,28.251276,0.1778078083562211,1.0
14,MBD1,1.6329932,28.251276,0.1778078083562211,1.0
15,ADCK5,1.6329932,28.251276,0.1778078083562211,1.0
16,IFI27,1.6329932,28.251276,0.1778078083562211,1.0
17,LRRFIP1,1.6329932,28.251276,0.1778078083562211,1.0
18,TTC17,1.6329932,28.251276,0.1778078083562211,1.0
19,MRPL52,1.6329932,28.251276,0.1778078083562211,1.0
20,EXOSC10,1.6329932,28.251276,0.1778078083562211,1.0
21,AKAP13,1.6329932,28.251276,0.1778078083562211,1.0
22,LTA4H,1.6329932,28.251276,0.1778078083562211,1.0
23,CLTA,1.6329932,28.251276,0.1778078083562211,1.0
24,INPP5K,1.6329932,28.251276,0.1778078083562211,1.0
25,CHID1,1.6329932,28.251276,0.1778078083562211,1.0
26,AKAP17A,1.6329932,28.251276,0.1778078083562211,1.0
27,MAP3K14,1.6329932,28.251276,0.1778078083562211,1.0
28,NSD2,1.6329932,28.251276,0.1778078083562211,1.0
29,SPIRE2,1.6329932,28.251276,0.1778078083562211,1.0
30,TMEM183A,1.6329932,28.251276,0.1778078083562211,1.0
31,NAP1L4,1.6329932,28.251276,0.1778078083562211,1.0
32,TMEM120A,1.6329932,28.251276,0.1778078083562211,1.0
33,MCL1,1.6329932,28.251276,0.1778078083562211,1.0
34,FREM1,1.6329932,28.251276,0.1778078083562211,1.0
35,GPM6A,1.6329932,28.251276,0.1778078083562211,1.0
36,UACA,1.6329932,28.251276,0.1778078083562211,1.0
37,PLEKHJ1,1.6329932,28.251276,0.1778078083562211,1.0
38,DQX1,1.6329932,28.251276,0.1778078083562211,1.0
39,TOX4,1.6329932,28.251276,0.1778078083562211,1.0
40,SELENOT,1.6329932,28.251276,0.1778078083562211,1.0
41,PYROXD1,1.6329932,28.251276,0.1778078083562211,1.0
42,U2SURP,1.6329932,28.251276,0.1778078083562211,1.0
43,DDX46,1.6329932,28.251276,0.1778078083562211,1.0
44,FRA10AC1,1.6329932,28.251276,0.1778078083562211,1.0
45,SCAND1,1.6329932,28.251276,0.1778078083562211,1.0
46,MTCH1,1.6329932,28.251276,0.1778078083562211,1.0
47,ENTPD4,1.6329932,28.251276,0.1778078083562211,1.0
48,NDUFA9,1.6329932,28.251276,0.1778078083562211,1.0
49,GFPT1,1.6329932,28.251276,0.1778078083562211,1.0
50,GDPD3,1.6329932,28.251276,0.1778078083562211,1.0
51,VCP,1.6329932,28.251276,0.1778078083562211,1.0
52,RAB1A,1.6329932,28.251276,0.1778078083562211,1.0
53,TMED2,1.6329932,28.251276,0.1778078083562211,1.0
54,CNDP2,1.6329932,28.251276,0.1778078083562211,1.0
55,UQCRQ,1.6329932,28.251276,0.1778078083562211,1.0
56,EIF6,1.6329932,28.251276,0.1778078083562211,1.0
57,RCN2,1.6329932,28.251276,0.1778078083562211,1.0
58,HSP90AB1,1.6329932,28.251276,0.1778078083562211,1.0
59,ATP2A3,1.6329932,28.251276,0.1778078083562211,1.0
60,PTPRF,1.6329932,28.251276,0.1778078083562211,1.0
61,PHKA2,1.6329932,28.251276,0.1778078083562211,1.0
62,LAMTOR4,1.6329932,28.251276,0.1778078083562211,1.0
63,SERINC2,1.6329932,28.251276,0.1778078083562211,1.0
64,LAP3,1.6329932,28.251276,0.1778078083562211,1.0
65,TRA2A,1.6329932,28.251276,0.1778078083562211,1.0
66,PFDN5,1.6329932,28.251276,0.1778078083562211,1.0
67,PSMA3-AS1,1.6329932,28.251276,0.1778078083562211,1.0
68,CYBA,1.6329932,28.251276,0.1778078083562211,1.0
69,MADD,1.6329932,28.251276,0.1778078083562211,1.0
70,SPG7,1.6329932,28.251276,0.1778078083562211,1.0
71,HNF4G,1.6329932,28.251276,0.1778078083562211,1.0
72,HNRNPA1,1.6329932,28.251276,0.1778078083562211,1.0
73,PCBP2,1.6329932,28.251276,0.1778078083562211,1.0
74,MYO9B,1.6329932,28.251276,0.1778078083562211,1.0
75,AOPEP,1.6329932,28.251276,0.1778078083562211,1.0
76,CEP350,1.6329932,28.251276,0.1778078083562211,1.0
77,RASSF4,1.6329932,28.251276,0.1778078083562211,1.0
78,SLC7A9,1.6329932,28.251276,0.1778078083562211,1.0
79,ERBB3,1.6329932,28.251276,0.1778078083562211,1.0
80,CCNG2,1.6329932,28.251276,0.1778078083562211,1.0
81,CBR1,1.6329932,28.251276,0.1778078083562211,1.0
82,PHLPP2,1.6329932,28.251276,0.1778078083562211,1.0
83,LRP1,1.6329932,28.251276,0.1778078083562211,1.0
84,UBXN4,1.6329932,28.251276,0.1778078083562211,1.0
85,AAMP,1.6329932,28.251276,0.1778078083562211,1.0
86,EIF3A,1.6329932,28.251276,0.1778078083562211,1.0
87,LCP1,1.6329932,28.251276,0.1778078083562211,1.0
88,IGHA1,1.5921768,3.1321218,0.1776375226063422,1.0
89,UBE2G2,1.5674719,28.68301,0.19207418809135765,1.0
90,PDXDC1,1.5674719,28.68301,0.19207418809135765,1.0
91,MYO7B,1.5674719,28.68301,0.19207418809135765,1.0
92,EMC9,1.5674719,28.68301,0.19207418809135765,1.0
93,PBLD,1.5674719,28.68301,0.19207418809135765,1.0
94,AC067930.8,1.5674719,28.68301,0.19207418809135765,1.0
95,NACA,1.5674719,28.68301,0.19207418809135765,1.0
96,RMRP,1.5481609,1.117553,0.1502133010774618,1.0
97,LGALS3,1.4875832,2.0483134,0.1898293166858644,1.0
98,PGGHG,1.4197465,2.4691496,0.20473333891633105,1.0
99,SNHG25,1.3467385,1.969704,0.23035326726903668,1.0
100,AC007952.4,1.3268574,1.7665383,0.23104234344449742,1.0
101,IGHG4,1.2999145,2.1426907,0.2543472707035303,1.0
102,COX5A,1.2522943,1.10301,0.24355219724458052,1.0
103,RACK1,1.2153745,1.5811607,0.2725459662934961,1.0
104,DDX5,1.133445,2.5104654,0.3105149682587958,1.0
105,LINC02739,1.124581,2.5098627,0.3120520167181171,1.0
106,IGHG3,1.1167668,3.4283278,0.3236161917609647,1.0
107,MISP,1.1113482,2.2514715,0.31540508885863006,1.0
108,CDK5RAP3,1.1113482,2.2514715,0.31540508885863006,1.0
109,GPR35,1.1113482,2.2514715,0.31540508885863006,1.0
110,EVL,1.1113482,2.2514715,0.31540508885863006,1.0
111,CDC42,1.1113482,2.2514715,0.31540508885863006,1.0
112,DAZAP2,1.1113482,2.2514715,0.31540508885863006,1.0
113,CANX,1.1113482,2.2514715,0.31540508885863006,1.0
114,SERPINA1,1.1004237,1.5617911,0.3088451311419394,1.0
115,ITM2B,1.0,27.147814,0.373900966300059,1.0
116,ERGIC3,1.0,27.147814,0.373900966300059,1.0
117,KHK,1.0,1.8197386,0.3552089842780215,1.0
118,ZPR1,1.0,27.147814,0.373900966300059,1.0
119,PCYT2,1.0,27.872505,0.373900966300059,1.0
120,ZBTB18,1.0,27.147814,0.373900966300059,1.0
121,PHF2,1.0,27.147814,0.373900966300059,1.0
122,ARHGDIA,1.0,1.8197386,0.3552089842780215,1.0
123,OSGEP,1.0,27.147814,0.373900966300059,1.0
124,RBP2,1.0,1.8197386,0.3552089842780215,1.0
125,COA6,1.0,27.147814,0.373900966300059,1.0
126,PECAM1,1.0,27.147814,0.373900966300059,1.0
127,FBXW2,1.0,27.147814,0.373900966300059,1.0
128,EI24,1.0,1.8197386,0.3552089842780215,1.0
129,SNHG17,1.0,27.147814,0.373900966300059,1.0
130,ABCB1,1.0,27.147814,0.373900966300059,1.0
131,NIT2,1.0,27.147814,0.373900966300059,1.0
132,FGD3,1.0,27.147814,0.373900966300059,1.0
133,TTI1,1.0,27.147814,0.373900966300059,1.0
134,TFG,1.0,27.147814,0.373900966300059,1.0
135,SLC25A36,1.0,27.147814,0.373900966300059,1.0
136,SRC,1.0,27.147814,0.373900966300059,1.0
137,RPN2,1.0,27.147814,0.373900966300059,1.0
138,METTL17,1.0,27.147814,0.373900966300059,1.0
139,ESAM,1.0,27.147814,0.373900966300059,1.0
140,TMEM214,1.0,27.147814,0.373900966300059,1.0
141,PYCR1,1.0,27.147814,0.373900966300059,1.0
142,RNF7,1.0,27.147814,0.373900966300059,1.0
143,INIP,1.0,27.147814,0.373900966300059,1.0
144,NECTIN3,1.0,27.147814,0.373900966300059,1.0
145,SMC6,1.0,27.147814,0.373900966300059,1.0
146,CEP63,1.0,27.147814,0.373900966300059,1.0
147,STX17,1.0,27.147814,0.373900966300059,1.0
148,RIN2,1.0,27.147814,0.373900966300059,1.0
149,MOGAT3,1.0,27.147814,0.373900966300059,1.0
150,ECE1,1.0,27.147814,0.373900966300059,1.0
151,SEC61A1,1.0,27.147814,0.373900966300059,1.0
152,AP1S1,1.0,27.147814,0.373900966300059,1.0
153,ABHD13,1.0,27.147814,0.373900966300059,1.0
154,TREH,1.0,27.147814,0.373900966300059,1.0
155,HCK,1.0,27.147814,0.373900966300059,1.0
156,MUC3A,1.0,27.147814,0.373900966300059,1.0
157,HMBS,1.0,27.147814,0.373900966300059,1.0
158,APOB,1.0,1.8197386,0.3552089842780215,1.0
159,CXCR5,1.0,27.147814,0.373900966300059,1.0
160,ERCC5,1.0,27.147814,0.373900966300059,1.0
161,ROCK2,1.0,27.147814,0.373900966300059,1.0
162,MFSD11,1.0,27.147814,0.373900966300059,1.0
163,PYGB,1.0,27.147814,0.373900966300059,1.0
164,VWA1,1.0,27.147814,0.373900966300059,1.0
165,MTOR,1.0,27.147814,0.373900966300059,1.0
166,SRRT,1.0,27.147814,0.373900966300059,1.0
167,CST3,1.0,27.147814,0.373900966300059,1.0
168,KMT2A,1.0,27.147814,0.373900966300059,1.0
169,SLC35D2,1.0,27.147814,0.373900966300059,1.0
170,SIDT1,1.0,27.147814,0.373900966300059,1.0
171,ZNF394,1.0,27.147814,0.373900966300059,1.0
172,MMP24OS,1.0,27.147814,0.373900966300059,1.0
173,GAS6,1.0,27.147814,0.373900966300059,1.0
174,GGA3,1.0,27.147814,0.373900966300059,1.0
175,CNST,1.0,27.147814,0.373900966300059,1.0
176,SRPRB,1.0,27.147814,0.373900966300059,1.0
177,SC5D,1.0,27.147814,0.373900966300059,1.0
178,SIDT2,1.0,27.147814,0.373900966300059,1.0
179,TAGLN,1.0,27.147814,0.373900966300059,1.0
180,BUD31,1.0,27.147814,0.373900966300059,1.0
181,ITGB4,1.0,27.147814,0.373900966300059,1.0
182,TP53I3,1.0,27.147814,0.373900966300059,1.0
183,NAPEPLD,1.0,27.147814,0.373900966300059,1.0
184,DTNB,1.0,27.147814,0.373900966300059,1.0
185,ATP2C1,1.0,27.147814,0.373900966300059,1.0
186,IL10RA,1.0,27.147814,0.373900966300059,1.0
187,KLF4,1.0,27.147814,0.373900966300059,1.0
188,IFT122,1.0,27.147814,0.373900966300059,1.0
189,PRKRIP1,1.0,27.147814,0.373900966300059,1.0
190,CNBP,1.0,27.147814,0.373900966300059,1.0
191,SLC44A1,1.0,27.147814,0.373900966300059,1.0
192,TMEM94,1.0,27.147814,0.373900966300059,1.0
193,IL6ST,1.0,27.147814,0.373900966300059,1.0
194,ATM,1.0,27.147814,0.373900966300059,1.0
195,BTG2,1.0,27.147814,0.373900966300059,1.0
196,TMED4,1.0,27.147814,0.373900966300059,1.0
197,UCKL1,1.0,27.147814,0.373900966300059,1.0
198,MAPK1IP1L,1.0,27.872505,0.373900966300059,1.0
199,ZMIZ2,1.0,27.872505,0.373900966300059,1.0
200,KCNE3,1.0,27.147814,0.373900966300059,1.0
201,ASB6,1.0,27.147814,0.373900966300059,1.0
202,HDAC5,1.0,27.147814,0.373900966300059,1.0
203,PPP1R12B,1.0,27.147814,0.373900966300059,1.0
204,IER5L,1.0,27.147814,0.373900966300059,1.0
205,UBTF,1.0,27.147814,0.373900966300059,1.0
206,ADIPOR1,1.0,27.147814,0.373900966300059,1.0
207,CYB5R1,1.0,27.147814,0.373900966300059,1.0
208,AURKAIP1,1.0,27.147814,0.373900966300059,1.0
209,ZFYVE28,1.0,27.147814,0.373900966300059,1.0
210,ZNF736,1.0,27.147814,0.373900966300059,1.0
211,DDC,1.0,27.147814,0.373900966300059,1.0
212,GOLT1A,1.0,27.147814,0.373900966300059,1.0
213,SERPINH1,1.0,27.147814,0.373900966300059,1.0
214,HEXIM1,1.0,27.147814,0.373900966300059,1.0
215,GOSR2,1.0,27.147814,0.373900966300059,1.0
216,SPON2,1.0,27.147814,0.373900966300059,1.0
217,OSBPL7,1.0,27.147814,0.373900966300059,1.0
218,NUCKS1,1.0,27.147814,0.373900966300059,1.0
219,RSF1,1.0,27.147814,0.373900966300059,1.0
220,CPLX1,1.0,27.147814,0.373900966300059,1.0
221,PCGF3,1.0,27.147814,0.373900966300059,1.0
222,NELFCD,1.0,27.147814,0.373900966300059,1.0
223,STX16,1.0,27.147814,0.373900966300059,1.0
224,PRPF6,1.0,27.147814,0.373900966300059,1.0
225,MAN2B2,1.0,27.147814,0.373900966300059,1.0
226,EZH1,1.0,27.147814,0.373900966300059,1.0
227,NR5A2,1.0,27.147814,0.373900966300059,1.0
228,TOR3A,1.0,27.147814,0.373900966300059,1.0
229,SETD4,1.0,27.147814,0.373900966300059,1.0
230,PPP6R3,1.0,27.147814,0.373900966300059,1.0
231,WDR5,1.0,27.147814,0.373900966300059,1.0
232,TOMM7,1.0,27.147814,0.373900966300059,1.0
233,OCIAD2,1.0,27.147814,0.373900966300059,1.0
234,MRGPRF,1.0,27.147814,0.373900966300059,1.0
235,TMEM50B,1.0,27.872505,0.373900966300059,1.0
236,IFNGR2,1.0,27.147814,0.373900966300059,1.0
237,IFNAR1,1.0,27.147814,0.373900966300059,1.0
238,FRYL,1.0,27.147814,0.373900966300059,1.0
239,CBX3,1.0,27.147814,0.373900966300059,1.0
240,SRSF5,1.0,27.147814,0.373900966300059,1.0
241,SKAP2,1.0,27.147814,0.373900966300059,1.0
242,PDS5A,1.0,27.147814,0.373900966300059,1.0
243,SOD1,1.0,27.147814,0.373900966300059,1.0
244,RELL1,1.0,27.147814,0.373900966300059,1.0
245,GARS-DT,1.0,27.147814,0.373900966300059,1.0
246,LAMTOR1,1.0,27.147814,0.373900966300059,1.0
247,NFE2L2,1.0,27.147814,0.373900966300059,1.0
248,DPY19L1,1.0,27.147814,0.373900966300059,1.0
249,SYNE2,1.0,1.8197386,0.3552089842780215,1.0
250,BOD1L1,1.0,27.147814,0.373900966300059,1.0
251,NAGLU,1.0,27.147814,0.373900966300059,1.0
252,USP25,1.0,27.147814,0.373900966300059,1.0
253,PSMA2,1.0,27.147814,0.373900966300059,1.0
254,PTPRC,1.0,27.147814,0.373900966300059,1.0
255,PRPF39,1.0,1.8197386,0.3552089842780215,1.0
256,VKORC1L1,1.0,27.147814,0.373900966300059,1.0
257,RHOU,1.0,27.147814,0.373900966300059,1.0
258,DENND1A,1.0,27.147814,0.373900966300059,1.0
259,DCAF11,1.0,27.147814,0.373900966300059,1.0
260,AC004687.1,1.0,27.872505,0.373900966300059,1.0
261,FBXO28,1.0,27.147814,0.373900966300059,1.0
262,ENDOD1,1.0,27.147814,0.373900966300059,1.0
263,MTMR4,1.0,27.147814,0.373900966300059,1.0
264,GOLGA1,1.0,27.147814,0.373900966300059,1.0
265,TSC22D1,1.0,27.147814,0.373900966300059,1.0
266,ACOT8,1.0,27.147814,0.373900966300059,1.0
267,MFN1,1.0,27.147814,0.373900966300059,1.0
268,TNFSF10,1.0,1.8197386,0.3552089842780215,1.0
269,MED13,1.0,27.147814,0.373900966300059,1.0
270,DBNDD2,1.0,27.147814,0.373900966300059,1.0
271,BIRC2,1.0,27.147814,0.373900966300059,1.0
272,H3F3A,1.0,27.147814,0.373900966300059,1.0
273,RBM38,1.0,27.147814,0.373900966300059,1.0
274,TNIK,1.0,27.147814,0.373900966300059,1.0
275,YWHAB,1.0,27.147814,0.373900966300059,1.0
276,ADA,1.0,27.147814,0.373900966300059,1.0
277,RC3H2,1.0,27.147814,0.373900966300059,1.0
278,PRKCI,1.0,27.147814,0.373900966300059,1.0
279,HNF4A,1.0,27.147814,0.373900966300059,1.0
280,FITM2,1.0,27.147814,0.373900966300059,1.0
281,PHC3,1.0,27.147814,0.373900966300059,1.0
282,PDCD10,1.0,27.147814,0.373900966300059,1.0
283,GRIA4,1.0,27.147814,0.373900966300059,1.0
284,DDX42,1.0,27.147814,0.373900966300059,1.0
285,CUL5,1.0,27.147814,0.373900966300059,1.0
286,MMP14,1.0,27.147814,0.373900966300059,1.0
287,PSME1,1.0,27.147814,0.373900966300059,1.0
288,SLC2A8,1.0,27.147814,0.373900966300059,1.0
289,ZMYND8,1.0,27.147814,0.373900966300059,1.0
290,MARC2,1.0,27.147814,0.373900966300059,1.0
291,CALCOCO2,1.0,27.147814,0.373900966300059,1.0
292,PSMA6,1.0,27.147814,0.373900966300059,1.0
293,TMEM248,1.0,27.147814,0.373900966300059,1.0
294,YOD1,1.0,27.147814,0.373900966300059,1.0
295,CD55,1.0,27.147814,0.373900966300059,1.0
296,TNK2,1.0,27.147814,0.373900966300059,1.0
297,PCF11,1.0,27.147814,0.373900966300059,1.0
298,CCDC90B,1.0,27.147814,0.373900966300059,1.0
299,LCN2,1.0,27.147814,0.373900966300059,1.0
300,PPP1R2,1.0,27.147814,0.373900966300059,1.0
301,ARHGAP5,1.0,27.147814,0.373900966300059,1.0
302,SYTL2,1.0,27.147814,0.373900966300059,1.0
303,PICALM,1.0,27.147814,0.373900966300059,1.0
304,MRPL27,1.0,27.147814,0.373900966300059,1.0
305,BUD23,1.0,27.147814,0.373900966300059,1.0
306,SPATA20,1.0,27.147814,0.373900966300059,1.0
307,LUC7L3,1.0,27.147814,0.373900966300059,1.0
308,TMEM189,1.0,27.147814,0.373900966300059,1.0
309,SENP2,1.0,27.147814,0.373900966300059,1.0
310,NEDD8,1.0,27.147814,0.373900966300059,1.0
311,POLR2H,1.0,27.147814,0.373900966300059,1.0
312,GTF2IRD2,1.0,27.147814,0.373900966300059,1.0
313,REC8,1.0,27.147814,0.373900966300059,1.0
314,VEZF1,1.0,27.147814,0.373900966300059,1.0
315,IRF9,1.0,27.147814,0.373900966300059,1.0
316,PSME2,1.0,27.872505,0.373900966300059,1.0
317,ANKRD49,1.0,27.147814,0.373900966300059,1.0
318,SIGLEC1,1.0,27.147814,0.373900966300059,1.0
319,SSU72,1.0,27.147814,0.373900966300059,1.0
320,AKAP11,1.0,27.147814,0.373900966300059,1.0
321,KEAP1,1.0,27.147814,0.373900966300059,1.0
322,GPT,1.0,27.147814,0.373900966300059,1.0
323,RNF149,1.0,27.147814,0.373900966300059,1.0
324,MRPL4,1.0,27.147814,0.373900966300059,1.0
325,PLPP5,1.0,27.147814,0.373900966300059,1.0
326,VPS28,1.0,1.8197386,0.3552089842780215,1.0
327,SLC39A4,1.0,27.147814,0.373900966300059,1.0
328,CPSF1,1.0,27.147814,0.373900966300059,1.0
329,RABAC1,1.0,27.147814,0.373900966300059,1.0
330,ARHGEF1,1.0,27.147814,0.373900966300059,1.0
331,CD79A,1.0,27.147814,0.373900966300059,1.0
332,CCNT1,1.0,27.147814,0.373900966300059,1.0
333,PDE4A,1.0,27.147814,0.373900966300059,1.0
334,DDX23,1.0,27.147814,0.373900966300059,1.0
335,USP40,1.0,27.147814,0.373900966300059,1.0
336,LSM1,1.0,27.147814,0.373900966300059,1.0
337,TMEM87B,1.0,27.147814,0.373900966300059,1.0
338,PRKAG1,1.0,27.147814,0.373900966300059,1.0
339,NR1H4,1.0,27.147814,0.373900966300059,1.0
340,RAB4B,1.0,27.147814,0.373900966300059,1.0
341,QTRT1,1.0,27.147814,0.373900966300059,1.0
342,PSD4,1.0,27.147814,0.373900966300059,1.0
343,GPAA1,1.0,27.147814,0.373900966300059,1.0
344,ITM2C,1.0,27.147814,0.373900966300059,1.0
345,PLEC,1.0,27.147814,0.373900966300059,1.0
346,PRKCSH,1.0,27.147814,0.373900966300059,1.0
347,FMNL3,1.0,27.147814,0.373900966300059,1.0
348,TMBIM6,1.0,27.147814,0.373900966300059,1.0
349,TRIP12,1.0,27.147814,0.373900966300059,1.0
350,DDHD2,1.0,27.147814,0.373900966300059,1.0
351,NDUFA10,1.0,27.147814,0.373900966300059,1.0
352,AGFG1,1.0,27.147814,0.373900966300059,1.0
353,ACACB,1.0,27.147814,0.373900966300059,1.0
354,MICOS13,1.0,27.147814,0.373900966300059,1.0
355,LONP1,1.0,27.872505,0.373900966300059,1.0
356,NUP210,1.0,27.147814,0.373900966300059,1.0
357,SH2B3,1.0,27.147814,0.373900966300059,1.0
358,TTLL3,1.0,27.147814,0.373900966300059,1.0
359,GPR108,1.0,27.147814,0.373900966300059,1.0
360,UHRF2,1.0,27.147814,0.373900966300059,1.0
361,CAPRIN2,1.0,27.147814,0.373900966300059,1.0
362,ANKRD13A,1.0,27.147814,0.373900966300059,1.0
363,THUMPD3-AS1,1.0,27.147814,0.373900966300059,1.0
364,STARD7,1.0,27.147814,0.373900966300059,1.0
365,TRAPPC6A,1.0,27.147814,0.373900966300059,1.0
366,MAP2K7,1.0,27.147814,0.373900966300059,1.0
367,ARID5A,1.0,27.147814,0.373900966300059,1.0
368,ADGRA2,1.0,27.147814,0.373900966300059,1.0
369,TIMM44,1.0,27.147814,0.373900966300059,1.0
370,SARAF,1.0,27.147814,0.373900966300059,1.0
371,APOC1,1.0,27.147814,0.373900966300059,1.0
372,APOE,1.0,27.147814,0.373900966300059,1.0
373,HNRNPM,1.0,27.147814,0.373900966300059,1.0
374,SEPTIN2,1.0,27.147814,0.373900966300059,1.0
375,BCL3,1.0,27.147814,0.373900966300059,1.0
376,HDLBP,1.0,27.147814,0.373900966300059,1.0
377,CAMK2N1,1.0,27.147814,0.373900966300059,1.0
378,ZNF224,1.0,27.147814,0.373900966300059,1.0
379,RNPEPL1,1.0,27.147814,0.373900966300059,1.0
