Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2021	neutrophil activation involved in immune response (GO:0002283)	195/485	1.194139e-28	6.492534e-25	0	0	3.011515e+00	1.936252e+02	LGALS3;PSMD7;PNP;PSMD2;ANPEP;FTH1;PSMD3;CPNE1;PSMD1;PRSS3;B2M;GOLGA7;ARSA;HLA-B;HLA-C;MIF;SCAMP1;UNC13D;DYNC1LI1;CSNK2B;STXBP2;MGST1;IQGAP2;GNS;PLAC8;NCSTN;NEU1;MLEC;ATG7;ATP6V0A1;CTSA;VAT1;XRCC6;JUP;XRCC5;FUCA1;FUCA2;PRDX6;BST2;BST1;CYSTM1;GPI;PIGR;SERPINA1;HEXB;CTSZ;FAF2;GDI2;PTPRJ;MAGT1;ACTR1B;STBD1;TIMP2;CTSH;CD36;RAC1;CTSD;SPTAN1;CTSB;CAP1;CCT2;SERPINB1;ANXA2;MME;SYK;PGAM1;NME2;COMMD3;ANO6;RHOF;DYNLL1;RHOA;SERPINB6;APRT;PSMA5;VAMP8;CEACAM1;PSMA2;ALDOC;CD47;ALDOA;ATP6V0C;PAFAH1B2;VAMP2;CD63;ASAH1;GRN;CAB39;GSTP1;CST3;PSMB7;PGRMC1;ORMDL3;CD59;AGA;METTL7A;CCT8;CD58;DYNC1H1;AOC1;GSN;PTGES2;TUBB4B;ERP44;PSMC2;LAMTOR1;YPEL5;CD68;LAMTOR3;ACTR10;FRK;HSPA1B;HSPA1A;TMEM179B;LAMP1;LAMP2;TOM1;COTL1;ACAA1;KCMF1;DGAT1;IST1;ADAM10;ATP11B;OLFM4;ARHGAP45;EEF1A1;ACLY;SLC27A2;PPIA;KPNB1;VCL;FTL;RAB5B;PSMD12;VCP;RAB5C;BRI3;PSMD13;COPB1;PSAP;RAB6A;SLC15A4;ATP6V1D;AP1M1;HSPA8;MGAM;IDH1;ARPC5;EEF2;IGF2R;DIAPH1;MAN2B1;HSP90AB1;DDX3X;SNAP23;HMGB1;SLC2A5;HEBP2;NAPRT;ITGAV;SNAP29;PGM1;DSP;ACTR2;HSP90AA1;DYNLT1;RNASET2;NDUFC2;DDOST;DNAJC3;PKM;NPC2;DNAJC5;TMBIM1;CAT;DNASE1;PDXK;ROCK1;MVP;FGL2;AGPAT2;CAND1;STOM;TMEM30A;CMTM6;MAPK14;CPPED1;GALNS;PFKL;TSPAN14;RAB14;VAPA;GLB1;RAB18
GO_Biological_Process_2021	neutrophil degranulation (GO:0043312)	193/481	3.116023e-28	8.470909e-25	0	0	3.000019e+00	1.900086e+02	LGALS3;PSMD7;PNP;PSMD2;ANPEP;FTH1;PSMD3;CPNE1;PSMD1;PRSS3;B2M;GOLGA7;ARSA;HLA-B;HLA-C;MIF;SCAMP1;UNC13D;DYNC1LI1;CSNK2B;STXBP2;MGST1;IQGAP2;GNS;PLAC8;NCSTN;NEU1;MLEC;ATG7;ATP6V0A1;CTSA;VAT1;XRCC6;JUP;XRCC5;FUCA1;FUCA2;PRDX6;BST2;BST1;CYSTM1;GPI;PIGR;SERPINA1;HEXB;CTSZ;FAF2;GDI2;PTPRJ;MAGT1;ACTR1B;STBD1;TIMP2;CTSH;CD36;RAC1;CTSD;SPTAN1;CTSB;CAP1;CCT2;SERPINB1;ANXA2;MME;PGAM1;NME2;COMMD3;ANO6;RHOF;DYNLL1;RHOA;SERPINB6;APRT;PSMA5;VAMP8;CEACAM1;PSMA2;ALDOC;CD47;ALDOA;ATP6V0C;PAFAH1B2;VAMP2;CD63;ASAH1;GRN;CAB39;GSTP1;CST3;PSMB7;PGRMC1;ORMDL3;CD59;AGA;METTL7A;CCT8;CD58;DYNC1H1;AOC1;GSN;PTGES2;TUBB4B;ERP44;PSMC2;LAMTOR1;YPEL5;CD68;LAMTOR3;ACTR10;FRK;HSPA1B;HSPA1A;TMEM179B;LAMP1;LAMP2;TOM1;COTL1;ACAA1;KCMF1;DGAT1;IST1;ADAM10;ATP11B;OLFM4;ARHGAP45;EEF1A1;ACLY;SLC27A2;PPIA;KPNB1;VCL;FTL;RAB5B;PSMD12;VCP;RAB5C;BRI3;PSMD13;COPB1;PSAP;RAB6A;SLC15A4;ATP6V1D;AP1M1;HSPA8;MGAM;IDH1;ARPC5;EEF2;IGF2R;DIAPH1;MAN2B1;HSP90AB1;DDX3X;SNAP23;HMGB1;SLC2A5;HEBP2;NAPRT;ITGAV;SNAP29;PGM1;DSP;ACTR2;HSP90AA1;DYNLT1;RNASET2;NDUFC2;DDOST;DNAJC3;PKM;NPC2;DNAJC5;TMBIM1;CAT;PDXK;ROCK1;MVP;FGL2;AGPAT2;CAND1;STOM;TMEM30A;CMTM6;MAPK14;CPPED1;GALNS;PFKL;TSPAN14;RAB14;VAPA;GLB1;RAB18
GO_Biological_Process_2021	neutrophil mediated immunity (GO:0002446)	194/488	9.072814e-28	1.644296e-24	0	0	2.953738e+00	1.839207e+02	LGALS3;PSMD7;PNP;PSMD2;ANPEP;FTH1;PSMD3;CPNE1;PSMD1;PRSS3;B2M;GOLGA7;ARSA;HLA-B;HLA-C;MIF;SCAMP1;UNC13D;DYNC1LI1;CSNK2B;STXBP2;MGST1;IQGAP2;GNS;PLAC8;NCSTN;NEU1;MLEC;ATG7;ATP6V0A1;CTSA;VAT1;XRCC6;ACE;JUP;XRCC5;FUCA1;FUCA2;PRDX6;BST2;BST1;CYSTM1;GPI;PIGR;SERPINA1;HEXB;CTSZ;FAF2;GDI2;PTPRJ;MAGT1;ACTR1B;STBD1;TIMP2;CTSH;CD36;RAC1;CTSD;SPTAN1;CTSB;CAP1;CCT2;SERPINB1;ANXA2;MME;PGAM1;NME2;COMMD3;ANO6;RHOF;DYNLL1;RHOA;SERPINB6;APRT;PSMA5;VAMP8;CEACAM1;PSMA2;ALDOC;CD47;ALDOA;ATP6V0C;PAFAH1B2;VAMP2;CD63;ASAH1;GRN;CAB39;GSTP1;CST3;PSMB7;PGRMC1;ORMDL3;CD59;AGA;METTL7A;CCT8;CD58;DYNC1H1;AOC1;GSN;PTGES2;TUBB4B;ERP44;PSMC2;LAMTOR1;YPEL5;CD68;LAMTOR3;ACTR10;FRK;HSPA1B;HSPA1A;TMEM179B;LAMP1;LAMP2;TOM1;COTL1;ACAA1;KCMF1;DGAT1;IST1;ADAM10;ATP11B;OLFM4;ARHGAP45;EEF1A1;ACLY;SLC27A2;PPIA;KPNB1;VCL;FTL;RAB5B;PSMD12;VCP;RAB5C;BRI3;PSMD13;COPB1;PSAP;RAB6A;SLC15A4;ATP6V1D;AP1M1;HSPA8;MGAM;IDH1;ARPC5;EEF2;IGF2R;DIAPH1;MAN2B1;HSP90AB1;DDX3X;SNAP23;HMGB1;SLC2A5;HEBP2;NAPRT;ITGAV;SNAP29;PGM1;DSP;ACTR2;HSP90AA1;DYNLT1;RNASET2;NDUFC2;DDOST;DNAJC3;PKM;NPC2;DNAJC5;TMBIM1;CAT;PDXK;ROCK1;MVP;FGL2;AGPAT2;CAND1;STOM;TMEM30A;CMTM6;MAPK14;CPPED1;GALNS;PFKL;TSPAN14;RAB14;VAPA;GLB1;RAB18
GO_Biological_Process_2021	cellular protein modification process (GO:0006464)	311/1025	3.404842e-20	4.628031e-17	0	0	1.962865e+00	8.798837e+01	APP;GMFB;ARAF;ZDHHC6;DCAF8;UBE2L6;PPP2R2A;DCAF5;DCAF7;UBE2L3;PSMD9;NUB1;PPP4R1;PSMD7;LGALS1;PPP4R2;PSMD4;PPP2R1B;PPP2R1A;PSMD2;PSMD3;CDK20;PDK4;PSMD1;PDK1;SKP1;WSB1;CSNK2A1;DAPK1;ALG5;ALG3;CSNK1D;PRKCA;CSNK1E;PHKA2;PSME3;PSME1;SIK3;TRIB1;UBA52;MTMR3;RPN2;EPAS1;RPN1;MTMR4;NLK;PRKCZ;TGOLN2;UGCG;NUAK2;STK38L;PSMF1;APOB;ATG7;LYN;CDK18;YES1;ICMT;FUCA2;PTK6;SRPK1;PPP5C;WNK1;WNK2;FBXL3;BAP1;PIGS;ARF4;PIGT;SERPINA1;SETD3;GPAA1;PRKAG1;AATK;MIA3;PTPRJ;PTPRK;PTPRH;WDR45;TRIOBP;PTPRF;DDA1;IKBKB;ANKRD9;PPP3CA;UBL5;SERP1;FASTK;UBXN7;ELOB;JAK3;RAB8A;JAK1;MAP4K1;PARP6;RIPK3;SYK;DUSP1;STRADA;STRADB;MINK1;SIRT7;TYK2;LRRC41;SUMF2;SUMF1;PARP8;PSMA5;PSMA3;PSMA4;PSMA1;MMP15;PSMA2;SGK3;GAS6;SGK1;CHST5;PIGH;WDR45B;PSMA7;CAMKK2;PSMB6;CST3;PPP2CA;PSMB7;PSMB4;PAK1;MGAT1;AGA;MAP4K5;PAK2;LCMT1;PAK4;EGLN3;GOLM1;CSNK1A1;GLYCTK;KRT10;PSMB8;RAB11A;PSMB9;KTN1;RAB11B;SPSB3;PDP1;PSMC5;PSMC6;TAOK3;TAOK1;STK17B;PSMC2;NUCB1;COQ8B;PKN1;COQ8A;FRK;PNPLA2;PRAG1;UBE2D2;UBE2D3;PLAT;FBXO21;CDC14B;PPP1CB;PPP1CC;PIM3;SBF1;LARGE1;MEN1;FBXW4;RAB2A;CSNK1G3;FBXW5;IGFBP4;APLP2;SHISA5;ADAM10;LMTK2;LMO7;FBXO11;PDIA6;FBXW2;RBX1;ILF3;MAPKAPK2;TNIK;PHPT1;CSNK1G2;PSMD12;UBA7;CUL5;PSMD13;CUL3;CUL1;FUT4;HSP90B1;TIMM50;MTM1;COP1;IRAK1;MAN2A2;MAN2A1;STK38;IGFBP7;NAE1;MARK3;WDTC1;UBE2I;NEK7;B3GALT5;BTBD6;FBXO32;SSH2;CLK3;CLK2;PTPRD;PTPRE;BMP2;COPS6;COPS5;STK24;CDK5;STK25;COPS2;STT3A;MAN2B1;MELTF;MAP3K13;RAB5A;MAP3K11;BMPR1A;GSK3B;ST6GALNAC1;GSK3A;DYRK2;BMPR2;PRKCSH;NGLY1;PTEN;PIK3CD;ILK;PTPN21;UFL1;PPP6C;TLK1;DSP;PDPK1;APOA1;PPP2R5A;PPP2R5D;PPP2R5C;YWHAZ;DDOST;TGFBR1;TGFBR2;DNAJC3;LATS1;PPM1A;PTP4A2;PPM1B;RCN1;CREB1;DAD1;LCK;PEAK1;CTDSP2;BMP2K;ATG4B;BIRC6;RAB1A;PRKAA1;CAMK2D;ROCK1;ROCK2;RAB1B;ASB13;PDXP;GLRX;RNF7;ACVR1B;THBS1;MAPK8;CAND1;TNKS2;MKNK2;ERBB2;PTK2B;FEM1C;FYN;RBBP7;DCAF11;MAPK6;DCAF13;MBTPS1;SLC35A1;LAMB2;CDC42BPG;LIMK2;FBXL18;LAMB1;FBXL15;BCKDK;SNRK;ASB8;MGAT4A;ASB6;PTPN9;CD247;P4HB;CUL4B;METAP2
GO_Biological_Process_2021	aerobic electron transport chain (GO:0019646)	47/70	1.032527e-18	1.005367e-15	0	0	8.934021e+00	3.699982e+02	COX7B;NDUFA13;NDUFB8;NDUFB7;NDUFB6;UQCRB;NDUFA12;NDUFB11;NDUFB5;COX4I1;NDUFB4;NDUFA10;NDUFB3;NDUFB2;NDUFB1;UQCR11;UQCR10;COX6A1;COX5B;COX7C;COX5A;UQCRH;UQCRFS1;CYC1;NDUFV2;COX10;COX8A;NDUFA7;NDUFA6;NDUFA4;NDUFA2;NDUFA1;NDUFC2;NDUFC1;SDHC;SDHA;COX6C;COX6B1;COX7A2L;NDUFS7;NDUFS5;NDUFS4;NDUFAB1;UQCRC1;NDUFS2;CYCS;UQCRC2
GO_Biological_Process_2021	protein transport (GO:0015031)	141/369	1.109473e-18	1.005367e-15	0	0	2.738942e+00	1.132351e+02	VPS29;SYS1;TFRC;GCC2;SCAMP5;SCAMP4;GOLGA4;HERC2;LAMP2;ARL6IP5;TOM1;ARFIP1;EIF2D;VPS35;GOLGA7;TBC1D22A;TBC1D22B;TBC1D10B;ATP6V1G1;ATP6V0E1;TANGO2;VPS33B;GOLPH3L;LMTK2;SCAMP1;SCAMP2;PDIA4;RUFY1;PREPL;TXNIP;PREB;ZG16;ATP6V0D1;ABCG1;MACF1;COPB2;RAB5B;TBC1D9B;RAB5C;TMED10;SAR1B;MTTP;STXBP2;VPS26A;HSP90B1;SCFD1;SNX1;KIF3B;MYO6;ATP6V0A2;ATP6V1H;SNX9;APOB;RAB6A;ATP6V1D;SPTBN1;ATP6V0A1;SEC31A;CTSA;RABGAP1L;GRTP1;CHMP2B;CHMP2A;IFT27;RAB5A;MON1A;ARF3;ARF4;ARF1;CLTC;MIA2;SNX13;MIA3;RAB22A;CHMP1A;TMED2;TLK1;CD36;TMED7;ARL5A;RAB8A;TMED4;YWHAH;ATP6V0B;SEC13;TMED9;AMN;ARFGAP3;COPZ1;DNM2;RCN3;TBC1D1;CTTN;CANX;ATP6V1B2;CHMP3;MYH9;ARHGEF2;ATP6V0C;VAMP5;VAMP2;ARF6;NAPA;RAB1A;STX17;LRP1;STX16;UNC93B1;RAB1B;USO1;NAPG;STX10;GGA2;RAB21;GGA1;NEURL1B;GGA3;RAB26;STX3;RILP;CD74;NPM1;RIC1;CMTM6;AP3D1;LAPTM5;ARCN1;RAB11B;WDR11;VMP1;SEC23IP;GOLPH3;RAB14;SGSM3;SGSM2;SNX15;RAB18;RAB3GAP2;VIPAS39;RAB17;VPS45
GO_Biological_Process_2021	mitochondrial ATP synthesis coupled electron transport (GO:0042775)	47/71	2.499266e-18	1.941216e-15	0	0	8.561242e+00	3.469917e+02	COX7B;NDUFA13;NDUFB8;NDUFB7;NDUFB6;UQCRB;NDUFA12;NDUFB11;NDUFB5;COX4I1;NDUFB4;NDUFA10;NDUFB3;NDUFB2;NDUFB1;UQCR11;UQCR10;COX6A1;COX5B;COX7C;COX5A;UQCRH;UQCRFS1;CYC1;NDUFV2;COX10;COX8A;NDUFA7;NDUFA6;NDUFA4;NDUFA2;NDUFA1;NDUFC2;NDUFC1;SDHC;SDHA;COX6C;COX6B1;COX7A2L;NDUFS7;NDUFS5;NDUFS4;NDUFAB1;UQCRC1;NDUFS2;CYCS;UQCRC2
GO_Biological_Process_2021	RNA splicing, via transesterification reactions with bulged adenosine as nucleophile (GO:0000377)	105/251	1.934058e-17	1.314434e-14	0	0	3.169937e+00	1.219929e+02	HNRNPU;CWC25;RAVER1;RBMX2;MAGOH;PAPOLA;MTREX;SNRPD3;TXNL4A;SRRM2;IK;SNRPN;GTF2F1;WBP11;HNRNPUL1;PSPC1;PRPF3;SRSF2;CD2BP2;SRSF3;SNRPE;SRSF4;SRSF5;SNRNP200;SNRPC;SRSF6;SRSF7;SRSF8;SF1;SNRPB;SRSF9;ZCCHC8;DDX5;DHX8;RBM8A;DHX9;YTHDC1;PRPF8;PCBP2;SYMPK;HSPA8;CPSF7;PRPF38A;FUS;NONO;LSM5;LSM4;HNRNPL;LSM7;HNRNPK;HNRNPF;HNRNPD;RNPS1;HNRNPC;DDX42;PPWD1;DDX41;UBL5;RBM4;SART1;PCF11;SNRNP70;DHX15;CTNNBL1;RBM5;RBM6;NCBP2;PRPF40A;WDR33;SFPQ;HNRNPH1;SYF2;HNRNPH2;HNRNPH3;PABPC1;RBM22;SF3B2;SF3B6;DDX23;SRSF1;WBP4;U2AF1L4;RBM15B;PABPN1;POLR2A;PUF60;U2AF2;TRA2B;TRA2A;POLR2E;POLR2F;RALY;SNRPB2;POLR2H;HNRNPA1;POLR2I;SF3B1;POLR2J;SMNDC1;POLR2K;HNRNPA0;POLR2L;SPEN;HNRNPA2B1;PRPF31
GO_Biological_Process_2021	mRNA splicing, via spliceosome (GO:0000398)	111/274	3.995532e-17	2.413745e-14	0	0	3.003342e+00	1.134025e+02	HNRNPU;CWC25;RAVER1;RBMX2;MAGOH;PAPOLA;MTREX;SNRPD3;TXNL4A;DDX17;SRRM2;IK;SNRPN;GTF2F1;WBP11;HNRNPUL1;PSPC1;CLNS1A;PRPF3;SRSF2;CD2BP2;SRSF3;SNRPE;SRSF4;SRSF5;SNRNP200;SNRPC;SRSF6;SRSF7;SRSF8;SF1;SNRPB;SRSF9;ZCCHC8;DDX5;DHX8;RBM8A;DHX9;YTHDC1;DDX1;PRPF8;PCBP2;SYMPK;HSPA8;CPSF7;PRPF38A;FUS;NONO;LSM5;LSM4;SRPK1;HNRNPL;LSM7;HNRNPK;HNRNPF;HNRNPD;RNPS1;HNRNPC;DDX42;PPWD1;DDX41;UBL5;RBM4;SART1;PCF11;SNRNP70;DHX15;CTNNBL1;RBM5;RBM6;PRMT7;NCBP2;PRPF40A;WDR33;SFPQ;SCNM1;HNRNPH1;SYF2;HNRNPH2;HNRNPH3;PABPC1;RBM22;SF3B2;SF3B6;DDX23;SRSF1;WBP4;U2AF1L4;RBM15B;PABPN1;POLR2A;PUF60;U2AF2;TRA2B;TRA2A;POLR2E;POLR2F;RALY;SNRPB2;POLR2H;HNRNPA1;POLR2I;SF3B1;POLR2J;SMNDC1;POLR2K;HNRNPA0;POLR2L;SPEN;HNRNPA2B1;PRPF31
GO_Biological_Process_2021	proteasome-mediated ubiquitin-dependent protein catabolic process (GO:0043161)	121/321	1.055655e-15	5.739596e-13	0	0	2.669421e+00	9.205396e+01	RB1;UBE2D3;LTN1;PSMD9;PSMD7;MAEA;KAT5;PSMD4;CDC26;PSMD2;PSMD3;PSMD1;TRIM25;SKP1;FBXW4;FBXW5;UBE4A;DNAJB14;KCTD2;UBE4B;RBX1;RNF126;IFI27;KCTD10;TBL1XR1;PSME3;PSME1;ANAPC5;UBA52;FAM8A1;ANAPC1;RNF121;PSMD12;VCP;ANAPC16;CUL5;PSMD13;CUL3;CUL1;NEDD4L;UBR2;UBE2J1;HSP90B1;BAG6;COP1;SHARPIN;RNF216;UBB;PCBP2;TMEM129;UBC;PSMF1;HSPA5;UBE2B;SIAH2;ERLIN1;UBE2A;NSFL1C;RNF103;APPBP2;CDC16;DNAJC10;FBXL3;UBE2K;NFE2L2;RNF187;GSK3A;FAF2;ZFAND2B;HERPUD1;ANKRD9;MAN1A1;SEC61B;UBXN4;PPP2R5C;RAD23B;PSMA5;PSMA3;PSMA4;PSMA1;NEMF;PSMA2;PELI1;RNF34;DMAC2;DERL1;DERL2;RNF5;PSMA7;PSMB6;DNAJB2;RMND5B;PSMB7;ZNRF1;PSMB4;MTA1;RMND5A;HECTD3;SPOP;ZSWIM8;UBQLN1;DNAJB9;FEM1C;DCAF11;UBQLN2;AMFR;TMUB1;FBXL18;FBXL15;PSMB8;PSMB9;TMUB2;SPSB3;PSMC5;PSMC6;JKAMP;NEDD4;GID8;PSMC2;CTNNB1;CUL4B
