,names,scores,logfoldchanges,pvals,pvals_adj
0,NPEPPS,-2.3327243,-1.2664627,0.02128837871595867,0.0497855205949933
1,MIB2,-2.333403,-1.6013261,0.02149529059661181,0.049967264542386876
2,GPCPD1,-2.3369408,-1.5480044,0.02137665094012603,0.04986113155680481
3,CLIC1,-2.3373303,-1.2124522,0.021185900666115285,0.049600942803361914
4,HYOU1,-2.3381858,-1.5062159,0.021146245411881225,0.049553004269901925
5,DCTN1,-2.3381858,-1.5062159,0.021146245411881225,0.049553004269901925
6,ERH,-2.3383958,-2.1576738,0.021444261708119458,0.04986113155680481
7,HEATR5B,-2.3383958,-2.1576738,0.021444261708119458,0.04986113155680481
8,ARMC5,-2.3383958,-2.1576738,0.021444261708119458,0.04986113155680481
9,PIDD1,-2.3383958,-2.1576738,0.021444261708119458,0.04986113155680481
10,RBFOX2,-2.3383958,-2.1576738,0.021444261708119458,0.04986113155680481
11,ZNF518A,-2.3383958,-2.1576738,0.021444261708119458,0.04986113155680481
12,FAN1,-2.3383958,-2.1576738,0.021444261708119458,0.04986113155680481
13,NCAPH2,-2.3383958,-2.1576738,0.021444261708119458,0.04986113155680481
14,MAP11,-2.3383958,-2.1576738,0.021444261708119458,0.04986113155680481
15,AC132872.1,-2.3383958,-2.1576738,0.021444261708119458,0.04986113155680481
16,CD247,-2.3383958,-2.1576738,0.021444261708119458,0.04986113155680481
17,UBE4B,-2.3383958,-2.1576738,0.021444261708119458,0.04986113155680481
18,ETF1,-2.3383958,-2.1576738,0.021444261708119458,0.04986113155680481
19,GTF3C5,-2.3383958,-2.1576738,0.021444261708119458,0.04986113155680481
20,C15orf40,-2.3383958,-2.1576738,0.021444261708119458,0.04986113155680481
21,NEK7,-2.3383958,-2.1576738,0.021444261708119458,0.04986113155680481
22,SNX33,-2.3383958,-2.1576738,0.021444261708119458,0.04986113155680481
23,ROCK1,-2.3383958,-2.1576738,0.021444261708119458,0.04986113155680481
24,TRPC4AP,-2.3383958,-2.1576738,0.021444261708119458,0.04986113155680481
25,RAB3IP,-2.3383958,-2.1576738,0.021444261708119458,0.04986113155680481
26,EPHA10,-2.3383958,-2.1576738,0.021444261708119458,0.04986113155680481
27,ZNF444,-2.3383958,-2.1576738,0.021444261708119458,0.04986113155680481
28,CLPP,-2.338926,-1.755379,0.02119342158566401,0.049600942803361914
29,CARMIL1,-2.338926,-1.755379,0.02119342158566401,0.049600942803361914
30,SPPL3,-2.338926,-1.755379,0.02119342158566401,0.049600942803361914
31,ATG3,-2.3404074,-1.7098769,0.02122166783896396,0.04964201635112487
32,KIDINS220,-2.3404074,-1.7098769,0.02122166783896396,0.04964201635112487
33,HNRNPH2,-2.3439934,-1.9005097,0.021155019671638752,0.04956105315299114
34,HGS,-2.3440607,-1.3967391,0.020880471208145998,0.04897966483548424
35,SLC12A7,-2.345366,-1.1030762,0.02058128345149277,0.04833893547488762
36,ANKRD40CL,-2.3479824,-2.2312787,0.02095847605887747,0.04915022101528567
37,SRSF4,-2.3492053,-1.4625124,0.020609230080809445,0.04839232825956825
38,DVL3,-2.3505373,-1.4927325,0.020521240887547504,0.048210113368315856
39,NPM1,-2.350732,-1.3712499,0.02026976619400289,0.04767966797078937
40,COA4,-2.352963,-1.7984377,0.02050014941952776,0.048172756180267506
41,RASSF4,-2.3543463,-1.1848831,0.02018526704352218,0.04749294010088032
