,names,scores,logfoldchanges,pvals,pvals_adj
0,IGKC,8.075104,2.4343195,1.888809685228887e-13,5.3127065146347056e-11
1,IGHG4,7.3060746,2.7194402,1.4337692596853069e-11,2.047422502830618e-09
2,IGHA1,6.2439833,2.0491614,4.030639510209181e-09,2.398230508574463e-07
3,IGHG3,6.119235,2.6563962,8.131963111274926e-09,4.288686454480334e-07
4,IGLC2,5.075683,2.3194494,1.1896917851621496e-06,2.4148554326236524e-05
5,IGHG1,4.914016,2.0144765,2.3116052707044124e-06,4.150158631078986e-05
6,MUC1,4.795569,2.9719715,5.070238643920731e-06,7.781977927392875e-05
7,REG1A,4.686729,1.6488463,6.172015872916351e-06,9.093436719430092e-05
8,LINC02739,4.568022,1.5018196,1.0083163365838111e-05,0.00013466463649166812
9,IGHM,4.38803,1.5724934,2.1857256780588828e-05,0.00024518187537724554
10,SNHG1,4.17521,1.2024297,4.9855939395359104e-05,0.000460919152856298
11,AL627171.2,4.0471854,1.0754594,8.205509300354967e-05,0.0006812480977271449
12,JCHAIN,3.999372,1.3312876,9.91855504521664e-05,0.0007936554131870763
13,IGLC1,3.9209785,1.70454,0.0001380037910560847,0.0010414237305549415
14,IGLC3,3.8152685,2.3019745,0.00021163287050327128,0.00144652157880071
15,IGHG2,3.6112018,2.0112472,0.0004159069691468071,0.002466740247680935
16,UBD,3.5568573,2.6437123,0.000542328873138469,0.003034477926197952
17,AC007952.4,3.169661,1.0051563,0.0018454024538958975,0.007764744141913745
18,MS4A1,3.122356,3.4410346,0.002321817391911078,0.009135696918914213
19,DMBT1,3.1114898,1.1564159,0.0022237828757281503,0.008839894069596869
20,CXCL10,2.924941,26.707853,0.004428620344850223,0.014920672973103366
21,MZB1,2.8394296,1.8153175,0.0052497375067750065,0.017013988665462852
22,GAS5,2.8258586,0.90307415,0.005351711524778638,0.017236150719290536
23,IDO1,2.7042542,2.1114082,0.007795743376607387,0.022835319342282792
24,TNFRSF6B,2.5772061,1.7055466,0.011076781721931257,0.03023072271183944
25,MXRA5,2.530411,1.9618367,0.01264249604340388,0.033140513756804116
26,PRDM1,2.525816,25.579596,0.013420505678404424,0.03445895814853385
27,TRIB2,2.521788,3.0302653,0.013124174284637895,0.03405732718282158
28,TMEM107,2.5008676,0.8840537,0.013442262217158964,0.03450527596782896
29,IKZF1,2.4738503,25.71728,0.015379935078737373,0.03838573740275351
30,CD24,2.4330747,1.0448291,0.016196783346632805,0.040004934279788636
31,IL7R,2.4150412,2.2302039,0.0171474784143135,0.041731225653292583
32,WARS,2.3887653,1.194048,0.01814476142872778,0.04354179823719009
33,PDZK1IP1,2.3358977,1.6204814,0.020970357603258428,0.0491656628627039
34,COL7A1,2.291288,25.310635,0.02445035898915578,0.054306827503552035
35,CD79B,2.2877028,2.2533345,0.02387997512631861,0.053851780642004216
36,LCN2,2.2418213,1.0794661,0.026414593537158217,0.05797594164386441
37,SLAMF8,2.239672,25.47372,0.027753839521990866,0.06026733728208642
38,GBP4,2.2179787,1.5462666,0.028288753543117842,0.061249407601404196
39,PLEK,2.2008839,2.086734,0.029499910445138024,0.06329592435316023
40,ITGB2,2.1514673,1.4621291,0.033069069412223005,0.06877408375761004
41,DENND1C,2.0488281,2.5614705,0.04267842564489937,0.08376848103953394
42,CDC25B,2.048257,1.1515821,0.042399953148612765,0.08327472812641212
43,SERPING1,2.0450828,1.6777096,0.04288851738555779,0.08414525858650336
44,PACS1,2.0367002,24.982788,0.044829438411908784,0.0857245256158503
45,ZKSCAN8,2.0367002,24.982788,0.044829438411908784,0.0857245256158503
46,SNX10,2.0367002,24.982788,0.044829438411908784,0.0857245256158503
47,DAPP1,2.0367002,24.982788,0.044829438411908784,0.0857245256158503
48,TTLL4,2.0367002,24.982788,0.044829438411908784,0.0857245256158503
49,SLC2A6,2.0367002,24.982788,0.044829438411908784,0.0857245256158503
50,LTV1,2.0367002,24.982788,0.044829438411908784,0.0857245256158503
51,SETD6,2.0367002,24.982788,0.044829438411908784,0.0857245256158503
52,SDC3,2.0338447,2.086734,0.04410298816497105,0.08557227550619814
53,MFGE8,2.0209675,1.5817176,0.04503312113694364,0.086096278144822
54,SNHG17,1.9875777,1.4688121,0.04873846260055969,0.09174415125905395
55,CD27,1.9769531,1.9287727,0.050101311789080366,0.09377347595408264
56,DERL3,1.8824029,1.6611997,0.06193544466588108,0.11158478210184553
57,CALHM6,1.8710312,25.620893,0.06482247793334203,0.11552007044366189
58,ADA2,1.8356794,2.4708269,0.06895631432693214,0.12226408970058913
59,BCL6,1.8356794,2.4708269,0.06895631432693214,0.12226408970058913
60,MMP2,1.8346657,1.1539303,0.06859554977044587,0.12174070611267276
61,FSTL1,1.8297591,2.5614705,0.06995732555499831,0.12382606708647871
62,FCRL5,1.8297591,2.5614705,0.06995732555499831,0.12382606708647871
63,MMP12,1.8297591,2.5614705,0.06995732555499831,0.12382606708647871
64,INPP5D,1.817497,1.9287727,0.0715110989819127,0.12558252248481191
65,MAP4K4,1.7938565,2.3331437,0.07528532045635754,0.1285984318781592
66,PRKCB,1.7938565,2.3331437,0.07528532045635754,0.1285984318781592
67,NT5DC2,1.7938565,2.3331437,0.07528532045635754,0.1285984318781592
68,CHTF18,1.7530462,24.561842,0.08324240280179014,0.13753221481064723
69,P2RY8,1.7530462,24.561842,0.08324240280179014,0.13753221481064723
70,VCAN,1.7530462,24.561842,0.08324240280179014,0.13753221481064723
71,GAS7,1.7530462,24.561842,0.08324240280179014,0.13753221481064723
72,FADS2,1.7530462,24.561842,0.08324240280179014,0.13753221481064723
73,FAM167B,1.7530462,24.561842,0.08324240280179014,0.13753221481064723
74,AC005332.5,1.7530462,24.561842,0.08324240280179014,0.13753221481064723
75,CMTM3,1.7530462,24.561842,0.08324240280179014,0.13753221481064723
76,CDH11,1.7530462,24.561842,0.08324240280179014,0.13753221481064723
77,GRK3,1.7530462,24.561842,0.08324240280179014,0.13753221481064723
78,PAFAH1B3,1.7530462,24.561842,0.08324240280179014,0.13753221481064723
79,WDFY4,1.7530462,24.561842,0.08324240280179014,0.13753221481064723
80,TUBB6,1.7530462,24.561842,0.08324240280179014,0.13753221481064723
81,SPIDR,1.7530462,24.561842,0.08324240280179014,0.13753221481064723
82,TCL1A,1.7530462,24.561842,0.08324240280179014,0.13753221481064723
83,XRCC3,1.7530462,24.561842,0.08324240280179014,0.13753221481064723
84,TNFAIP8L2,1.7530462,24.561842,0.08324240280179014,0.13753221481064723
85,MAP7D3,1.7530462,24.561842,0.08324240280179014,0.13753221481064723
86,HAPLN3,1.7447531,1.6040949,0.08333625264442264,0.13766276865021018
87,HVCN1,1.7411076,1.7528974,0.08390168727470437,0.13839976209059998
88,PPM1K,1.706579,24.822292,0.09159486756669978,0.1475596711975373
89,VAV1,1.706579,24.822292,0.09159486756669978,0.1475596711975373
90,MAPRE1,1.706579,24.822292,0.09159486756669978,0.1475596711975373
91,PIM2,1.7044158,1.2066902,0.09040510202737509,0.14710596479633148
92,AC010542.4,1.578616,1.0887593,0.11649182303676897,0.1810322152919715
93,GIMAP8,1.5758206,2.2272682,0.117692838651502,0.18240523098401093
94,SRGN,1.5509547,0.9685077,0.12307633475303398,0.18954613226773873
95,DNASE1L3,1.5208472,1.318908,0.13039769289281414,0.19842775499782855
96,SULF2,1.516188,1.238978,0.13166634963654544,0.2002750043328952
