Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2021	RNA splicing, via transesterification reactions with bulged adenosine as nucleophile (GO:0000377)	31/251	4.998221e-08	1.512604e-04	0	0	3.372744e+00	5.670123e+01	SF3B3;DHX9;SF3B6;HNRNPU;CASC3;DDX41;RAVER1;U2AF2;PCBP2;POLR2H;POLR2I;SF3B1;SMNDC1;POLR2K;ZRSR2;RBM17;RBM14;FUS;HNRNPL;SFPQ;HNRNPH1;PRPF3;HNRNPA2B1;SRSF2;SRSF3;HNRNPH3;CACTIN;SLU7;SRSF8;SUGP1;RBM22
GO_Biological_Process_2021	mRNA processing (GO:0006397)	34/300	9.583284e-08	1.512604e-04	0	0	3.063619e+00	4.951011e+01	SF3B3;CCNH;DHX9;SF3B6;HNRNPU;CASC3;DDX41;RAVER1;U2AF2;PCBP2;POLR2H;POLR2I;SF3B1;SMNDC1;CMTR2;POLR2K;ZRSR2;RBM17;RBM14;FUS;HNRNPL;SFPQ;SON;HNRNPH1;PRPF3;HNRNPA2B1;SRSF2;SRSF3;HNRNPH3;CACTIN;SLU7;SRSF8;SUGP1;RBM22
GO_Biological_Process_2021	response to zinc ion (GO:0010043)	10/29	1.295407e-07	1.512604e-04	0	0	1.240241e+01	1.966931e+02	MT2A;P2RX4;SLC30A5;MT1M;MT1F;MT1G;MT1X;MT1H;CRIP1;KHK
GO_Biological_Process_2021	mRNA splicing, via spliceosome (GO:0000398)	31/274	3.644464e-07	2.809651e-04	0	0	3.049809e+00	4.521307e+01	SF3B3;DHX9;SF3B6;HNRNPU;CASC3;DDX41;RAVER1;U2AF2;PCBP2;POLR2H;POLR2I;SF3B1;SMNDC1;POLR2K;ZRSR2;RBM17;RBM14;FUS;HNRNPL;SFPQ;HNRNPH1;PRPF3;HNRNPA2B1;SRSF2;SRSF3;HNRNPH3;CACTIN;SLU7;SRSF8;SUGP1;RBM22
GO_Biological_Process_2021	cellular response to copper ion (GO:0071280)	8/19	4.010349e-07	2.809651e-04	0	0	1.710296e+01	2.519132e+02	AOC1;MT2A;MT1M;MT1F;MT1G;MT1X;MT1H;AQP1
GO_Biological_Process_2021	fatty acid beta-oxidation (GO:0006635)	12/52	9.840656e-07	5.527828e-04	0	0	7.079038e+00	9.791424e+01	HADHB;BDH2;SCP2;ECHDC2;PEX2;CROT;ACAD11;HADH;DECR2;ACADS;SLC27A2;CRAT
GO_Biological_Process_2021	cellular zinc ion homeostasis (GO:0006882)	9/28	1.104619e-06	5.527828e-04	0	0	1.114845e+01	1.529123e+02	MT2A;SLC30A5;MT1M;MT1F;SLC39A5;MT1G;MT1X;MT1H;SLC39A14
GO_Biological_Process_2021	zinc ion homeostasis (GO:0055069)	9/30	2.124661e-06	8.743557e-04	0	0	1.008564e+01	1.317377e+02	MT2A;SLC30A5;MT1M;MT1F;SLC39A5;MT1G;MT1X;MT1H;SLC39A14
GO_Biological_Process_2021	response to copper ion (GO:0046688)	8/23	2.246418e-06	8.743557e-04	0	0	1.253955e+01	1.630916e+02	AOC1;MT2A;MT1M;MT1F;MT1G;MT1X;MT1H;AQP1
GO_Biological_Process_2021	cellular response to zinc ion (GO:0071294)	7/18	4.163119e-06	1.458341e-03	0	0	1.494675e+01	1.851789e+02	MT2A;P2RX4;MT1M;MT1F;MT1G;MT1X;MT1H
GO_Biological_Process_2021	fatty acid catabolic process (GO:0009062)	13/70	4.771131e-06	1.519388e-03	0	0	5.383582e+00	6.596464e+01	FAAH;PEX2;CROT;HADHB;BDH2;SCP2;ECHDC2;ADTRP;ACAD11;HADH;ACADS;SLC27A2;SLC27A4
