,names,scores,logfoldchanges,pvals,pvals_adj
0,LDHA,4.8553743,1.4518536,0.00020923007308483284,0.0012255269826032802
1,IGKC,3.597104,1.7493159,0.003466061477917164,0.01240246053894646
2,AL627171.2,3.5421405,1.6298611,0.0038864011546115474,0.013863787669909448
3,ACTB,3.4053743,1.289883,0.004452970956831111,0.015150434371500123
4,CFL1,3.2193148,1.1361107,0.006031797085133019,0.019617077976245508
5,SLC16A3,3.1499841,2.9401102,0.00817234796709884,0.02498541957530021
6,SPINK4,3.0538251,1.7690617,0.009364303224640724,0.028120175519610224
7,PSAP,2.9881122,1.550141,0.010543314867849022,0.03158910542394275
8,AFDN,2.9350197,1.4584297,0.011433181524950835,0.03414504212181263
9,IGHA1,2.852498,2.5076075,0.014350087777701028,0.040265270481445264
10,UQCRC1,2.7394674,1.787604,0.017168290724819034,0.04749808480112378
11,PHGR1,2.7118769,1.2278475,0.017385003972399025,0.0480833155160333
12,SP100,2.6579082,2.2871552,0.020478626625497782,0.056538552152846644
13,PTBP1,2.5333579,1.5798601,0.02516407471520162,0.06450509293192529
14,SELENOP,2.5309248,0.9957825,0.024368816930473516,0.0644557028582993
15,ANPEP,2.5187502,1.0154958,0.024727162423385005,0.0644557028582993
16,ABTB1,2.5142577,2.4342382,0.02674171319655542,0.06851133919139592
17,LGALS3,2.4393468,1.2393087,0.029511727948968468,0.07459909009322585
18,REG1A,2.428305,2.690099,0.03161961754157357,0.07990560577753496
19,DMBT1,2.4187267,2.477111,0.03204058353486296,0.0809033450409679
20,RSRC2,2.2603054,2.1103742,0.04262139526078402,0.10650178148503629
21,UQCRQ,2.2509637,1.9148903,0.043139252744154685,0.10650178148503629
22,GAPDH,2.2415252,1.0863631,0.0425054977894392,0.10650178148503629
23,NOP53,2.2386703,1.6209365,0.04391217094388756,0.10650178148503629
24,HINT1,2.2169473,1.7703238,0.045808388864526595,0.10756222247420588
25,ACADVL,2.1955884,0.81411296,0.04518186551736688,0.10650178148503629
26,EEF1G,2.160614,1.2495773,0.05014888377501022,0.11763506171332952
27,ZYX,2.1539235,2.4165025,0.051752838250748376,0.12018259810944368
28,PDLIM1,2.145147,1.6696955,0.0519284672199049,0.12056028832795329
29,TSPAN8,2.142247,1.0333822,0.05063596755855087,0.1178207765449209
30,GRK2,2.1236224,1.4935443,0.05402236647413308,0.12529625327658753
31,SLC6A19,2.1148264,1.0087069,0.053941701525612056,0.1251404332818623
