Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2021	positive regulation of intracellular transport (GO:0032388)	10/39	1.574792e-05	5.755864e-02	0	0	6.607802e+00	7.307438e+01	RIPOR1;PGAP1;ICE1;NUMA1;NEDD4;TPR;CEP131;PCNT;CEP290;SORL1
GO_Biological_Process_2021	mRNA catabolic process (GO:0006402)	10/44	4.895764e-05	8.947008e-02	0	0	5.634581e+00	5.592071e+01	RIDA;PNPT1;LSM6;XRN1;AGO4;EXOSC9;AGO1;CNOT10;METTL16;ZFP36L2
GO_Biological_Process_2021	regulation of intracellular protein transport (GO:0033157)	8/32	1.364767e-04	1.662741e-01	0	0	6.376344e+00	5.674536e+01	RIPOR1;ICE1;TPR;CEP131;GCC2;SIRT7;PCNT;CEP290
GO_Biological_Process_2021	epoxygenase P450 pathway (GO:0019373)	6/19	2.380131e-04	1.789702e-01	0	0	8.816128e+00	7.355458e+01	CYP2J2;CYP2C9;CYP4F2;EPHX2;CYP2C18;CYP4F12
GO_Biological_Process_2021	cytoplasmic microtubule organization (GO:0031122)	10/54	3.000636e-04	1.789702e-01	0	0	4.351699e+00	3.529888e+01	CCDC88A;NUMA1;HOOK2;TUBGCP2;CLIP4;TUBGCP5;STMN3;TUBGCP3;HOOK3;TUBGCP4
GO_Biological_Process_2021	nuclear migration (GO:0007097)	5/14	4.240816e-04	1.789702e-01	0	0	1.060357e+01	8.234295e+01	DOCK7;HOOK3;SYNE3;SYNE2;PAFAH1B1
GO_Biological_Process_2021	regulation of cholesterol metabolic process (GO:0090181)	6/21	4.368129e-04	1.789702e-01	0	0	7.639839e+00	5.910184e+01	SEC14L2;ABCA2;SREBF1;EPHX2;LPCAT3;FMO5
GO_Biological_Process_2021	heme biosynthetic process (GO:0006783)	6/22	5.753858e-04	1.789702e-01	0	0	7.161972e+00	5.343167e+01	SLC25A38;PGRMC1;ABCB10;FLVCR1;CPOX;ABCG2
GO_Biological_Process_2021	mRNA methylation (GO:0080009)	5/15	6.100386e-04	1.789702e-01	0	0	9.542714e+00	7.063505e+01	METTL14;METTL16;ZC3H13;VIRMA;CBLL1
GO_Biological_Process_2021	RNA catabolic process (GO:0006401)	9/49	6.355095e-04	1.789702e-01	0	0	4.304743e+00	3.168757e+01	RIDA;PNPT1;LSM6;AGO4;MTREX;CNOT10;SKIV2L;METTL16;ZFP36L2
GO_Biological_Process_2021	regulation of sterol biosynthetic process (GO:0106118)	4/9	6.393919e-04	1.789702e-01	0	0	1.525703e+01	1.122153e+02	SEC14L2;ABCA2;SREBF1;LPCAT3
GO_Biological_Process_2021	DNA metabolic process (GO:0006259)	27/277	7.400389e-04	1.789702e-01	0	0	2.081192e+00	1.500291e+01	MRE11;TRRAP;HMGB3;SAMHD1;RECQL4;ENDOV;POLD1;SMARCAD1;POLL;GEN1;MBD4;STN1;PARP2;XRCC1;RPA2;SIRT7;NOC3L;TERF1;INIP;POLE4;RAD51D;MSH2;UBE2V2;NABP2;NABP1;MCM4;RAD9A
GO_Biological_Process_2021	protein lipidation (GO:0006497)	10/61	8.243498e-04	1.789702e-01	0	0	3.753020e+00	2.664988e+01	PIGN;WDR45B;PIGZ;ZDHHC6;ZDHHC13;WIPI1;ZDHHC8;ATG7;ZDHHC14;PIGH
GO_Biological_Process_2021	porphyrin-containing compound biosynthetic process (GO:0006779)	6/24	9.527021e-04	1.789702e-01	0	0	6.365526e+00	4.427993e+01	SLC25A38;PGRMC1;ABCB10;FLVCR1;CPOX;ABCG2
GO_Biological_Process_2021	fatty acid beta-oxidation (GO:0006635)	9/52	9.952916e-04	1.789702e-01	0	0	4.003778e+00	2.767602e+01	EHHADH;ACAD11;DECR2;ACAD10;ACADS;SLC27A2;MCAT;CRAT;ACAT1
GO_Biological_Process_2021	positive regulation of cholesterol transport (GO:0032376)	7/33	1.041534e-03	1.789702e-01	0	0	5.144395e+00	3.532687e+01	RXRA;ABCA5;LPCAT3;APOA1;ZDHHC8;PLTP;SIRT1
GO_Biological_Process_2021	regulation of cholesterol efflux (GO:0010874)	7/33	1.041534e-03	1.789702e-01	0	0	5.144395e+00	3.532687e+01	ABCA2;RXRA;ABCA5;APOA1;ZDHHC8;PLTP;SIRT1
GO_Biological_Process_2021	double-strand break repair via homologous recombination (GO:0000724)	13/97	1.067100e-03	1.789702e-01	0	0	2.966035e+00	2.029601e+01	GEN1;MRE11;XRCC1;RPA2;SAMHD1;RECQL4;ZFYVE26;NIPBL;RAD51D;NABP2;NABP1;MCM4;POLL
GO_Biological_Process_2021	fructose catabolic process (GO:0006001)	3/5	1.155054e-03	1.789702e-01	0	0	2.858275e+01	1.933225e+02	TKFC;GLYCTK;KHK
GO_Biological_Process_2021	fructose catabolic process to hydroxyacetone phosphate and glyceraldehyde-3-phosphate (GO:0061624)	3/5	1.155054e-03	1.789702e-01	0	0	2.858275e+01	1.933225e+02	TKFC;GLYCTK;KHK
GO_Biological_Process_2021	leukotriene B4 metabolic process (GO:0036102)	3/5	1.155054e-03	1.789702e-01	0	0	2.858275e+01	1.933225e+02	CYP4F2;PTGR1;CYP4F12
GO_Biological_Process_2021	positive regulation of cAMP-dependent protein kinase activity (GO:2000481)	3/5	1.155054e-03	1.789702e-01	0	0	2.858275e+01	1.933225e+02	ATP2B4;RAPGEF2;SIRT1
GO_Biological_Process_2021	response to fructose (GO:0009750)	3/5	1.155054e-03	1.789702e-01	0	0	2.858275e+01	1.933225e+02	SLC2A5;SLC26A6;KHK
GO_Biological_Process_2021	RNA splicing (GO:0008380)	13/98	1.175181e-03	1.789702e-01	0	0	2.930985e+00	1.977340e+01	ZRSR2;SNRPN;DHX8;YJU2;WDR83;LSM6;PRPF3;LUC7L3;CDK12;NRDE2;SLU7;SF3B1;SMNDC1
GO_Biological_Process_2021	positive regulation of leukocyte apoptotic process (GO:2000108)	4/11	1.545022e-03	2.106630e-01	0	0	1.089673e+01	7.053145e+01	BLK;MEF2C;RAPGEF2;SIRT1
GO_Biological_Process_2021	RNA splicing, via transesterification reactions with bulged adenosine as nucleophile (GO:0000377)	24/251	1.837508e-03	2.106630e-01	0	0	2.033617e+00	1.281046e+01	ZRSR2;SNRPN;DHX8;WDR83;PRPF40A;CASC3;DDX41;ESS2;WDR33;GCFC2;METTL14;LSM6;U2AF2;PRPF3;CWC22;SNIP1;MTREX;POLR2I;SLU7;SF3B1;SMNDC1;CTNNBL1;POLR2K;RBM22
GO_Biological_Process_2021	recombinational repair (GO:0000725)	11/79	1.849825e-03	2.106630e-01	0	0	3.096592e+00	1.948581e+01	GEN1;RECQL4;ZFYVE26;RAD51D;MRE11;NABP2;RPA2;XRCC1;NABP1;POLL;SAMHD1
GO_Biological_Process_2021	regulation of myeloid cell differentiation (GO:0045637)	10/68	1.940012e-03	2.106630e-01	0	0	3.298851e+00	2.060152e+01	CNOT4;MEF2C;MEIS1;KMT2A;AGO4;AGO1;ASH2L;HOXB8;THBS1;CDC73
GO_Biological_Process_2021	arachidonic acid metabolic process (GO:0019369)	9/57	1.947610e-03	2.106630e-01	0	0	3.585772e+00	2.237935e+01	CYP2J2;CYP2C9;FAAH;DAGLA;PNPLA8;CYP4F2;EPHX2;CYP2C18;CYP4F12
GO_Biological_Process_2021	cellular protein modification process (GO:0006464)	72/1025	2.209184e-03	2.106630e-01	0	0	1.469253e+00	8.984677e+00	PGAP1;MAML1;ZDHHC6;DCAF8;CHM;PTPN21;CD3G;FBXO22;TRIOBP;CDC14B;LIPE;NRBP2;PSMD7;CDK20;TLK1;DUSP1;PARP2;STRADB;ALG5;APOA1;WIPI1;SIRT7;SIRT1;FBXO11;TGFBR1;RBX1;ERN2;PEAK1;PSME3;BMP2K;BTK;SGK1;PIGH;CUL7;CAMK2D;CUL5;ROCK2;WDR45B;PDXP;COPS7B;COPS7A;PRKCZ;LTBP1;THBS1;MTMR6;FUT4;STK36;MAP3K20;NAE1;RBBP7;APOB;MAP4K5;ATG7;PAK4;WDTC1;ATE1;GLYCTK;FBXL12;PTPRD;PTPRE;SPSB1;UBLCP1;UBE2S;TAOK1;WNK2;ASB8;COPS2;CAMK4;CDK12;CCDC22;ASB3;FGFR1
GO_Biological_Process_2021	negative regulation of hematopoietic progenitor cell differentiation (GO:1901533)	3/6	2.224177e-03	2.106630e-01	0	0	1.905416e+01	1.163898e+02	METTL14;MYB;DPF2
GO_Biological_Process_2021	positive regulation of hemoglobin biosynthetic process (GO:0046985)	3/6	2.224177e-03	2.106630e-01	0	0	1.905416e+01	1.163898e+02	SLC25A37;ABCB10;KLF4
GO_Biological_Process_2021	regulation of nitric oxide mediated signal transduction (GO:0010749)	3/6	2.224177e-03	2.106630e-01	0	0	1.905416e+01	1.163898e+02	ATP2B4;THBS1;EGFR
GO_Biological_Process_2021	brain morphogenesis (GO:0048854)	4/12	2.226310e-03	2.106630e-01	0	0	9.534137e+00	5.822888e+01	BBS2;MKKS;PAFAH1B1;SLC6A4
GO_Biological_Process_2021	organic hydroxy compound catabolic process (GO:1901616)	4/12	2.226310e-03	2.106630e-01	0	0	9.534137e+00	5.822888e+01	CYP4F2;PDXP;CYP3A4;CYP4F12
GO_Biological_Process_2021	regulation of alcohol biosynthetic process (GO:1902930)	4/12	2.226310e-03	2.106630e-01	0	0	9.534137e+00	5.822888e+01	SEC14L2;ABCA2;SREBF1;LPCAT3
GO_Biological_Process_2021	regulation of triglyceride catabolic process (GO:0010896)	4/12	2.226310e-03	2.106630e-01	0	0	9.534137e+00	5.822888e+01	AADAC;APOA1;ABHD5;SORL1
GO_Biological_Process_2021	very-low-density lipoprotein particle assembly (GO:0034379)	4/12	2.226310e-03	2.106630e-01	0	0	9.534137e+00	5.822888e+01	DGAT1;SOAT1;LPCAT3;APOB
GO_Biological_Process_2021	transcription by RNA polymerase III (GO:0006383)	6/28	2.247841e-03	2.106630e-01	0	0	5.207061e+00	3.175154e+01	GTF3C2;CRCP;TBP;ICE1;ZC3H8;POLR2K
GO_Biological_Process_2021	Golgi to plasma membrane transport (GO:0006893)	8/48	2.412859e-03	2.173277e-01	0	0	3.822581e+00	2.303848e+01	BBS2;GOLGA4;AMN;PREPL;RAB26;GCC2;CCDC22;EXOC5
