,names,scores,logfoldchanges,pvals,pvals_adj
0,PSME2,11.613563,29.058985,1.3772962923228005e-24,1.2784064185340235e-20
1,TAP1,10.4776125,28.746838,4.561694810918063e-21,2.1170825617470732e-17
2,MUC1,10.414735,28.6831,7.09450718021715e-21,2.1950405215591863e-17
3,NCF1,9.537567,28.520372,3.0530898328677476e-18,7.084694957169608e-15
4,RHOC,9.346907,28.132338,1.1108899181672218e-17,2.0622560440856303e-14
5,GSDMB,9.292723,27.999283,1.600478861164069e-17,2.2882018751740076e-14
6,C1QB,9.281532,28.395899,1.7256424397994025e-17,2.2882018751740076e-14
7,JAK3,9.106541,28.080183,5.574570904116177e-17,6.467895891500795e-14
8,MTRNR2L1,8.8349,28.277557,3.376308893225282e-16,3.474708149792071e-13
9,KRT20,8.819219,28.001326,3.7434907883991286e-16,3.474708149792071e-13
10,IFI30,8.6756935,28.47531,9.59320038516198e-16,8.094916906824864e-13
11,RRBP1,8.552464,28.031586,2.139825622955185e-15,1.6551551193558355e-12
12,PCBP1,8.370796,27.827738,6.913396467159596e-15,4.9361650775519515e-12
13,ARHGAP4,8.161464,27.893679,2.629702302445726e-14,1.660870774538842e-11
14,NBL1,8.15824,27.717346,2.684018704813901e-14,1.660870774538842e-11
15,RBM5,8.048825,27.689516,5.3585860519046976e-14,3.1086497333612126e-11
16,CDC25B,7.9845057,27.717798,8.027660011882364e-14,4.383102366487771e-11
17,ASS1,7.866014,27.582127,1.6828740475594808e-13,8.678020505248389e-11
18,CHKB,7.85389,27.476482,1.8146800891214748e-13,8.865189782750279e-11
19,TPM3,7.824158,27.5101,2.1827234045516002e-13,1.0130019320523976e-10
20,EDF1,7.7830267,27.77919,2.816299102555205e-13,1.2448042033294004e-10
21,SLC25A6,7.7505636,27.659702,3.4420092126648695e-13,1.452214977816151e-10
22,EHBP1L1,7.7169514,27.528782,4.2347217699331454e-13,1.708986411674759e-10
23,MDK,7.692678,27.476482,4.916954078267672e-13,1.9016319897700222e-10
24,C1S,7.643828,28.071835,6.636106901919232e-13,2.4638537705445726e-10
25,LAP3,7.6229234,27.554617,7.542213775590184e-13,2.692570317885696e-10
26,EPS8L2,7.5580897,27.505257,1.120370367275003e-12,3.851584351498733e-10
27,BCAP31,7.484031,27.481405,1.756641046394579e-12,5.770567932267084e-10
28,PSMB10,7.4797373,27.552034,1.8029139197990244e-12,5.770567932267084e-10
29,CTSC,7.438378,27.950727,2.3150091862431348e-12,7.127433710560278e-10
30,GBP1,7.4337606,27.628895,2.380418498463355e-12,7.127433710560278e-10
31,WDR6,7.4018054,27.521362,2.8859121627413705e-12,8.370948967051688e-10
32,PLAAT4,7.3949885,27.59961,3.006744800807421e-12,8.457153103361964e-10
33,PIK3CD,7.3671274,27.363886,3.554730621923508e-12,9.704414597851178e-10
34,CD68,7.3363466,27.417437,4.275182081186216e-12,1.102628787390722e-09
35,LASP1,7.3362947,27.324835,4.276517598154061e-12,1.102628787390722e-09
36,WDR1,7.292662,27.337954,5.55102769256344e-12,1.39255781195605e-09
37,ARHGEF1,7.2450376,27.444994,7.371885836337646e-12,1.8006801140233164e-09
38,SELENOW,7.177064,27.324835,1.10310576433107e-11,2.6253917191079465e-09
39,PSMA1,7.156144,27.519234,1.248228205699205e-11,2.896513551325005e-09
40,GNAI2,7.136094,27.493372,1.4049258913729678e-11,3.180615152127777e-09
41,SDCBP2,7.119722,27.392317,1.547142048495053e-11,3.4191839271740666e-09
42,MAN2C1,7.104514,27.539968,1.691907663380699e-11,3.6195885495089466e-09
43,OS9,7.102127,27.29829,1.7158144384657794e-11,3.6195885495089466e-09
44,AUP1,7.0923295,27.387129,1.81746392940069e-11,3.748822265043823e-09
45,COL3A1,7.0554767,27.57027,2.2558238938345972e-11,4.55186030055929e-09
46,CYBC1,7.026949,27.461672,2.6653077393505985e-11,5.182433445501908e-09
47,SLC38A10,7.026008,27.181158,2.6799914391735787e-11,5.182433445501908e-09
48,APOL1,7.0184045,27.321878,2.801631303732812e-11,5.307090155356726e-09
