,names,scores,logfoldchanges,pvals,pvals_adj
0,IGKC,15.469066,3.5467691,5.5545690098510975e-21,5.155750954943788e-18
1,REG1A,14.537299,3.7459185,4.493539755657316e-24,1.0427259003002802e-20
2,JCHAIN,13.425007,3.4525478,1.7587480156399842e-22,3.2649398162340663e-19
3,LCN2,13.247885,28.882725,1.563100517230438e-33,1.4508699000932926e-29
4,IGHG4,13.0793495,3.0214236,9.378498808456421e-20,7.254268828341042e-17
5,MUC1,12.130029,5.054425,5.396182866534767e-28,2.5043684683587854e-24
6,IGHA1,12.030316,3.7468104,6.894072783623939e-16,3.19953917887987e-13
7,IGHG3,12.007936,3.2067568,3.4730178266426364e-21,3.581839051877439e-18
8,IGLC1,11.484762,3.8235147,7.489065332103039e-22,9.93050063036863e-19
9,IGHG2,11.09476,28.737652,3.727395786199874e-25,1.153256256250241e-21
10,IGLC2,10.821137,3.57872,3.450250202631392e-20,2.911383852802235e-17
11,PLA2G2A,10.758974,3.3375916,7.587288418675061e-18,4.142659476596584e-15
12,IGHM,10.623929,3.2533433,3.2137563211180565e-16,1.5700045354009368e-13
13,AL627171.2,10.356895,2.365936,2.6351891883472644e-13,6.988521727496946e-11
14,HM13,10.249579,27.772743,4.512483679506766e-22,6.980812252196968e-19
15,RARRES2,10.037849,27.66143,2.5424225473687222e-21,2.94984576058456e-18
16,IGLC3,9.53974,4.4691453,1.2260198352767188e-18,8.128511507884646e-16
17,UBD,9.462932,27.297554,2.494133916235631e-19,1.7808116161922407e-16
18,C1QA,9.312234,3.6629024,4.3017633207250277e-13,9.982241785742426e-11
19,SYNGR2,9.182391,27.275755,2.200547082856689e-18,1.3616985348717193e-15
20,IDO1,9.111978,27.650482,3.776177369358279e-18,2.1906548963989716e-15
21,CD81,8.559804,27.259409,2.3735132282497604e-16,1.223941654700793e-13
22,ATP5PB,8.34781,26.780996,1.1115649874169743e-15,4.696348207362761e-13
23,RARRES1,8.347616,27.143944,1.1131185149965603e-15,4.696348207362761e-13
24,IL2RG,8.3062315,26.790854,1.500067332811698e-15,6.053749992677471e-13
25,GM2A,8.294507,27.001299,1.6320718560080626e-15,6.312037903111182e-13
26,PSME2,8.26889,3.09459,4.444854350229624e-12,7.934065015159878e-10
27,GRIPAP1,8.2659445,26.756994,2.0036402433080617e-15,7.439115495354171e-13
28,UBE2J1,8.141089,26.678452,4.883662329351191e-15,1.743467451578375e-12
29,PRELID1,8.0454645,26.774717,9.601399145409587e-15,3.3007476617663626e-12
30,IFITM2,7.9984074,26.871885,1.3363590122204532e-14,4.430030125510802e-12
31,SRGN,7.9650207,26.945402,1.68827100908104e-14,5.403631553893176e-12
32,MXRA5,7.900595,26.89218,2.6454377052014293e-14,8.184984259893223e-12
33,CYBA,7.8911953,3.803023,1.0484675561851645e-12,2.3171132991692134e-10
34,HLA-DQB1,7.8323717,3.2360203,8.102100843474992e-12,1.367340000529725e-09
35,PDZK1IP1,7.829261,3.9377706,4.282157351739071e-13,9.982241785742426e-11
36,CDK2AP2,7.8187895,26.661596,4.66192585914682e-14,1.3958708330516383e-11
37,TRIM22,7.6934958,26.608946,1.1013345784197054e-13,3.194558611528658e-11
38,SERPING1,7.6235104,26.916708,1.7725172517500559e-13,4.9856076153769754e-11
39,R3HDM4,7.616509,26.534628,1.8586228548791902e-13,5.074040393820189e-11
40,S100A11,7.5955744,3.79274,3.461652208362981e-12,6.489060849117563e-10
41,SEL1L3,7.5517125,26.48994,2.8787358192664844e-13,7.422340520675419e-11
42,H2AFZ,7.5282145,26.593832,3.3714769095141667e-13,8.457850993002838e-11
43,TNFRSF25,7.51316,26.595236,3.7299166123559325e-13,9.11081210418099e-11
44,ANKRD13D,7.427882,26.691345,6.592664703438815e-13,1.4925149701785142e-10
45,RHOG,7.336273,26.571444,1.2091937551910842e-12,2.6101712641124753e-10
46,FXYD5,7.3145614,26.626406,1.3950179228774005e-12,2.942853718215462e-10
47,SNRPD2,7.2841268,26.494793,1.7036512701185053e-12,3.5140646864977703e-10
48,CD24,7.282752,2.8995426,1.124860229792068e-10,1.5583511422283543e-08
