,names,scores,logfoldchanges,pvals,pvals_adj
0,IFI27,-3.0700638,-1.1336977,0.0036993197152669073,0.04919353237407942
1,TMCO3,-3.0778182,-2.6610239,0.0037855371985857865,0.0499820146191654
2,PSMA4,-3.0780942,-1.5610467,0.0037145545851191963,0.04930476432412367
3,MICAL1,-3.0785558,-1.5496018,0.003718308018410533,0.04930476432412367
4,WASHC1,-3.082291,-1.4409729,0.0036595732774976075,0.04894547429644495
5,MMP15,-3.0828326,-1.9249046,0.0036653668118784904,0.04895242409763475
6,MICA,-3.0829952,-3.4111898,0.00376787852636848,0.04989079669294185
7,ZFP36L2,-3.084631,-1.5601228,0.0036410947645731146,0.048839077463537064
8,TM9SF2,-3.0871596,-1.7848132,0.0036557719419464145,0.04894547429644495
9,SULT1A1,-3.0891273,-2.4040065,0.0036899775804191087,0.04913970143680082
10,CSNK1A1,-3.0892642,-1.8651545,0.00362184889556501,0.04877338064968124
11,ACE2,-3.0906522,-2.3861353,0.0036777339559073076,0.04904702094645349
12,RSRP1,-3.092461,-1.5765052,0.0035669682616770253,0.048488315836882304
13,CISD3,-3.0935946,-1.7630705,0.003561027776702525,0.048488315836882304
14,SLCO2B1,-3.0938528,-2.0132697,0.0035982199209844603,0.048655689752996736
15,GK5,-3.0941691,-2.8859136,0.003635818409780619,0.04883888057826875
16,ABCA5,-3.0948064,-2.362417,0.0036039926469001206,0.048655689752996736
17,TMEM219,-3.0960088,-1.6105143,0.0035455643416263086,0.048459318108759745
18,CHMP1B,-3.0962014,-2.990969,0.0036256876371773385,0.04877338064968124
19,ENTPD8,-3.0965235,-2.6676447,0.0036064549181277477,0.048655689752996736
20,CARD10,-3.0973256,-2.311439,0.0035731532032350246,0.048488315836882304
21,PRR13,-3.097359,-1.859239,0.0035788613476784585,0.048494877414819636
22,TOMM7,-3.0977983,-1.5729133,0.003481114503835878,0.04786919233274758
23,SAP30BP,-3.097898,-2.1198382,0.003550133194780934,0.048459318108759745
24,HSP90B1,-3.10136,-1.1365796,0.0033950317030470253,0.04689387539833703
25,C2orf88,-3.1024787,-3.0771558,0.0035707837462964098,0.048488315836882304
