,names,scores,logfoldchanges,pvals,pvals_adj
0,MVD,-3.4625907,-25.530577,0.0006487837058318935,0.049360740635505204
1,PIN1,-3.4702942,-25.469088,0.0006314478073115111,0.048438830970788806
2,WRAP73,-3.486816,-25.404987,0.0005957212033450063,0.046079035078736244
3,ACTR10,-3.486816,-25.404987,0.0005957212033450063,0.046079035078736244
4,RSPRY1,-3.486816,-25.404987,0.0005957212033450063,0.046079035078736244
5,AC006230.1,-3.486816,-25.404987,0.0005957212033450063,0.046079035078736244
6,ZC3H12D,-3.5150027,-25.338037,0.0005391080761891119,0.0431379410619598
7,TEAD3,-3.5150027,-25.338037,0.0005391080761891119,0.0431379410619598
8,RDH11,-3.5150027,-25.338037,0.0005391080761891119,0.0431379410619598
9,SS18L2,-3.5150027,-25.338037,0.0005391080761891119,0.0431379410619598
10,RBM48,-3.5150027,-25.338037,0.0005391080761891119,0.0431379410619598
11,RPAIN,-3.5150027,-25.338037,0.0005391080761891119,0.0431379410619598
12,SNX15,-3.5150027,-25.338037,0.0005391080761891119,0.0431379410619598
13,GLB1,-3.5150027,-25.338037,0.0005391080761891119,0.0431379410619598
14,SFXN4,-3.5150027,-25.338037,0.0005391080761891119,0.0431379410619598
15,MCFD2,-3.559026,-25.26797,0.00046068722008116644,0.040724750255175114
16,NCOA2,-3.559026,-25.26797,0.00046068722008116644,0.040724750255175114
17,MRFAP1L1,-3.559026,-25.26797,0.00046068722008116644,0.040724750255175114
18,LANCL1,-3.559026,-25.26797,0.00046068722008116644,0.040724750255175114
19,TUBGCP3,-3.559026,-25.26797,0.00046068722008116644,0.040724750255175114
20,CENPB,-3.559026,-25.26797,0.00046068722008116644,0.040724750255175114
21,XPO6,-3.559026,-25.26797,0.00046068722008116644,0.040724750255175114
22,PRR14L,-3.559026,-25.26797,0.00046068722008116644,0.040724750255175114
23,ARID4A,-3.559026,-25.26797,0.00046068722008116644,0.040724750255175114
24,ZNF226,-3.559026,-25.26797,0.00046068722008116644,0.040724750255175114
25,CAMTA1,-3.559026,-25.26797,0.00046068722008116644,0.040724750255175114
26,ACOX2,-3.5821028,-25.555616,0.0004239931272799528,0.040724750255175114
27,LARS,-3.5821028,-25.555616,0.0004239931272799528,0.040724750255175114
28,MT-ATP8,-3.6139064,-1.8499333,0.0004370414984704346,0.040724750255175114
29,AFTPH,-3.623785,-25.572735,0.0003645818438075029,0.0371873480683653
30,PAN2,-3.623785,-25.572735,0.0003645818438075029,0.0371873480683653
31,PCK1,-3.6329691,-1.7247784,0.0004693424802173921,0.041098461333753146
32,ZNF600,-3.6704693,-25.450747,0.00030737777858460776,0.03242136978207193
33,ATP6V1C1,-3.6704693,-25.450747,0.00030737777858460776,0.03242136978207193
34,PCYOX1,-3.6704693,-25.450747,0.00030737777858460776,0.03242136978207193
35,SNX19,-3.6704693,-25.450747,0.00030737777858460776,0.03242136978207193
36,GRAMD1C,-3.6719322,-2.3480105,0.0003282479909304986,0.03423368372827964
37,NR3C1,-3.7137418,-25.385843,0.00026200948989641717,0.028952048633554096
38,TMEM175,-3.7137418,-25.385843,0.00026200948989641717,0.028952048633554096
39,UBN2,-3.7137418,-25.385843,0.00026200948989641717,0.028952048633554096
40,UFM1,-3.7137418,-25.385843,0.00026200948989641717,0.028952048633554096
41,NDUFAF8,-3.7137418,-25.385843,0.00026200948989641717,0.028952048633554096
42,SLU7,-3.7137418,-25.385843,0.00026200948989641717,0.028952048633554096
