,names,scores,logfoldchanges,pvals,pvals_adj
0,DUSP1,-2.7579167,-1.1155397,0.006020219832315042,0.0499609079548807
1,MAPK13,-2.7601683,-1.0689154,0.0059803591334996326,0.04982916829187037
2,AUTS2,-2.7614975,-2.0058196,0.0059940979506668424,0.04985413725635272
3,ADAP1,-2.7626233,-1.0062251,0.005932471433871338,0.04951906461258432
4,FAAH,-2.7676344,-1.1272444,0.005851289663753803,0.04903340013094124
5,DHRS4-AS1,-2.7711449,-2.556858,0.005853157438599752,0.04903340013094124
6,TPRG1L,-2.7755995,-1.1913718,0.005713062137590065,0.048251722257607814
7,LMBRD1,-2.7756028,-1.118229,0.005704063157398563,0.048251722257607814
8,SLC25A24,-2.7799225,-1.0540823,0.005626563076227456,0.04769475659684315
9,STARD4,-2.7844694,-1.4017878,0.0055754966110662775,0.04734836188830484
10,GATA6,-2.7845318,-1.1329641,0.005550219689322287,0.047220109217497225
11,DAB1,-2.7848518,-2.078651,0.005573421954984649,0.04734836188830484
12,CHDH,-2.7898214,-1.2150748,0.005467960116122951,0.04673444364443207
13,ESPN,-2.7948358,-1.0552084,0.005382281399158856,0.046209562929074306
14,PGRMC1,-2.799468,-1.0822995,0.005312373172911932,0.045741602774553386
15,AGFG2,-2.8169694,-1.6079123,0.005053858094577672,0.0444643704586445
16,MT1M,-2.819534,-2.958814,0.005062531012375603,0.044498497023551464
17,SLC34A3,-2.8266406,-3.675624,0.00497238593922531,0.04387232536871609
18,FAM168A,-2.8266609,-1.8057983,0.004910969050393359,0.04349581557800683
19,ATP9A,-2.8301785,-1.07064,0.004832096830963927,0.042961228721271234
20,PLEKHA1,-2.8320193,-1.47745,0.004818110700281386,0.04287795160116187
21,PRUNE2,-2.8392932,-2.23776,0.004739837821296743,0.04234376771633914
22,MNX1,-2.8392932,-2.23776,0.004739837821296743,0.04234376771633914
23,CPSF7,-2.8529956,-1.0369881,0.004493138772226121,0.040847516242706036
24,TLCD4,-2.8574314,-3.039083,0.004513678116983698,0.04093981178753271
25,GALNT4,-2.8578382,-1.1054446,0.0044277437019267455,0.04041132452436977
26,MAN1A1,-2.8620894,-1.0470271,0.004375314208363058,0.040115186055653285
27,PCSK5,-2.8703582,-2.9271734,0.004329402537690984,0.03978763797509675
28,ATRN,-2.873979,-1.4600794,0.004234327695198033,0.039185473247086884
29,NFIB,-2.8803844,-1.566025,0.0041457148505631555,0.03855764052397516
30,PPM1A,-2.8812497,-1.2441407,0.004129503480193125,0.03852266462628401
31,PTPRD,-2.88333,-1.6147381,0.00411692240051652,0.038521445283865266
32,SH2D3A,-2.8834531,-1.9545618,0.004125847623340855,0.03852266462628401
33,SLC2A2,-2.8834696,-1.3788018,0.004098309583087452,0.038424757121432056
34,RAB3IP,-2.894301,-2.0421436,0.003986897596520486,0.03760811330376337
35,CENPV,-2.8978562,-1.5441918,0.003923487028959155,0.037123146384096715
36,DDC,-2.905537,-1.1323595,0.0038213599154673004,0.03630487485708033
