,names,scores,logfoldchanges,pvals,pvals_adj
0,LUC7L,-2.843407,-1.6261466,0.007516094371494754,0.0403186977059651
1,MLXIPL,-2.9706202,-2.2497282,0.005572049344965927,0.030657831665663153
2,MGAM,-3.0520327,-2.1013842,0.0044923073277212296,0.025393687800239685
3,APOA1,-3.1645174,-1.8238674,0.003318426746635961,0.02043904250980424
4,SI,-3.2373075,-1.8348964,0.0027709560338122037,0.017628522210997172
5,PRRG3,-3.4215844,-1.9569588,0.0016886753199663396,0.01210369445554252
6,DEFA6,-3.505145,-1.8780639,0.0013281172734352523,0.010359314732794968
7,APOB,-3.5448933,-1.9282668,0.0011967538245127242,0.00936616273113584
8,SLC5A12,-3.6112354,-3.6526866,0.0010460963459922065,0.00822870024025395
9,MALAT1,-4.812654,-1.8427277,2.917376942405449e-05,0.0005560388661069276
10,MTRNR2L12,-5.8413014,-1.5465393,8.944990499975057e-07,3.473949866977761e-05
