,names,scores,logfoldchanges,pvals,pvals_adj
0,LCN2,13.202298,28.883923,2.529731934028234e-33,2.3480971811650066e-29
1,IGHG4,12.784521,2.976509,1.0479534818982577e-18,1.3895863169970898e-15
2,IGKC,12.355327,2.9208846,4.081527112874953e-16,3.157061221808776e-13
3,IGLC3,11.98922,28.761042,1.5562050203470825e-28,7.22234749943081e-25
4,IGHA1,11.835602,3.615936,2.8618131600196885e-15,1.6602093594564217e-12
5,JCHAIN,11.271683,3.1425421,1.3817469984785358e-16,1.1659432399888882e-13
6,AL627171.2,11.268066,2.7031362,5.600334190405004e-14,2.07929207821357e-11
7,IGHG3,11.246826,3.1654994,2.3343015874181216e-18,2.7083734168018755e-15
8,IGHG2,10.964432,28.72075,1.172546561065933e-24,3.6278590599379964e-21
9,TIMP1,9.909684,27.73383,7.32969987186502e-21,1.6138399571391218e-17
10,ACP5,9.888468,27.899042,8.693384815444527e-21,1.6138399571391218e-17
11,IGHM,9.82616,2.7323358,1.3741614002873932e-14,7.086092287481991e-12
12,UBD,9.468057,27.305237,2.4425293779800013e-19,3.778592947735062e-16
13,IDO1,9.048619,27.644093,6.22637381640487e-18,6.4214668626522225e-15
14,IGLC2,8.822521,2.8610168,7.34501991269808e-14,2.6221721088332145e-11
15,FKBP1A,8.639109,27.036524,1.3419278628514337e-16,1.1659432399888882e-13
16,MMP2,8.396506,27.03867,7.914062634220766e-16,5.650640720833627e-13
17,CXCL14,8.370966,3.102861,7.228713269379785e-12,1.677422914159579e-09
18,STOM,8.363873,27.045357,1.002160694791065e-15,6.644325406464761e-13
19,RASGRP2,8.270246,26.936636,1.966168745900553e-15,1.2166652199632623e-12
20,AC004687.1,8.0674095,27.02138,8.316341110428347e-15,4.540722246293878e-12
21,LBH,7.961472,26.748463,1.7488615802297188e-14,8.543649046153815e-12
22,EHD1,7.93057,26.829802,2.1695037903095107e-14,1.0068667090826438e-11
23,IFITM2,7.9204483,26.856749,2.3279110059443505e-14,1.0289366646274028e-11
24,SRGN,7.8884006,26.931297,2.908616837859519e-14,1.2271718858641844e-11
25,CD6,7.8776484,26.780437,3.1338233737988166e-14,1.2647021111130703e-11
26,PIM2,7.79511,26.756308,5.5419744021487114e-14,2.07929207821357e-11
27,R3HDM4,7.619164,26.542088,1.841868941365756e-13,6.331936116206276e-11
28,SERPING1,7.5466704,26.902206,3.0039038642601075e-13,9.854027185680875e-11
29,SUB1,7.543011,26.6214,3.0787199782885736e-13,9.854027185680875e-11
30,FCER1G,7.4079013,26.694555,7.589750968662588e-13,2.348268949704205e-10
