,names,scores,logfoldchanges,pvals,pvals_adj
0,FKBP1A,-2.3956053,-1.5868058,0.018723236341303677,0.049767777697588986
1,INTS11,-2.397982,-1.3084087,0.01857390998138292,0.04941330823937984
2,LLGL2,-2.399253,-1.0762265,0.018529715517099348,0.04930986795576724
3,INPP5J,-2.4015918,-1.196315,0.01831281041158204,0.048746632130858766
4,WASL,-2.4023516,-1.5218617,0.018715584831879132,0.049761689604555175
5,MOGAT3,-2.404355,-1.2045927,0.018073489870379395,0.04819251162794069
6,WASHC4,-2.4048269,-2.7654138,0.018660389347341398,0.049629150120923456
7,PSMA2,-2.4056242,-1.3715204,0.018110122140093925,0.04822092762603322
8,DNAJC5,-2.4092572,-1.2500975,0.018049868234869933,0.04815719372120227
9,MRPL41,-2.4102812,-1.471269,0.018061609480420095,0.04817467218312049
10,TRIM25,-2.41072,-1.6379304,0.017967125340295754,0.04795661744172074
11,RIPK3,-2.4123535,-1.6371309,0.017969523320653387,0.04795661744172074
12,UBE2G1,-2.4153526,-1.5875727,0.017874387258012523,0.047730167585981656
13,EDN2,-2.4195702,-1.3930459,0.01766849543004531,0.04727516019707775
14,HPS5,-2.4213886,-1.8906463,0.017698385788423972,0.04728739691656633
15,EDEM3,-2.4213886,-1.8906463,0.017698385788423986,0.04728739691656633
16,CDK5RAP3,-2.4251328,-1.0599197,0.01731829850683383,0.046607262029698934
17,HAAO,-2.4257555,-1.8200153,0.017634901777667158,0.047253798585538846
18,CDK3,-2.426641,-1.5787606,0.0172841530382379,0.046528859774049934
19,LINC01578,-2.426641,-1.5787606,0.0172841530382379,0.046528859774049934
20,SPPL3,-2.426833,-2.1099436,0.017624574075562026,0.04723976222043509
21,MAP3K13,-2.426833,-2.1099436,0.017624574075562026,0.04723976222043509
22,TUSC2,-2.426833,-2.1099436,0.017624574075562026,0.04723976222043509
23,AP4B1,-2.426833,-2.1099436,0.017624574075562026,0.04723976222043509
24,USP47,-2.426833,-2.1099436,0.017624574075562026,0.04723976222043509
25,ELL3,-2.426833,-2.1099436,0.017624574075562026,0.04723976222043509
26,EIF5A,-2.426833,-2.1099436,0.017624574075562026,0.04723976222043509
27,TXNL1,-2.426833,-2.1099436,0.017624574075562026,0.04723976222043509
28,TMEM87A,-2.426833,-2.1099436,0.017624574075562026,0.04723976222043509
29,FCHO2,-2.426833,-2.1099436,0.017624574075562026,0.04723976222043509
30,MRPS21,-2.4273038,-2.1624248,0.01767902766100302,0.04727516019707775
31,MFF,-2.4273038,-2.1624248,0.01767902766100302,0.04727516019707775
32,MAPKAPK5,-2.4273038,-2.1624248,0.01767902766100302,0.04727516019707775
33,GUSB,-2.4273038,-2.1624248,0.01767902766100301,0.04727516019707775
34,KIDINS220,-2.4280355,-1.9434044,0.017546199296819172,0.04716589107242269
35,RANBP3,-2.4280355,-1.9434044,0.017546199296819172,0.04716589107242269
36,CRKL,-2.4284635,-2.050591,0.017683619500566034,0.04727516019707775
37,NUDT16L1,-2.430232,-2.6504185,0.01786481045517449,0.04771832248774953
38,AKT1,-2.4310226,-1.7886119,0.017163393395747496,0.04623059126504012
39,FAHD2A,-2.4310226,-1.7886119,0.017163393395747496,0.04623059126504012
40,FARP2,-2.4310226,-1.7886119,0.017163393395747496,0.04623059126504012
41,DENR,-2.4310226,-1.7886119,0.017163393395747496,0.04623059126504012
42,SLC25A20,-2.4315486,-1.6073194,0.017110831656563873,0.04614368845748075
43,OSBPL2,-2.4323802,-2.2133396,0.017518395897912674,0.0471184441392134
44,MTMR10,-2.433558,-1.6270154,0.017111244954821025,0.04614368845748075
45,TYK2,-2.433558,-1.6270154,0.017111244954821025,0.04614368845748075
46,USP33,-2.434308,-1.7011918,0.01705385519033355,0.04602904445381681
47,NBPF1,-2.4356499,-2.7045748,0.017673146848420355,0.04727516019707775
48,APEH,-2.4358923,-1.7677004,0.016847622010806074,0.04567162018233118
49,RAP1A,-2.4364197,-1.5380992,0.016956867587917243,0.04588218550132965
50,MAN1A2,-2.43902,-2.3068147,0.01696452292596847,0.04588218550132965
