,names,scores,logfoldchanges,pvals,pvals_adj
0,KRT18,8.367991,27.966166,7.581253276822089e-15,5.013232797863619e-11
1,S100A11,8.3125105,27.964739,1.0802053001214434e-14,5.013232797863619e-11
2,ANXA4,7.5701303,27.550898,1.098018549800656e-12,3.2414093361471877e-09
3,ABCA7,7.5304236,27.480616,1.3968581496001671e-12,3.2414093361471877e-09
4,DMBT1,7.4636145,3.0761454,2.430041462004772e-10,1.9927769087279467e-07
5,LAP3,7.2929797,27.57834,5.806575425332649e-12,1.077932661958753e-08
6,PIK3CD,7.1466093,27.243961,1.3795625127692517e-11,2.1341832072540325e-08
7,COX7B,6.9707384,27.315983,3.849790125832099e-11,5.104821706853363e-08
8,TNFRSF6B,6.9048533,27.33488,5.6326391445951097e-11,6.535269567516476e-08
9,UQCR11,6.771616,27.363201,1.2079751374160014e-10,1.2406435356563005e-07
10,GBP4,6.753825,27.60598,1.3366122987031895e-10,1.2406435356563005e-07
11,CAP1,6.6377506,27.180714,2.5763114527833826e-10,1.9927769087279467e-07
12,ATP5F1D,6.6192393,27.129454,2.858686236385523e-10,2.0411019727792635e-07
13,CCNL1,6.5606437,27.151215,3.968499533128522e-10,2.63111519046421e-07
14,S100A4,6.4632072,27.016693,6.819636529489838e-10,4.219991084448312e-07
15,ATP6V0E1,6.447887,27.232452,7.422177995143714e-10,4.3057910094327474e-07
16,ZMIZ2,6.355395,27.055826,1.234073621442704e-09,6.738041973077164e-07
17,IFITM2,6.232795,27.06227,2.403673192212822e-09,1.2394941427844119e-06
18,HEPH,6.2095976,27.033451,2.724262308909018e-09,1.3308738290154474e-06
19,PLD3,6.1641755,27.162718,3.4780426323850223e-09,1.6141595856898888e-06
20,KDELR2,6.1483536,26.95456,3.785889646363528e-09,1.6733632236926794e-06
21,CD6,6.098552,26.967518,4.939715467648802e-09,2.084110862305281e-06
22,SLC12A7,6.0809026,27.080776,5.426243944494036e-09,2.1898433170779847e-06
23,ARHGDIB,6.064472,27.260014,5.921179169267342e-09,2.290016043714145e-06
24,HPCAL1,5.9923553,26.768946,8.669584818911267e-09,3.218843451565375e-06
25,TAGLN2,5.9861693,3.3779817,8.0518195703059e-08,1.5252446786036603e-05
26,PARP12,5.9837875,27.046488,9.06949720571029e-09,3.2378105024385737e-06
27,MPEG1,5.9705763,26.853907,9.721814867043103e-09,3.242321599584813e-06
28,TXN,5.9694257,27.262537,9.780758973106526e-09,3.242321599584813e-06
29,VPS51,5.9537053,26.821117,1.0621895807715458e-08,3.286414562907163e-06
30,TMEM256,5.9537053,26.821117,1.0621895807715458e-08,3.286414562907163e-06
31,NORAD,5.939325,26.846584,1.1453095782532957e-08,3.429278550111965e-06
32,SERINC2,5.9219265,26.813644,1.2544128203311013e-08,3.6385811869729007e-06
33,TM9SF2,5.8911858,26.7578,1.4725577069800225e-08,4.020082540055462e-06
34,ATP5MF,5.8911858,26.7578,1.4725577069800225e-08,4.020082540055462e-06
35,NT5C,5.841368,26.77663,1.907214427304623e-08,5.05793266121186e-06
36,CDC42,5.823695,26.958384,2.0897486710466958e-08,5.38806865684873e-06
37,NUCB1,5.799208,26.76472,2.371148079086212e-08,5.797847386631649e-06
38,LFNG,5.799007,26.683779,2.3736069887093586e-08,5.797847386631649e-06
39,GRINA,5.743794,26.984785,3.15165007340278e-08,7.500927174698618e-06
40,CAPG,5.7379603,26.913635,3.2471374301413564e-08,7.534982406643017e-06
41,EIF3F,5.6633873,26.663816,4.7469446701584363e-08,1.0746619616685514e-05
42,TNFRSF14-AS1,5.6556096,26.798664,4.937748336287367e-08,1.091242382319508e-05
43,PDIA6,5.6009507,26.711496,6.506540281866966e-08,1.4045048115416088e-05
44,ATP6V0A1,5.5937886,26.555172,6.745142065954819e-08,1.4113231180686826e-05
45,PABPN1,5.590945,26.738743,6.842225847133238e-08,1.4113231180686826e-05
46,TMED9,5.5836177,26.765535,7.098707660092022e-08,1.4323957500211771e-05
47,SCO2,5.5712543,26.671156,7.552885455743356e-08,1.4800801075158609e-05
48,SNRNP200,5.568602,26.5852,7.653937207580406e-08,1.4800801075158609e-05
49,AP1B1,5.5438294,26.438528,8.663840503132123e-08,1.6083553510014473e-05
50,CSNK1A1,5.5181623,26.67202,9.846989283950388e-08,1.7921520496789705e-05
51,PIGT,5.5071335,26.47083,1.0402451550353363e-07,1.8568376017380755e-05
52,ECHS1,5.498541,26.738743,1.0856266575857434e-07,1.9012804973039377e-05
53,EPS8L3,5.4862523,26.663816,1.1538982458864256e-07,1.9834228737625558e-05
54,ST13,5.4767213,26.502485,1.2097127247137538e-07,2.041555183780557e-05
55,PBXIP1,5.4517217,26.533518,1.368908912148894e-07,2.2291600916782518e-05
56,ACIN1,5.4517217,26.533518,1.368908912148894e-07,2.2291600916782518e-05
57,TMEM131,5.425786,26.381721,1.555588797353263e-07,2.447283935090337e-05
58,PICALM,5.425786,26.381721,1.555588797353263e-07,2.447283935090337e-05
59,ABI1,5.4025884,26.623127,1.7434012172511799e-07,2.6970416830875755e-05
60,SSR2,5.3979115,26.555172,1.7838509094564857e-07,2.7143777281270656e-05
61,MYL12A,5.3865037,26.680182,1.886395738319086e-07,2.8241169746899608e-05
62,ENG,5.382423,26.5852,1.9244553961483742e-07,2.8353642836586047e-05
63,PRKCZ,5.3704786,26.614668,2.0401932121099357e-07,2.913395906892988e-05
64,IFI16,5.3704786,26.614668,2.0401932121099357e-07,2.913395906892988e-05
65,GMFG,5.364459,26.546343,2.101059850351209e-07,2.954854171357564e-05
66,AC073111.4,5.3583984,26.447979,2.1641288969745618e-07,2.998126033092221e-05
67,DNASE1L3,5.352025,26.699942,2.2324381027138727e-07,3.0472780102044362e-05
68,TLN1,5.333602,26.480091,2.4419026086323887e-07,3.2379628590465476e-05
69,STK38,5.333602,26.480091,2.4419026086323887e-07,3.2379628590465476e-05
70,SEC61B,5.3302245,26.635252,2.482321828936946e-07,3.245198762844047e-05
71,SEM1,5.310514,26.715101,2.7315212032867006e-07,3.521386084570438e-05
72,PSMD3,5.3064013,26.32278,2.7865074688083584e-07,3.5430633322574225e-05
