,names,scores,logfoldchanges,pvals,pvals_adj
0,IGKC,11.75467,1.8780986,7.469380014919373e-27,6.933078529848162e-23
1,IGHG4,11.202924,1.8832526,1.873900662805796e-25,8.6967729760817e-22
2,IGHM,10.539217,2.2795413,2.577136796220865e-23,4.7841967485044135e-20
3,IGHG3,10.466301,2.3557162,3.7933550171916886e-23,5.868320211595542e-20
4,AL627171.2,10.074486,1.5157919,9.965363944594284e-21,1.1562313516715518e-17
5,IGHA1,10.048114,1.9376644,1.2669353236634478e-20,1.306632630471569e-17
6,LCN2,9.826662,3.3496466,5.9431063991276466e-21,7.88055908524326e-18
7,IGLC3,9.091677,3.590734,2.3443809965110297e-18,2.1760544409615377e-15
8,IGLC2,8.487006,2.186261,2.5235026827067436e-16,1.8017809154526148e-13
9,REG1A,7.991432,1.7306288,2.6990207124129432e-14,1.473665308977467e-11
10,LINC02739,7.8319354,1.4360329,4.7089569403184833e-14,2.428252128890898e-11
11,MUC1,7.4078455,1.9024984,5.315956665632959e-13,2.1453352074089187e-10
12,JCHAIN,7.2021055,1.3983799,3.888714936057041e-12,1.3368537791289427e-09
13,IGHG2,7.0470705,2.9335608,5.772653661541226e-12,1.9136346888009167e-09
14,TNFRSF6B,5.968967,2.2156124,4.459488515564354e-09,8.447545388054762e-07
15,CD24,5.938717,1.5311867,5.562660743476802e-09,9.99179207748296e-07
16,IGLC1,5.8778915,1.4318601,9.133491806987513e-09,1.5414012900446928e-06
17,IDO1,5.800601,2.4237714,1.1472141077309553e-08,1.8048205674506317e-06
18,ACP5,5.7190228,2.0653422,1.808588891174156e-08,2.6646542996632564e-06
19,TYROBP,5.264919,3.0320246,2.0813356012550375e-07,2.2463903547499137e-05
20,TIMP1,5.208081,1.8807211,2.783022048699215e-07,2.9024731074186644e-05
21,IL7R,5.142339,2.8433,3.8472008941421354e-07,3.7197623645236774e-05
22,CD55,4.9050426,1.8375245,1.2659173066983803e-06,0.00010129521069633073
23,CCR7,4.7433558,3.029728,2.723543659151176e-06,0.0001929765820171085
24,GM2A,4.689105,2.0465872,3.5161091888200973e-06,0.0002364965615262909
25,MXRA5,4.6537433,2.1471553,4.140470727751183e-06,0.0002745132092499035
26,SNHG1,4.5945454,0.69363207,6.318014427706723e-06,0.00039893748243519594
27,CD53,4.5938044,2.7197235,5.4695451173775615e-06,0.0003550232012552344
28,RARRES2,4.527988,1.491918,7.51099315024539e-06,0.00045866472645116914
29,NCF1,4.516241,1.3441174,8.272942370790355e-06,0.0004954158134559747
30,ABCA7,4.453298,1.6036745,1.0755347997543108e-05,0.0006124609822895406
31,S100A11,4.4247336,1.4518706,1.2278552368718722e-05,0.0006783900183717094
32,MMP12,4.402542,2.2598848,1.2972283703374843e-05,0.0006960042620504352
