Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2021	positive regulation of transcription by RNA polymerase II (GO:0045944)	43/908	6.144089e-09	1.497315e-05	0	0	2.963248e+00	5.602843e+01	CD81;MAX;KMT2C;CHD8;ZNF24;MLLT6;RXRA;EP300;RPRD1B;IKBKG;HTATIP2;BPTF;MEN1;NCOA1;MEF2A;ACTR3;TCF7L2;XRCC6;PPP1R12A;PHF10;NCOA6;CDX1;MACC1;ATRX;PTOV1;NR1H4;LARP7;FOS;MED4;SREBF2;SMARCA4;GNL3;VEGFA;MAVS;SFPQ;REST;PRPF6;TAF7;PRKD2;CDK13;PPARA;ZNF335;GLYR1
GO_Biological_Process_2021	positive regulation of transcription, DNA-templated (GO:0045893)	49/1183	3.637968e-08	4.432864e-05	0	0	2.588118e+00	4.433253e+01	CD81;CHD8;EP300;IKBKG;HTATIP2;MEN1;YWHAH;NCOA1;MEF2A;ACTR3;PPP1R12A;NCOA6;ATRX;PTOV1;FOS;MED4;RGMB;ARID1B;SREBF2;PPM1A;SFPQ;PRPF6;PRKD2;PPARA;GLYR1;KMT2E;SP100;MAX;KMT2C;ZNF24;MLLT6;RXRA;RPRD1B;BRD7;BPTF;TCF7L2;XRCC6;PHF10;CDX1;USP22;MACC1;NR1H4;GTF2H1;SMARCA4;VEGFA;MAVS;REST;TAF7;ZNF335
GO_Biological_Process_2021	positive regulation of intracellular protein transport (GO:0090316)	14/148	4.543433e-07	3.690782e-04	0	0	5.924852e+00	8.652899e+01	SH3GLB1;FIS1;TCF7L2;SAR1A;TMEM30B;CD81;SORL1;SREBF2;NPEPPS;MAVS;PINK1;MYO1C;PCNT;YWHAH
GO_Biological_Process_2021	regulation of transcription by RNA polymerase II (GO:0006357)	71/2206	6.227752e-07	3.794258e-04	0	0	2.028571e+00	2.898642e+01	CD81;CHD8;TIAL1;EP300;IKBKG;CCNL1;HTATIP2;MEN1;NCOA1;MEF2A;ACTR3;PPP1R12A;PRKCB;NCOA6;ATRX;PTOV1;DICER1;FOS;MED4;ARID1B;SREBF2;FOXP1;PPM1A;ZNF91;SFPQ;PRPF6;DMTF1;LCOR;PRKD2;LCORL;PPARA;GLYR1;SP100;SATB1;MAX;KMT2C;ZNF518A;ZNF24;MLLT6;REPIN1;RXRA;SAFB2;RPRD1B;BRD7;BPTF;SPEN;TCF7L2;XRCC6;PHF10;CDX1;MACC1;NR1H4;LARP7;GTF2H1;DEK;MED13L;SMARCA4;VEGFA;DLG1;MAVS;REST;AGO4;ZNF217;TAF7;CDK13;ZNF335;RCOR1;ZNF410;SLC2A4RG;TNRC6A;TNRC6B
GO_Biological_Process_2021	positive regulation of I-kappaB kinase/NF-kappaB signaling (GO:0043123)	14/171	2.587598e-06	1.230806e-03	0	0	5.050918e+00	6.497896e+01	ANKRD17;UNC5CL;PRKCB;SLC44A2;SECTM1;PPM1A;MAVS;PINK1;TFG;VAPA;TRAF5;IKBKG;LTBR;TRIM22
GO_Biological_Process_2021	regulation of I-kappaB kinase/NF-kappaB signaling (GO:0043122)	16/224	3.030298e-06	1.230806e-03	0	0	4.371120e+00	5.554317e+01	ANKRD17;UNC5CL;PRKCB;SLC44A2;NR1H4;SECTM1;PPM1A;MAVS;PPM1B;PINK1;TFG;VAPA;TRAF5;IKBKG;LTBR;TRIM22
GO_Biological_Process_2021	nitrogen compound transport (GO:0071705)	12/143	1.046058e-05	3.641775e-03	0	0	5.165512e+00	5.923756e+01	SCARB2;SLC12A2;CUBN;SLC44A4;SLC7A7;TCN2;TMEM30B;SLC44A2;SLC23A1;SLC38A2;SCAMP2;SLC6A4
GO_Biological_Process_2021	regulation of organelle organization (GO:0033043)	9/80	1.292864e-05	3.938388e-03	0	0	7.108398e+00	8.001259e+01	SCARB2;FIS1;DIAPH1;MAVS;PINK1;SAR1A;TAOK1;EP300;PDE4DIP
GO_Biological_Process_2021	regulation of myeloid cell differentiation (GO:0045637)	8/68	2.826565e-05	6.998255e-03	0	0	7.459810e+00	7.813303e+01	KMT2E;PRKCB;PRMT1;AGO4;KMT2C;EP300;TNRC6A;TNRC6B
GO_Biological_Process_2021	positive regulation of antigen receptor-mediated signaling pathway (GO:0050857)	5/21	2.871668e-05	6.998255e-03	0	0	1.737429e+01	1.817009e+02	CD81;PRKCB;PRKD2;IKBKG;FOXP1
