,names,scores,logfoldchanges,pvals,pvals_adj
0,AL627171.2,9.769587,2.3845866,5.730129853534249e-13,5.31870653005049e-09
1,IGKC,8.078312,2.4575593,1.993213871049545e-10,5.440813009102295e-07
2,IGHA1,7.9922843,3.629779,3.536631523326097e-10,5.471168966585472e-07
3,REG1A,7.5683427,3.907395,1.5817890487362782e-09,1.4682165950370134e-06
4,PLA2G2A,5.697661,2.8680828,8.591283030213834e-07,0.00024164936086801456
5,IGHM,5.316046,2.7965438,3.2223906043194437e-06,0.0005538931405424643
6,JCHAIN,5.197276,2.6100495,4.6654844770355355e-06,0.0006984681760619975
7,DMBT1,4.986354,3.1491358,9.818901443491143e-06,0.0010738142440611114
8,TMSB10,4.86332,1.4576366,1.0466365181868742e-05,0.001079431129090063
9,S100A6,4.8292046,1.4784316,1.1043287292313939e-05,0.001114171659209326
10,SERPINA1,4.693822,1.5007417,1.939696863010128e-05,0.0015520919209017247
11,CTSB,4.673104,2.0393867,2.481857131418807e-05,0.0018139053459708164
12,C1QA,4.588357,2.3459713,3.433815236936969e-05,0.002260473264485741
13,B2M,4.373409,1.0960518,5.2111126008153676e-05,0.0029892259309297104
14,IGHG4,4.3592257,1.4370321,6.816368256782113e-05,0.0035346106234330488
15,IGHG3,4.142161,1.9390635,0.0001429449106269587,0.005988468763067046
16,CD74,4.114202,1.2096938,0.00013698292001436041,0.005805824034581249
17,ACTB,4.112171,1.1718799,0.0001350509790574565,0.005750198108308767
18,HLA-C,4.1105337,1.3799297,0.00014608715657823693,0.006080632230310292
19,SPINK4,4.0977917,1.8827406,0.00016129481459646835,0.006209509037855932
20,SNHG1,4.0587173,1.1501181,0.00016555519664638593,0.006323799733628618
21,HLA-DRA,3.9672143,1.1934979,0.00021955353722802798,0.007719302774812711
22,MUC13,3.8951817,1.2520548,0.0002836257835177435,0.00886402196165554
23,MT-CO2,3.8889868,1.002019,0.0002744791034129063,0.008813533534081203
24,PSAP,3.7942958,1.4325052,0.0004016564438320671,0.011195721056003746
25,LCN2,3.731002,4.639625,0.0005502081784355829,0.013628498923269025
26,PLAAT4,3.7076786,1.951262,0.0005592976935207509,0.013628498923269025
27,HLA-A,3.7044334,1.0795453,0.0004937759118278304,0.012488359710043383
28,CXCL14,3.6928446,2.0780396,0.0005816245862638315,0.01387825041054212
29,ANPEP,3.6472213,1.1454402,0.0005921500226969091,0.014093170540186434
30,MYL6,3.5696764,1.045218,0.0007566289869978897,0.017513791165372602
31,WARS,3.5491757,2.512329,0.0009150544779862944,0.01934746165072616
32,SPINK1,3.5488267,1.8700225,0.0008875999676026111,0.018809823970975883
33,CYBA,3.4988139,2.4238153,0.0010543716252943286,0.021415049072170587
34,RARRES1,3.4655478,3.7650735,0.0011983076619461596,0.023971318358155715
35,ROMO1,3.454414,2.467404,0.0012009206345543332,0.02397192544071682
36,PRSS8,3.4412963,1.3490609,0.0011769374407222602,0.02359467240774086
37,FGL2,3.4219716,2.782581,0.0013477506160807181,0.026320284546961684
38,MUC1,3.3793528,3.2948184,0.0015308848083700653,0.027169546446062995
39,FCGBP,3.3564975,1.0446029,0.00146229789898762,0.026320284546961684
40,UBD,3.324742,3.9260604,0.001790811654919983,0.030277438580996872
41,PHGR1,3.2846434,1.05506,0.0017878961771577672,0.030277438580996872
42,APOA4,3.2154636,1.6023012,0.002334183111495134,0.038827755628849166
43,ACTG1,3.2040975,1.0286422,0.0023203539446874696,0.038667011336784726
44,IL32,3.1953928,1.3866397,0.0024663945433500267,0.03952967658810443
45,MISP,3.1555898,1.0256819,0.0026233406804415053,0.04004909242739811
46,ASS1,3.1323357,1.5446087,0.0029187235345369106,0.04364316553415318
47,KRT8,3.0829756,1.1719708,0.0032957406058600805,0.047873340068221075
