,names,scores,logfoldchanges,pvals,pvals_adj
0,LY6G5B,-2.955583,-24.37224,0.003334811595824042,0.04821451905364292
1,ZNF264,-2.955583,-24.37224,0.003334811595824042,0.04821451905364292
2,CMC1,-2.9656053,-24.29071,0.0032306865778158013,0.04700193231236092
3,NMD3,-2.9656053,-24.29071,0.0032306865778158013,0.04700193231236092
4,MRPL53,-2.9899094,-24.204401,0.002990417289347277,0.04364316553415318
5,WDR24,-2.9899094,-24.204401,0.002990417289347277,0.04364316553415318
6,ALG8,-2.9899094,-24.204401,0.002990417289347277,0.04364316553415318
7,ZDHHC13,-2.9899094,-24.204401,0.002990417289347277,0.04364316553415318
8,DOK1,-2.9899094,-24.204401,0.002990417289347277,0.04364316553415318
9,ABHD17B,-2.9899094,-24.204401,0.002990417289347277,0.04364316553415318
10,RNF115,-2.9899094,-24.204401,0.002990417289347277,0.04364316553415318
11,SLC52A3,-2.9899094,-24.204401,0.002990417289347277,0.04364316553415318
12,STAG1,-2.9899094,-24.204401,0.002990417289347277,0.04364316553415318
13,MSI2,-2.9899094,-24.204401,0.002990417289347277,0.04364316553415318
14,C1orf35,-2.9899094,-24.204401,0.002990417289347277,0.04364316553415318
15,PLEKHA3,-2.9899094,-24.204401,0.002990417289347277,0.04364316553415318
16,PLBD2,-2.9899094,-24.204401,0.002990417289347277,0.04364316553415318
17,CHERP,-2.9899094,-24.204401,0.002990417289347277,0.04364316553415318
18,SNX13,-2.9899094,-24.204401,0.002990417289347277,0.04364316553415318
19,SPATA33,-2.9899094,-24.204401,0.002990417289347277,0.04364316553415318
20,AASDHPPT,-2.9899094,-24.204401,0.002990417289347277,0.04364316553415318
21,ZC3H12C,-2.9899094,-24.204401,0.002990417289347277,0.04364316553415318
22,AL159169.2,-2.9899094,-24.204401,0.002990417289347277,0.04364316553415318
23,MLH3,-2.9899094,-24.204401,0.002990417289347277,0.04364316553415318
24,ZBTB44,-2.9899094,-24.204401,0.002990417289347277,0.04364316553415318
25,CRTAP,-2.9899094,-24.204401,0.002990417289347277,0.04364316553415318
26,ITFG2,-2.9899094,-24.204401,0.002990417289347277,0.04364316553415318
27,ZKSCAN1,-3.0115273,-1.6654342,0.0034264556941428327,0.04946245995806185
28,LINC01133,-3.0151405,-1.9004734,0.003301758926711927,0.04788582243396891
29,PARP1,-3.0191848,-24.447187,0.0027227854508261777,0.04149900583673002
30,AL591895.1,-3.0352952,-24.112707,0.0025850585745506778,0.03952967658810443
31,LAMC2,-3.0352952,-24.112707,0.0025850585745506778,0.03952967658810443
32,RAB3GAP2,-3.0352952,-24.112707,0.0025850585745506778,0.03952967658810443
33,HS2ST1,-3.0352952,-24.112707,0.0025850585745506778,0.03952967658810443
34,IRS2,-3.0352952,-24.112707,0.0025850585745506778,0.03952967658810443
35,RHOH,-3.0352952,-24.112707,0.0025850585745506778,0.03952967658810443
36,RPA2,-3.0352952,-24.112707,0.0025850585745506778,0.03952967658810443
37,DCTN4,-3.0352952,-24.112707,0.0025850585745506778,0.03952967658810443
38,ZNF766,-3.0352952,-24.112707,0.0025850585745506778,0.03952967658810443
39,TPM2,-3.0352952,-24.112707,0.0025850585745506778,0.03952967658810443
40,FERMT3,-3.0352952,-24.112707,0.0025850585745506778,0.03952967658810443
41,AFMID,-3.0352952,-24.112707,0.0025850585745506778,0.03952967658810443
42,EIF5AL1,-3.0352952,-24.112707,0.0025850585745506778,0.03952967658810443
43,USP1,-3.0352952,-24.112707,0.0025850585745506778,0.03952967658810443
44,PIGH,-3.0352952,-24.112707,0.0025850585745506778,0.03952967658810443
45,CKAP4,-3.0352952,-24.112707,0.0025850585745506778,0.03952967658810443
46,THUMPD3-AS1,-3.0352952,-24.112707,0.0025850585745506778,0.03952967658810443
47,TRMT11,-3.0352952,-24.112707,0.0025850585745506778,0.03952967658810443
48,RNF146,-3.0352952,-24.112707,0.0025850585745506778,0.03952967658810443
49,PSME4,-3.0352952,-24.112707,0.0025850585745506778,0.03952967658810443
50,USP43,-3.0352952,-24.112707,0.0025850585745506778,0.03952967658810443
51,ZNF646,-3.0352952,-24.112707,0.0025850585745506778,0.03952967658810443
52,TOR2A,-3.0352952,-24.112707,0.0025850585745506778,0.03952967658810443
53,MIIP,-3.0352952,-24.112707,0.0025850585745506778,0.03952967658810443
54,PRKCI,-3.0352952,-24.112707,0.0025850585745506778,0.03952967658810443
55,TMEM128,-3.0352952,-24.112707,0.0025850585745506778,0.03952967658810443
56,MOCS1,-3.0352952,-24.112707,0.0025850585745506778,0.03952967658810443
57,MYNN,-3.0352952,-24.112707,0.0025850585745506778,0.03952967658810443
58,CD99L2,-3.0352952,-24.112707,0.0025850585745506778,0.03952967658810443
59,TSTD3,-3.0352952,-24.112707,0.0025850585745506778,0.03952967658810443
60,NTAN1,-3.0352952,-24.112707,0.0025850585745506778,0.03952967658810443
61,KLRB1,-3.0352952,-24.112707,0.0025850585745506778,0.03952967658810443
62,MINDY3,-3.0352952,-24.112707,0.0025850585745506778,0.03952967658810443
63,MRPS33,-3.0352952,-24.112707,0.0025850585745506778,0.03952967658810443
64,SIAH2,-3.0352952,-24.112707,0.0025850585745506778,0.03952967658810443
65,ARHGEF9,-3.0352952,-24.112707,0.0025850585745506778,0.03952967658810443
66,INTS6L,-3.0352952,-24.112707,0.0025850585745506778,0.03952967658810443
67,BMP2,-3.0352952,-24.112707,0.0025850585745506778,0.03952967658810443
68,ASH2L,-3.0352952,-24.112707,0.0025850585745506778,0.03952967658810443
69,HS6ST1,-3.0352952,-24.112707,0.0025850585745506778,0.03952967658810443
70,TRIM11,-3.0352952,-24.112707,0.0025850585745506778,0.03952967658810443
71,AHR,-3.0352952,-24.112707,0.0025850585745506778,0.03952967658810443
72,SDF2,-3.0352952,-24.112707,0.0025850585745506778,0.03952967658810443
73,MTFMT,-3.0352952,-24.112707,0.0025850585745506778,0.03952967658810443
74,CEP164,-3.0352952,-24.112707,0.0025850585745506778,0.03952967658810443
75,SREBF1,-3.0384045,-2.3548627,0.002935437580093866,0.04364316553415318
76,SRC,-3.057812,-1.9136982,0.0029082978326169765,0.04364316553415318
77,ATRN,-3.0629318,-2.360683,0.0027279770425791784,0.04150997198232776
78,BCAS1,-3.1064065,-1.5661296,0.0025604321770217116,0.03952967658810443
79,NUDT4,-3.1076202,-2.3863857,0.0023625347702595652,0.03922906572012394
80,CYFIP1,-3.1205018,-2.3799841,0.002285576799276084,0.03815597814906584
81,NPFF,-3.1217353,-24.501955,0.0019493059201359238,0.03265967066913654
82,ZFP36L2,-3.124539,-1.1703677,0.0025447279681196267,0.03952967658810443
83,PARL,-3.1342015,-24.427467,0.001870563250365344,0.031397048987144884
84,MRGBP,-3.1342015,-24.427467,0.001870563250365344,0.031397048987144884
85,JARID2,-3.1342015,-24.427467,0.001870563250365344,0.031397048987144884
