Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2021	innate immune response in mucosa (GO:0002227)	2/21	1.571000e-05	1.356085e-03	0	0	5.256579e+02	5.814414e+03	DEFA6;DEFA5
GO_Biological_Process_2021	mucosal immune response (GO:0002385)	2/28	2.825178e-05	1.356085e-03	0	0	3.840000e+02	4.022152e+03	DEFA6;DEFA5
GO_Biological_Process_2021	antibacterial humoral response (GO:0019731)	2/44	7.055399e-05	2.257728e-03	0	0	2.375238e+02	2.270522e+03	DEFA6;DEFA5
GO_Biological_Process_2021	antimicrobial humoral immune response mediated by antimicrobial peptide (GO:0061844)	2/64	1.499561e-04	3.123907e-03	0	0	1.607419e+02	1.415360e+03	DEFA6;DEFA5
GO_Biological_Process_2021	defense response to Gram-positive bacterium (GO:0050830)	2/70	1.794914e-04	3.123907e-03	0	0	1.465147e+02	1.263746e+03	DEFA6;DEFA5
GO_Biological_Process_2021	defense response to Gram-negative bacterium (GO:0050829)	2/73	1.952442e-04	3.123907e-03	0	0	1.403028e+02	1.198363e+03	DEFA6;DEFA5
GO_Biological_Process_2021	cellular response to molecule of bacterial origin (GO:0071219)	2/115	4.842742e-04	6.325693e-03	0	0	8.796903e+01	6.714552e+02	DEFA6;DEFA5
GO_Biological_Process_2021	cellular response to lipopolysaccharide (GO:0071222)	2/120	5.271411e-04	6.325693e-03	0	0	8.422034e+01	6.356987e+02	DEFA6;DEFA5
GO_Biological_Process_2021	response to lipopolysaccharide (GO:0032496)	2/159	9.225488e-04	9.840521e-03	0	0	6.317516e+01	4.414914e+02	DEFA6;DEFA5
GO_Biological_Process_2021	defense response to bacterium (GO:0042742)	2/176	1.128492e-03	1.015816e-02	0	0	5.695402e+01	3.865397e+02	DEFA6;DEFA5
GO_Biological_Process_2021	oxaloacetate metabolic process (GO:0006107)	1/5	1.499220e-03	1.015816e-02	0	0	9.995000e+02	6.499559e+03	PCK1
GO_Biological_Process_2021	positive regulation of membrane permeability (GO:1905710)	1/5	1.499220e-03	1.015816e-02	0	0	9.995000e+02	6.499559e+03	DEFA5
GO_Biological_Process_2021	glycerol biosynthetic process (GO:0006114)	1/5	1.499220e-03	1.015816e-02	0	0	9.995000e+02	6.499559e+03	PCK1
GO_Biological_Process_2021	cellular response to lipid (GO:0071396)	2/219	1.739198e-03	1.015816e-02	0	0	4.556912e+01	2.895613e+02	DEFA6;DEFA5
GO_Biological_Process_2021	regulation of peptidyl-cysteine S-nitrosylation (GO:2000169)	1/6	1.798841e-03	1.015816e-02	0	0	7.995600e+02	5.053709e+03	ACE
GO_Biological_Process_2021	hepatocyte differentiation (GO:0070365)	1/6	1.798841e-03	1.015816e-02	0	0	7.995600e+02	5.053709e+03	PCK1
GO_Biological_Process_2021	regulation of hematopoietic stem cell proliferation (GO:1902033)	1/6	1.798841e-03	1.015816e-02	0	0	7.995600e+02	5.053709e+03	ACE
GO_Biological_Process_2021	regulation of systemic arterial blood pressure by renin-angiotensin (GO:0003081)	1/7	2.098387e-03	1.065450e-02	0	0	6.662667e+02	4.108591e+03	ACE
GO_Biological_Process_2021	short-chain fatty acid catabolic process (GO:0019626)	1/8	2.397859e-03	1.065450e-02	0	0	5.710571e+02	3.445290e+03	PCK1
GO_Biological_Process_2021	myeloid leukocyte mediated immunity (GO:0002444)	1/8	2.397859e-03	1.065450e-02	0	0	5.710571e+02	3.445290e+03	ACE
GO_Biological_Process_2021	regulation of gap junction assembly (GO:1903596)	1/9	2.697256e-03	1.065450e-02	0	0	4.996500e+02	2.955690e+03	ACE
GO_Biological_Process_2021	positive regulation of blood pressure (GO:0045777)	1/9	2.697256e-03	1.065450e-02	0	0	4.996500e+02	2.955690e+03	ACE
GO_Biological_Process_2021	positive regulation of memory T cell differentiation (GO:0043382)	1/9	2.697256e-03	1.065450e-02	0	0	4.996500e+02	2.955690e+03	PCK1
GO_Biological_Process_2021	arachidonate transport (GO:1903963)	1/10	2.996578e-03	1.065450e-02	0	0	4.441111e+02	2.580412e+03	ACE
GO_Biological_Process_2021	arachidonic acid secretion (GO:0050482)	1/10	2.996578e-03	1.065450e-02	0	0	4.441111e+02	2.580412e+03	ACE
GO_Biological_Process_2021	hematopoietic stem cell differentiation (GO:0060218)	1/10	2.996578e-03	1.065450e-02	0	0	4.441111e+02	2.580412e+03	ACE
GO_Biological_Process_2021	regulation of memory T cell differentiation (GO:0043380)	1/10	2.996578e-03	1.065450e-02	0	0	4.441111e+02	2.580412e+03	PCK1
GO_Biological_Process_2021	innate immune response (GO:0045087)	2/302	3.274844e-03	1.068095e-02	0	0	3.282333e+01	1.877982e+02	DEFA6;DEFA5
GO_Biological_Process_2021	regulation of biosynthetic process (GO:0009889)	1/11	3.295826e-03	1.068095e-02	0	0	3.996800e+02	2.284211e+03	PCK1
GO_Biological_Process_2021	angiotensin maturation (GO:0002003)	1/12	3.594998e-03	1.068095e-02	0	0	3.633273e+02	2.044883e+03	ACE
GO_Biological_Process_2021	regulation of angiotensin levels in blood (GO:0002002)	1/12	3.594998e-03	1.068095e-02	0	0	3.633273e+02	2.044883e+03	ACE
GO_Biological_Process_2021	cellular response to oxygen-containing compound (GO:1901701)	2/323	3.736387e-03	1.068095e-02	0	0	3.064330e+01	1.712849e+02	DEFA6;DEFA5
GO_Biological_Process_2021	icosanoid secretion (GO:0032309)	1/13	3.894096e-03	1.068095e-02	0	0	3.330333e+02	1.847767e+03	ACE
GO_Biological_Process_2021	regulation of tube diameter (GO:0035296)	1/13	3.894096e-03	1.068095e-02	0	0	3.330333e+02	1.847767e+03	ACE
GO_Biological_Process_2021	vascular process in circulatory system (GO:0003018)	1/13	3.894096e-03	1.068095e-02	0	0	3.330333e+02	1.847767e+03	ACE
