Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2021	chylomicron remodeling (GO:0034371)	4/9	1.108103e-07	8.928113e-05	0	0	1.486654e+02	2.380943e+03	APOA1;APOC3;APOA4;APOB
GO_Biological_Process_2021	chylomicron assembly (GO:0034378)	4/10	1.838952e-07	8.928113e-05	0	0	1.238816e+02	1.921268e+03	APOA1;APOC3;APOA4;APOB
GO_Biological_Process_2021	triglyceride-rich lipoprotein particle remodeling (GO:0034370)	4/13	6.181311e-07	2.000684e-04	0	0	8.257529e+01	1.180543e+03	APOA1;APOC3;APOA4;APOB
GO_Biological_Process_2021	prostanoid metabolic process (GO:0006692)	4/18	2.589419e-06	6.285816e-04	0	0	5.307076e+01	6.827063e+02	ACOX1;GSTA1;PTGR1;CES2
GO_Biological_Process_2021	fructose metabolic process (GO:0006000)	3/8	9.129935e-06	1.260946e-03	0	0	1.104667e+02	1.281850e+03	ALDOB;FBP1;KHK
GO_Biological_Process_2021	short-chain fatty acid catabolic process (GO:0019626)	3/8	9.129935e-06	1.260946e-03	0	0	1.104667e+02	1.281850e+03	PCK1;ACADS;PCK2
GO_Biological_Process_2021	acylglycerol homeostasis (GO:0055090)	4/25	1.038885e-05	1.260946e-03	0	0	3.536805e+01	4.058405e+02	MLXIPL;APOA1;APOC3;APOA4
GO_Biological_Process_2021	peptide catabolic process (GO:0043171)	4/25	1.038885e-05	1.260946e-03	0	0	3.536805e+01	4.058405e+02	ENPEP;ACE;DPEP1;NAALADL1
GO_Biological_Process_2021	triglyceride metabolic process (GO:0006641)	5/55	1.341142e-05	1.446943e-03	0	0	1.871604e+01	2.099828e+02	FABP2;DGAT1;FABP6;APOC3;APOB
GO_Biological_Process_2021	mucosal immune response (GO:0002385)	4/28	1.660086e-05	1.611944e-03	0	0	3.094237e+01	3.405534e+02	PIGR;DEFA6;DEFA5;APOA4
GO_Biological_Process_2021	regulation of fatty acid biosynthetic process (GO:0042304)	4/29	1.917487e-05	1.692618e-03	0	0	2.970318e+01	3.226332e+02	MLXIPL;APOA1;APOC3;APOA4
GO_Biological_Process_2021	triglyceride homeostasis (GO:0070328)	4/31	2.518642e-05	1.855371e-03	0	0	2.750017e+01	2.912050e+02	MLXIPL;APOA1;APOC3;APOA4
GO_Biological_Process_2021	prostaglandin metabolic process (GO:0006693)	4/31	2.518642e-05	1.855371e-03	0	0	2.750017e+01	2.912050e+02	ACOX1;GSTA1;PTGR1;CES2
GO_Biological_Process_2021	diterpenoid metabolic process (GO:0016101)	5/64	2.825151e-05	1.855371e-03	0	0	1.585385e+01	1.660590e+02	RBP2;APOA1;APOC3;APOA4;APOB
GO_Biological_Process_2021	cellular response to glucose stimulus (GO:0071333)	4/32	2.866176e-05	1.855371e-03	0	0	2.651669e+01	2.773632e+02	MLXIPL;PCK1;GAS6;PCK2
GO_Biological_Process_2021	phospholipid efflux (GO:0033700)	3/12	3.529134e-05	1.903771e-03	0	0	6.135802e+01	6.290347e+02	APOA1;APOC3;APOA4
GO_Biological_Process_2021	regulation of triglyceride catabolic process (GO:0010896)	3/12	3.529134e-05	1.903771e-03	0	0	6.135802e+01	6.290347e+02	APOA1;APOC3;APOA4
GO_Biological_Process_2021	very-low-density lipoprotein particle assembly (GO:0034379)	3/12	3.529134e-05	1.903771e-03	0	0	6.135802e+01	6.290347e+02	DGAT1;APOC3;APOB
GO_Biological_Process_2021	regulation of lipid biosynthetic process (GO:0046890)	4/35	4.120194e-05	2.105636e-03	0	0	2.394694e+01	2.417929e+02	MLXIPL;APOA1;APOA4;PCK1
GO_Biological_Process_2021	positive regulation of fatty acid biosynthetic process (GO:0045723)	3/13	4.569340e-05	2.218415e-03	0	0	5.521944e+01	5.518386e+02	MLXIPL;APOA1;APOA4
GO_Biological_Process_2021	gluconeogenesis (GO:0006094)	4/41	7.767394e-05	3.428245e-03	0	0	2.005759e+01	1.898048e+02	ALDOB;PCK1;FBP1;PCK2
