,names,scores,logfoldchanges,pvals,pvals_adj
0,FTL,3.482723,1.3240514,0.007118020486889148,0.41553123370632117
1,ANPEP,3.2040217,1.7299432,0.023654061670837067,0.5430773849880189
2,C1QA,2.802526,2.7252502,0.043372511526062446,0.5641791290771028
3,WWP2,2.4494898,28.942003,0.07048399691021993,0.5641791290771028
4,AGR2,2.2364397,3.9610696,0.08648744991950347,0.5833605731018311
5,MYO15B,2.1637714,1.7834133,0.09024515400523515,0.5833605731018311
6,NR2F6,2.1305234,3.31826,0.09736864823005639,0.5833605731018311
7,SERPINA1,2.1249244,1.9346569,0.09508654122392965,0.5833605731018311
8,PRR13,2.0523446,2.987155,0.10596274662377798,0.5833605731018311
9,TXNIP,2.0523446,2.987155,0.10596274662377798,0.5833605731018311
10,DMBT1,1.9936919,3.3070812,0.11478221718475412,0.5833605731018311
11,NDUFV1,1.9936919,3.3070812,0.11478221718475412,0.5833605731018311
12,CIRBP,1.9850559,1.3231701,0.10086936645163473,0.5833605731018311
13,PRR15L,1.974729,2.7149248,0.11545684993353916,0.5833605731018311
14,IRF1,1.974729,2.7149248,0.11545684993353916,0.5833605731018311
15,ARFRP1,1.8481619,2.3621309,0.13263239214806644,0.5833605731018311
16,TPT1,1.786031,1.1579611,0.12922022638399738,0.5833605731018311
17,IGHG4,1.7799988,1.7430447,0.1443944910275365,0.5833605731018311
18,PFN1,1.743435,2.3721943,0.1522931069614943,0.5833605731018311
19,TAPBP,1.6964504,2.0059905,0.158413834959088,0.5833605731018311
20,CASP10,1.6329932,28.251276,0.1778078083562211,0.6102727964707984
21,PPM1A,1.6329932,28.251276,0.1778078083562211,0.6102727964707984
22,TMEM164,1.6329932,28.251276,0.1778078083562211,0.6102727964707984
23,ATG13,1.6329932,28.251276,0.1778078083562211,0.6102727964707984
24,SHKBP1,1.6329932,28.251276,0.1778078083562211,0.6102727964707984
25,PSMA2,1.6329932,28.251276,0.1778078083562211,0.6102727964707984
26,IGKC,1.5754029,1.8512775,0.1879713834280312,0.6102727964707984
27,SNHG29,1.573587,1.770493,0.1828518499236182,0.6102727964707984
28,IGHA1,1.5568331,2.265456,0.19232249634645848,0.6102727964707984
29,ATP6V0C,1.5554113,1.9574049,0.18872467549342994,0.6102727964707984
30,ACSF3,1.5544897,4.654949,0.19426993757912986,0.6102727964707984
31,ASPSCR1,1.5544897,4.654949,0.19426993757912986,0.6102727964707984
32,AFF4,1.5544897,4.654949,0.19426993757912986,0.6102727964707984
33,CDC42,1.5544897,4.654949,0.19426993757912986,0.6102727964707984
34,EIF4G1,1.5544897,4.654949,0.19426993757912986,0.6102727964707984
35,PAN3,1.5544897,4.654949,0.19426993757912986,0.6102727964707984
36,SS18L2,1.5544897,4.654949,0.19426993757912986,0.6102727964707984
37,DVL3,1.5544897,4.654949,0.19426993757912986,0.6102727964707984
38,PRR15,1.504967,3.9851682,0.20489434492994296,0.6102727964707984
39,TNFRSF14,1.4800297,1.7855027,0.2078937420936913,0.6102727964707984
40,DCTN1,1.476576,3.6458297,0.21236682155359907,0.6102727964707984
41,TJP3,1.476576,3.6458297,0.21236682155359907,0.6102727964707984
42,ENSA,1.476576,3.6458297,0.21236682155359907,0.6102727964707984
43,SORT1,1.476576,3.6458297,0.21236682155359907,0.6102727964707984
