,names,scores,logfoldchanges,pvals,pvals_adj
0,MT1M,-2.8640013,-3.0713308,0.004391203368403477,0.049888800080197145
1,TMEM184A,-2.8676906,-1.0462965,0.004346687070684162,0.04944356542903234
2,MIER1,-2.880068,-2.228461,0.004155185035196629,0.04814299050077249
3,DOCK5,-2.8832612,-1.3172556,0.004124914915888631,0.04785932531159784
4,AFTPH,-2.8839037,-2.9118562,0.004117179351534514,0.047829360126337116
5,CDHR1,-2.9091072,-1.6691064,0.0037984051710006914,0.045066039452668454
6,GCLC,-2.916531,-2.2718267,0.0037069249582703523,0.044296232799201314
7,ARHGEF10L,-2.9299846,-1.319819,0.003568224180372281,0.04306925467128155
8,LMBR1L,-2.9461184,-1.5341411,0.0033831510293205217,0.041290802343587237
9,RAP1GAP,-2.9531095,-2.0108395,0.0033015851418003147,0.04042917320077905
10,TKFC,-2.9555783,-1.0000747,0.003294073834600317,0.04039047996401604
11,ESRP1,-2.966508,-2.035079,0.003163529970710514,0.03924666955031811
12,DYNC1LI1,-2.9678695,-24.386202,0.0032220251797574284,0.0397169159608346
13,GRAMD1C,-2.969626,-1.3646573,0.0031408128553687405,0.03913157707856731
14,ABCB1,-2.970365,-1.3272407,0.0031533199458666636,0.039234560780189526
15,STEAP3,-2.9734025,-2.9345078,0.0031033646867128367,0.03887372607566606
16,TRAK1,-2.9758625,-1.1969758,0.0030845192897288433,0.03879472635130505
17,GPM6A,-2.9763603,-1.6357849,0.0030752779905246293,0.03879472635130505
18,SCNN1A,-2.9806712,-1.1881542,0.003035426652165355,0.038477994661081455
19,VSIG10,-2.98351,-1.3566422,0.00301091261160563,0.03828396008345679
20,FGFR4,-2.9857192,-2.8959484,0.0029813173259306634,0.03795965352440112
21,SUGT1,-2.9878924,-2.2593577,0.002954204405374708,0.03766610616852753
22,IFRD1,-2.992217,-1.463873,0.0029220606723691167,0.037328182685452696
23,SLC36A1,-2.993967,-1.2238522,0.002923679036018542,0.037328182685452696
24,RAPGEFL1,-2.9983335,-1.2158034,0.0028724252771960336,0.037025483909300994
25,MICA,-3.0026953,-1.7854962,0.0028228792578051535,0.036646105274052355
26,FAM133B,-3.0093029,-2.9500117,0.002765547980875284,0.036002547487355374
