,names,scores,logfoldchanges,pvals,pvals_adj
0,IGHG4,13.891082,3.5945604,1.1449440919586443e-25,1.0627371061560137e-21
1,IGKC,13.709932,3.4222107,2.4577500083323813e-21,5.703208894335291e-18
2,IGHA1,13.086022,4.0817156,8.170336194543968e-20,1.516741211155142e-16
3,AL627171.2,12.8391075,3.1761107,1.0396321204211026e-17,1.0722072601942972e-14
4,JCHAIN,12.575431,3.635992,8.382418899682461e-23,3.89028061134263e-19
5,IGHG3,11.459335,3.7370775,2.0184231880788894e-22,6.245001343916084e-19
6,IGHM,10.367266,3.1450963,3.8126484832190814e-18,4.4236254026549395e-15
7,IGLC3,10.279635,29.48132,1.327784359863453e-19,2.0540824047087617e-16
8,LCN2,9.966492,29.291487,9.81906008898294e-19,1.3020073677991377e-15
9,CXCL14,8.899625,3.5282881,7.089823141066266e-15,5.982521672307008e-12
10,IGHG2,8.844903,29.36023,1.103026064373395e-15,1.0238287929513852e-12
11,IGLC2,8.266758,3.305291,3.1143785481184327e-14,2.4089718069696076e-11
12,REG1A,8.228738,3.5424306,4.9920160509595624e-11,2.4387312097371925e-08
13,IGLC1,8.163008,3.064208,3.280941594239508e-13,2.342592298287009e-10
14,PSAP,8.034708,3.079658,5.587541182091218e-12,3.241472328260668e-09
15,ACP5,7.702625,28.41224,1.0292334701740256e-12,6.82381790725379e-10
16,IDO1,7.558646,28.439447,2.3675683236033217e-12,1.4650512786457355e-09
17,TIMP1,7.244803,28.005396,1.417908982961425e-11,7.741783046969381e-09
18,SOD2,7.2348523,3.1176,3.8894923182368535e-11,2.005681538770804e-08
19,LINC02739,6.92304,2.1925833,2.0840798181691426e-09,6.448142957415327e-07
20,CFB,6.836102,3.0286398,5.117536393247936e-10,2.1591351273694247e-07
21,PDZK1IP1,6.8246655,3.5161192,1.4420931624863468e-10,6.692754367099135e-08
22,SH3BGRL3,6.802461,3.154563,2.2342391017347222e-10,9.875336829667471e-08
23,LBH,6.5660725,27.362837,5.949897067877504e-10,2.401171503653869e-07
24,STOM,6.5337353,27.5557,7.074109984352911e-10,2.7359120364484886e-07
25,MUC1,6.5321617,2.974731,1.6348621439249208e-09,5.620292748115228e-07
26,LYZ,6.4772425,2.464727,1.1978499144473232e-08,3.004984569162177e-06
27,UBD,6.4008627,27.37845,1.4332230692793087e-09,5.116606357327132e-07
28,TNFRSF6B,6.365901,3.9635189,1.4273114195537607e-09,5.116606357327132e-07
29,PLCG2,6.3544064,2.7099116,4.267741880061137e-09,1.2003993979008325e-06
30,EHD1,6.350652,27.379152,1.8674776879268754e-09,5.977216517012847e-07
31,VIM,6.3502727,3.8598993,1.7140815923144623e-09,5.682180478522443e-07
32,COL1A2,6.330902,3.2905695,2.499257812222497e-09,7.48326161711265e-07
33,SERPING1,6.2058716,27.566395,3.978792516002073e-09,1.1540985041728514e-06
34,HLA-DQB1,6.16772,2.8105643,1.6591163562902927e-08,4.052610005022762e-06
35,PIM2,6.1112976,27.171219,6.4852981342150685e-09,1.7704863906407137e-06
36,SRGN,6.0857024,27.430775,7.396400292507007e-09,1.9615253575728583e-06
37,RARRES2,6.058632,3.813732,7.69215087048415e-09,1.98329289943983e-06
38,C1QA,5.926205,2.2457232,1.23105357488627e-07,2.2853278564188717e-05
39,FCER1G,5.898674,27.163677,1.9133904919268013e-08,4.411663724203912e-06
40,RASGRP2,5.898674,27.163677,1.9133904919268013e-08,4.411663724203912e-06
41,TGFBI,5.8903937,27.052595,1.994789367909376e-08,4.411663724203912e-06
42,AC004687.1,5.8902507,27.189497,1.9962279295040326e-08,4.411663724203912e-06
43,CTSB,5.8850126,2.345483,1.528624175331032e-07,2.724524880199686e-05
44,FKBP1A,5.8123026,27.126333,2.949654986286655e-08,6.36713897272389e-06
45,PLA2G2A,5.7360597,3.0004022,3.7847344877282247e-07,5.489047736733341e-05
46,CD6,5.7113924,27.141724,4.8662974826009075e-08,1.0265675734886733e-05
