,names,scores,logfoldchanges,pvals,pvals_adj
0,IGHG4,5.0909395,3.6951542,9.807971273420265e-05,0.0030461577030745897
1,IGKC,3.4908054,2.389866,0.0028087171601989687,0.02135177123748307
2,IGHA1,3.211153,2.2132115,0.004729744172179368,0.028305277502365504
3,MTRNR2L1,2.9233696,1.5329736,0.008121953618921646,0.0403792037979811
4,IGHM,2.8722658,1.7741971,0.009316296096234392,0.04434556941807571
5,REG1A,2.7279642,2.161802,0.014636188033448108,0.05884761646353171
6,DMBT1,2.703542,1.7820649,0.01388182351220225,0.05739469302461527
7,IGHG3,2.6770623,3.0023224,0.01636101110204332,0.06285716268591311
8,AL627171.2,2.6736379,1.3904569,0.014728369755923561,0.05884761646353171
9,LINC02739,2.6144278,1.7426069,0.01705458524279222,0.06493054151911296
10,SNHG1,2.5811934,1.5011414,0.01831945422511235,0.0684545789522918
11,BIRC3,2.5553098,1.320172,0.01728586174888905,0.06564949621652544
12,MUC1,2.531622,28.028181,0.02302099758717677,0.07932048983479603
13,PLA2G2A,2.4589083,1.4932605,0.024039067988513484,0.07971798108945415
14,IGLC2,2.309353,2.8072338,0.03322038332132047,0.10021176405216009
15,PDZK1IP1,2.1811297,3.9405537,0.04496520120026173,0.11976097490411172
16,GAS5,2.179021,1.1047307,0.03948041736093207,0.11574770497289055
17,RARRES1,2.1652458,1.7669535,0.04370601452438127,0.11835159593284504
18,IGHG2,2.0426037,3.872423,0.0581122040585903,0.14330432467370754
19,ATP10B,1.8936862,2.4942136,0.07577630290198425,0.1782053523546048
20,UBD,1.8555082,2.863134,0.08132041504209761,0.1782053523546048
21,IGLC1,1.7625182,1.956765,0.09650557130496856,0.19804658696721605
22,GBP4,1.7529846,2.6767757,0.09832949792730676,0.2007701998614115
23,IGLC3,1.7436497,2.801653,0.100280774035134,0.20430336799695212
24,ARPC5L,1.7132002,1.5781001,0.1022715158410194,0.20776629679061984
25,CRIP2,1.6741325,2.2688627,0.11194434427998758,0.22369588882816893
26,CCL21,1.6491543,3.425346,0.11857805280257029,0.23472840394827416
27,STAMBPL1,1.6491543,3.425346,0.11857805280257029,0.23472840394827416
28,RAB13,1.6491543,3.425346,0.11857805280257029,0.23472840394827416
29,CCDC9B,1.6491543,3.425346,0.11857805280257029,0.23472840394827416
30,CXCL9,1.6353819,3.701056,0.12189232719819039,0.24000945716028918
31,JCHAIN,1.6209201,1.2781816,0.12155110331183673,0.23948998958617462
32,AC007952.4,1.5653254,0.945699,0.13097639661253943,0.253910382906765
33,USP42,1.4979013,1.8444966,0.15129191214282356,0.27519436954502574
34,SNHG17,1.4979013,1.8444966,0.15129191214282356,0.27519436954502574
35,HSPBP1,1.4638501,26.431538,0.16387561365565362,0.2814233942556479
36,PRKCB,1.4638501,26.431538,0.16387561365565362,0.2814233942556479
37,AL135999.1,1.4638501,26.431538,0.16387561365565362,0.2814233942556479
38,COL9A2,1.4638501,26.431538,0.16387561365565362,0.2814233942556479
39,ATRIP,1.4638501,26.431538,0.16387561365565362,0.2814233942556479
40,CASD1,1.4638501,26.431538,0.16387561365565362,0.2814233942556479
41,CMTM3,1.4638501,26.431538,0.16387561365565362,0.2814233942556479
42,C12orf45,1.4638501,26.431538,0.16387561365565362,0.2814233942556479
