Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2021	mitochondrial ATP synthesis coupled electron transport (GO:0042775)	52/71	1.001928e-25	5.367327e-22	0	0	1.378619e+01	7.935703e+02	COX7B;NDUFA13;NDUFA11;NDUFA12;COX4I1;NDUFA10;COX6A1;COX7C;UQCRFS1;COA6;COX8A;NDUFC2;NDUFC1;SDHD;SDHA;COX6B1;COX7A2L;NDUFS8;NDUFS7;NDUFS6;NDUFS5;UQCRC1;NDUFS2;NDUFS1;UQCRC2;NDUFB9;NDUFB8;NDUFB7;NDUFB10;NDUFB6;UQCRB;NDUFB4;NDUFB3;NDUFB2;NDUFB1;UQCR11;UQCR10;COX5B;COX5A;UQCRH;CYC1;NDUFV2;NDUFA6;NDUFA5;NDUFA4;NDUFA3;NDUFA2;NDUFA1;COX6C;UQCRQ;NDUFAB1;CYCS
GO_Biological_Process_2021	aerobic electron transport chain (GO:0019646)	51/70	4.435974e-25	1.188176e-21	0	0	1.351698e+01	7.579628e+02	COX7B;NDUFA13;NDUFA11;NDUFA12;COX4I1;NDUFA10;COX6A1;COX7C;UQCRFS1;COX8A;NDUFC2;NDUFC1;SDHD;SDHA;COX6B1;COX7A2L;NDUFS8;NDUFS7;NDUFS6;NDUFS5;UQCRC1;NDUFS2;NDUFS1;UQCRC2;NDUFB9;NDUFB8;NDUFB7;NDUFB10;NDUFB6;UQCRB;NDUFB4;NDUFB3;NDUFB2;NDUFB1;UQCR11;UQCR10;COX5B;COX5A;UQCRH;CYC1;NDUFV2;NDUFA6;NDUFA5;NDUFA4;NDUFA3;NDUFA2;NDUFA1;COX6C;UQCRQ;NDUFAB1;CYCS
GO_Biological_Process_2021	endoplasmic reticulum to Golgi vesicle-mediated transport (GO:0006888)	80/185	1.792896e-17	3.201514e-14	0	0	3.850727e+00	1.484845e+02	ARF4;MCFD2;PGAP1;SERPINA1;GOLT1A;KDELR1;PDCD6;CTSZ;MIA2;MIA3;IER3IP1;GOLGA2;ACTR1A;TFG;CAPZB;TRAPPC12;TMED2;TMED7;TMED5;TMED4;RAB2A;SEC13;ARFGAP3;DYNLL1;DYNLL2;COPZ1;DYNC1LI1;DYNC1LI2;TBC1D20;KDELR2;PREB;ERGIC3;GAS6;ERGIC1;COPB2;DCTN5;RAB1A;COPA;SEC23A;TMED10;SAR1A;DCTN2;SAR1B;COPB1;CUL3;GOSR2;RAB1B;ATL2;USO1;KLHL12;LMAN1;SCFD1;LMAN2;YKT6;SPTBN1;SEC31A;BCAP31;SEC16B;TRAPPC3;DYNC1H1;SEC24B;TRAPPC1;SEC24A;SEC16A;TRAPPC4;TRAPPC5;YIF1A;ARCN1;CNIH1;TMEM115;VAPA;VAPB;GOLGB1;CAPZA1;CAPZA2;SEC24D;SEC24C;CNIH4;COPE;BET1
GO_Biological_Process_2021	fatty acid catabolic process (GO:0009062)	42/70	4.268609e-16	5.716734e-13	0	0	7.528994e+00	2.664517e+02	ABCD4;ACADVL;FAAH;ABCD3;ACAA2;ECHS1;ABHD3;ECI1;ABHD2;ECI2;CROT;ACAT1;SCP2;HACL1;ACADM;MMUT;ACAA1;ACAD11;HADH;ABCD1;ACADS;DECR1;ACOT8;PHYH;ACBD5;PEX2;AIG1;ALDH3A2;HADHB;HADHA;BDH2;ACOX1;ILVBL;EHHADH;ECHDC1;ECHDC2;ADTRP;SLC27A2;LPIN2;LPIN3;PPARD;SLC27A4
GO_Biological_Process_2021	COPII-coated vesicle budding (GO:0090114)	41/70	3.130119e-15	2.860375e-12	0	0	7.093724e+00	2.369141e+02	RAB1A;MCFD2;SEC23A;SERPINA1;TMED10;SAR1A;SAR1B;PDCD6;CUL3;GOSR2;RAB1B;CTSZ;USO1;MIA3;KLHL12;GOLGA2;LMAN1;SCFD1;TFG;PPP6R3;TMED2;SCAP;SEC31A;SEC16B;TRAPPC3;SEC13;SEC24B;SEC24A;TRAPPC1;SEC16A;TRAPPC4;TRAPPC5;CSNK1D;CNIH1;TBC1D20;VAPA;VAPB;PREB;SEC24D;SEC24C;BET1
GO_Biological_Process_2021	mitochondrial electron transport, NADH to ubiquinone (GO:0006120)	29/39	3.203705e-15	2.860375e-12	0	0	1.451483e+01	4.844248e+02	NDUFB9;NDUFA13;NDUFB8;NDUFB7;NDUFA11;NDUFB10;NDUFB6;NDUFA12;NDUFB4;NDUFA10;NDUFB3;NDUFB2;NDUFB1;NDUFV2;NDUFA6;NDUFA5;NDUFA4;NDUFA3;NDUFA2;NDUFA1;NDUFC2;NDUFC1;NDUFS8;NDUFS7;NDUFS6;NDUFS5;NDUFAB1;NDUFS2;NDUFS1
GO_Biological_Process_2021	fatty acid beta-oxidation (GO:0006635)	34/52	6.662606e-15	5.098797e-12	0	0	9.463794e+00	3.089197e+02	ABCD4;ACADVL;ABCD3;ACAA2;ECHS1;ECI1;ECI2;ETFDH;ETFA;CROT;ETFB;ACAT1;SCP2;ACADM;ACAA1;ACAD11;HADH;DECR2;ABCD1;ACADS;DECR1;ACOT8;PEX2;HADHB;HADHA;BDH2;ACOX2;ACOX1;EHHADH;ECHDC1;ECHDC2;SLC27A2;CRAT;PPARD
GO_Biological_Process_2021	cellular protein modification process (GO:0006464)	267/1025	7.861875e-15	5.264508e-12	0	0	1.813605e+00	5.890000e+01	APP;GMFB;PGAP1;ARAF;ZDHHC6;DCAF8;PPP2R2A;DCAF7;DCAF6;PSMD8;GOLGA2;PPP4R1;PPP4R2;PPP2R1B;CDK20;PSMD1;PDK3;PDK2;SKP1;ATG3;WSB1;WSB2;DAPK2;PRKCD;CSNK1D;PRKCA;PHKA2;PRKAB1;BCR;PSME1;PRKD2;TRIB1;RPN2;EPAS1;DCUN1D1;MTMR4;PRKCZ;TGOLN2;UGCG;NUAK2;STK38L;PSMF1;APOB;ATG5;LHPP;NUS1;ICMT;INSR;FUCA2;EIF2AK2;PTK6;WNK2;FBXL3;BAP1;PIGS;ARF4;PIGT;SERPINA1;GPAA1;PRKAG2;AATK;MIA3;PTPRJ;PTPRK;PTPRH;PRSS23;TRIOBP;PTPRF;DDA1;IKBKB;ANKRD9;PPP3CA;UBL5;SERP1;FASTK;RAB8A;DUSP5;BRD2;PARP6;PARP3;PARP4;RIPK3;SYK;DUSP1;STRADB;MINK1;SIRT7;SUMF2;PSMA4;B3GNT8;MMP15;PSMA2;RARA;PICK1;FAM20C;SGK3;GAS6;SGK1;CHST5;PIGH;PSMA7;CAMKK2;CST3;PPP2CA;PPP2CB;PSMB3;PSMB1;GCNT2;MGAT1;MAP4K5;PAK4;CSNK1A1;GLYCTK;KRT10;HIPK3;RAB11A;PPP1CA;KTN1;RAB11B;SPSB3;PDP1;PSMC5;PSMC6;STK17B;TAOK2;NUCB1;PKN2;COQ8A;FRK;ENGASE;PNPLA2;PRAG1;UBE2D3;MPI;FBXO22;CDC14B;PPP1CB;PPP1CC;STK11;PIM1;LARGE1;MEN1;RAB2A;FBXW5;IGFBP4;APLP2;DYRK1A;SHISA5;ADAM10;LMTK2;DYRK1B;PRPF4B;LMO7;FBXO11;PDIA6;FBXW2;RBX1;CTDNEP1;ERN2;ILF3;MAPKAPK2;TNIK;PHPT1;UBA7;CUL5;CUL3;STK39;FUT4;HSP90B1;MTM1;FUT6;IRAK1;MAN2A2;OARD1;MAN2A1;STK38;NAE1;MARK3;OGA;B3GALT5;BTBD6;FBXO32;SSH2;CLK3;FBXO31;PTPRD;BMP2;COPS5;STK24;STK25;CDK3;COPS2;STT3A;MELTF;STT3B;MAP3K13;RAB5A;MAP3K11;UBE2M;BMPR1A;ST6GALNAC1;GSK3A;DYRK2;BMPR2;PRKCSH;MAST2;PTEN;ILK;DUSP16;UFL1;ILKAP;DSP;PDPK1;APOA1;PPP2R5D;OXSR1;PPP2R5C;RABGGTA;YWHAZ;DNAJC3;LATS1;PPM1A;PTP4A2;PPM1B;CTDSP1;DAD1;PEAK1;CTDSP2;ATG4B;BIRC6;B4GALT5;RAB1A;CAMK2D;ROCK2;RAB1B;ASB13;TULP4;PDXP;GLRX;RNF7;ACVR1B;THBS1;TNKS2;MKNK2;ERBB2;PTK2B;DCAF11;MAPK6;DCAF13;MAPK3;SLC35A1;ATE1;USP25;CDK11A;FEM1B;CDC42BPG;LAMB1;FBXL15;CDC42BPB;CUL4A;PINK1;SNRK;ASB8;MGAT4A;P4HB;METAP1;CUL4B
GO_Biological_Process_2021	neutrophil activation involved in immune response (GO:0002283)	148/485	2.684256e-14	1.597729e-11	0	0	2.234898e+00	6.983786e+01	GHDC;ATP8A1;APEH;SRP14;LGALS3;LAMP1;ANPEP;FTH1;LAMP2;TOM1;PSMD1;OSTF1;PRSS3;ACAA1;B2M;GOLGA7;KCMF1;ARSA;DGAT1;IST1;PRKCD;HLA-B;ADAM10;ATP11B;EEF1A1;DYNC1LI1;ACLY;CSNK2B;SLC27A2;PPIA;FTL;RAB5B;RAB5C;BRI3;COPB1;STXBP2;MGST1;PSEN1;IQGAP2;PLD1;GNS;RAP1B;SDCBP;NCSTN;RAP1A;DPP7;ALDH3B1;NEU1;MLEC;RAB6A;ATP6V1D;AP1M1;ATP6V0A1;CTSA;HSPA8;MGAM;RAB4B;TRAPPC1;JUP;XRCC5;FUCA1;IDH1;FUCA2;SURF4;PA2G4;ARPC5;EEF2;PRDX6;NFKB1;TOLLIP;SERPINA1;HSP90AB1;DDX3X;HEXB;SNAP23;CTSZ;FAF2;GDI2;PTPRJ;HMGB1;SLC2A5;AP2A2;ALAD;ACTR1B;STBD1;NAPRT;CTSH;ITGAV;CD36;CTSD;DSP;ACTR2;SERPINB1;HSP90AA1;MME;SYK;DYNLT1;PGAM1;ATP6AP2;RHOG;NDUFC2;COMMD3;ANO6;DYNLL1;RHOA;VAMP8;DNAJC3;CEACAM1;PSMA2;TMBIM1;CAT;ALDOC;DNASE1;RAB7A;CD63;PDXK;CANT1;CAB39;GSTP1;MVP;AGPAT2;CST3;NRAS;PGRMC1;PSMB1;ORMDL3;STOM;METTL7A;CD58;DYNC1H1;AOC1;GSN;TMEM30A;PTGES2;TUBB4B;MAPK14;RAB10;GALNS;ERP44;PFKL;TSPAN14;RAB14;VAPA;RAB18;LAMTOR1;YPEL5;LAMTOR3;FRK
GO_Biological_Process_2021	neutrophil mediated immunity (GO:0002446)	148/488	4.679004e-14	2.506542e-11	0	0	2.214771e+00	6.797820e+01	GHDC;ATP8A1;APEH;SRP14;LGALS3;LAMP1;ANPEP;FTH1;LAMP2;TOM1;PSMD1;OSTF1;PRSS3;ACAA1;B2M;GOLGA7;KCMF1;ARSA;DGAT1;IST1;PRKCD;HLA-B;ADAM10;ATP11B;EEF1A1;DYNC1LI1;ACLY;CSNK2B;SLC27A2;PPIA;FTL;KMT2E;RAB5B;RAB5C;BRI3;COPB1;STXBP2;MGST1;PSEN1;IQGAP2;PLD1;GNS;RAP1B;SDCBP;NCSTN;RAP1A;DPP7;ALDH3B1;NEU1;MLEC;RAB6A;ATP6V1D;AP1M1;ATP6V0A1;CTSA;HSPA8;MGAM;ACE;RAB4B;TRAPPC1;JUP;XRCC5;FUCA1;IDH1;FUCA2;SURF4;PA2G4;ARPC5;EEF2;PRDX6;NFKB1;TOLLIP;SERPINA1;HSP90AB1;DDX3X;HEXB;SNAP23;CTSZ;FAF2;GDI2;PTPRJ;HMGB1;SLC2A5;AP2A2;ALAD;ACTR1B;STBD1;NAPRT;CTSH;ITGAV;CD36;CTSD;DSP;ACTR2;SERPINB1;HSP90AA1;MME;DYNLT1;PGAM1;ATP6AP2;RHOG;NDUFC2;COMMD3;ANO6;DYNLL1;RHOA;VAMP8;DNAJC3;CEACAM1;PSMA2;TMBIM1;CAT;ALDOC;RAB7A;CD63;PDXK;CANT1;CAB39;GSTP1;MVP;AGPAT2;CST3;NRAS;PGRMC1;PSMB1;ORMDL3;STOM;METTL7A;CD58;DYNC1H1;AOC1;GSN;TMEM30A;PTGES2;TUBB4B;MAPK14;RAB10;GALNS;ERP44;PFKL;TSPAN14;RAB14;VAPA;RAB18;LAMTOR1;YPEL5;LAMTOR3;FRK
